contrast	gene_set	direction	ontology	significant_terms_annotation_aware	significant_terms_full_tested	delta_full_minus_annotated
interaction_vs_self	significant	up	BP	7	13	6
interaction_vs_self	significant	up	MF	10	15	5
interaction_vs_self	significant	up	CC	11	11	0
interaction_vs_self	significant	down	BP	5	5	0
interaction_vs_self	significant	down	MF	8	7	-1
interaction_vs_self	significant	down	CC	4	4	0
interaction_vs_self	strong	up	BP	1	1	0
interaction_vs_self	strong	up	MF	1	1	0
interaction_vs_self	strong	up	CC	0	0	0
interaction_vs_self	strong	down	BP	5	5	0
interaction_vs_self	strong	down	MF	6	4	-2
interaction_vs_self	strong	down	CC	2	2	0
onu_vs_self	significant	up	BP	1	4	3
onu_vs_self	significant	up	MF	4	4	0
onu_vs_self	significant	up	CC	3	2	-1
onu_vs_self	significant	down	BP	5	5	0
onu_vs_self	significant	down	MF	0	0	0
onu_vs_self	significant	down	CC	0	0	0
onu_vs_self	strong	up	BP	1	1	0
onu_vs_self	strong	up	MF	1	1	0
onu_vs_self	strong	up	CC	1	0	-1
onu_vs_self	strong	down	BP	0	0	0
onu_vs_self	strong	down	MF	0	0	0
onu_vs_self	strong	down	CC	1	1	0
interaction_vs_onu	significant	up	BP	5	12	7
interaction_vs_onu	significant	up	MF	3	8	5
interaction_vs_onu	significant	up	CC	3	5	2
interaction_vs_onu	significant	down	BP	7	7	0
interaction_vs_onu	significant	down	MF	8	8	0
interaction_vs_onu	significant	down	CC	3	3	0
interaction_vs_onu	strong	up	BP	1	1	0
interaction_vs_onu	strong	up	MF	3	3	0
interaction_vs_onu	strong	up	CC	0	0	0
interaction_vs_onu	strong	down	BP	6	6	0
interaction_vs_onu	strong	down	MF	18	18	0
interaction_vs_onu	strong	down	CC	3	2	-1
