contrast	gene_set	direction	ontology	universe_mode	selected_genes_input	effective_selected_genes	effective_universe_genes	tested_terms	significant_terms_padj_0.05
interaction_vs_self	significant	up	BP	annotation_aware	2529	1015	3113	133	7
interaction_vs_self	significant	up	BP	full_tested	2529	2529	8560	133	13
interaction_vs_self	significant	up	MF	annotation_aware	2529	1390	4328	496	10
interaction_vs_self	significant	up	MF	full_tested	2529	2529	8560	496	15
interaction_vs_self	significant	up	CC	annotation_aware	2529	535	1791	43	11
interaction_vs_self	significant	up	CC	full_tested	2529	2529	8560	43	11
interaction_vs_self	significant	down	BP	annotation_aware	2709	915	3113	133	5
interaction_vs_self	significant	down	BP	full_tested	2709	2709	8560	133	5
interaction_vs_self	significant	down	MF	annotation_aware	2709	1321	4328	496	8
interaction_vs_self	significant	down	MF	full_tested	2709	2709	8560	496	7
interaction_vs_self	significant	down	CC	annotation_aware	2709	584	1791	43	4
interaction_vs_self	significant	down	CC	full_tested	2709	2709	8560	43	4
interaction_vs_self	strong	up	BP	annotation_aware	623	225	3113	133	1
interaction_vs_self	strong	up	BP	full_tested	623	623	8560	133	1
interaction_vs_self	strong	up	MF	annotation_aware	623	315	4328	496	1
interaction_vs_self	strong	up	MF	full_tested	623	623	8560	496	1
interaction_vs_self	strong	up	CC	annotation_aware	623	83	1791	43	0
interaction_vs_self	strong	up	CC	full_tested	623	623	8560	43	0
interaction_vs_self	strong	down	BP	annotation_aware	744	273	3113	133	5
interaction_vs_self	strong	down	BP	full_tested	744	744	8560	133	5
interaction_vs_self	strong	down	MF	annotation_aware	744	350	4328	496	6
interaction_vs_self	strong	down	MF	full_tested	744	744	8560	496	4
interaction_vs_self	strong	down	CC	annotation_aware	744	174	1791	43	2
interaction_vs_self	strong	down	CC	full_tested	744	744	8560	43	2
onu_vs_self	significant	up	BP	annotation_aware	2288	904	3113	133	1
onu_vs_self	significant	up	BP	full_tested	2288	2288	8560	133	4
onu_vs_self	significant	up	MF	annotation_aware	2288	1217	4328	496	4
onu_vs_self	significant	up	MF	full_tested	2288	2288	8560	496	4
onu_vs_self	significant	up	CC	annotation_aware	2288	462	1791	43	3
onu_vs_self	significant	up	CC	full_tested	2288	2288	8560	43	2
onu_vs_self	significant	down	BP	annotation_aware	2189	788	3113	133	5
onu_vs_self	significant	down	BP	full_tested	2189	2189	8560	133	5
onu_vs_self	significant	down	MF	annotation_aware	2189	1111	4328	496	0
onu_vs_self	significant	down	MF	full_tested	2189	2189	8560	496	0
onu_vs_self	significant	down	CC	annotation_aware	2189	483	1791	43	0
onu_vs_self	significant	down	CC	full_tested	2189	2189	8560	43	0
onu_vs_self	strong	up	BP	annotation_aware	365	143	3113	133	1
onu_vs_self	strong	up	BP	full_tested	365	365	8560	133	1
onu_vs_self	strong	up	MF	annotation_aware	365	190	4328	496	1
onu_vs_self	strong	up	MF	full_tested	365	365	8560	496	1
onu_vs_self	strong	up	CC	annotation_aware	365	50	1791	43	1
onu_vs_self	strong	up	CC	full_tested	365	365	8560	43	0
onu_vs_self	strong	down	BP	annotation_aware	456	153	3113	133	0
onu_vs_self	strong	down	BP	full_tested	456	456	8560	133	0
onu_vs_self	strong	down	MF	annotation_aware	456	203	4328	496	0
onu_vs_self	strong	down	MF	full_tested	456	456	8560	496	0
onu_vs_self	strong	down	CC	annotation_aware	456	93	1791	43	1
onu_vs_self	strong	down	CC	full_tested	456	456	8560	43	1
interaction_vs_onu	significant	up	BP	annotation_aware	2587	1063	3113	133	5
interaction_vs_onu	significant	up	BP	full_tested	2587	2587	8560	133	12
interaction_vs_onu	significant	up	MF	annotation_aware	2587	1421	4328	496	3
interaction_vs_onu	significant	up	MF	full_tested	2587	2587	8560	496	8
interaction_vs_onu	significant	up	CC	annotation_aware	2587	578	1791	43	3
interaction_vs_onu	significant	up	CC	full_tested	2587	2587	8560	43	5
interaction_vs_onu	significant	down	BP	annotation_aware	2351	825	3113	133	7
interaction_vs_onu	significant	down	BP	full_tested	2351	2351	8560	133	7
interaction_vs_onu	significant	down	MF	annotation_aware	2351	1166	4328	496	8
interaction_vs_onu	significant	down	MF	full_tested	2351	2351	8560	496	8
interaction_vs_onu	significant	down	CC	annotation_aware	2351	483	1791	43	3
interaction_vs_onu	significant	down	CC	full_tested	2351	2351	8560	43	3
interaction_vs_onu	strong	up	BP	annotation_aware	461	166	3113	133	1
interaction_vs_onu	strong	up	BP	full_tested	461	461	8560	133	1
interaction_vs_onu	strong	up	MF	annotation_aware	461	226	4328	496	3
interaction_vs_onu	strong	up	MF	full_tested	461	461	8560	496	3
interaction_vs_onu	strong	up	CC	annotation_aware	461	64	1791	43	0
interaction_vs_onu	strong	up	CC	full_tested	461	461	8560	43	0
interaction_vs_onu	strong	down	BP	annotation_aware	621	234	3113	133	6
interaction_vs_onu	strong	down	BP	full_tested	621	621	8560	133	6
interaction_vs_onu	strong	down	MF	annotation_aware	621	310	4328	496	18
interaction_vs_onu	strong	down	MF	full_tested	621	621	8560	496	18
interaction_vs_onu	strong	down	CC	annotation_aware	621	121	1791	43	3
interaction_vs_onu	strong	down	CC	full_tested	621	621	8560	43	2
