"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0005215","transporter activity","43/628","94/4680",0.457446808510638,3.4089985092831,9.28763327831029,1.19347397231004e-14,3.28205342385262e-12,3.07790656016801e-12,"1978573/1979156/1979613/1979670/1979844/1979874/1980026/1980322/1980430/1980432/1980501/1980540/1981012/1981264/1981355/1981371/1981831/1981851/1981868/1981987/1982249/1982632/1982889/1983307/1983317/1983485/1983573/1983903/1984441/1984681/1984970/1985010/1985268/1985327/1985389/1985667/1985782/1986023/1986254/1986484/1986544/1986597/1987163",43
"GO:0005351","sugar:hydrogen symporter activity","28/628","48/4680",0.583333333333333,4.34713375796178,9.17552742020203,2.59407442878181e-13,2.37790155971666e-11,2.2299938071984e-11,"1978573/1979156/1979670/1979844/1979874/1980322/1980430/1980432/1980501/1980540/1981831/1981868/1981987/1982632/1983307/1983317/1983485/1984681/1984970/1985010/1985268/1985667/1985782/1986023/1986254/1986544/1986597/1987163",28
"GO:0008643","carbohydrate transport","28/628","48/4680",0.583333333333333,4.34713375796178,9.17552742020203,2.59407442878181e-13,2.37790155971666e-11,2.2299938071984e-11,"1978573/1979156/1979670/1979844/1979874/1980322/1980430/1980432/1980501/1980540/1981831/1981868/1981987/1982632/1983307/1983317/1983485/1984681/1984970/1985010/1985268/1985667/1985782/1986023/1986254/1986544/1986597/1987163",28
"GO:0006810","transport","66/628","205/4680",0.321951219512195,2.39925431101445,8.06489449719574,9.76917990305268e-13,6.71631118334872e-11,6.29855020065239e-11,"1978573/1978662/1978735/1978829/1978843/1978967/1979156/1979613/1979670/1979844/1979874/1980026/1980036/1980058/1980322/1980430/1980432/1980501/1980524/1980540/1980794/1980977/1981012/1981264/1981355/1981371/1981831/1981851/1981868/1981987/1982249/1982632/1982781/1982852/1983062/1983307/1983317/1983485/1983573/1983903/1984211/1984441/1984681/1984940/1984970/1985010/1985098/1985268/1985272/1985327/1985389/1985558/1985667/1985782/1985943/1986023/1986037/1986254/1986314/1986351/1986484/1986544/1986597/1987105/1987163/1987195",66
"GO:0016020","membrane","83/628","319/4680",0.260188087774295,1.93898129105685,6.83881512407536,3.15218030747662e-10,1.73369916911214e-08,1.6258614217511e-08,"1978573/1978655/1978662/1978843/1979156/1979613/1979670/1979844/1979874/1980032/1980036/1980321/1980322/1980430/1980432/1980501/1980540/1980788/1980794/1981012/1981064/1981111/1981264/1981355/1981831/1981851/1981868/1981987/1982249/1982259/1982262/1982488/1982536/1982632/1982781/1982889/1983056/1983088/1983265/1983307/1983313/1983317/1983484/1983485/1983929/1983991/1984122/1984211/1984441/1984458/1984462/1984590/1984681/1984806/1984940/1984970/1985010/1985031/1985098/1985105/1985268/1985272/1985289/1985327/1985389/1985667/1985756/1985766/1985782/1985943/1986023/1986037/1986254/1986314/1986450/1986544/1986597/1986614/1986939/1987036/1987105/1987163/1987195",83
"GO:0005975","carbohydrate metabolic process","45/628","134/4680",0.335820895522388,2.50261431695028,6.9471524957364,1.08565985508073e-09,4.97594100245335e-08,4.66643271043472e-08,"1979176/1979265/1979298/1979488/1979669/1979685/1979999/1980295/1980386/1980487/1980561/1980961/1981227/1981311/1981506/1981507/1981520/1981898/1982154/1982537/1982885/1983597/1983681/1983716/1984076/1984172/1984219/1984254/1984369/1984397/1984460/1984682/1984696/1984697/1985326/1985349/1985592/1985674/1985720/1985721/1985834/1986536/1986539/1986964/1987108",45
"GO:0016021","integral to membrane","70/628","270/4680",0.259259259259259,1.93205944798301,6.21051802487399,1.06919756407393e-08,4.20041900171902e-07,3.93914892027238e-07,"1978573/1978710/1978735/1978829/1978987/1979123/1979156/1979605/1979613/1979670/1979844/1979874/1980026/1980058/1980322/1980430/1980432/1980501/1980524/1980540/1980794/1980896/1981264/1981355/1981371/1981378/1981488/1981831/1981868/1981987/1982206/1982243/1982632/1982781/1983062/1983086/1983283/1983307/1983317/1983464/1983467/1983485/1983573/1983903/1983948/1984441/1984590/1984681/1984751/1984970/1985010/1985198/1985268/1985558/1985667/1985782/1986023/1986037/1986254/1986351/1986375/1986389/1986450/1986484/1986544/1986597/1986855/1987105/1987163/1987195",70
"GO:0016491","oxidoreductase activity","82/628","372/4680",0.220430107526882,1.64269570577358,5.08581603667091,1.29252520407256e-06,4.44305538899942e-05,4.16669309207601e-05,"1978565/1978650/1978654/1978890/1979044/1979462/1979532/1979737/1979882/1979966/1980136/1980183/1980453/1980601/1980648/1981165/1981236/1981422/1981773/1981975/1981998/1981999/1982001/1982206/1982218/1982239/1982261/1982270/1982294/1982303/1982353/1982456/1982615/1982624/1982668/1982865/1982871/1982982/1983127/1983304/1983305/1983306/1983323/1983326/1983472/1983530/1984045/1984210/1984334/1984435/1984451/1984459/1984518/1984521/1984549/1984733/1985003/1985027/1985096/1985257/1985289/1985323/1985484/1985569/1985768/1985803/1985934/1985939/1986022/1986256/1986290/1986324/1986389/1986443/1986546/1986548/1986555/1986757/1987146/1987147/1987149/1987198",82
"GO:0004553","hydrolase activity, hydrolyzing O-glycosyl compounds","27/628","80/4680",0.3375,2.51512738853503,5.3806761372682,2.29500684232399e-06,7.01252090710108e-05,6.57633539613307e-05,"1979298/1979669/1979999/1980386/1980487/1981227/1981311/1981520/1981898/1982154/1982537/1982885/1983597/1984219/1984460/1984682/1984696/1984697/1985349/1985592/1985674/1985720/1985721/1986536/1986539/1986964/1987108",27
"GO:0004497","monooxygenase activity","24/628","75/4680",0.32,2.38471337579618,4.75879863006036,2.3366366755025e-05,0.000642575085763188,0.00060260630052433,"1978650/1979525/1980034/1980136/1981189/1981192/1981544/1982263/1983051/1984041/1984326/1985758/1985763/1985850/1985934/1986290/1986324/1986412/1986543/1986547/1986833/1986834/1987145/1987147",24
