"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0005975","carbohydrate metabolic process","53/807","134/4680",0.395522388059701,2.29373578205626,6.93542077356514,4.47505177563634e-10,9.44328371270537e-08,9.11742624056949e-08,"1978734/1978954/1979109/1979176/1979208/1979265/1979488/1979669/1979685/1979999/1980135/1980156/1980295/1980386/1980510/1980961/1981093/1981227/1981506/1981507/1981520/1981535/1981822/1981898/1982154/1982284/1982537/1982672/1982700/1982743/1982885/1983597/1983716/1984003/1984076/1984172/1984219/1984254/1984369/1984397/1984682/1984731/1984874/1985326/1985349/1985592/1985720/1985721/1985834/1985951/1986539/1987091/1987108",53
"GO:0005351","sugar:hydrogen symporter activity","27/807","48/4680",0.5625,3.26208178438662,7.19008769503086,9.38074540997222e-10,9.44328371270537e-08,9.11742624056949e-08,"1979156/1979670/1979844/1979874/1980322/1980430/1980432/1980501/1980540/1981868/1982632/1983307/1983317/1983319/1983423/1983485/1984681/1984686/1984970/1985010/1985268/1985667/1985782/1986023/1986254/1986597/1987163",27
"GO:0008643","carbohydrate transport","27/807","48/4680",0.5625,3.26208178438662,7.19008769503086,9.38074540997222e-10,9.44328371270537e-08,9.11742624056949e-08,"1979156/1979670/1979844/1979874/1980322/1980430/1980432/1980501/1980540/1981868/1982632/1983307/1983317/1983319/1983423/1983485/1984681/1984686/1984970/1985010/1985268/1985667/1985782/1986023/1986254/1986597/1987163",27
"GO:0005215","transporter activity","41/807","94/4680",0.436170212765957,2.52946294392154,6.83715463447728,1.42932626800815e-09,1.07914133234615e-07,1.04190362167962e-07,"1979156/1979613/1979670/1979844/1979874/1980026/1980322/1980430/1980432/1980501/1980540/1981264/1981371/1981851/1981868/1981924/1982249/1982632/1982928/1983307/1983317/1983319/1983423/1983485/1983573/1983903/1984317/1984441/1984681/1984686/1984970/1985010/1985268/1985327/1985667/1985782/1986023/1986254/1986484/1986597/1987163",41
"GO:0016491","oxidoreductase activity","107/807","372/4680",0.287634408602151,1.66806571531359,6.12974416240131,6.01143280239382e-09,3.63090541264586e-07,3.50561449739597e-07,"1978650/1978654/1978816/1978849/1978948/1979460/1979462/1979532/1979737/1979785/1979811/1979882/1979963/1979966/1980106/1980156/1980395/1980421/1980424/1980453/1980528/1980581/1980601/1980603/1980619/1980860/1981077/1981236/1981273/1981449/1981771/1981783/1981975/1981999/1982001/1982015/1982139/1982206/1982211/1982231/1982239/1982290/1982303/1982353/1982427/1982456/1982558/1982615/1982865/1982869/1982972/1982982/1983218/1983289/1983304/1983305/1983306/1983323/1983326/1983474/1983530/1983551/1983625/1983678/1983728/1983733/1983755/1983949/1984027/1984045/1984066/1984170/1984182/1984210/1984334/1984386/1984435/1984518/1984521/1984549/1984808/1984827/1985003/1985027/1985084/1985096/1985141/1985323/1985749/1985803/1985804/1985878/1985934/1985939/1986060/1986160/1986290/1986324/1986389/1986443/1986555/1986996/1987051/1987104/1987146/1987147/1987149",107
"GO:0016021","integral to membrane","81/807","270/4680",0.3,1.73977695167286,5.71548284054246,7.06029425904312e-08,3.55368144371837e-06,3.43105528027183e-06,"1978710/1978735/1978987/1979094/1979123/1979156/1979271/1979447/1979605/1979613/1979670/1979844/1979874/1980026/1980315/1980322/1980430/1980432/1980501/1980524/1980527/1980540/1980581/1980896/1980988/1981204/1981264/1981371/1981378/1981555/1981669/1981868/1982206/1982632/1982781/1983062/1983086/1983235/1983289/1983307/1983317/1983319/1983423/1983464/1983467/1983485/1983573/1983842/1983903/1983911/1983948/1984169/1984441/1984485/1984625/1984681/1984686/1984758/1984759/1984784/1984970/1985010/1985198/1985268/1985558/1985667/1985782/1985972/1986023/1986037/1986247/1986254/1986351/1986375/1986389/1986469/1986484/1986597/1986855/1987105/1987163",81
"GO:0008152","metabolic process","123/807","473/4680",0.260042283298097,1.50805190314138,5.31914633523769,2.65439066221764e-07,1.1451799714139e-05,1.10566347884855e-05,"1978650/1978654/1978691/1978883/1979241/1979337/1979685/1979758/1979785/1979848/1979882/1979889/1979966/1980000/1980008/1980040/1980062/1980112/1980259/1980395/1980452/1980510/1980528/1980576/1980603/1980666/1980808/1980856/1981236/1981269/1981328/1981449/1981586/1981601/1981771/1981902/1981957/1981967/1981999/1982001/1982037/1982118/1982242/1982254/1982290/1982303/1982353/1982390/1982406/1982519/1982558/1982615/1982865/1982869/1982870/1982972/1982982/1983257/1983304/1983306/1983323/1983326/1983474/1983530/1983716/1983728/1983733/1983743/1983949/1983965/1984027/1984045/1984298/1984334/1984457/1984467/1984597/1984601/1984863/1984864/1984922/1985084/1985087/1985093/1985096/1985171/1985233/1985309/1985355/1985366/1985476/1985532/1985533/1985548/1985586/1985706/1985712/1985779/1985784/1985785/1985786/1985803/1985804/1985878/1985934/1985983/1986009/1986160/1986290/1986324/1986338/1986421/1986447/1986485/1986594/1987050/1987051/1987104/1987146/1987147/1987149/1987172/1987192",123
"GO:0006810","transport","62/807","205/4680",0.302439024390244,1.75392147973524,5.0384397429637,1.97115602911233e-06,7.44111400989905e-05,7.18434500084363e-05,"1978735/1978967/1979156/1979271/1979613/1979670/1979844/1979874/1980026/1980315/1980322/1980430/1980432/1980501/1980524/1980540/1981264/1981371/1981851/1981868/1981924/1982249/1982531/1982632/1982781/1982852/1982928/1983062/1983307/1983317/1983319/1983423/1983485/1983573/1983667/1983903/1984069/1984211/1984317/1984441/1984485/1984681/1984686/1984940/1984941/1984970/1985010/1985268/1985327/1985558/1985667/1985782/1985980/1986023/1986037/1986254/1986314/1986351/1986484/1986597/1987105/1987163",62
"GO:0004553","hydrolase activity, hydrolyzing O-glycosyl compounds","30/807","80/4680",0.375,2.17472118959108,4.83715965291446,1.05788988663711e-05,0.000354980828627119,0.000342731577308163,"1978734/1978954/1979109/1979208/1979669/1979999/1980386/1981227/1981520/1981535/1981822/1981898/1982154/1982284/1982537/1982700/1982743/1982885/1983597/1984003/1984219/1984682/1984731/1985349/1985592/1985720/1985721/1985951/1986539/1987108",30
"GO:0016020","membrane","83/807","319/4680",0.260188087774295,1.50889746069851,4.29756172896955,2.86212925295585e-05,0.000864363034392668,0.000834536634809233,"1978655/1979156/1979613/1979670/1979844/1979874/1979976/1980032/1980322/1980430/1980432/1980501/1980527/1980540/1980782/1980788/1980823/1981077/1981264/1981366/1981392/1981458/1981528/1981851/1981868/1981924/1982249/1982488/1982531/1982536/1982632/1982781/1983056/1983229/1983254/1983265/1983307/1983317/1983319/1983423/1983484/1983485/1983667/1983745/1983843/1984069/1984211/1984235/1984317/1984441/1984485/1984625/1984681/1984686/1984783/1984827/1984940/1984941/1984970/1985010/1985031/1985105/1985268/1985277/1985327/1985334/1985667/1985766/1985782/1985950/1986023/1986027/1986037/1986254/1986314/1986451/1986597/1986751/1986895/1986939/1987036/1987105/1987163",83
"GO:0006979","response to oxidative stress","7/807","11/4680",0.636363636363636,3.69043595809395,4.07752475009139,0.000767080565237985,0.0210598482456247,0.020333140341715,"1978887/1979689/1984086/1984569/1984800/1985758/1986517",7
"GO:0020037","heme binding","26/807","86/4680",0.302325581395349,1.75326359470909,3.21803119762706,0.00196874775920611,0.0495468186066871,0.0478371166052713,"1979106/1979405/1979525/1979689/1980034/1980070/1980091/1981077/1981192/1982263/1982879/1983051/1983366/1984041/1984086/1984326/1984569/1984800/1984808/1985141/1985663/1985758/1985899/1986517/1986826/1987145",26
