sample_id	library_id	plate_well	original_sample_name	original_condition_label	condition	focal_organism	interaction_partner	sampled_region	biological_replicate	reported_million_reads	reported_q30_percent	fastq_r1	fastq_r2	ophiostoma_bam	include_ophiostoma	include_fusarium
146	P21526_146	F:6	Fungi 1A	MNN-1	fusarium_interaction	Fusarium_cf_salinense	Ophiostoma_novo_ulmi	fusarium_colony_near_interaction	1	72.55	93.33	data/external/trimmed_reads/P21526_146_R1.trimmed.fastq.gz	data/external/trimmed_reads/P21526_146_R2.trimmed.fastq.gz	NA	no	yes
147	P21526_147	G:6	Fungi 1B	MNN-2	fusarium_interaction	Fusarium_cf_salinense	Ophiostoma_novo_ulmi	fusarium_colony_near_interaction	2	28.57	93.58	data/external/trimmed_reads/P21526_147_R1.trimmed.fastq.gz	data/external/trimmed_reads/P21526_147_R2.trimmed.fastq.gz	NA	no	yes
148	P21526_148	H:6	Fungi 1C	MNN-3	fusarium_interaction	Fusarium_cf_salinense	Ophiostoma_novo_ulmi	fusarium_colony_near_interaction	3	76.11	93.21	data/external/trimmed_reads/P21526_148_R1.trimmed.fastq.gz	data/external/trimmed_reads/P21526_148_R2.trimmed.fastq.gz	NA	no	yes
149	P21526_149	A:7	Fungi 2A	ONU-interactions-1	ophiostoma_interaction	Ophiostoma_novo_ulmi	Fusarium_cf_salinense	reaction_zone	1	24.96	94.66	data/external/trimmed_reads/P21526_149_R1.trimmed.fastq.gz	data/external/trimmed_reads/P21526_149_R2.trimmed.fastq.gz	data/external/ophiostoma_bams/149_ophiostoma.sorted.bam	yes	no
150	P21526_150	B:7	Fungi 2B	ONU-interactions-2	ophiostoma_interaction	Ophiostoma_novo_ulmi	Fusarium_cf_salinense	reaction_zone	2	23.95	93.92	data/external/trimmed_reads/P21526_150_R1.trimmed.fastq.gz	data/external/trimmed_reads/P21526_150_R2.trimmed.fastq.gz	data/external/ophiostoma_bams/150_ophiostoma.sorted.bam	yes	no
151	P21526_151	C:7	Fungi 2C	ONU-interactions-3	ophiostoma_interaction	Ophiostoma_novo_ulmi	Fusarium_cf_salinense	reaction_zone	3	21.44	94.89	data/external/trimmed_reads/P21526_151_R1.trimmed.fastq.gz	data/external/trimmed_reads/P21526_151_R2.trimmed.fastq.gz	data/external/ophiostoma_bams/151_ophiostoma.sorted.bam	yes	no
152	P21526_152	D:7	Fungi 3A	onu-back-1	ophiostoma_back	Ophiostoma_novo_ulmi	Fusarium_cf_salinense	non_contact_region	1	23.93	94.61	data/external/trimmed_reads/P21526_152_R1.trimmed.fastq.gz	data/external/trimmed_reads/P21526_152_R2.trimmed.fastq.gz	data/external/ophiostoma_bams/152_ophiostoma.sorted.bam	yes	no
153	P21526_153	E:7	Fungi 3B	onu-back-2	ophiostoma_back	Ophiostoma_novo_ulmi	Fusarium_cf_salinense	non_contact_region	2	19.52	94.37	data/external/trimmed_reads/P21526_153_R1.trimmed.fastq.gz	data/external/trimmed_reads/P21526_153_R2.trimmed.fastq.gz	data/external/ophiostoma_bams/153_ophiostoma.sorted.bam	yes	no
154	P21526_154	F:7	Fungi 3C	onu-back-3	ophiostoma_back	Ophiostoma_novo_ulmi	Fusarium_cf_salinense	non_contact_region	3	44.38	92.67	data/external/trimmed_reads/P21526_154_R1.trimmed.fastq.gz	data/external/trimmed_reads/P21526_154_R2.trimmed.fastq.gz	data/external/ophiostoma_bams/154_ophiostoma.sorted.bam	yes	no
155	P21526_155	G:7	Fungi 4A	ONU-ONU-1	ophiostoma_self	Ophiostoma_novo_ulmi	Ophiostoma_novo_ulmi	control_colony	1	53.85	92.43	data/external/trimmed_reads/P21526_155_R1.trimmed.fastq.gz	data/external/trimmed_reads/P21526_155_R2.trimmed.fastq.gz	data/external/ophiostoma_bams/155_ophiostoma.sorted.bam	yes	no
156	P21526_156	H:7	Fungi 4B	ONU-ONU-2	ophiostoma_self	Ophiostoma_novo_ulmi	Ophiostoma_novo_ulmi	control_colony	2	56.92	92.94	data/external/trimmed_reads/P21526_156_R1.trimmed.fastq.gz	data/external/trimmed_reads/P21526_156_R2.trimmed.fastq.gz	data/external/ophiostoma_bams/156_ophiostoma.sorted.bam	yes	no
157	P21526_157	A:8	Fungi 4C	ONU-ONU-3	ophiostoma_self	Ophiostoma_novo_ulmi	Ophiostoma_novo_ulmi	control_colony	3	75.36	92.69	data/external/trimmed_reads/P21526_157_R1.trimmed.fastq.gz	data/external/trimmed_reads/P21526_157_R2.trimmed.fastq.gz	data/external/ophiostoma_bams/157_ophiostoma.sorted.bam	yes	no
158	P21526_158	B:8	Fungi 5A	MNN-MNN-1	fusarium_self	Fusarium_cf_salinense	Fusarium_cf_salinense	control_colony	1	36.99	92.79	data/external/trimmed_reads/P21526_158_R1.trimmed.fastq.gz	data/external/trimmed_reads/P21526_158_R2.trimmed.fastq.gz	NA	no	yes
159	P21526_159	C:8	Fungi 5B	MNN-MNN-2	fusarium_self	Fusarium_cf_salinense	Fusarium_cf_salinense	control_colony	2	18.72	95.41	data/external/trimmed_reads/P21526_159_R1.trimmed.fastq.gz	data/external/trimmed_reads/P21526_159_R2.trimmed.fastq.gz	NA	no	yes
160	P21526_160	D:8	Fungi 5C	MNN-MNN-3	fusarium_self	Fusarium_cf_salinense	Fusarium_cf_salinense	control_colony	3	56.50	93.49	data/external/trimmed_reads/P21526_160_R1.trimmed.fastq.gz	data/external/trimmed_reads/P21526_160_R2.trimmed.fastq.gz	NA	no	yes
