cazyme_family	cazyme_class	high_confidence_genes	significant_genes	significant_up	significant_down	strong_raw_lfc_genes	strong_shrunk_lfc_genes
GT2	GT	16	8	4	4	0	0
GH18	GH	14	6	3	3	0	0
AA7	AA	9	5	3	2	0	0
GH3	GH	13	4	4	0	2	1
GT8	GT	6	4	1	3	0	0
GH47	GH	9	3	1	2	0	0
GH76	GH	7	3	1	2	0	0
CE4	CE	6	3	1	2	0	0
GH1	GH	5	3	3	0	1	0
GH13_40	GH	5	3	2	1	0	0
GH31_1	GH	4	3	1	2	0	0
GH128	GH	3	3	2	1	1	1
AA3_2	AA	11	2	0	2	0	0
AA9	AA	8	2	1	1	0	0
GH16_18	GH	5	2	1	1	0	0
GH28	GH	5	2	2	0	0	0
GT4	GT	5	2	0	2	0	0
CE16	CE	4	2	2	0	0	0
CE5	CE	4	2	1	1	0	0
GH16_3	GH	4	2	1	1	0	0
GT32	GT	4	2	2	0	0	0
AA11	AA	3	2	0	2	0	0
GH12	GH	3	2	0	2	0	0
GH20	GH	3	2	2	0	0	0
GH2_13	GH	3	2	2	0	0	0
GH36	GH	3	2	2	0	0	0
GH5_15	GH	3	2	1	1	0	0
GT69	GT	3	2	1	1	1	1
GH188	GH	2	2	2	0	0	0
GH5_12	GH	2	2	1	1	0	0
GT64	GT	2	2	1	1	0	0
GT1	GT	11	1	1	0	0	0
AA3_1	AA	5	1	0	1	0	0
CBM91	CBM	5	1	1	0	1	0
GH32	GH	5	1	1	0	0	0
GT90	GT	5	1	0	1	0	0
GH55_2	GH	4	1	0	1	0	0
GT22	GT	4	1	1	0	0	0
PL1_4	PL	4	1	0	1	0	0
AA1	AA	3	1	1	0	0	0
AA1_3	AA	3	1	1	0	0	0
AA3_3	AA	3	1	1	0	1	1
AA8	AA	3	1	0	1	0	0
GH125	GH	3	1	0	1	0	0
GH15	GH	3	1	0	1	0	0
GH154	GH	3	1	1	0	0	0
GH16_22	GH	3	1	0	1	0	0
GH17	GH	3	1	1	0	0	0
GH43_14	GH	3	1	1	0	1	0
GT20	GT	3	1	0	1	0	0
GT62	GT	3	1	0	1	0	0
GT71	GT	3	1	1	0	0	0
PL4_3	PL	3	1	1	0	0	0
CBM20	CBM	2	1	0	1	0	0
CBM63	CBM	2	1	0	1	0	0
GH132	GH	2	1	0	1	0	0
GH142	GH	2	1	0	1	0	0
GH16_4	GH	2	1	0	1	0	0
GH2_10	GH	2	1	1	0	0	0
GH37	GH	2	1	1	0	1	1
GH43_24	GH	2	1	1	0	0	0
GH7	GH	2	1	1	0	0	0
AA13	AA	1	1	1	0	0	0
AA5	AA	1	1	0	1	0	0
AA6	AA	1	1	0	1	0	0
CBM13	CBM	1	1	0	1	0	0
CBM21	CBM	1	1	1	0	0	0
CBM24	CBM	1	1	0	1	0	0
GH10	GH	1	1	0	1	0	0
GH131	GH	1	1	0	1	0	0
GH133	GH	1	1	0	1	0	0
GH13_25	GH	1	1	0	1	0	0
GH162	GH	1	1	1	0	0	0
GH16_19	GH	1	1	1	0	0	0
GH2_16	GH	1	1	1	0	0	0
GH2_18	GH	1	1	1	0	0	0
GH2_19	GH	1	1	1	0	0	0
GH31_4	GH	1	1	1	0	0	0
GH38	GH	1	1	1	0	0	0
GH43_33	GH	1	1	1	0	0	0
GH43_5	GH	1	1	0	1	0	0
GH45	GH	1	1	0	1	0	0
GH51_2	GH	1	1	1	0	0	0
GH5_24	GH	1	1	1	0	0	0
GH5_31	GH	1	1	1	0	0	0
GH5_5	GH	1	1	0	1	0	0
GH63	GH	1	1	0	1	0	0
GH71	GH	1	1	0	1	0	0
GH95	GH	1	1	1	0	0	0
GT17	GT	1	1	0	1	0	0
GT3	GT	1	1	1	0	0	0
GT48	GT	1	1	1	0	0	0
GT50	GT	1	1	1	0	0	0
GT58	GT	1	1	0	1	0	0
GT59	GT	1	1	1	0	0	0
GH78	GH	7	0	0	0	0	0
GH16_1	GH	5	0	0	0	0	0
CE3	CE	4	0	0	0	0	0
GH105	GH	4	0	0	0	0	0
GH35	GH	4	0	0	0	0	0
GT15	GT	4	0	0	0	0	0
AA4	AA	3	0	0	0	0	0
AA5_2	AA	3	0	0	0	0	0
CBM67	CBM	3	0	0	0	0	0
GH114	GH	3	0	0	0	0	0
GH115	GH	3	0	0	0	0	0
GH127	GH	3	0	0	0	0	0
GH72	GH	3	0	0	0	0	0
GH93	GH	3	0	0	0	0	0
GT34	GT	3	0	0	0	0	0
GT39	GT	3	0	0	0	0	0
AA12	AA	2	0	0	0	0	0
AA1_2	AA	2	0	0	0	0	0
AA2	AA	2	0	0	0	0	0
AA3	AA	2	0	0	0	0	0
