level	multiplicity	entity_count
proteins_per_transcript	0	8172
proteins_per_transcript	1	10612
proteins_per_transcript	2	5515
proteins_per_transcript	3	2167
proteins_per_transcript	4	830
proteins_per_transcript	5	401
proteins_per_transcript	6	169
proteins_per_transcript	7	72
proteins_per_transcript	8	28
proteins_per_transcript	9	13
proteins_per_gene	0	5995
proteins_per_gene	1	4072
proteins_per_gene	2	1630
proteins_per_gene	3	804
proteins_per_gene	4	669
proteins_per_gene	5	347
proteins_per_gene	6	370
proteins_per_gene	7	207
proteins_per_gene	8	188
proteins_per_gene	9	131
proteins_per_gene	10	141
proteins_per_gene	11	69
proteins_per_gene	12	86
proteins_per_gene	13	56
proteins_per_gene	14	49
proteins_per_gene	15	49
proteins_per_gene	16	30
proteins_per_gene	17	31
proteins_per_gene	18	27
proteins_per_gene	19	14
proteins_per_gene	20	23
proteins_per_gene	21	21
proteins_per_gene	22	13
proteins_per_gene	23	13
proteins_per_gene	24	11
proteins_per_gene	25	7
proteins_per_gene	26	10
proteins_per_gene	27	5
proteins_per_gene	28	10
proteins_per_gene	29	6
proteins_per_gene	30	16
proteins_per_gene	31	2
proteins_per_gene	32	5
proteins_per_gene	33	9
proteins_per_gene	34	4
proteins_per_gene	35	4
proteins_per_gene	36	2
proteins_per_gene	37	7
proteins_per_gene	38	4
proteins_per_gene	39	2
proteins_per_gene	40	3
proteins_per_gene	41	5
proteins_per_gene	42	3
proteins_per_gene	43	2
proteins_per_gene	45	4
proteins_per_gene	50	2
proteins_per_gene	51	2
proteins_per_gene	52	4
proteins_per_gene	54	1
proteins_per_gene	55	1
proteins_per_gene	56	1
proteins_per_gene	57	1
proteins_per_gene	58	2
proteins_per_gene	59	1
proteins_per_gene	60	2
proteins_per_gene	61	1
proteins_per_gene	62	5
proteins_per_gene	63	1
proteins_per_gene	65	2
proteins_per_gene	75	1
proteins_per_gene	79	3
proteins_per_gene	82	2
proteins_per_gene	85	1
proteins_per_gene	90	1
proteins_per_gene	108	1
proteins_per_gene	134	1
transcripts_per_gene	1	9778
transcripts_per_gene	2	2491
transcripts_per_gene	3	1237
transcripts_per_gene	4	681
transcripts_per_gene	5	368
transcripts_per_gene	6	250
transcripts_per_gene	7	140
transcripts_per_gene	8	94
transcripts_per_gene	9	43
transcripts_per_gene	10	42
transcripts_per_gene	11	17
transcripts_per_gene	12	19
transcripts_per_gene	13	7
transcripts_per_gene	14	7
transcripts_per_gene	15	5
transcripts_per_gene	16	5
transcripts_per_gene	17	5
transcripts_per_gene	19	1
transcripts_per_gene	20	1
transcripts_per_gene	22	1
