ID	Description	GeneRatio	BgRatio	RichFactor	FoldEnrichment	zScore	pvalue	p.adjust	qvalue	geneID	Count	contrast	gene_set	direction	ontology	significant_padj_0.05
GO:0022626	cytosolic ribosome	62/717	92/2946	0.673913043478261	2.76896488993997	9.77537295131881	8.20212942018187e-19	3.82219230980475e-16	3.49669727913017e-16	TRINITY_DN3_c0_g1/TRINITY_DN150_c0_g1/TRINITY_DN221_c0_g1/TRINITY_DN222_c0_g1/TRINITY_DN229_c0_g1/TRINITY_DN419_c0_g1/TRINITY_DN425_c0_g1/TRINITY_DN487_c0_g1/TRINITY_DN500_c0_g1/TRINITY_DN624_c0_g1/TRINITY_DN677_c0_g1/TRINITY_DN751_c0_g1/TRINITY_DN775_c0_g1/TRINITY_DN839_c0_g1/TRINITY_DN879_c0_g1/TRINITY_DN899_c0_g1/TRINITY_DN1308_c0_g1/TRINITY_DN1375_c0_g1/TRINITY_DN1377_c0_g1/TRINITY_DN1467_c0_g1/TRINITY_DN1469_c0_g1/TRINITY_DN1473_c0_g1/TRINITY_DN1532_c0_g1/TRINITY_DN1644_c0_g1/TRINITY_DN1761_c0_g1/TRINITY_DN1820_c0_g1/TRINITY_DN2008_c0_g1/TRINITY_DN2052_c0_g1/TRINITY_DN2122_c0_g1/TRINITY_DN2293_c0_g1/TRINITY_DN2304_c0_g1/TRINITY_DN2345_c0_g1/TRINITY_DN2394_c0_g1/TRINITY_DN2490_c0_g1/TRINITY_DN2600_c0_g1/TRINITY_DN2608_c0_g1/TRINITY_DN2945_c0_g1/TRINITY_DN2982_c0_g1/TRINITY_DN3042_c0_g1/TRINITY_DN3081_c0_g1/TRINITY_DN3107_c0_g1/TRINITY_DN3506_c0_g1/TRINITY_DN3773_c0_g1/TRINITY_DN4022_c0_g1/TRINITY_DN4324_c0_g1/TRINITY_DN4425_c0_g1/TRINITY_DN4432_c0_g1/TRINITY_DN4433_c0_g1/TRINITY_DN4639_c0_g1/TRINITY_DN4699_c0_g1/TRINITY_DN4749_c0_g1/TRINITY_DN4920_c1_g1/TRINITY_DN5462_c0_g1/TRINITY_DN5780_c0_g1/TRINITY_DN5975_c0_g1/TRINITY_DN6841_c0_g1/TRINITY_DN7140_c0_g1/TRINITY_DN7147_c0_g1/TRINITY_DN7613_c0_g2/TRINITY_DN8992_c0_g1/TRINITY_DN12409_c0_g1/TRINITY_DN17659_c0_g1	62	interaction_vs_self	significant	down	CC	TRUE
GO:0005840	ribosome	85/717	155/2946	0.548387096774194	2.25320556080443	9.08982322414339	4.87088034164141e-17	1.13491511960245e-14	1.03826659913935e-14	TRINITY_DN3_c0_g1/TRINITY_DN150_c0_g1/TRINITY_DN163_c0_g1/TRINITY_DN221_c0_g1/TRINITY_DN222_c0_g1/TRINITY_DN229_c0_g1/TRINITY_DN275_c0_g1/TRINITY_DN419_c0_g1/TRINITY_DN425_c0_g1/TRINITY_DN439_c0_g1/TRINITY_DN487_c0_g1/TRINITY_DN500_c0_g1/TRINITY_DN624_c0_g1/TRINITY_DN677_c0_g1/TRINITY_DN751_c0_g1/TRINITY_DN775_c0_g1/TRINITY_DN839_c0_g1/TRINITY_DN879_c0_g1/TRINITY_DN886_c0_g1/TRINITY_DN899_c0_g1/TRINITY_DN1221_c4_g1/TRINITY_DN1286_c0_g1/TRINITY_DN1308_c0_g1/TRINITY_DN1375_c0_g1/TRINITY_DN1377_c0_g1/TRINITY_DN1467_c0_g1/TRINITY_DN1469_c0_g1/TRINITY_DN1473_c0_g1/TRINITY_DN1532_c0_g1/TRINITY_DN1644_c0_g1/TRINITY_DN1726_c0_g1/TRINITY_DN1761_c0_g1/TRINITY_DN1820_c0_g1/TRINITY_DN2008_c0_g1/TRINITY_DN2052_c0_g1/TRINITY_DN2122_c0_g1/TRINITY_DN2208_c0_g1/TRINITY_DN2293_c0_g1/TRINITY_DN2304_c0_g1/TRINITY_DN2345_c0_g1/TRINITY_DN2394_c0_g1/TRINITY_DN2413_c0_g1/TRINITY_DN2474_c0_g1/TRINITY_DN2490_c0_g1/TRINITY_DN2600_c0_g1/TRINITY_DN2608_c0_g1/TRINITY_DN2705_c0_g1/TRINITY_DN2774_c0_g1/TRINITY_DN2945_c0_g1/TRINITY_DN2977_c0_g1/TRINITY_DN2982_c0_g1/TRINITY_DN3042_c0_g1/TRINITY_DN3081_c0_g1/TRINITY_DN3107_c0_g1/TRINITY_DN3119_c0_g1/TRINITY_DN3169_c0_g1/TRINITY_DN3506_c0_g1/TRINITY_DN3737_c0_g1/TRINITY_DN3773_c0_g1/TRINITY_DN4022_c0_g1/TRINITY_DN4116_c0_g1/TRINITY_DN4324_c0_g1/TRINITY_DN4419_c0_g1/TRINITY_DN4425_c0_g1/TRINITY_DN4432_c0_g1/TRINITY_DN4433_c0_g1/TRINITY_DN4639_c0_g1/TRINITY_DN4699_c0_g1/TRINITY_DN4749_c0_g1/TRINITY_DN4920_c1_g1/TRINITY_DN5390_c0_g2/TRINITY_DN5462_c0_g1/TRINITY_DN5780_c0_g1/TRINITY_DN5975_c0_g1/TRINITY_DN6302_c0_g1/TRINITY_DN6841_c0_g1/TRINITY_DN7140_c0_g1/TRINITY_DN7147_c0_g1/TRINITY_DN7613_c0_g2/TRINITY_DN8771_c0_g1/TRINITY_DN8802_c0_g1/TRINITY_DN8992_c0_g1/TRINITY_DN12409_c0_g1/TRINITY_DN17659_c0_g1/TRINITY_DN18254_c0_g1	85	interaction_vs_self	significant	down	CC	TRUE
GO:0044391	ribosomal subunit	73/717	133/2946	0.548872180451128	2.25519866612137	8.40041257966308	9.3157567523009e-15	1.44704754885741e-12	1.32381806480065e-12	TRINITY_DN3_c0_g1/TRINITY_DN150_c0_g1/TRINITY_DN221_c0_g1/TRINITY_DN222_c0_g1/TRINITY_DN229_c0_g1/TRINITY_DN419_c0_g1/TRINITY_DN425_c0_g1/TRINITY_DN439_c0_g1/TRINITY_DN487_c0_g1/TRINITY_DN500_c0_g1/TRINITY_DN624_c0_g1/TRINITY_DN677_c0_g1/TRINITY_DN751_c0_g1/TRINITY_DN775_c0_g1/TRINITY_DN839_c0_g1/TRINITY_DN879_c0_g1/TRINITY_DN899_c0_g1/TRINITY_DN1286_c0_g1/TRINITY_DN1308_c0_g1/TRINITY_DN1375_c0_g1/TRINITY_DN1377_c0_g1/TRINITY_DN1467_c0_g1/TRINITY_DN1469_c0_g1/TRINITY_DN1473_c0_g1/TRINITY_DN1532_c0_g1/TRINITY_DN1644_c0_g1/TRINITY_DN1726_c0_g1/TRINITY_DN1761_c0_g1/TRINITY_DN1820_c0_g1/TRINITY_DN2008_c0_g1/TRINITY_DN2052_c0_g1/TRINITY_DN2122_c0_g1/TRINITY_DN2208_c0_g1/TRINITY_DN2293_c0_g1/TRINITY_DN2304_c0_g1/TRINITY_DN2345_c0_g1/TRINITY_DN2394_c0_g1/TRINITY_DN2413_c0_g1/TRINITY_DN2474_c0_g1/TRINITY_DN2490_c0_g1/TRINITY_DN2600_c0_g1/TRINITY_DN2608_c0_g1/TRINITY_DN2774_c0_g1/TRINITY_DN2945_c0_g1/TRINITY_DN3042_c0_g1/TRINITY_DN3081_c0_g1/TRINITY_DN3107_c0_g1/TRINITY_DN3506_c0_g1/TRINITY_DN3737_c0_g1/TRINITY_DN3773_c0_g1/TRINITY_DN4022_c0_g1/TRINITY_DN4324_c0_g1/TRINITY_DN4425_c0_g1/TRINITY_DN4432_c0_g1/TRINITY_DN4433_c0_g1/TRINITY_DN4639_c0_g1/TRINITY_DN4699_c0_g1/TRINITY_DN4749_c0_g1/TRINITY_DN4920_c1_g1/TRINITY_DN5390_c0_g2/TRINITY_DN5462_c0_g1/TRINITY_DN5780_c0_g1/TRINITY_DN5975_c0_g1/TRINITY_DN6302_c0_g1/TRINITY_DN6841_c0_g1/TRINITY_DN7140_c0_g1/TRINITY_DN7147_c0_g1/TRINITY_DN7613_c0_g2/TRINITY_DN8771_c0_g1/TRINITY_DN8992_c0_g1/TRINITY_DN12409_c0_g1/TRINITY_DN17659_c0_g1/TRINITY_DN18254_c0_g1	73	interaction_vs_self	significant	down	CC	TRUE
GO:0022627	cytosolic small ribosomal subunit	31/717	41/2946	0.75609756097561	3.1066435350546	7.70295051780324	4.82732242584727e-12	5.62383062611206e-10	5.14490942754774e-10	TRINITY_DN221_c0_g1/TRINITY_DN425_c0_g1/TRINITY_DN500_c0_g1/TRINITY_DN751_c0_g1/TRINITY_DN775_c0_g1/TRINITY_DN839_c0_g1/TRINITY_DN879_c0_g1/TRINITY_DN899_c0_g1/TRINITY_DN1308_c0_g1/TRINITY_DN1467_c0_g1/TRINITY_DN1469_c0_g1/TRINITY_DN1644_c0_g1/TRINITY_DN1761_c0_g1/TRINITY_DN1820_c0_g1/TRINITY_DN2008_c0_g1/TRINITY_DN2052_c0_g1/TRINITY_DN2600_c0_g1/TRINITY_DN2608_c0_g1/TRINITY_DN3107_c0_g1/TRINITY_DN3773_c0_g1/TRINITY_DN4022_c0_g1/TRINITY_DN4425_c0_g1/TRINITY_DN4432_c0_g1/TRINITY_DN4433_c0_g1/TRINITY_DN4639_c0_g1/TRINITY_DN4699_c0_g1/TRINITY_DN4920_c1_g1/TRINITY_DN5462_c0_g1/TRINITY_DN5975_c0_g1/TRINITY_DN12409_c0_g1/TRINITY_DN17659_c0_g1	31	interaction_vs_self	significant	down	CC	TRUE
GO:0022625	cytosolic large ribosomal subunit	31/717	44/2946	0.704545454545455	2.89482693039178	7.18115624240511	1.02847207542663e-10	9.58535974297621e-09	8.76907769574286e-09	TRINITY_DN3_c0_g1/TRINITY_DN150_c0_g1/TRINITY_DN222_c0_g1/TRINITY_DN229_c0_g1/TRINITY_DN419_c0_g1/TRINITY_DN487_c0_g1/TRINITY_DN624_c0_g1/TRINITY_DN677_c0_g1/TRINITY_DN1375_c0_g1/TRINITY_DN1377_c0_g1/TRINITY_DN1473_c0_g1/TRINITY_DN1532_c0_g1/TRINITY_DN2122_c0_g1/TRINITY_DN2293_c0_g1/TRINITY_DN2304_c0_g1/TRINITY_DN2345_c0_g1/TRINITY_DN2394_c0_g1/TRINITY_DN2490_c0_g1/TRINITY_DN2945_c0_g1/TRINITY_DN3042_c0_g1/TRINITY_DN3081_c0_g1/TRINITY_DN3506_c0_g1/TRINITY_DN4324_c0_g1/TRINITY_DN4749_c0_g1/TRINITY_DN5780_c0_g1/TRINITY_DN5975_c0_g1/TRINITY_DN6841_c0_g1/TRINITY_DN7140_c0_g1/TRINITY_DN7147_c0_g1/TRINITY_DN7613_c0_g2/TRINITY_DN8992_c0_g1	31	interaction_vs_self	significant	down	CC	TRUE
GO:1990904	ribonucleoprotein complex	173/717	486/2946	0.3559670781893	1.46259276477779	6.32843917225206	6.36267426214194e-10	4.94167701026357e-08	4.52084750204822e-08	TRINITY_DN3_c0_g1/TRINITY_DN15_c0_g1/TRINITY_DN123_c0_g1/TRINITY_DN135_c0_g1/TRINITY_DN150_c0_g1/TRINITY_DN163_c0_g1/TRINITY_DN221_c0_g1/TRINITY_DN222_c0_g1/TRINITY_DN229_c0_g1/TRINITY_DN275_c0_g1/TRINITY_DN285_c0_g1/TRINITY_DN419_c0_g1/TRINITY_DN425_c0_g1/TRINITY_DN433_c0_g1/TRINITY_DN439_c0_g1/TRINITY_DN487_c0_g1/TRINITY_DN499_c0_g1/TRINITY_DN500_c0_g1/TRINITY_DN524_c0_g1/TRINITY_DN624_c0_g1/TRINITY_DN677_c0_g1/TRINITY_DN693_c0_g1/TRINITY_DN733_c0_g1/TRINITY_DN751_c0_g1/TRINITY_DN758_c0_g1/TRINITY_DN775_c0_g1/TRINITY_DN839_c0_g1/TRINITY_DN868_c0_g1/TRINITY_DN879_c0_g1/TRINITY_DN886_c0_g1/TRINITY_DN899_c0_g1/TRINITY_DN958_c0_g1/TRINITY_DN995_c0_g1/TRINITY_DN1026_c0_g2/TRINITY_DN1132_c0_g1/TRINITY_DN1170_c0_g2/TRINITY_DN1221_c4_g1/TRINITY_DN1286_c0_g1/TRINITY_DN1308_c0_g1/TRINITY_DN1313_c0_g1/TRINITY_DN1375_c0_g1/TRINITY_DN1377_c0_g1/TRINITY_DN1386_c0_g1/TRINITY_DN1467_c0_g1/TRINITY_DN1469_c0_g1/TRINITY_DN1473_c0_g1/TRINITY_DN1516_c0_g1/TRINITY_DN1532_c0_g1/TRINITY_DN1542_c0_g1/TRINITY_DN1644_c0_g1/TRINITY_DN1646_c0_g1/TRINITY_DN1670_c0_g1/TRINITY_DN1677_c0_g1/TRINITY_DN1709_c0_g1/TRINITY_DN1726_c0_g1/TRINITY_DN1761_c0_g1/TRINITY_DN1820_c0_g1/TRINITY_DN1833_c0_g1/TRINITY_DN1854_c0_g1/TRINITY_DN2008_c0_g1/TRINITY_DN2052_c0_g1/TRINITY_DN2082_c0_g2/TRINITY_DN2101_c0_g1/TRINITY_DN2122_c0_g1/TRINITY_DN2206_c0_g1/TRINITY_DN2208_c0_g1/TRINITY_DN2213_c0_g1/TRINITY_DN2293_c0_g1/TRINITY_DN2304_c0_g1/TRINITY_DN2308_c0_g1/TRINITY_DN2336_c0_g1/TRINITY_DN2345_c0_g1/TRINITY_DN2394_c0_g1/TRINITY_DN2413_c0_g1/TRINITY_DN2417_c0_g1/TRINITY_DN2439_c0_g1/TRINITY_DN2474_c0_g1/TRINITY_DN2490_c0_g1/TRINITY_DN2600_c0_g1/TRINITY_DN2608_c0_g1/TRINITY_DN2705_c0_g1/TRINITY_DN2774_c0_g1/TRINITY_DN2825_c0_g1/TRINITY_DN2882_c0_g1/TRINITY_DN2945_c0_g1/TRINITY_DN2977_c0_g1/TRINITY_DN2982_c0_g1/TRINITY_DN3042_c0_g1/TRINITY_DN3081_c0_g1/TRINITY_DN3107_c0_g1/TRINITY_DN3119_c0_g1/TRINITY_DN3164_c0_g1/TRINITY_DN3169_c0_g1/TRINITY_DN3232_c0_g1/TRINITY_DN3396_c0_g1/TRINITY_DN3414_c0_g1/TRINITY_DN3418_c0_g1/TRINITY_DN3427_c0_g1/TRINITY_DN3490_c0_g1/TRINITY_DN3506_c0_g1/TRINITY_DN3590_c0_g1/TRINITY_DN3654_c0_g1/TRINITY_DN3737_c0_g1/TRINITY_DN3773_c0_g1/TRINITY_DN3997_c0_g1/TRINITY_DN4003_c0_g1/TRINITY_DN4022_c0_g1/TRINITY_DN4061_c0_g1/TRINITY_DN4110_c0_g1/TRINITY_DN4116_c0_g1/TRINITY_DN4176_c0_g1/TRINITY_DN4199_c0_g1/TRINITY_DN4205_c0_g1/TRINITY_DN4232_c0_g1/TRINITY_DN4305_c0_g1/TRINITY_DN4324_c0_g1/TRINITY_DN4410_c0_g1/TRINITY_DN4414_c0_g1/TRINITY_DN4419_c0_g1/TRINITY_DN4425_c0_g1/TRINITY_DN4432_c0_g1/TRINITY_DN4433_c0_g1/TRINITY_DN4631_c0_g1/TRINITY_DN4639_c0_g1/TRINITY_DN4699_c0_g1/TRINITY_DN4749_c0_g1/TRINITY_DN4843_c0_g1/TRINITY_DN4892_c1_g1/TRINITY_DN4920_c1_g1/TRINITY_DN5306_c0_g2/TRINITY_DN5390_c0_g2/TRINITY_DN5462_c0_g1/TRINITY_DN5508_c0_g1/TRINITY_DN5532_c0_g1/TRINITY_DN5558_c0_g1/TRINITY_DN5662_c0_g1/TRINITY_DN5780_c0_g1/TRINITY_DN5975_c0_g1/TRINITY_DN6044_c0_g1/TRINITY_DN6302_c0_g1/TRINITY_DN6594_c0_g3/TRINITY_DN6827_c0_g1/TRINITY_DN6841_c0_g1/TRINITY_DN6998_c0_g1/TRINITY_DN7140_c0_g1/TRINITY_DN7147_c0_g1/TRINITY_DN7613_c0_g2/TRINITY_DN8771_c0_g1/TRINITY_DN8802_c0_g1/TRINITY_DN8863_c0_g1/TRINITY_DN8992_c0_g1/TRINITY_DN9168_c0_g1/TRINITY_DN9601_c0_g1/TRINITY_DN10890_c0_g1/TRINITY_DN11165_c0_g1/TRINITY_DN12355_c0_g1/TRINITY_DN12384_c0_g1/TRINITY_DN12409_c0_g1/TRINITY_DN12670_c0_g1/TRINITY_DN12702_c0_g1/TRINITY_DN12760_c0_g1/TRINITY_DN14049_c0_g1/TRINITY_DN14073_c0_g1/TRINITY_DN14110_c0_g1/TRINITY_DN14177_c0_g1/TRINITY_DN14358_c0_g1/TRINITY_DN15870_c0_g1/TRINITY_DN15886_c0_g1/TRINITY_DN16199_c0_g1/TRINITY_DN16532_c0_g1/TRINITY_DN17659_c0_g1/TRINITY_DN18254_c0_g1/TRINITY_DN18485_c0_g1	173	interaction_vs_self	significant	down	CC	TRUE
GO:0015935	small ribosomal subunit	36/717	62/2946	0.580645161290323	2.38574706438116	6.25358960607624	1.02851680908091e-08	6.84698332902435e-07	6.26389936357548e-07	TRINITY_DN221_c0_g1/TRINITY_DN425_c0_g1/TRINITY_DN500_c0_g1/TRINITY_DN751_c0_g1/TRINITY_DN775_c0_g1/TRINITY_DN839_c0_g1/TRINITY_DN879_c0_g1/TRINITY_DN899_c0_g1/TRINITY_DN1286_c0_g1/TRINITY_DN1308_c0_g1/TRINITY_DN1467_c0_g1/TRINITY_DN1469_c0_g1/TRINITY_DN1644_c0_g1/TRINITY_DN1761_c0_g1/TRINITY_DN1820_c0_g1/TRINITY_DN2008_c0_g1/TRINITY_DN2052_c0_g1/TRINITY_DN2208_c0_g1/TRINITY_DN2600_c0_g1/TRINITY_DN2608_c0_g1/TRINITY_DN2774_c0_g1/TRINITY_DN3107_c0_g1/TRINITY_DN3773_c0_g1/TRINITY_DN4022_c0_g1/TRINITY_DN4425_c0_g1/TRINITY_DN4432_c0_g1/TRINITY_DN4433_c0_g1/TRINITY_DN4639_c0_g1/TRINITY_DN4699_c0_g1/TRINITY_DN4920_c1_g1/TRINITY_DN5462_c0_g1/TRINITY_DN5975_c0_g1/TRINITY_DN6302_c0_g1/TRINITY_DN8771_c0_g1/TRINITY_DN12409_c0_g1/TRINITY_DN17659_c0_g1	36	interaction_vs_self	significant	down	CC	TRUE
GO:0015934	large ribosomal subunit	38/717	72/2946	0.527777777777778	2.16852626685263	5.69257208314598	1.34577538864086e-07	7.83914163883301e-06	7.17156621578354e-06	TRINITY_DN3_c0_g1/TRINITY_DN150_c0_g1/TRINITY_DN222_c0_g1/TRINITY_DN229_c0_g1/TRINITY_DN419_c0_g1/TRINITY_DN439_c0_g1/TRINITY_DN487_c0_g1/TRINITY_DN624_c0_g1/TRINITY_DN677_c0_g1/TRINITY_DN1375_c0_g1/TRINITY_DN1377_c0_g1/TRINITY_DN1473_c0_g1/TRINITY_DN1532_c0_g1/TRINITY_DN1726_c0_g1/TRINITY_DN2122_c0_g1/TRINITY_DN2293_c0_g1/TRINITY_DN2304_c0_g1/TRINITY_DN2345_c0_g1/TRINITY_DN2394_c0_g1/TRINITY_DN2413_c0_g1/TRINITY_DN2474_c0_g1/TRINITY_DN2490_c0_g1/TRINITY_DN2945_c0_g1/TRINITY_DN3042_c0_g1/TRINITY_DN3081_c0_g1/TRINITY_DN3506_c0_g1/TRINITY_DN3737_c0_g1/TRINITY_DN4324_c0_g1/TRINITY_DN4749_c0_g1/TRINITY_DN5390_c0_g2/TRINITY_DN5780_c0_g1/TRINITY_DN5975_c0_g1/TRINITY_DN6841_c0_g1/TRINITY_DN7140_c0_g1/TRINITY_DN7147_c0_g1/TRINITY_DN7613_c0_g2/TRINITY_DN8992_c0_g1/TRINITY_DN18254_c0_g1	38	interaction_vs_self	significant	down	CC	TRUE
GO:0030684	preribosome	64/717	154/2946	0.415584415584416	1.70754768244308	5.11452798633421	9.68796237588033e-07	5.01621163017804e-05	4.58903480962752e-05	TRINITY_DN135_c0_g1/TRINITY_DN150_c0_g1/TRINITY_DN221_c0_g1/TRINITY_DN222_c0_g1/TRINITY_DN499_c0_g1/TRINITY_DN693_c0_g1/TRINITY_DN733_c0_g1/TRINITY_DN868_c0_g1/TRINITY_DN879_c0_g1/TRINITY_DN1132_c0_g1/TRINITY_DN1308_c0_g1/TRINITY_DN1313_c0_g1/TRINITY_DN1469_c0_g1/TRINITY_DN1473_c0_g1/TRINITY_DN1516_c0_g1/TRINITY_DN1532_c0_g1/TRINITY_DN1644_c0_g1/TRINITY_DN1677_c0_g1/TRINITY_DN1709_c0_g1/TRINITY_DN1820_c0_g1/TRINITY_DN1833_c0_g1/TRINITY_DN2052_c0_g1/TRINITY_DN2082_c0_g2/TRINITY_DN2122_c0_g1/TRINITY_DN2213_c0_g1/TRINITY_DN2308_c0_g1/TRINITY_DN2336_c0_g1/TRINITY_DN2600_c0_g1/TRINITY_DN2608_c0_g1/TRINITY_DN3107_c0_g1/TRINITY_DN3418_c0_g1/TRINITY_DN3490_c0_g1/TRINITY_DN3506_c0_g1/TRINITY_DN3590_c0_g1/TRINITY_DN4061_c0_g1/TRINITY_DN4110_c0_g1/TRINITY_DN4176_c0_g1/TRINITY_DN4414_c0_g1/TRINITY_DN4425_c0_g1/TRINITY_DN4631_c0_g1/TRINITY_DN4639_c0_g1/TRINITY_DN4749_c0_g1/TRINITY_DN4892_c1_g1/TRINITY_DN4920_c1_g1/TRINITY_DN5306_c0_g2/TRINITY_DN5390_c0_g2/TRINITY_DN5532_c0_g1/TRINITY_DN5558_c0_g1/TRINITY_DN5662_c0_g1/TRINITY_DN6827_c0_g1/TRINITY_DN8863_c0_g1/TRINITY_DN9168_c0_g1/TRINITY_DN10890_c0_g1/TRINITY_DN11165_c0_g1/TRINITY_DN12355_c0_g1/TRINITY_DN12702_c0_g1/TRINITY_DN12760_c0_g1/TRINITY_DN14110_c0_g1/TRINITY_DN14177_c0_g1/TRINITY_DN14358_c0_g1/TRINITY_DN15886_c0_g1/TRINITY_DN16199_c0_g1/TRINITY_DN16532_c0_g1/TRINITY_DN17659_c0_g1	64	interaction_vs_self	significant	down	CC	TRUE
GO:1990204	oxidoreductase complex	25/717	43/2946	0.581395348837209	2.38882942492945	5.20243679106628	1.92461712233527e-06	8.96871579008235e-05	8.2049466794293e-05	TRINITY_DN123_c0_g1/TRINITY_DN160_c0_g1/TRINITY_DN345_c0_g2/TRINITY_DN395_c0_g1/TRINITY_DN1092_c0_g1/TRINITY_DN1561_c0_g1/TRINITY_DN1613_c0_g1/TRINITY_DN1880_c0_g1/TRINITY_DN1961_c0_g1/TRINITY_DN2275_c0_g1/TRINITY_DN2290_c0_g1/TRINITY_DN2936_c0_g1/TRINITY_DN3101_c0_g1/TRINITY_DN3116_c0_g1/TRINITY_DN3756_c0_g1/TRINITY_DN3823_c0_g1/TRINITY_DN4048_c0_g1/TRINITY_DN4118_c0_g1/TRINITY_DN4691_c0_g1/TRINITY_DN8475_c0_g1/TRINITY_DN8810_c0_g1/TRINITY_DN9609_c0_g1/TRINITY_DN14161_c0_g1/TRINITY_DN16577_c0_g1/TRINITY_DN18445_c0_g1	25	interaction_vs_self	significant	down	CC	TRUE
