ID	Description	GeneRatio	BgRatio	RichFactor	FoldEnrichment	zScore	pvalue	p.adjust	qvalue	geneID	Count	contrast	gene_set	direction	ontology	significant_padj_0.05
GO:0009628	response to abiotic stimulus	47/438	186/3016	0.252688172043011	1.73997152256101	4.29355981692962	4.64551199155149e-05	0.104431109570077	0.100832060279781	TRINITY_DN36_c0_g1/TRINITY_DN45_c0_g1/TRINITY_DN66_c0_g1/TRINITY_DN137_c0_g1/TRINITY_DN298_c0_g1/TRINITY_DN398_c0_g1/TRINITY_DN763_c0_g1/TRINITY_DN771_c0_g1/TRINITY_DN804_c0_g1/TRINITY_DN821_c0_g1/TRINITY_DN861_c0_g1/TRINITY_DN894_c0_g1/TRINITY_DN1037_c0_g1/TRINITY_DN1250_c0_g2/TRINITY_DN1432_c0_g1/TRINITY_DN1487_c0_g1/TRINITY_DN1614_c0_g1/TRINITY_DN1624_c0_g1/TRINITY_DN1734_c0_g1/TRINITY_DN1797_c0_g1/TRINITY_DN1823_c0_g1/TRINITY_DN1862_c0_g1/TRINITY_DN1955_c0_g1/TRINITY_DN2170_c0_g1/TRINITY_DN2174_c0_g1/TRINITY_DN2648_c0_g2/TRINITY_DN2715_c0_g1/TRINITY_DN2948_c0_g1/TRINITY_DN2998_c0_g1/TRINITY_DN3029_c0_g1/TRINITY_DN3507_c0_g1/TRINITY_DN3614_c0_g1/TRINITY_DN3821_c0_g1/TRINITY_DN4050_c0_g1/TRINITY_DN4564_c0_g1/TRINITY_DN4659_c0_g1/TRINITY_DN4797_c0_g1/TRINITY_DN4891_c0_g1/TRINITY_DN5036_c0_g1/TRINITY_DN6594_c0_g1/TRINITY_DN7014_c0_g1/TRINITY_DN10814_c0_g1/TRINITY_DN12439_c0_g1/TRINITY_DN14554_c0_g1/TRINITY_DN17667_c0_g1/TRINITY_DN17699_c0_g1/TRINITY_DN17761_c0_g1	47	interaction_vs_self	significant	up	BP	FALSE
GO:0009408	response to heat	19/438	55/3016	0.345454545454545	2.37874636778746	4.25290595645404	0.000143734284486356	0.161557335762664	0.155989523479404	TRINITY_DN771_c0_g1/TRINITY_DN894_c0_g1/TRINITY_DN1487_c0_g1/TRINITY_DN1734_c0_g1/TRINITY_DN1797_c0_g1/TRINITY_DN1823_c0_g1/TRINITY_DN1955_c0_g1/TRINITY_DN2174_c0_g1/TRINITY_DN2648_c0_g2/TRINITY_DN2948_c0_g1/TRINITY_DN3029_c0_g1/TRINITY_DN3507_c0_g1/TRINITY_DN3821_c0_g1/TRINITY_DN4050_c0_g1/TRINITY_DN4659_c0_g1/TRINITY_DN4797_c0_g1/TRINITY_DN6594_c0_g1/TRINITY_DN10814_c0_g1/TRINITY_DN17699_c0_g1	19	interaction_vs_self	significant	up	BP	FALSE
GO:0006665	sphingolipid metabolic process	15/438	40/3016	0.375	2.58219178082192	4.15156568220351	0.000259213187470461	0.178452563414065	0.172302484435195	TRINITY_DN1_c0_g2/TRINITY_DN61_c0_g1/TRINITY_DN674_c0_g1/TRINITY_DN763_c0_g1/TRINITY_DN1823_c0_g1/TRINITY_DN1960_c0_g1/TRINITY_DN2630_c0_g1/TRINITY_DN3157_c0_g1/TRINITY_DN4476_c0_g1/TRINITY_DN4891_c0_g1/TRINITY_DN5019_c0_g1/TRINITY_DN6550_c0_g1/TRINITY_DN7184_c0_g1/TRINITY_DN13997_c4_g1/TRINITY_DN17667_c0_g1	15	interaction_vs_self	significant	up	BP	FALSE
GO:0009266	response to temperature stimulus	19/438	58/3016	0.327586206896552	2.25570776255708	3.97963047499465	0.00031753125162645	0.178452563414065	0.172302484435195	TRINITY_DN771_c0_g1/TRINITY_DN894_c0_g1/TRINITY_DN1487_c0_g1/TRINITY_DN1734_c0_g1/TRINITY_DN1797_c0_g1/TRINITY_DN1823_c0_g1/TRINITY_DN1955_c0_g1/TRINITY_DN2174_c0_g1/TRINITY_DN2648_c0_g2/TRINITY_DN2948_c0_g1/TRINITY_DN3029_c0_g1/TRINITY_DN3507_c0_g1/TRINITY_DN3821_c0_g1/TRINITY_DN4050_c0_g1/TRINITY_DN4659_c0_g1/TRINITY_DN4797_c0_g1/TRINITY_DN6594_c0_g1/TRINITY_DN10814_c0_g1/TRINITY_DN17699_c0_g1	19	interaction_vs_self	significant	up	BP	FALSE
GO:0030148	sphingolipid biosynthetic process	12/438	30/3016	0.4	2.75433789954338	3.97986396999392	0.000543469004623963	0.244343664478934	0.235922755270445	TRINITY_DN1_c0_g2/TRINITY_DN61_c0_g1/TRINITY_DN763_c0_g1/TRINITY_DN1823_c0_g1/TRINITY_DN1960_c0_g1/TRINITY_DN3157_c0_g1/TRINITY_DN4476_c0_g1/TRINITY_DN4891_c0_g1/TRINITY_DN6550_c0_g1/TRINITY_DN7184_c0_g1/TRINITY_DN13997_c4_g1/TRINITY_DN17667_c0_g1	12	interaction_vs_self	significant	up	BP	FALSE
GO:0071470	cellular response to osmotic stress	17/438	52/3016	0.326923076923077	2.25114155251142	3.75066501155069	0.000671902897188477	0.251739618813283	0.243063820000463	TRINITY_DN66_c0_g1/TRINITY_DN398_c0_g1/TRINITY_DN821_c0_g1/TRINITY_DN1432_c0_g1/TRINITY_DN1955_c0_g1/TRINITY_DN2174_c0_g1/TRINITY_DN2648_c0_g2/TRINITY_DN2948_c0_g1/TRINITY_DN2998_c0_g1/TRINITY_DN3029_c0_g1/TRINITY_DN3614_c0_g1/TRINITY_DN3821_c0_g1/TRINITY_DN4891_c0_g1/TRINITY_DN6594_c0_g1/TRINITY_DN10814_c0_g1/TRINITY_DN12439_c0_g1/TRINITY_DN17667_c0_g1	17	interaction_vs_self	significant	up	BP	FALSE
GO:0006457	protein folding	24/438	87/3016	0.275862068965517	1.89954337899543	3.50882176926879	0.000966584428542268	0.28353524699005	0.273763663276589	TRINITY_DN771_c0_g1/TRINITY_DN893_c0_g1/TRINITY_DN1250_c0_g2/TRINITY_DN1544_c0_g1/TRINITY_DN1626_c0_g1/TRINITY_DN1777_c0_g1/TRINITY_DN1781_c0_g1/TRINITY_DN1797_c0_g1/TRINITY_DN1839_c0_g1/TRINITY_DN2100_c0_g1/TRINITY_DN2658_c0_g1/TRINITY_DN3507_c0_g1/TRINITY_DN4050_c0_g1/TRINITY_DN4564_c0_g1/TRINITY_DN4797_c0_g1/TRINITY_DN4891_c0_g1/TRINITY_DN4954_c0_g1/TRINITY_DN6594_c0_g1/TRINITY_DN10542_c0_g1/TRINITY_DN10814_c0_g1/TRINITY_DN12439_c0_g1/TRINITY_DN14186_c0_g1/TRINITY_DN16210_c0_g1/TRINITY_DN17667_c0_g1	24	interaction_vs_self	significant	up	BP	FALSE
GO:0042026	protein refolding	7/438	13/3016	0.538461538461538	3.70776255707763	4.03221652893357	0.00100902223128132	0.28353524699005	0.273763663276589	TRINITY_DN771_c0_g1/TRINITY_DN1839_c0_g1/TRINITY_DN4050_c0_g1/TRINITY_DN4797_c0_g1/TRINITY_DN6594_c0_g1/TRINITY_DN10814_c0_g1/TRINITY_DN12439_c0_g1	7	interaction_vs_self	significant	up	BP	FALSE
GO:0006643	membrane lipid metabolic process	20/438	69/3016	0.289855072463768	1.99589702865462	3.44896010691466	0.00130660749147905	0.306742317540523	0.296170939674358	TRINITY_DN1_c0_g2/TRINITY_DN61_c0_g1/TRINITY_DN173_c0_g1/TRINITY_DN600_c0_g1/TRINITY_DN674_c0_g1/TRINITY_DN763_c0_g1/TRINITY_DN1823_c0_g1/TRINITY_DN1960_c0_g1/TRINITY_DN2630_c0_g1/TRINITY_DN2754_c0_g1/TRINITY_DN3070_c0_g1/TRINITY_DN3157_c0_g1/TRINITY_DN4235_c0_g1/TRINITY_DN4476_c0_g1/TRINITY_DN4891_c0_g1/TRINITY_DN5019_c0_g1/TRINITY_DN6550_c0_g1/TRINITY_DN7184_c0_g1/TRINITY_DN13997_c4_g1/TRINITY_DN17667_c0_g1	20	interaction_vs_self	significant	up	BP	FALSE
GO:0006970	response to osmotic stress	22/438	79/3016	0.278481012658228	1.91757701866944	3.40598991106956	0.00136451208870339	0.306742317540523	0.296170939674358	TRINITY_DN36_c0_g1/TRINITY_DN66_c0_g1/TRINITY_DN398_c0_g1/TRINITY_DN821_c0_g1/TRINITY_DN1432_c0_g1/TRINITY_DN1624_c0_g1/TRINITY_DN1955_c0_g1/TRINITY_DN2170_c0_g1/TRINITY_DN2174_c0_g1/TRINITY_DN2648_c0_g2/TRINITY_DN2948_c0_g1/TRINITY_DN2998_c0_g1/TRINITY_DN3029_c0_g1/TRINITY_DN3614_c0_g1/TRINITY_DN3821_c0_g1/TRINITY_DN4659_c0_g1/TRINITY_DN4797_c0_g1/TRINITY_DN4891_c0_g1/TRINITY_DN6594_c0_g1/TRINITY_DN10814_c0_g1/TRINITY_DN12439_c0_g1/TRINITY_DN17667_c0_g1	22	interaction_vs_self	significant	up	BP	FALSE
