ID	Description	GeneRatio	BgRatio	RichFactor	FoldEnrichment	zScore	pvalue	p.adjust	qvalue	geneID	Count	contrast	gene_set	direction	ontology	significant_padj_0.05
GO:0005886	plasma membrane	76/422	370/2946	0.205405405405405	1.43394389650314	3.64935167477906	0.000299134885060881	0.119055684254231	0.119055684254231	TRINITY_DN22_c0_g1/TRINITY_DN137_c0_g1/TRINITY_DN156_c0_g1/TRINITY_DN172_c0_g1/TRINITY_DN273_c0_g1/TRINITY_DN278_c0_g1/TRINITY_DN298_c0_g1/TRINITY_DN326_c0_g1/TRINITY_DN566_c0_g1/TRINITY_DN600_c0_g1/TRINITY_DN661_c0_g1/TRINITY_DN674_c0_g1/TRINITY_DN762_c0_g1/TRINITY_DN763_c0_g1/TRINITY_DN785_c0_g1/TRINITY_DN802_c0_g1/TRINITY_DN804_c1_g1/TRINITY_DN831_c0_g1/TRINITY_DN1168_c0_g1/TRINITY_DN1250_c0_g2/TRINITY_DN1270_c0_g6/TRINITY_DN1439_c0_g1/TRINITY_DN1487_c0_g1/TRINITY_DN1533_c0_g1/TRINITY_DN1583_c0_g1/TRINITY_DN1674_c0_g1/TRINITY_DN1823_c0_g1/TRINITY_DN2038_c0_g1/TRINITY_DN2167_c0_g1/TRINITY_DN2170_c0_g1/TRINITY_DN2225_c0_g1/TRINITY_DN2348_c0_g1/TRINITY_DN2378_c0_g1/TRINITY_DN2389_c0_g1/TRINITY_DN2403_c0_g1/TRINITY_DN2415_c6_g1/TRINITY_DN2596_c0_g1/TRINITY_DN2648_c0_g2/TRINITY_DN2713_c0_g1/TRINITY_DN2757_c0_g1/TRINITY_DN2770_c0_g1/TRINITY_DN2828_c0_g1/TRINITY_DN2892_c0_g1/TRINITY_DN2937_c0_g1/TRINITY_DN2998_c0_g1/TRINITY_DN3296_c0_g1/TRINITY_DN3365_c0_g1/TRINITY_DN3550_c0_g1/TRINITY_DN3624_c0_g1/TRINITY_DN4137_c0_g1/TRINITY_DN4141_c0_g1/TRINITY_DN4249_c0_g1/TRINITY_DN4540_c0_g1/TRINITY_DN4564_c0_g1/TRINITY_DN4659_c0_g1/TRINITY_DN4679_c0_g1/TRINITY_DN4769_c0_g1/TRINITY_DN4797_c0_g1/TRINITY_DN4891_c0_g1/TRINITY_DN5036_c0_g1/TRINITY_DN5677_c0_g1/TRINITY_DN6594_c0_g1/TRINITY_DN8899_c0_g1/TRINITY_DN10545_c0_g1/TRINITY_DN10660_c0_g1/TRINITY_DN10825_c0_g1/TRINITY_DN10883_c0_g1/TRINITY_DN12439_c0_g1/TRINITY_DN12577_c0_g1/TRINITY_DN14554_c0_g1/TRINITY_DN15935_c0_g1/TRINITY_DN17603_c0_g1/TRINITY_DN17667_c0_g1/TRINITY_DN17701_c0_g1/TRINITY_DN17761_c0_g1/TRINITY_DN18363_c0_g1	76	interaction_vs_self	significant	up	CC	FALSE
GO:0016591	RNA polymerase II, holoenzyme	14/422	53/2946	0.264150943396226	1.84404900295091	2.53504445103649	0.0142529272185289	0.970395216991924	0.970395216991924	TRINITY_DN34_c0_g1/TRINITY_DN39_c0_g1/TRINITY_DN208_c0_g1/TRINITY_DN519_c0_g1/TRINITY_DN719_c0_g1/TRINITY_DN1107_c0_g1/TRINITY_DN1270_c0_g5/TRINITY_DN1619_c0_g1/TRINITY_DN1881_c0_g1/TRINITY_DN2956_c0_g1/TRINITY_DN3891_c0_g1/TRINITY_DN4716_c0_g1/TRINITY_DN11142_c0_g1/TRINITY_DN16074_c0_g1	14	interaction_vs_self	significant	up	CC	FALSE
GO:0005933	cellular bud	33/422	161/2946	0.204968944099379	1.43089694150893	2.29894165548019	0.0175619336632721	0.970395216991924	0.970395216991924	TRINITY_DN0_c0_g2/TRINITY_DN137_c0_g1/TRINITY_DN278_c0_g1/TRINITY_DN298_c0_g1/TRINITY_DN386_c0_g1/TRINITY_DN424_c0_g1/TRINITY_DN483_c0_g1/TRINITY_DN577_c0_g1/TRINITY_DN600_c0_g1/TRINITY_DN661_c0_g1/TRINITY_DN674_c0_g1/TRINITY_DN763_c0_g1/TRINITY_DN785_c0_g1/TRINITY_DN804_c1_g1/TRINITY_DN831_c0_g1/TRINITY_DN963_c0_g1/TRINITY_DN1037_c0_g1/TRINITY_DN1711_c0_g1/TRINITY_DN2167_c0_g1/TRINITY_DN2170_c0_g1/TRINITY_DN2389_c0_g1/TRINITY_DN2648_c0_g2/TRINITY_DN2828_c0_g1/TRINITY_DN2948_c0_g1/TRINITY_DN3891_c0_g1/TRINITY_DN4137_c0_g1/TRINITY_DN4540_c0_g1/TRINITY_DN4659_c0_g1/TRINITY_DN4891_c0_g1/TRINITY_DN5011_c0_g1/TRINITY_DN16210_c0_g1/TRINITY_DN17667_c0_g1/TRINITY_DN17701_c0_g1	33	interaction_vs_self	significant	up	CC	FALSE
GO:0090575	RNA polymerase II transcription regulator complex	13/422	50/2946	0.26	1.81507109004739	2.37648683333843	0.0203800777088057	0.970395216991924	0.970395216991924	TRINITY_DN208_c0_g1/TRINITY_DN519_c0_g1/TRINITY_DN719_c0_g1/TRINITY_DN896_c0_g1/TRINITY_DN1270_c0_g5/TRINITY_DN1619_c0_g1/TRINITY_DN1881_c0_g1/TRINITY_DN1955_c0_g1/TRINITY_DN2100_c0_g1/TRINITY_DN2174_c0_g1/TRINITY_DN2956_c0_g1/TRINITY_DN3891_c0_g1/TRINITY_DN16074_c0_g1	13	interaction_vs_self	significant	up	CC	FALSE
GO:0005783	endoplasmic reticulum	77/422	437/2946	0.176201372997712	1.2300693005954	2.13060655990097	0.0216288564225392	0.970395216991924	0.970395216991924	TRINITY_DN1_c0_g2/TRINITY_DN22_c0_g1/TRINITY_DN36_c0_g1/TRINITY_DN61_c0_g1/TRINITY_DN136_c0_g1/TRINITY_DN173_c0_g1/TRINITY_DN273_c0_g1/TRINITY_DN278_c0_g1/TRINITY_DN442_c0_g1/TRINITY_DN483_c0_g1/TRINITY_DN511_c0_g1/TRINITY_DN600_c0_g1/TRINITY_DN661_c0_g1/TRINITY_DN763_c0_g1/TRINITY_DN772_c0_g2/TRINITY_DN804_c0_g1/TRINITY_DN804_c1_g1/TRINITY_DN831_c0_g1/TRINITY_DN894_c0_g1/TRINITY_DN1098_c0_g1/TRINITY_DN1250_c0_g2/TRINITY_DN1439_c0_g1/TRINITY_DN1533_c0_g1/TRINITY_DN1626_c0_g1/TRINITY_DN1777_c0_g1/TRINITY_DN1781_c0_g1/TRINITY_DN1797_c0_g1/TRINITY_DN1823_c0_g1/TRINITY_DN1936_c0_g1/TRINITY_DN1960_c0_g1/TRINITY_DN1993_c0_g1/TRINITY_DN2378_c0_g1/TRINITY_DN2389_c0_g1/TRINITY_DN2468_c0_g1/TRINITY_DN2503_c0_g1/TRINITY_DN2630_c0_g1/TRINITY_DN2648_c0_g2/TRINITY_DN2713_c0_g1/TRINITY_DN2754_c0_g1/TRINITY_DN2937_c0_g1/TRINITY_DN3507_c0_g1/TRINITY_DN3624_c0_g1/TRINITY_DN4058_c0_g1/TRINITY_DN4235_c0_g1/TRINITY_DN4281_c0_g1/TRINITY_DN4384_c0_g1/TRINITY_DN4476_c0_g1/TRINITY_DN4564_c0_g1/TRINITY_DN4659_c0_g1/TRINITY_DN4660_c0_g1/TRINITY_DN4750_c0_g1/TRINITY_DN4891_c0_g1/TRINITY_DN4954_c0_g1/TRINITY_DN5011_c0_g1/TRINITY_DN5019_c0_g1/TRINITY_DN5036_c0_g1/TRINITY_DN5079_c0_g1/TRINITY_DN5603_c0_g1/TRINITY_DN6550_c0_g1/TRINITY_DN7184_c0_g1/TRINITY_DN9161_c0_g1/TRINITY_DN10545_c0_g1/TRINITY_DN10682_c0_g1/TRINITY_DN10883_c0_g1/TRINITY_DN10909_c0_g1/TRINITY_DN12496_c0_g1/TRINITY_DN12573_c0_g1/TRINITY_DN12577_c0_g1/TRINITY_DN12714_c0_g1/TRINITY_DN13997_c4_g1/TRINITY_DN14141_c0_g1/TRINITY_DN14158_c0_g1/TRINITY_DN14554_c0_g1/TRINITY_DN15935_c0_g1/TRINITY_DN16210_c0_g1/TRINITY_DN17667_c0_g1/TRINITY_DN18162_c0_g1	77	interaction_vs_self	significant	up	CC	FALSE
GO:0002178	palmitoyltransferase complex	3/422	5/2946	0.6	4.18862559241706	2.9173948848776	0.0233295334947232	0.970395216991924	0.970395216991924	TRINITY_DN442_c0_g1/TRINITY_DN763_c0_g1/TRINITY_DN4750_c0_g1	3	interaction_vs_self	significant	up	CC	FALSE
GO:0031211	endoplasmic reticulum palmitoyltransferase complex	3/422	5/2946	0.6	4.18862559241706	2.9173948848776	0.0233295334947232	0.970395216991924	0.970395216991924	TRINITY_DN442_c0_g1/TRINITY_DN763_c0_g1/TRINITY_DN4750_c0_g1	3	interaction_vs_self	significant	up	CC	FALSE
GO:1905961	protein-cysteine S-palmitoyltransferase complex	3/422	5/2946	0.6	4.18862559241706	2.9173948848776	0.0233295334947232	0.970395216991924	0.970395216991924	TRINITY_DN442_c0_g1/TRINITY_DN763_c0_g1/TRINITY_DN4750_c0_g1	3	interaction_vs_self	significant	up	CC	FALSE
GO:0098827	endoplasmic reticulum subcompartment	42/422	225/2946	0.186666666666667	1.30312796208531	1.93422587034916	0.0363575710561942	0.970395216991924	0.970395216991924	TRINITY_DN36_c0_g1/TRINITY_DN61_c0_g1/TRINITY_DN136_c0_g1/TRINITY_DN173_c0_g1/TRINITY_DN278_c0_g1/TRINITY_DN442_c0_g1/TRINITY_DN511_c0_g1/TRINITY_DN763_c0_g1/TRINITY_DN772_c0_g2/TRINITY_DN804_c0_g1/TRINITY_DN831_c0_g1/TRINITY_DN894_c0_g1/TRINITY_DN1098_c0_g1/TRINITY_DN1626_c0_g1/TRINITY_DN1777_c0_g1/TRINITY_DN1781_c0_g1/TRINITY_DN1797_c0_g1/TRINITY_DN1823_c0_g1/TRINITY_DN1936_c0_g1/TRINITY_DN1960_c0_g1/TRINITY_DN2389_c0_g1/TRINITY_DN2468_c0_g1/TRINITY_DN2630_c0_g1/TRINITY_DN2754_c0_g1/TRINITY_DN4235_c0_g1/TRINITY_DN4281_c0_g1/TRINITY_DN4476_c0_g1/TRINITY_DN4750_c0_g1/TRINITY_DN4954_c0_g1/TRINITY_DN5079_c0_g1/TRINITY_DN5603_c0_g1/TRINITY_DN6550_c0_g1/TRINITY_DN7184_c0_g1/TRINITY_DN10545_c0_g1/TRINITY_DN10682_c0_g1/TRINITY_DN10909_c0_g1/TRINITY_DN12496_c0_g1/TRINITY_DN12573_c0_g1/TRINITY_DN13997_c4_g1/TRINITY_DN14158_c0_g1/TRINITY_DN16210_c0_g1/TRINITY_DN18162_c0_g1	42	interaction_vs_self	significant	up	CC	FALSE
GO:0030446	hyphal cell wall	7/422	23/2946	0.304347826086957	2.12466515557387	2.21374172144811	0.0365855275932848	0.970395216991924	0.970395216991924	TRINITY_DN137_c0_g1/TRINITY_DN674_c0_g1/TRINITY_DN763_c0_g1/TRINITY_DN3365_c0_g1/TRINITY_DN4540_c0_g1/TRINITY_DN4797_c0_g1/TRINITY_DN6594_c0_g1	7	interaction_vs_self	significant	up	CC	FALSE
