ID	Description	GeneRatio	BgRatio	RichFactor	FoldEnrichment	zScore	pvalue	p.adjust	qvalue	geneID	Count	contrast	gene_set	direction	ontology	significant_padj_0.05
GO:0022857	transmembrane transporter activity	54/388	252/2680	0.214285714285714	1.48011782032401	3.29396263105084	0.00109425306933304	0.216708677011579	0.207092089693212	TRINITY_DN48_c0_g1/TRINITY_DN132_c0_g1/TRINITY_DN156_c0_g1/TRINITY_DN273_c0_g1/TRINITY_DN299_c0_g1/TRINITY_DN383_c0_g1/TRINITY_DN387_c0_g1/TRINITY_DN404_c0_g1/TRINITY_DN551_c0_g1/TRINITY_DN579_c0_g1/TRINITY_DN674_c0_g1/TRINITY_DN762_c0_g1/TRINITY_DN802_c0_g1/TRINITY_DN804_c1_g1/TRINITY_DN1234_c0_g1/TRINITY_DN1317_c0_g1/TRINITY_DN1439_c0_g1/TRINITY_DN1485_c0_g1/TRINITY_DN1512_c0_g1/TRINITY_DN1936_c0_g1/TRINITY_DN2234_c0_g1/TRINITY_DN2348_c0_g1/TRINITY_DN2378_c0_g1/TRINITY_DN2403_c0_g1/TRINITY_DN2775_c0_g1/TRINITY_DN2833_c0_g1/TRINITY_DN2892_c0_g1/TRINITY_DN3055_c0_g1/TRINITY_DN3142_c0_g1/TRINITY_DN3296_c0_g1/TRINITY_DN3536_c0_g1/TRINITY_DN3624_c0_g1/TRINITY_DN3821_c0_g1/TRINITY_DN4210_c0_g1/TRINITY_DN4342_c0_g1/TRINITY_DN4384_c0_g1/TRINITY_DN4660_c0_g1/TRINITY_DN4769_c0_g1/TRINITY_DN4891_c0_g1/TRINITY_DN5677_c0_g1/TRINITY_DN6185_c0_g1/TRINITY_DN8899_c0_g1/TRINITY_DN9096_c0_g1/TRINITY_DN9161_c0_g1/TRINITY_DN10660_c0_g1/TRINITY_DN10749_c0_g1/TRINITY_DN10855_c0_g1/TRINITY_DN12577_c0_g1/TRINITY_DN12616_c0_g1/TRINITY_DN14671_c0_g1/TRINITY_DN15851_c0_g1/TRINITY_DN17667_c0_g1/TRINITY_DN17701_c0_g1/TRINITY_DN18363_c0_g1	54	interaction_vs_self	significant	up	MF	FALSE
GO:0043565	sequence-specific DNA binding	37/388	159/2680	0.232704402515723	1.60733968747974	3.24816972337635	0.00151701885265937	0.216708677011579	0.207092089693212	TRINITY_DN1_c0_g1/TRINITY_DN45_c0_g1/TRINITY_DN208_c0_g1/TRINITY_DN511_c0_g1/TRINITY_DN554_c2_g1/TRINITY_DN623_c0_g1/TRINITY_DN674_c0_g1/TRINITY_DN719_c0_g1/TRINITY_DN861_c0_g1/TRINITY_DN896_c0_g1/TRINITY_DN904_c0_g1/TRINITY_DN1008_c0_g1/TRINITY_DN1208_c0_g1/TRINITY_DN1363_c1_g1/TRINITY_DN1445_c0_g1/TRINITY_DN1491_c0_g1/TRINITY_DN1538_c1_g1/TRINITY_DN1680_c0_g1/TRINITY_DN1862_c0_g1/TRINITY_DN1881_c0_g1/TRINITY_DN1955_c0_g1/TRINITY_DN2100_c0_g1/TRINITY_DN2174_c0_g1/TRINITY_DN2956_c0_g1/TRINITY_DN3467_c0_g1/TRINITY_DN3900_c0_g1/TRINITY_DN4278_c0_g1/TRINITY_DN4710_c0_g1/TRINITY_DN5491_c0_g1/TRINITY_DN6381_c0_g1/TRINITY_DN6582_c0_g1/TRINITY_DN8832_c0_g1/TRINITY_DN10686_c1_g1/TRINITY_DN10814_c0_g1/TRINITY_DN15885_c0_g1/TRINITY_DN17598_c0_g1/TRINITY_DN18075_c0_g1	37	interaction_vs_self	significant	up	MF	FALSE
GO:0000977	RNA polymerase II transcription regulatory region sequence-specific DNA binding	18/388	61/2680	0.295081967213115	2.03819503126584	3.37420160206015	0.00171881417474244	0.216708677011579	0.207092089693212	TRINITY_DN208_c0_g1/TRINITY_DN674_c0_g1/TRINITY_DN719_c0_g1/TRINITY_DN861_c0_g1/TRINITY_DN896_c0_g1/TRINITY_DN1008_c0_g1/TRINITY_DN1208_c0_g1/TRINITY_DN1363_c1_g1/TRINITY_DN1491_c0_g1/TRINITY_DN1538_c1_g1/TRINITY_DN1680_c0_g1/TRINITY_DN1881_c0_g1/TRINITY_DN1955_c0_g1/TRINITY_DN2174_c0_g1/TRINITY_DN4278_c0_g1/TRINITY_DN5491_c0_g1/TRINITY_DN6381_c0_g1/TRINITY_DN17598_c0_g1	18	interaction_vs_self	significant	up	MF	FALSE
GO:0001067	transcription regulatory region nucleic acid binding	24/388	94/2680	0.25531914893617	1.76354463698179	3.10012360951647	0.00287676416113157	0.216708677011579	0.207092089693212	TRINITY_DN208_c0_g1/TRINITY_DN623_c0_g1/TRINITY_DN674_c0_g1/TRINITY_DN719_c0_g1/TRINITY_DN807_c0_g1/TRINITY_DN861_c0_g1/TRINITY_DN896_c0_g1/TRINITY_DN1008_c0_g1/TRINITY_DN1208_c0_g1/TRINITY_DN1363_c1_g1/TRINITY_DN1445_c0_g1/TRINITY_DN1491_c0_g1/TRINITY_DN1538_c1_g1/TRINITY_DN1680_c0_g1/TRINITY_DN1862_c0_g1/TRINITY_DN1881_c0_g1/TRINITY_DN1955_c0_g1/TRINITY_DN2174_c0_g1/TRINITY_DN3231_c0_g1/TRINITY_DN4278_c0_g1/TRINITY_DN5491_c0_g1/TRINITY_DN6381_c0_g1/TRINITY_DN17598_c0_g1/TRINITY_DN18075_c0_g1	24	interaction_vs_self	significant	up	MF	FALSE
GO:0003700	DNA-binding transcription factor activity	24/388	95/2680	0.252631578947368	1.74498100922409	3.04138671023501	0.00334416667496854	0.216708677011579	0.207092089693212	TRINITY_DN1_c0_g1/TRINITY_DN45_c0_g1/TRINITY_DN208_c0_g1/TRINITY_DN511_c0_g1/TRINITY_DN554_c2_g1/TRINITY_DN674_c0_g1/TRINITY_DN861_c0_g1/TRINITY_DN896_c0_g1/TRINITY_DN1008_c0_g1/TRINITY_DN1172_c0_g1/TRINITY_DN1208_c0_g1/TRINITY_DN1363_c1_g1/TRINITY_DN1445_c0_g1/TRINITY_DN1491_c0_g1/TRINITY_DN1538_c1_g1/TRINITY_DN1680_c0_g1/TRINITY_DN1862_c0_g1/TRINITY_DN1955_c0_g1/TRINITY_DN2100_c0_g1/TRINITY_DN2174_c0_g1/TRINITY_DN5491_c0_g1/TRINITY_DN6381_c0_g1/TRINITY_DN17598_c0_g1/TRINITY_DN18075_c0_g1	24	interaction_vs_self	significant	up	MF	FALSE
GO:0000978	RNA polymerase II cis-regulatory region sequence-specific DNA binding	15/388	50/2680	0.3	2.07216494845361	3.14820965080363	0.00344739688055457	0.216708677011579	0.207092089693212	TRINITY_DN719_c0_g1/TRINITY_DN861_c0_g1/TRINITY_DN896_c0_g1/TRINITY_DN1008_c0_g1/TRINITY_DN1208_c0_g1/TRINITY_DN1363_c1_g1/TRINITY_DN1491_c0_g1/TRINITY_DN1538_c1_g1/TRINITY_DN1680_c0_g1/TRINITY_DN1955_c0_g1/TRINITY_DN2174_c0_g1/TRINITY_DN4278_c0_g1/TRINITY_DN5491_c0_g1/TRINITY_DN6381_c0_g1/TRINITY_DN17598_c0_g1	15	interaction_vs_self	significant	up	MF	FALSE
GO:0000987	cis-regulatory region sequence-specific DNA binding	15/388	51/2680	0.294117647058824	2.03153426318981	3.05962616285713	0.00425345716817284	0.216708677011579	0.207092089693212	TRINITY_DN719_c0_g1/TRINITY_DN861_c0_g1/TRINITY_DN896_c0_g1/TRINITY_DN1008_c0_g1/TRINITY_DN1208_c0_g1/TRINITY_DN1363_c1_g1/TRINITY_DN1491_c0_g1/TRINITY_DN1538_c1_g1/TRINITY_DN1680_c0_g1/TRINITY_DN1955_c0_g1/TRINITY_DN2174_c0_g1/TRINITY_DN4278_c0_g1/TRINITY_DN5491_c0_g1/TRINITY_DN6381_c0_g1/TRINITY_DN17598_c0_g1	15	interaction_vs_self	significant	up	MF	FALSE
GO:0001227	DNA-binding transcription repressor activity, RNA polymerase II-specific	7/388	16/2680	0.4375	3.02190721649485	3.33694475220756	0.00443628745838669	0.216708677011579	0.207092089693212	TRINITY_DN45_c0_g1/TRINITY_DN674_c0_g1/TRINITY_DN861_c0_g1/TRINITY_DN1491_c0_g1/TRINITY_DN1538_c1_g1/TRINITY_DN1680_c0_g1/TRINITY_DN2174_c0_g1	7	interaction_vs_self	significant	up	MF	FALSE
GO:0000976	transcription cis-regulatory region binding	18/388	66/2680	0.272727272727273	1.88378631677601	2.99062088867184	0.00446771234776861	0.216708677011579	0.207092089693212	TRINITY_DN208_c0_g1/TRINITY_DN674_c0_g1/TRINITY_DN719_c0_g1/TRINITY_DN861_c0_g1/TRINITY_DN896_c0_g1/TRINITY_DN1008_c0_g1/TRINITY_DN1208_c0_g1/TRINITY_DN1363_c1_g1/TRINITY_DN1491_c0_g1/TRINITY_DN1538_c1_g1/TRINITY_DN1680_c0_g1/TRINITY_DN1881_c0_g1/TRINITY_DN1955_c0_g1/TRINITY_DN2174_c0_g1/TRINITY_DN4278_c0_g1/TRINITY_DN5491_c0_g1/TRINITY_DN6381_c0_g1/TRINITY_DN17598_c0_g1	18	interaction_vs_self	significant	up	MF	FALSE
GO:0005215	transporter activity	58/388	292/2680	0.198630136986301	1.37198135856517	2.77006751125362	0.00470942163576504	0.216708677011579	0.207092089693212	TRINITY_DN48_c0_g1/TRINITY_DN132_c0_g1/TRINITY_DN156_c0_g1/TRINITY_DN273_c0_g1/TRINITY_DN299_c0_g1/TRINITY_DN383_c0_g1/TRINITY_DN387_c0_g1/TRINITY_DN404_c0_g1/TRINITY_DN551_c0_g1/TRINITY_DN579_c0_g1/TRINITY_DN674_c0_g1/TRINITY_DN762_c0_g1/TRINITY_DN802_c0_g1/TRINITY_DN804_c1_g1/TRINITY_DN894_c0_g1/TRINITY_DN1234_c0_g1/TRINITY_DN1317_c0_g1/TRINITY_DN1439_c0_g1/TRINITY_DN1485_c0_g1/TRINITY_DN1512_c0_g1/TRINITY_DN1533_c0_g1/TRINITY_DN1936_c0_g1/TRINITY_DN2234_c0_g1/TRINITY_DN2348_c0_g1/TRINITY_DN2378_c0_g1/TRINITY_DN2403_c0_g1/TRINITY_DN2713_c0_g1/TRINITY_DN2775_c0_g1/TRINITY_DN2833_c0_g1/TRINITY_DN2892_c0_g1/TRINITY_DN3055_c0_g1/TRINITY_DN3142_c0_g1/TRINITY_DN3296_c0_g1/TRINITY_DN3536_c0_g1/TRINITY_DN3624_c0_g1/TRINITY_DN3741_c0_g1/TRINITY_DN3821_c0_g1/TRINITY_DN4210_c0_g1/TRINITY_DN4342_c0_g1/TRINITY_DN4384_c0_g1/TRINITY_DN4660_c0_g1/TRINITY_DN4769_c0_g1/TRINITY_DN4891_c0_g1/TRINITY_DN5677_c0_g1/TRINITY_DN6185_c0_g1/TRINITY_DN8899_c0_g1/TRINITY_DN9096_c0_g1/TRINITY_DN9161_c0_g1/TRINITY_DN10660_c0_g1/TRINITY_DN10749_c0_g1/TRINITY_DN10855_c0_g1/TRINITY_DN12577_c0_g1/TRINITY_DN12616_c0_g1/TRINITY_DN14671_c0_g1/TRINITY_DN15851_c0_g1/TRINITY_DN17667_c0_g1/TRINITY_DN17701_c0_g1/TRINITY_DN18363_c0_g1	58	interaction_vs_self	significant	up	MF	FALSE
GO:0005261	monoatomic cation channel activity	5/388	9/2680	0.555555555555556	3.83734249713631	3.50744594435242	0.00472937949548934	0.216708677011579	0.207092089693212	TRINITY_DN762_c0_g1/TRINITY_DN1234_c0_g1/TRINITY_DN4384_c0_g1/TRINITY_DN4891_c0_g1/TRINITY_DN17667_c0_g1	5	interaction_vs_self	significant	up	MF	FALSE
GO:0004888	transmembrane signaling receptor activity	4/388	6/2680	0.666666666666667	4.60481099656357	3.63640575064005	0.00509902769439009	0.216708677011579	0.207092089693212	TRINITY_DN566_c0_g1/TRINITY_DN2648_c0_g2/TRINITY_DN2998_c0_g1/TRINITY_DN4659_c0_g1	4	interaction_vs_self	significant	up	MF	FALSE
