ID	Description	GeneRatio	BgRatio	RichFactor	FoldEnrichment	zScore	pvalue	p.adjust	qvalue	geneID	Count	contrast	gene_set	direction	ontology	significant_padj_0.05
GO:0004096	catalase activity	1/5	8/2680	0.125	67	8.08128025079649	0.0148475502521412	0.169234323265249	0.138554416708391	TRINITY_DN4740_c0_g1	1	interaction_vs_self	strong	up	MF	FALSE
GO:0020037	heme binding	1/5	11/2680	0.0909090909090909	48.7272727272727	6.85643147207071	0.0203696928665411	0.169234323265249	0.138554416708391	TRINITY_DN4740_c0_g1	1	interaction_vs_self	strong	up	MF	FALSE
GO:0046906	tetrapyrrole binding	1/5	11/2680	0.0909090909090909	48.7272727272727	6.85643147207071	0.0203696928665411	0.169234323265249	0.138554416708391	TRINITY_DN4740_c0_g1	1	interaction_vs_self	strong	up	MF	FALSE
GO:0004601	peroxidase activity	1/5	17/2680	0.0588235294117647	31.5294117647059	5.45841786556915	0.0313396894935646	0.169234323265249	0.138554416708391	TRINITY_DN4740_c0_g1	1	interaction_vs_self	strong	up	MF	FALSE
GO:0016684	oxidoreductase activity, acting on peroxide as acceptor	1/5	17/2680	0.0588235294117647	31.5294117647059	5.45841786556915	0.0313396894935646	0.169234323265249	0.138554416708391	TRINITY_DN4740_c0_g1	1	interaction_vs_self	strong	up	MF	FALSE
GO:0016209	antioxidant activity	1/5	26/2680	0.0384615384615385	20.6153846153846	4.34452708060729	0.0476102135730572	0.214245961078757	0.175406050006	TRINITY_DN4740_c0_g1	1	interaction_vs_self	strong	up	MF	FALSE
GO:0016491	oxidoreductase activity	2/5	269/2680	0.00743494423791822	3.98513011152416	2.23126044190348	0.0818411923436597	0.233462690260355	0.191139044657601	TRINITY_DN4740_c0_g1/TRINITY_DN17980_c0_g1	2	interaction_vs_self	strong	up	MF	FALSE
GO:0000978	RNA polymerase II cis-regulatory region sequence-specific DNA binding	1/5	50/2680	0.02	10.72	2.99904414607859	0.0899318207405362	0.233462690260355	0.191139044657601	TRINITY_DN1008_c0_g1	1	interaction_vs_self	strong	up	MF	FALSE
GO:0000987	cis-regulatory region sequence-specific DNA binding	1/5	51/2680	0.0196078431372549	10.5098039215686	2.96394966015038	0.0916619883817138	0.233462690260355	0.191139044657601	TRINITY_DN1008_c0_g1	1	interaction_vs_self	strong	up	MF	FALSE
GO:0046873	metal ion transmembrane transporter activity	1/5	52/2680	0.0192307692307692	10.3076923076923	2.92981686876593	0.0933895235882909	0.233462690260355	0.191139044657601	TRINITY_DN1317_c0_g1	1	interaction_vs_self	strong	up	MF	FALSE
