pathway	pathway_numeric_id	pathway_name	raw_prefixes_observed
map00010	00010	map00010	ko,map
map00020	00020	map00020	ko,map
map00030	00030	map00030	ko,map
map00040	00040	map00040	ko,map
map00051	00051	map00051	ko,map
map00052	00052	map00052	ko,map
map00053	00053	map00053	ko,map
map00061	00061	map00061	ko,map
map00062	00062	map00062	ko,map
map00071	00071	map00071	ko,map
map00072	00072	map00072	ko,map
map00100	00100	map00100	ko,map
map00120	00120	map00120	ko,map
map00130	00130	map00130	ko,map
map00140	00140	map00140	ko,map
map00190	00190	map00190	ko,map
map00220	00220	map00220	ko,map
map00230	00230	map00230	ko,map
map00232	00232	map00232	ko,map
map00240	00240	map00240	ko,map
map00250	00250	map00250	ko,map
map00254	00254	map00254	ko,map
map00260	00260	map00260	ko,map
map00261	00261	map00261	ko,map
map00270	00270	map00270	ko,map
map00280	00280	map00280	ko,map
map00281	00281	map00281	ko,map
map00290	00290	map00290	ko,map
map00300	00300	map00300	ko,map
map00310	00310	map00310	ko,map
map00311	00311	map00311	ko,map
map00330	00330	map00330	ko,map
map00332	00332	map00332	ko,map
map00333	00333	map00333	ko,map
map00340	00340	map00340	ko,map
map00350	00350	map00350	ko,map
map00360	00360	map00360	ko,map
map00361	00361	map00361	ko,map
map00362	00362	map00362	ko,map
map00364	00364	map00364	ko,map
map00380	00380	map00380	ko,map
map00400	00400	map00400	ko,map
map00401	00401	map00401	ko,map
map00403	00403	map00403	ko,map
map00404	00404	map00404	ko,map
map00405	00405	map00405	ko,map
map00410	00410	map00410	ko,map
map00430	00430	map00430	ko,map
map00440	00440	map00440	ko,map
map00450	00450	map00450	ko,map
map00460	00460	map00460	ko,map
map00472	00472	map00472	ko,map
map00480	00480	map00480	ko,map
map00500	00500	map00500	ko,map
map00510	00510	map00510	ko,map
map00511	00511	map00511	ko,map
map00513	00513	map00513	ko,map
map00514	00514	map00514	ko,map
map00515	00515	map00515	ko,map
map00520	00520	map00520	ko,map
map00521	00521	map00521	ko,map
map00523	00523	map00523	ko,map
map00524	00524	map00524	ko,map
map00525	00525	map00525	ko,map
map00531	00531	map00531	ko,map
map00534	00534	map00534	ko,map
map00561	00561	map00561	ko,map
map00562	00562	map00562	ko,map
map00563	00563	map00563	ko,map
map00564	00564	map00564	ko,map
map00565	00565	map00565	ko,map
map00590	00590	map00590	ko,map
map00591	00591	map00591	ko,map
map00592	00592	map00592	ko,map
map00600	00600	map00600	ko,map
map00603	00603	map00603	ko,map
map00604	00604	map00604	ko,map
map00620	00620	map00620	ko,map
map00621	00621	map00621	ko,map
map00623	00623	map00623	ko,map
map00624	00624	map00624	ko,map
map00625	00625	map00625	ko,map
map00626	00626	map00626	ko,map
map00627	00627	map00627	ko,map
map00630	00630	map00630	ko,map
map00640	00640	map00640	ko,map
map00643	00643	map00643	ko,map
map00650	00650	map00650	ko,map
map00660	00660	map00660	ko,map
map00670	00670	map00670	ko,map
map00680	00680	map00680	ko,map
map00710	00710	map00710	ko,map
map00720	00720	map00720	ko,map
map00730	00730	map00730	ko,map
map00740	00740	map00740	ko,map
map00750	00750	map00750	ko,map
map00760	00760	map00760	ko,map
map00770	00770	map00770	ko,map
map00780	00780	map00780	ko,map
map00785	00785	map00785	ko,map
map00790	00790	map00790	ko,map
map00791	00791	map00791	ko,map
map00830	00830	map00830	ko,map
map00860	00860	map00860	ko,map
map00900	00900	map00900	ko,map
map00901	00901	map00901	ko,map
map00903	00903	map00903	ko,map
map00904	00904	map00904	ko,map
map00906	00906	map00906	ko,map
map00908	00908	map00908	ko,map
map00909	00909	map00909	ko,map
map00910	00910	map00910	ko,map
map00920	00920	map00920	ko,map
map00930	00930	map00930	ko,map
map00940	00940	map00940	ko,map
map00941	00941	map00941	ko,map
map00945	00945	map00945	ko,map
map00950	00950	map00950	ko,map
map00960	00960	map00960	ko,map
map00965	00965	map00965	ko,map
map00970	00970	map00970	ko,map
map00980	00980	map00980	ko,map
map00981	00981	map00981	ko,map
map00982	00982	map00982	ko,map
map00983	00983	map00983	ko,map
map01040	01040	map01040	ko,map
map01051	01051	map01051	ko,map
map01055	01055	map01055	ko,map
map01100	01100	map01100	ko,map
map01110	01110	map01110	ko,map
map01120	01120	map01120	ko,map
map01130	01130	map01130	ko,map
map01200	01200	map01200	ko,map
map01210	01210	map01210	ko,map
map01212	01212	map01212	ko,map
map01220	01220	map01220	ko,map
map01230	01230	map01230	ko,map
map01501	01501	map01501	ko,map
map01521	01521	map01521	ko,map
map01522	01522	map01522	ko,map
map01523	01523	map01523	ko,map
map01524	01524	map01524	ko,map
map02010	02010	map02010	ko,map
map02020	02020	map02020	ko,map
map02024	02024	map02024	ko,map
map02025	02025	map02025	ko,map
map02026	02026	map02026	ko,map
map03008	03008	map03008	ko,map
map03010	03010	map03010	ko,map
map03013	03013	map03013	ko,map
map03015	03015	map03015	ko,map
map03018	03018	map03018	ko,map
map03020	03020	map03020	ko,map
map03022	03022	map03022	ko,map
map03030	03030	map03030	ko,map
