raw_pathway	canonical_pathway	occurrences_in_protein_table
ko00010	map00010	182
map00010	map00010	182
ko00020	map00020	122
map00020	map00020	122
ko00030	map00030	114
map00030	map00030	114
ko00040	map00040	108
map00040	map00040	108
ko00051	map00051	114
map00051	map00051	114
ko00052	map00052	95
map00052	map00052	95
ko00053	map00053	42
map00053	map00053	42
ko00061	map00061	34
map00061	map00061	34
ko00062	map00062	22
map00062	map00062	22
ko00071	map00071	120
map00071	map00071	120
ko00072	map00072	17
map00072	map00072	17
ko00100	map00100	86
map00100	map00100	86
ko00120	map00120	10
map00120	map00120	10
ko00130	map00130	34
map00130	map00130	34
ko00140	map00140	21
map00140	map00140	21
ko00190	map00190	222
map00190	map00190	222
ko00220	map00220	92
map00220	map00220	92
ko00230	map00230	399
map00230	map00230	399
ko00232	map00232	3
map00232	map00232	3
ko00240	map00240	266
map00240	map00240	266
ko00250	map00250	190
map00250	map00250	190
ko00254	map00254	21
map00254	map00254	21
ko00260	map00260	188
map00260	map00260	188
ko00261	map00261	10
map00261	map00261	10
ko00270	map00270	171
map00270	map00270	171
ko00280	map00280	132
map00280	map00280	132
ko00281	map00281	2
map00281	map00281	2
ko00290	map00290	49
map00290	map00290	49
ko00300	map00300	44
map00300	map00300	44
ko00310	map00310	161
map00310	map00310	161
ko00311	map00311	13
map00311	map00311	13
ko00330	map00330	206
map00330	map00330	206
ko00332	map00332	7
map00332	map00332	7
ko00333	map00333	18
map00333	map00333	18
ko00340	map00340	99
map00340	map00340	99
ko00350	map00350	169
map00350	map00350	169
ko00360	map00360	172
map00360	map00360	172
ko00361	map00361	23
map00361	map00361	23
ko00362	map00362	44
map00362	map00362	44
ko00364	map00364	15
map00364	map00364	15
ko00380	map00380	225
map00380	map00380	225
ko00400	map00400	81
map00400	map00400	81
ko00401	map00401	10
map00401	map00401	10
ko00403	map00403	6
map00403	map00403	6
ko00404	map00404	19
map00404	map00404	19
ko00405	map00405	1
map00405	map00405	1
ko00410	map00410	97
map00410	map00410	97
ko00430	map00430	46
map00430	map00430	46
ko00440	map00440	22
map00440	map00440	22
ko00450	map00450	33
map00450	map00450	33
ko00460	map00460	96
map00460	map00460	96
ko00472	map00472	8
map00472	map00472	8
ko00480	map00480	111
map00480	map00480	111
ko00500	map00500	216
map00500	map00500	216
ko00510	map00510	123
map00510	map00510	123
ko00511	map00511	33
map00511	map00511	33
ko00513	map00513	113
map00513	map00513	113
ko00514	map00514	11
map00514	map00514	11
ko00515	map00515	4
map00515	map00515	4
ko00520	map00520	172
map00520	map00520	172
ko00521	map00521	49
map00521	map00521	49
ko00523	map00523	8
map00523	map00523	8
ko00524	map00524	13
map00524	map00524	13
ko00525	map00525	4
map00525	map00525	4
ko00531	map00531	8
map00531	map00531	8
ko00534	map00534	8
map00534	map00534	8
ko00561	map00561	121
map00561	map00561	121
ko00562	map00562	97
map00562	map00562	97
ko00563	map00563	71
map00563	map00563	71
ko00564	map00564	155
map00564	map00564	155
ko00565	map00565	53
map00565	map00565	53
ko00590	map00590	28
map00590	map00590	28
ko00591	map00591	21
map00591	map00591	21
ko00592	map00592	35
map00592	map00592	35
ko00600	map00600	76
map00600	map00600	76
ko00603	map00603	14
map00603	map00603	14
ko00604	map00604	5
map00604	map00604	5
ko00620	map00620	201
map00620	map00620	201
ko00621	map00621	29
map00621	map00621	29
ko00623	map00623	22
map00623	map00623	22
ko00624	map00624	29
map00624	map00624	29
ko00625	map00625	64
map00625	map00625	64
ko00626	map00626	58
map00626	map00626	58
ko00627	map00627	124
map00627	map00627	124
ko00630	map00630	142
map00630	map00630	142
ko00640	map00640	107
map00640	map00640	107
ko00643	map00643	98
map00643	map00643	98
ko00650	map00650	74
map00650	map00650	74
ko00660	map00660	10
map00660	map00660	10
ko00670	map00670	46
map00670	map00670	46
ko00680	map00680	111
map00680	map00680	111
ko00710	map00710	123
map00710	map00710	123
ko00720	map00720	76
map00720	map00720	76
ko00730	map00730	57
map00730	map00730	57
ko00740	map00740	33
map00740	map00740	33
ko00750	map00750	25
map00750	map00750	25
ko00760	map00760	70
map00760	map00760	70
ko00770	map00770	71
map00770	map00770	71
ko00780	map00780	47
map00780	map00780	47
ko00785	map00785	6
map00785	map00785	6
ko00790	map00790	93
map00790	map00790	93
ko00791	map00791	15
map00791	map00791	15
ko00830	map00830	35
map00830	map00830	35
ko00860	map00860	56
map00860	map00860	56
ko00900	map00900	74
map00900	map00900	74
ko00901	map00901	2
map00901	map00901	2
ko00903	map00903	25
map00903	map00903	25
ko00904	map00904	2
map00904	map00904	2
ko00906	map00906	9
map00906	map00906	9
ko00908	map00908	5
map00908	map00908	5
ko00909	map00909	5
map00909	map00909	5
ko00910	map00910	63
map00910	map00910	63
ko00920	map00920	54
map00920	map00920	54
ko00930	map00930	33
map00930	map00930	33
ko00940	map00940	70
map00940	map00940	70
ko00941	map00941	2
map00941	map00941	2
ko00945	map00945	2
map00945	map00945	2
ko00950	map00950	70
map00950	map00950	70
ko00960	map00960	45
map00960	map00960	45
ko00965	map00965	43
map00965	map00965	43
ko00970	map00970	128
map00970	map00970	128
ko00980	map00980	115
map00980	map00980	115
ko00981	map00981	25
map00981	map00981	25
ko00982	map00982	108
map00982	map00982	108
ko00983	map00983	113
map00983	map00983	113
ko01040	map01040	46
map01040	map01040	46
ko01051	map01051	2
map01051	map01051	2
ko01055	map01055	4
map01055	map01055	4
ko01100	map01100	3249
map01100	map01100	3249
ko01110	map01110	1340
map01110	map01110	1340
ko01120	map01120	963
map01120	map01120	963
ko01130	map01130	992
map01130	map01130	992
ko01200	map01200	450
map01200	map01200	450
ko01210	map01210	132
map01210	map01210	132
ko01212	map01212	92
map01212	map01212	92
ko01220	map01220	102
map01220	map01220	102
ko01230	map01230	447
map01230	map01230	447
ko01501	map01501	3
map01501	map01501	3
ko01521	map01521	43
map01521	map01521	43
ko01522	map01522	34
map01522	map01522	34
ko01523	map01523	36
map01523	map01523	36
ko01524	map01524	111
map01524	map01524	111
ko02010	map02010	78
map02010	map02010	78
ko02020	map02020	77
map02020	map02020	77
ko02024	map02024	34
map02024	map02024	34
ko02025	map02025	7
map02025	map02025	7
ko02026	map02026	7
map02026	map02026	7
ko03008	map03008	186
map03008	map03008	186
ko03010	map03010	292
map03010	map03010	292
ko03013	map03013	298
map03013	map03013	298
ko03015	map03015	192
map03015	map03015	192
ko03018	map03018	185
map03018	map03018	185
ko03020	map03020	96
map03020	map03020	96
ko03022	map03022	103
map03022	map03022	103
ko03030	map03030	91
map03030	map03030	91
ko03040	map03040	318
map03040	map03040	318
ko03050	map03050	102
map03050	map03050	102
ko03060	map03060	39
map03060	map03060	39
ko03070	map03070	8
map03070	map03070	8
ko03320	map03320	59
map03320	map03320	59
ko03410	map03410	90
map03410	map03410	90
ko03420	map03420	110
map03420	map03420	110
ko03430	map03430	68
map03430	map03430	68
ko03440	map03440	73
map03440	map03440	73
ko03450	map03450	34
map03450	map03450	34
ko03460	map03460	79
map03460	map03460	79
ko04010	map04010	94
map04010	map04010	94
ko04011	map04011	263
map04011	map04011	263
ko04012	map04012	38
map04012	map04012	38
ko04013	map04013	69
map04013	map04013	69
ko04014	map04014	117
map04014	map04014	117
ko04015	map04015	84
map04015	map04015	84
ko04016	map04016	35
map04016	map04016	35
ko04020	map04020	42
map04020	map04020	42
ko04022	map04022	72
map04022	map04022	72
ko04024	map04024	96
map04024	map04024	96
ko04062	map04062	106
map04062	map04062	106
ko04064	map04064	19
map04064	map04064	19
ko04066	map04066	60
map04066	map04066	60
ko04068	map04068	88
map04068	map04068	88
ko04070	map04070	77
map04070	map04070	77
ko04071	map04071	131
map04071	map04071	131
ko04072	map04072	87
map04072	map04072	87
ko04075	map04075	1
map04075	map04075	1
ko04080	map04080	5
map04080	map04080	5
ko04110	map04110	130
map04110	map04110	130
ko04111	map04111	254
map04111	map04111	254
ko04112	map04112	15
map04112	map04112	15
ko04113	map04113	193
map04113	map04113	193
ko04114	map04114	104
map04114	map04114	104
ko04115	map04115	21
map04115	map04115	21
ko04120	map04120	185
map04120	map04120	185
ko04122	map04122	33
map04122	map04122	33
ko04130	map04130	45
map04130	map04130	45
ko04136	map04136	64
map04136	map04136	64
ko04137	map04137	39
map04137	map04137	39
ko04138	map04138	223
map04138	map04138	223
ko04139	map04139	111
map04139	map04139	111
ko04140	map04140	129
map04140	map04140	129
ko04141	map04141	250
map04141	map04141	250
ko04142	map04142	138
map04142	map04142	138
ko04144	map04144	258
map04144	map04144	258
ko04145	map04145	123
map04145	map04145	123
ko04146	map04146	226
map04146	map04146	226
ko04150	map04150	142
map04150	map04150	142
ko04151	map04151	105
map04151	map04151	105
ko04152	map04152	113
map04152	map04152	113
ko04210	map04210	59
map04210	map04210	59
ko04211	map04211	89
map04211	map04211	89
ko04212	map04212	74
map04212	map04212	74
ko04213	map04213	102
map04213	map04213	102
ko04214	map04214	58
map04214	map04214	58
ko04215	map04215	3
map04215	map04215	3
ko04216	map04216	46
map04216	map04216	46
ko04217	map04217	98
map04217	map04217	98
ko04218	map04218	111
map04218	map04218	111
ko04260	map04260	42
map04260	map04260	42
ko04261	map04261	57
map04261	map04261	57
ko04270	map04270	46
map04270	map04270	46
ko04310	map04310	72
map04310	map04310	72
ko04320	map04320	26
map04320	map04320	26
ko04330	map04330	16
map04330	map04330	16
ko04340	map04340	16
map04340	map04340	16
ko04341	map04341	28
map04341	map04341	28
ko04350	map04350	42
map04350	map04350	42
ko04360	map04360	75
map04360	map04360	75
ko04370	map04370	73
map04370	map04370	73
ko04371	map04371	61
map04371	map04371	61
ko04380	map04380	27
map04380	map04380	27
ko04390	map04390	50
map04390	map04390	50
ko04391	map04391	40
map04391	map04391	40
ko04392	map04392	20
map04392	map04392	20
ko04510	map04510	102
map04510	map04510	102
ko04520	map04520	64
map04520	map04520	64
ko04530	map04530	135
map04530	map04530	135
ko04540	map04540	59
map04540	map04540	59
ko04550	map04550	26
map04550	map04550	26
ko04611	map04611	82
map04611	map04611	82
ko04612	map04612	35
map04612	map04612	35
ko04614	map04614	6
map04614	map04614	6
ko04620	map04620	19
map04620	map04620	19
ko04621	map04621	69
map04621	map04621	69
ko04622	map04622	21
map04622	map04622	21
ko04623	map04623	56
map04623	map04623	56
ko04624	map04624	25
map04624	map04624	25
ko04626	map04626	18
map04626	map04626	18
ko04630	map04630	24
map04630	map04630	24
ko04650	map04650	50
map04650	map04650	50
ko04657	map04657	31
map04657	map04657	31
ko04658	map04658	15
map04658	map04658	15
ko04659	map04659	18
map04659	map04659	18
ko04660	map04660	71
map04660	map04660	71
ko04662	map04662	45
map04662	map04662	45
ko04664	map04664	59
map04664	map04664	59
ko04666	map04666	101
map04666	map04666	101
ko04668	map04668	37
map04668	map04668	37
ko04670	map04670	69
map04670	map04670	69
ko04710	map04710	31
map04710	map04710	31
ko04711	map04711	3
map04711	map04711	3
ko04712	map04712	6
map04712	map04712	6
ko04713	map04713	25
map04713	map04713	25
ko04714	map04714	286
map04714	map04714	286
ko04720	map04720	54
map04720	map04720	54
ko04721	map04721	66
map04721	map04721	66
ko04722	map04722	90
map04722	map04722	90
ko04723	map04723	104
map04723	map04723	104
ko04724	map04724	61
map04724	map04724	61
ko04725	map04725	42
map04725	map04725	42
ko04726	map04726	59
map04726	map04726	59
ko04727	map04727	64
map04727	map04727	64
ko04728	map04728	68
map04728	map04728	68
ko04730	map04730	45
map04730	map04730	45
ko04740	map04740	9
map04740	map04740	9
ko04742	map04742	21
map04742	map04742	21
ko04744	map04744	4
map04744	map04744	4
ko04745	map04745	19
map04745	map04745	19
ko04750	map04750	28
map04750	map04750	28
ko04810	map04810	147
map04810	map04810	147
ko04910	map04910	126
map04910	map04910	126
ko04911	map04911	22
map04911	map04911	22
ko04912	map04912	71
map04912	map04912	71
ko04913	map04913	23
map04913	map04913	23
ko04914	map04914	76
map04914	map04914	76
ko04915	map04915	54
map04915	map04915	54
ko04916	map04916	62
map04916	map04916	62
ko04917	map04917	35
map04917	map04917	35
ko04918	map04918	30
map04918	map04918	30
ko04919	map04919	94
map04919	map04919	94
ko04920	map04920	27
map04920	map04920	27
ko04921	map04921	129
map04921	map04921	129
ko04922	map04922	67
map04922	map04922	67
ko04923	map04923	22
map04923	map04923	22
ko04924	map04924	20
map04924	map04924	20
ko04925	map04925	36
map04925	map04925	36
ko04926	map04926	52
map04926	map04926	52
ko04927	map04927	12
map04927	map04927	12
ko04930	map04930	26
map04930	map04930	26
ko04931	map04931	67
map04931	map04931	67
ko04932	map04932	138
map04932	map04932	138
ko04933	map04933	45
map04933	map04933	45
ko04934	map04934	46
map04934	map04934	46
ko04940	map04940	10
map04940	map04940	10
ko04960	map04960	40
map04960	map04960	40
ko04961	map04961	31
map04961	map04961	31
ko04962	map04962	51
map04962	map04962	51
ko04964	map04964	21
map04964	map04964	21
ko04966	map04966	35
map04966	map04966	35
ko04970	map04970	18
map04970	map04970	18
ko04971	map04971	24
map04971	map04971	24
ko04972	map04972	53
map04972	map04972	53
ko04973	map04973	21
map04973	map04973	21
ko04974	map04974	14
map04974	map04974	14
ko04975	map04975	15
map04975	map04975	15
ko04976	map04976	78
map04976	map04976	78
ko04977	map04977	2
map04977	map04977	2
ko04978	map04978	30
map04978	map04978	30
ko04979	map04979	30
map04979	map04979	30
ko05010	map05010	182
map05010	map05010	182
ko05012	map05012	174
map05012	map05012	174
ko05014	map05014	52
map05014	map05014	52
ko05016	map05016	251
map05016	map05016	251
ko05020	map05020	22
map05020	map05020	22
ko05030	map05030	24
map05030	map05030	24
ko05031	map05031	37
map05031	map05031	37
ko05032	map05032	17
map05032	map05032	17
ko05033	map05033	2
map05033	map05033	2
ko05034	map05034	91
map05034	map05034	91
ko05100	map05100	89
map05100	map05100	89
ko05110	map05110	70
map05110	map05110	70
ko05120	map05120	55
map05120	map05120	55
ko05130	map05130	87
map05130	map05130	87
ko05131	map05131	88
map05131	map05131	88
ko05132	map05132	100
map05132	map05132	100
ko05133	map05133	40
map05133	map05133	40
ko05134	map05134	33
map05134	map05134	33
ko05140	map05140	20
map05140	map05140	20
ko05142	map05142	24
map05142	map05142	24
ko05143	map05143	12
map05143	map05143	12
ko05145	map05145	30
map05145	map05145	30
ko05146	map05146	26
map05146	map05146	26
ko05152	map05152	87
map05152	map05152	87
ko05160	map05160	70
map05160	map05160	70
ko05161	map05161	48
map05161	map05161	48
ko05162	map05162	28
map05162	map05162	28
ko05164	map05164	87
map05164	map05164	87
ko05165	map05165	130
map05165	map05165	130
ko05166	map05166	182
map05166	map05166	182
ko05167	map05167	66
map05167	map05167	66
ko05168	map05168	102
map05168	map05168	102
ko05169	map05169	207
map05169	map05169	207
ko05200	map05200	171
map05200	map05200	171
ko05202	map05202	63
map05202	map05202	63
ko05203	map05203	183
map05203	map05203	183
ko05204	map05204	88
map05204	map05204	88
ko05205	map05205	119
map05205	map05205	119
ko05206	map05206	117
map05206	map05206	117
ko05210	map05210	63
map05210	map05210	63
ko05211	map05211	66
map05211	map05211	66
ko05212	map05212	39
map05212	map05212	39
ko05213	map05213	45
map05213	map05213	45
ko05214	map05214	38
map05214	map05214	38
ko05215	map05215	52
map05215	map05215	52
ko05216	map05216	23
map05216	map05216	23
ko05217	map05217	5
map05217	map05217	5
ko05218	map05218	25
map05218	map05218	25
ko05219	map05219	20
map05219	map05219	20
ko05220	map05220	29
