ID	Description	GeneRatio	BgRatio	RichFactor	FoldEnrichment	zScore	pvalue	p.adjust	qvalue	geneID	Count	contrast	gene_set	direction	significant_padj_0.05	pathway_numeric_id	pathway_name	raw_prefixes_observed
map00460	map00460	3/11	33/2403	0.0909090909090909	19.8595041322314	7.39631370912412	0.000361492873412749	0.0202436009111139	0.0178843842635781	TRINITY_DN17196_c0_g1/TRINITY_DN2554_c0_g1/TRINITY_DN5016_c0_g1	3	interaction_vs_self	strong	up	TRUE	460	map00460	ko,map
map00500	map00500	3/11	65/2403	0.0461538461538462	10.0825174825175	5.03318535013174	0.00266970425950486	0.074751719266136	0.0660400527351201	TRINITY_DN2554_c0_g1/TRINITY_DN5016_c0_g1/TRINITY_DN6033_c0_g2	3	interaction_vs_self	strong	up	FALSE	500	map00500	ko,map
map00940	map00940	2/11	25/2403	0.08	17.4763636363636	5.61471483712902	0.00539753533590233	0.100753992936843	0.0890119862411963	TRINITY_DN2554_c0_g1/TRINITY_DN5016_c0_g1	2	interaction_vs_self	strong	up	FALSE	940	map00940	ko,map
map04211	map04211	2/11	32/2403	0.0625	13.6534090909091	4.88561249661607	0.00876901239317635	0.122766173504469	0.10845883749455	TRINITY_DN1008_c0_g1/TRINITY_DN4740_c0_g1	2	interaction_vs_self	strong	up	FALSE	4211	map04211	ko,map
map00630	map00630	2/11	50/2403	0.04	8.73818181818182	3.7489981389049	0.0207039152311929	0.182172899762255	0.160942223474173	TRINITY_DN11387_c0_g1/TRINITY_DN4740_c0_g1	2	interaction_vs_self	strong	up	FALSE	630	map00630	ko,map
map04927	map04927	1/11	6/2403	0.166666666666667	36.4090909090909	5.88787581553844	0.0271812305759164	0.182172899762255	0.160942223474173	TRINITY_DN1008_c0_g1	1	interaction_vs_self	strong	up	FALSE	4927	map04927	ko,map
map04668	map04668	1/11	9/2403	0.111111111111111	24.2727272727273	4.74251505578824	0.0405184025961062	0.182172899762255	0.160942223474173	TRINITY_DN1008_c0_g1	1	interaction_vs_self	strong	up	FALSE	4668	map04668	ko,map
map04911	map04911	1/11	9/2403	0.111111111111111	24.2727272727273	4.74251505578824	0.0405184025961062	0.182172899762255	0.160942223474173	TRINITY_DN1008_c0_g1	1	interaction_vs_self	strong	up	FALSE	4911	map04911	ko,map
map05030	map05030	1/11	11/2403	0.0909090909090909	19.8595041322314	4.25058084867002	0.0493172707096289	0.182172899762255	0.160942223474173	TRINITY_DN1008_c0_g1	1	interaction_vs_self	strong	up	FALSE	5030	map05030	ko,map
map04624	map04624	1/11	12/2403	0.0833333333333333	18.2045454545455	4.05085123643002	0.0536891394480045	0.182172899762255	0.160942223474173	TRINITY_DN1008_c0_g1	1	interaction_vs_self	strong	up	FALSE	4624	map04624	ko,map
map04016	map04016	1/11	13/2403	0.0769230769230769	16.8041958041958	3.87389088441305	0.0580427234990596	0.182172899762255	0.160942223474173	TRINITY_DN4740_c0_g1	1	interaction_vs_self	strong	up	FALSE	4016	map04016	ko,map
map04925	map04925	1/11	13/2403	0.0769230769230769	16.8041958041958	3.87389088441305	0.0580427234990596	0.182172899762255	0.160942223474173	TRINITY_DN1008_c0_g1	1	interaction_vs_self	strong	up	FALSE	4925	map04925	ko,map
map04725	map04725	1/11	14/2403	0.0714285714285714	15.6038961038961	3.71558271634371	0.0623780917172647	0.182172899762255	0.160942223474173	TRINITY_DN1008_c0_g1	1	interaction_vs_self	strong	up	FALSE	4725	map04725	ko,map
map04918	map04918	1/11	14/2403	0.0714285714285714	15.6038961038961	3.71558271634371	0.0623780917172647	0.182172899762255	0.160942223474173	TRINITY_DN1008_c0_g1	1	interaction_vs_self	strong	up	FALSE	4918	map04918	ko,map
map05031	map05031	1/11	14/2403	0.0714285714285714	15.6038961038961	3.71558271634371	0.0623780917172647	0.182172899762255	0.160942223474173	TRINITY_DN1008_c0_g1	1	interaction_vs_self	strong	up	FALSE	5031	map05031	ko,map
map05161	map05161	1/11	15/2403	0.0666666666666667	14.5636363636364	3.57278483830616	0.0666953127265194	0.182172899762255	0.160942223474173	TRINITY_DN1008_c0_g1	1	interaction_vs_self	strong	up	FALSE	5161	map05161	ko,map
map05215	map05215	1/11	15/2403	0.0666666666666667	14.5636363636364	3.57278483830616	0.0666953127265194	0.182172899762255	0.160942223474173	TRINITY_DN1008_c0_g1	1	interaction_vs_self	strong	up	FALSE	5215	map05215	ko,map
map04934	map04934	1/11	16/2403	0.0625	13.6534090909091	3.44305204477169	0.0709944549208278	0.182172899762255	0.160942223474173	TRINITY_DN1008_c0_g1	1	interaction_vs_self	strong	up	FALSE	4934	map04934	ko,map
map05014	map05014	1/11	16/2403	0.0625	13.6534090909091	3.44305204477169	0.0709944549208278	0.182172899762255	0.160942223474173	TRINITY_DN4740_c0_g1	1	interaction_vs_self	strong	up	FALSE	5014	map05014	ko,map
map04926	map04926	1/11	18/2403	0.0555555555555556	12.1363636363636	3.21542008959398	0.0795387752951831	0.182172899762255	0.160942223474173	TRINITY_DN1008_c0_g1	1	interaction_vs_self	strong	up	FALSE	4926	map04926	ko,map
map04915	map04915	1/11	19/2403	0.0526315789473684	11.4976076555024	3.11470032744707	0.0837840891198175	0.182172899762255	0.160942223474173	TRINITY_DN1008_c0_g1	1	interaction_vs_self	strong	up	FALSE	4915	map04915	ko,map
map04931	map04931	1/11	19/2403	0.0526315789473684	11.4976076555024	3.11470032744707	0.0837840891198175	0.182172899762255	0.160942223474173	TRINITY_DN1008_c0_g1	1	interaction_vs_self	strong	up	FALSE	4931	map04931	ko,map
map04922	map04922	1/11	20/2403	0.05	10.9227272727273	3.02124738835269	0.0880115954200198	0.182172899762255	0.160942223474173	TRINITY_DN1008_c0_g1	1	interaction_vs_self	strong	up	FALSE	4922	map04922	ko,map
map04962	map04962	1/11	20/2403	0.05	10.9227272727273	3.02124738835269	0.0880115954200198	0.182172899762255	0.160942223474173	TRINITY_DN1008_c0_g1	1	interaction_vs_self	strong	up	FALSE	4962	map04962	ko,map
map04022	map04022	1/11	21/2403	0.0476190476190476	10.4025974025974	2.93419428094639	0.0922213614503931	0.182172899762255	0.160942223474173	TRINITY_DN1008_c0_g1	1	interaction_vs_self	strong	up	FALSE	4022	map04022	ko,map
