gene_id	protein_id
gene_4	1978564
gene_6	1978566
gene_11	1978571
gene_12	1978572
gene_15	1978575
gene_16	1978576
gene_17	1978577
gene_19	1978579
gene_21	1978581
gene_24	1978584
gene_25	1978585
gene_27	1978587
gene_28	1978588
gene_30	1978590
gene_32	1978592
gene_35	1978595
gene_37	1978597
gene_38	1978598
gene_39	1978599
gene_42	1978602
gene_43	1978603
gene_44	1978604
gene_45	1978605
gene_47	1978607
gene_48	1978608
gene_49	1978609
gene_51	1978611
gene_55	1978615
gene_59	1978619
gene_61	1978621
gene_63	1978623
gene_64	1978624
gene_65	1978625
gene_68	1978628
gene_70	1978630
gene_71	1978631
gene_72	1978632
gene_75	1978635
gene_76	1978636
gene_77	1978637
gene_79	1978639
gene_81	1978641
gene_84	1978644
gene_85	1978645
gene_86	1978646
gene_91	1978651
gene_93	1978653
gene_96	1978656
gene_97	1978657
gene_98	1978658
gene_99	1978659
gene_103	1978663
gene_104	1978664
gene_106	1978666
gene_107	1978667
gene_109	1978669
gene_115	1978675
gene_116	1978676
gene_117	1978677
gene_119	1978679
gene_122	1978682
gene_124	1978684
gene_127	1978687
gene_132	1978692
gene_133	1978693
gene_135	1978695
gene_137	1978697
gene_138	1978698
gene_139	1978699
gene_141	1978701
gene_142	1978702
gene_144	1978704
gene_146	1978706
gene_147	1978707
gene_148	1978708
gene_153	1978713
gene_155	1978715
gene_157	1978717
gene_159	1978719
gene_163	1978723
gene_164	1978724
gene_165	1978725
gene_166	1978726
gene_169	1978729
gene_170	1978730
gene_171	1978731
gene_172	1978732
gene_178	1978738
gene_179	1978739
gene_180	1978740
gene_182	1978742
gene_186	1978746
gene_188	1978748
gene_190	1978750
gene_191	1978751
gene_195	1978755
gene_196	1978756
gene_198	1978758
gene_202	1978762
gene_204	1978764
gene_206	1978766
gene_208	1978768
gene_211	1978771
gene_212	1978772
gene_213	1978773
gene_214	1978774
gene_215	1978775
gene_219	1978779
gene_221	1978781
gene_226	1978786
gene_227	1978787
gene_230	1978790
gene_232	1978792
gene_233	1978793
gene_235	1978795
gene_236	1978796
gene_238	1978798
gene_240	1978800
gene_241	1978801
gene_242	1978802
gene_244	1978804
gene_247	1978807
gene_248	1978808
gene_250	1978810
gene_251	1978811
gene_253	1978813
gene_254	1978814
gene_255	1978815
gene_258	1978818
gene_259	1978819
gene_262	1978822
gene_263	1978823
gene_264	1978824
gene_266	1978826
gene_268	1978828
gene_271	1978831
gene_272	1978832
gene_274	1978834
gene_277	1978837
gene_279	1978839
gene_280	1978840
gene_281	1978841
gene_284	1978844
gene_285	1978845
gene_288	1978848
gene_290	1978850
gene_291	1978851
gene_293	1978853
gene_295	1978855
gene_296	1978856
gene_297	1978857
gene_298	1978858
gene_299	1978859
gene_301	1978861
gene_302	1978862
gene_303	1978863
gene_304	1978864
gene_306	1978866
gene_307	1978867
gene_308	1978868
gene_309	1978869
gene_312	1978872
gene_313	1978873
gene_314	1978874
gene_319	1978879
gene_321	1978881
gene_324	1978884
gene_325	1978885
gene_331	1978891
gene_332	1978892
gene_333	1978893
gene_338	1978898
gene_339	1978899
gene_340	1978900
gene_344	1978904
gene_347	1978907
gene_349	1978909
gene_351	1978911
gene_354	1978914
gene_356	1978916
gene_357	1978917
gene_360	1978920
gene_363	1978923
gene_365	1978925
gene_366	1978926
gene_374	1978934
gene_376	1978936
gene_380	1978940
gene_382	1978942
gene_385	1978945
gene_387	1978947
gene_389	1978949
gene_390	1978950
gene_391	1978951
gene_392	1978952
gene_398	1978958
gene_399	1978959
gene_401	1978961
gene_403	1978963
gene_409	1978969
gene_417	1978977
gene_418	1978978
gene_420	1978980
gene_421	1978981
gene_422	1978982
gene_423	1978983
gene_424	1978984
gene_425	1978985
gene_429	1978989
gene_432	1978992
gene_435	1978995
gene_436	1978996
gene_440	1979000
gene_442	1979002
gene_444	1979004
gene_446	1979006
gene_450	1979010
gene_452	1979012
gene_453	1979013
gene_455	1979015
gene_456	1979016
gene_457	1979017
gene_458	1979018
gene_459	1979019
gene_462	1979022
gene_469	1979029
gene_471	1979031
gene_472	1979032
gene_473	1979033
gene_474	1979034
gene_475	1979035
gene_476	1979036
gene_477	1979037
