gene_id	contrast	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	shrunk_log2FoldChange	shrunk_lfcSE
gene_1	interaction_vs_onu	1029.21093673536	-1.58810077798388	0.160523174516111	-9.89328041120001	4.45195418647781e-23	6.916284543784039e-22	-1.5602990948502373	0.16143299706174338
gene_2	interaction_vs_onu	220.107912912225	-1.3286282261693	0.270043679028483	-4.92004934516227	8.65223961801002e-7	3.49559617211043e-6	-1.2394294472008787	0.2748880086335643
gene_3	interaction_vs_onu	596.514151919306	-1.25697945371721	0.173957540369378	-7.22578309079428	4.98222435183306e-13	3.9387354885982895e-12	-1.2194154855810382	0.1752214738036458
gene_4	interaction_vs_onu	78.8179022753935	-2.16377411247567	0.363791465765007	-5.94784187123666	2.71700876162149e-9	1.50048999996645e-8	-2.048003374757356	0.37131017272066097
gene_5	interaction_vs_onu	101.080783046542	-1.35623954796041	0.248009558529247	-5.46849708536728	4.53867527845756e-8	2.1668187609368e-7	-1.2828198754964362	0.2514044351359922
gene_6	interaction_vs_onu	12926.530433202	-0.0888305377276664	0.155829550735885	-0.570049373229759	0.568644211238604	0.650573970623156	-0.08256696331551493	0.14910989117037018
gene_7	interaction_vs_onu	46.3291310521539	-0.164103258083588	0.377923073489223	-0.434223972007012	0.66412580691676	0.734770183172737	-0.10548331240729152	0.30637171653761797
gene_8	interaction_vs_onu	1111.62069404125	-0.270679607417961	0.132284537140003	-2.04619234621117	0.0407374500831153	0.0681745010188596	-0.255211232621295	0.12928442931128803
gene_9	interaction_vs_onu	83.7622432437479	-0.394536365513919	0.262511960069221	-1.50292720152592	0.132857817634922	0.192332643151519	-0.3221477439689451	0.2448379791793153
gene_10	interaction_vs_onu	204.739190306532	-0.449023888342751	0.208854149475419	-2.14993999147524	0.0315599617676956	0.0542258676699065	-0.39697959862134446	0.20192108187933341
gene_11	interaction_vs_onu	358.002816578833	-1.39861163944175	0.199467729164443	-7.01171886450222	2.3540787325913197e-12	1.7386465876602e-11	-1.3522415499742377	0.20136067064107604
gene_12	interaction_vs_onu	63.3328414562614	-1.32086848891116	0.259585377550784	-5.08837786386002	3.61139249288523e-7	1.54336094553657e-6	-1.2392238900736428	0.2632792044196058
gene_13	interaction_vs_onu	246.540786874651	-1.83498868959081	0.213925470543726	-8.57770084565852	9.678828001316219e-18	1.09881654762953e-16	-1.790361153504736	0.2157981163721731
gene_14	interaction_vs_onu	1337.977212241	-1.3182787401853	0.181359409538484	-7.26887424005186	3.62495671949349e-13	2.9135802365130798e-12	-1.2787646334289196	0.18280261920668286
gene_15	interaction_vs_onu	125.0330330668	-1.36097200933574	0.231702657424781	-5.87378679408353	4.2595112936875104e-9	2.2888522708076e-8	-1.297168230617151	0.2344992774792897
gene_16	interaction_vs_onu	0.681391273339703	-0.0708098583270593	2.96208647402719	-0.0239053987612954	0.980928067925924	0.98738761305808	-3.7138093609648693e-4	0.4987640949373258
gene_17	interaction_vs_onu	5985.56051556044	0.356839078124081	0.0983605585117091	3.62786754694568	2.8577179257175e-4	7.8782819465837e-4	0.3465196232697114	0.09743726711972141
gene_18	interaction_vs_onu	2029.06043751688	0.122850066461625	0.110057593796545	1.11623434806987	0.264321835441934	0.34612129591295	0.11785999827578084	0.10771943447201986
gene_19	interaction_vs_onu	2282.18340172218	0.154418174829239	0.0621771407396888	2.48352003633823	0.0130091015742322	0.0245443926549323	0.1522418414584765	0.06176848832810734
gene_20	interaction_vs_onu	4594.61691949484	-0.436771420718507	0.0922244287262766	-4.73596233395872	2.18018080031156e-6	8.37627811968892e-6	-0.426188534366287	0.09169092624589706
gene_21	interaction_vs_onu	1818.28257049683	-0.271547705141379	0.101293714041662	-2.68079522713218	0.00734474451975343	0.0147792696495274	-0.26216996447275265	0.09995594137989383
gene_22	interaction_vs_onu	2182.78966814967	0.12826729093289	0.0896554951075913	1.43066848026395	0.152525250840915	0.216556003847775	0.12393998168219604	0.08838107178155347
gene_23	interaction_vs_onu	1297.16033958663	-1.17605024101669	0.115030237783788	-10.2238356077052	1.5508040940562401e-24	2.6080320324403598e-23	-1.1593512962209898	0.11537329662281813
gene_24	interaction_vs_onu	2308.35472995717	0.199763546370952	0.0640426848280992	3.11922504353385	0.00181327409917178	0.00421668739171704	0.1969042005387454	0.06363557465169893
gene_25	interaction_vs_onu	5.3244199978847	-1.06101081953373	0.846428111268251	-1.25351557374903	0.210018134940908	0.284409940688842	-0.3240387458532863	0.5277597058158787
gene_26	interaction_vs_onu	3411.16916531267	0.250572958137878	0.0945700063086456	2.64960284892114	0.0080586439869166	0.0160423238437223	0.24316112502561596	0.0934141321089703
gene_27	interaction_vs_onu	2790.90916211095	-0.0507750824170876	0.0908241991647474	-0.559047950700737	0.576128995547826	0.656767106390916	-0.049069136243621365	0.08940899293390406
gene_28	interaction_vs_onu	1802.56596248615	-0.872171726888634	0.115413857469455	-7.55690647563235	4.12768533055104e-14	3.60908952293329e-13	-0.8532566049069406	0.11562563219278287
gene_29	interaction_vs_onu	1.02419134013366	-2.86268995344005	2.3246220982559	-1.23146465637914	0.218149127694268	0.293886769446479	-0.13094195879941112	0.5245564554241458
gene_30	interaction_vs_onu	2215.79116671243	0.443017717634765	0.0946992657055864	4.67815367240625	2.89469577287222e-6	1.08487722485929e-5	0.4349659012297081	0.09417440391815728
gene_31	interaction_vs_onu	3087.58045361037	-0.141123173747149	0.0817492667105846	-1.72629283938123	0.0842947429422382	0.129057950203105	-0.1372981640483995	0.08081035961613686
gene_32	interaction_vs_onu	188.075520121207	-1.27892924478792	0.206038272883618	-6.20724114451461	5.39228244787208e-10	3.2210703247582e-9	-1.2270612860040293	0.20802016218600153
gene_33	interaction_vs_onu	1647.41556014433	-1.31548089443194	0.121770840516681	-10.8029220201674	3.33420712008517e-27	6.4426214329411e-26	-1.2943038258788395	0.12231884976375479
gene_34	interaction_vs_onu	2345.12980135906	-0.0797250560511198	0.0980881786007074	-0.812789646912099	0.416338672380425	0.505303293849449	-0.07665088778034823	0.09634578005425373
gene_35	interaction_vs_onu	9.88336718644342	1.64368469930491	0.560252578395083	2.93382799596114	0.00334809692866794	0.00732048779294956	1.2687704653814502	0.6102466374307717
gene_36	interaction_vs_onu	2221.59362588828	-0.130323971466567	0.139563254381287	-0.933798599382912	0.350407792146791	0.43743484042242	-0.1232548533267962	0.1348573397073921
gene_37	interaction_vs_onu	1882.93751807802	-0.388775919984153	0.0800744265048638	-4.85518207190079	1.20276180960635e-6	4.77642434850425e-6	-0.3817096033680428	0.07964338831078474
gene_38	interaction_vs_onu	1176.35998463364	-0.722718146345299	0.142620810404095	-5.06741017876413	4.03264687010591e-7	1.71397503515921e-6	-0.6941834244472649	0.14252375067269168
gene_39	interaction_vs_onu	860.724953760098	-0.0796628440018897	0.0897696014812147	-0.887414477589722	0.374855791757724	0.463426570977198	-0.07718958768536856	0.08843621684824837
gene_40	interaction_vs_onu	758.213410406406	0.111958358449912	0.101402628788378	1.10409719932965	0.269550976049527	0.351838419485201	0.10978813355334852	0.0995654477313381
gene_41	interaction_vs_onu	634.152685299842	-0.100616941561665	0.10830251738262	-0.92903603714212	0.352870410662439	0.440059836140804	-0.09614606143094011	0.10602606708992739
gene_42	interaction_vs_onu	953.695067042241	-0.476963412628187	0.101571963497061	-4.69581758791136	2.65542436197098e-6	1.0075546337975e-5	-0.46380208188577077	0.10100645449668848
gene_43	interaction_vs_onu	248.160626751105	-0.890145804872379	0.199080385973214	-4.47128832165388	7.77497928549821e-6	2.74561974768419e-5	-0.83520074587602	0.20000709958205498
gene_44	interaction_vs_onu	3754.05679479077	0.165145554114105	0.0672376063067229	2.45614862255429	0.014043506397	0.0262989312531876	0.16247415183786623	0.06673515632574371
gene_45	interaction_vs_onu	1344.73044821069	-0.0528680051088013	0.0776067795746385	-0.681229209594445	0.495726468216481	0.582727076068811	-0.051371897710463646	0.07672486934552239
gene_46	interaction_vs_onu	2969.65511514753	0.143574435765432	0.136246456439659	1.05378473332272	0.291981484645043	0.375392236191283	0.13433601793969416	0.1320039372678009
gene_47	interaction_vs_onu	652.306568089152	0.172985348523788	0.158665279644788	1.09025332392228	0.275601569893872	0.358152336160854	0.1584506852076027	0.15232687561497582
gene_48	interaction_vs_onu	1156.5299293109	0.118129185997693	0.0764350434119288	1.54548464584579	0.122229079976076	0.178729232079811	0.11560372524167181	0.07564037715130482
gene_49	interaction_vs_onu	2395.52654156394	0.620198495042661	0.0984195908727078	6.30157562679571	2.94634957895982e-10	1.8040595419095902e-9	0.6069603758365764	0.09823272510476001
gene_50	interaction_vs_onu	2219.13229742809	0.28305026940364	0.138023729956127	2.05073627189767	0.0402926366288468	0.0674960801453872	0.26694994647963366	0.13472257726125542
gene_51	interaction_vs_onu	549.531067659133	0.266044915775663	0.118822434720145	2.2390124929039	0.0251551033046955	0.0441516678876755	0.25374476408106883	0.1166677248920671
gene_52	interaction_vs_onu	317.379720667957	-0.122804489006536	0.142664930437292	-0.860789604215413	0.389353931639074	0.478448127308422	-0.11259324207416854	0.13767915685625434
gene_53	interaction_vs_onu	3902.40127816967	0.606724178837438	0.0896994443306317	6.76396808659211	1.3426267046949899e-11	9.2609867785569e-11	0.5957443781003147	0.0895366628022888
gene_54	interaction_vs_onu	4011.68107235513	0.180073569012336	0.105880286297299	1.70072801377501	0.0889940721853759	0.135308926804053	0.1723760684637485	0.1039451371492934
gene_55	interaction_vs_onu	368.120626401543	0.424567166273049	0.153349542650507	2.76862362244317	0.00562936248157888	0.0116704632701175	0.3968611033034999	0.15058577545691623
gene_56	interaction_vs_onu	498.800705510545	0.567582657653496	0.0963869526613392	5.88858390043441	3.89518787272368e-9	2.10364720444888e-8	0.5550638181474608	0.09611203504376924
gene_57	interaction_vs_onu	446.949917189317	0.0338296692736564	0.133481479624392	0.253440922057883	0.799927508381532	0.847867690904646	0.031909284539807	0.1291102348417441
gene_58	interaction_vs_onu	439.081454969249	-0.0958030702341324	0.116376089694095	-0.823219533204456	0.410383162865843	0.499272295925471	-0.09089119055855473	0.11358792399440829
gene_59	interaction_vs_onu	121.216837971602	-0.255914748415658	0.241395922089811	-1.06014528414629	0.289078508954463	0.372387063453755	-0.2112724925753389	0.22256797027274042
gene_60	interaction_vs_onu	340.096489530546	0.456061782643387	0.243448440547943	1.87334033283148	0.0610214037005095	0.0972525071078684	0.3888779478074255	0.2325322023997817
gene_61	interaction_vs_onu	757.797934003269	0.527294331478306	0.176703800133971	2.98405767775526	0.00284453145637233	0.0063392838496608	0.4874088214098274	0.17406185217032036
gene_62	interaction_vs_onu	92.5853371127538	-0.0286149951663123	0.255257832133577	-0.11210231994502701	0.910742277972629	0.936225999693251	-0.021267918035362803	0.228125643487877
gene_63	interaction_vs_onu	102.457976146002	1.62578789425805	0.185185715067944	8.77922950839678	1.6459834276559001e-18	1.96782376267242e-17	1.5901725533178555	0.18664627252678337
gene_64	interaction_vs_onu	3.63130219951449	0.0853994855010779	1.07194742973879	0.079667606014866	0.936501624188906	0.955568617251663	0.016264238021036753	0.4579593088466439
gene_65	interaction_vs_onu	3283.50420344557	0.518962143061449	0.0917934274665245	5.65358716179005	1.57133369935208e-8	7.98730193969942e-8	0.5088827650698453	0.09146932065661065
gene_66	interaction_vs_onu	3762.606248372	0.514622532323469	0.097578882082787	5.27391297521586	1.33545251974372e-7	6.0420050576143e-7	0.5045476280185179	0.09719584223587001
gene_67	interaction_vs_onu	13.4508984445498	0.0299640891165973	0.464471865077905	0.0645121725759891	0.948562414988425	0.963076061238396	0.016734523240628504	0.3424416744618203
gene_68	interaction_vs_onu	0.305833756367098	0.465582578563761	3.72426878965753	0.125013151536405	0.900513138600832	0.929618001257009	-0.02401823591699032	0.5048899950971321
gene_69	interaction_vs_onu	543.061974754702	0.37852277627228	0.172980239925342	2.18824286771512	0.0286519160617692	0.0496780233924943	0.34571749583260875	0.1681160944217598
gene_70	interaction_vs_onu	944.732011302309	0.664889386581981	0.123601937650985	5.37927963928392	7.47844699860578e-8	3.47721381358313e-7	0.643787645065703	0.12340654038277957
