gene_id	contrast	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
gene_594	onu_vs_self	1348.64559506588	-5.50419314673942	0.121144575136742	-45.4349122981906	0	0
gene_972	onu_vs_self	20570.5811283141	-4.62906031410344	0.0991388869111689	-46.6926799193459	0	0
gene_6950	onu_vs_self	26829.7452189817	-4.587958559085	0.0447637032186557	-102.492828546252	0	0
gene_8173	onu_vs_self	12982.7696859859	-4.48050274189834	0.109871178900576	-40.7796001347432	0	0
gene_5989	onu_vs_self	3841.81062586484	-4.46512090708115	0.0675024973012873	-66.1474921016885	0	0
gene_6516	onu_vs_self	2584.74806427892	-4.33243936730372	0.0933221407521516	-46.4245604782039	0	0
gene_3809	onu_vs_self	11257.1832101299	4.29456354574599	0.0820004420658637	52.3724438253217	0	0
gene_8180	onu_vs_self	96598.2317177156	-4.26212946526387	0.110473991476779	-38.5803880921579	0	0
gene_5987	onu_vs_self	2252.24473847186	-3.79833954274171	0.100268989943794	-37.881498007219	0	0
gene_848	onu_vs_self	6072.91935089025	-3.62519223029528	0.0720479023157567	-50.3164160756206	0	0
gene_7351	onu_vs_self	90126.4367417258	-3.26331348847154	0.065074780321055	-50.1471303071874	0	0
gene_5107	onu_vs_self	1726.66403373498	-3.17084506331942	0.0832712620873371	-38.0785037218933	0	0
gene_6651	onu_vs_self	13253.6139234038	-2.99408526820667	0.0640841940804107	-46.7211191647319	0	0
gene_6634	onu_vs_self	11218.2748854183	-2.19761103555511	0.0438265650924855	-50.1433555405854	0	0
gene_6065	onu_vs_self	6105.48892061455	-2.14737383868552	0.0493728132180246	-43.4930419946492	0	0
gene_8012	onu_vs_self	8691.12856017304	-3.80413572697621	0.102151080691603	-37.2402886119336	1.52170726183027e-303	8.14113385079197e-301
gene_1502	onu_vs_self	11217.3948536144	-2.22907908618057	0.0642731558968431	-34.681338656502	1.50596091199974e-263	7.58295612159871e-261
gene_1450	onu_vs_self	641.009338270882	-4.10826284816537	0.119349992628511	-34.421978231308	1.18283913217462e-259	5.62505720634151e-257
gene_5485	onu_vs_self	18048.6745173714	-3.18727311910955	0.0945323807368743	-33.7162049052922	3.34612803190052e-249	1.50751873437202e-246
gene_8295	onu_vs_self	2504.81712750306	-2.37668039559435	0.0707305585597564	-33.6018892539414	1.57425144735044e-247	6.7377961946599e-245
gene_6610	onu_vs_self	3143.83033228001	-2.400887155948	0.0716636579359644	-33.5021575104822	4.48331971034178e-246	1.82748651050122e-243
gene_93	onu_vs_self	1865.05572702828	-3.30969707626708	0.100830972325585	-32.8242106560273	2.65858927317637e-236	1.03443291719953e-233
gene_4917	onu_vs_self	10230.4665451832	-3.27130399092532	0.100066462162646	-32.691312555931	2.07532797892484e-234	7.7238293476507e-232
gene_861	onu_vs_self	11143.8909271428	-3.22633800763496	0.100962217188747	-31.9558949622053	4.47418636111249e-224	1.59579313546345e-221
gene_4768	onu_vs_self	2385.86425596015	-2.94392436866326	0.0921362900435449	-31.9518440266253	5.09313783258779e-224	1.74389039387806e-221
gene_4151	onu_vs_self	10644.6232314092	-2.85016935963338	0.0896665786201901	-31.7863065982046	1.00084809395059e-221	3.29509987854501e-219
gene_2413	onu_vs_self	31896.9752063215	-2.58641033016602	0.0814149666187835	-31.768241609391	1.77796811350129e-221	5.63681742650778e-219
gene_1225	onu_vs_self	1568.1394664427	-2.15604483898262	0.069204900715933	-31.1545109765072	4.40645127777815e-213	1.34711510492075e-210
gene_7765	onu_vs_self	40782.5214825025	-2.8975177647485	0.093238298544253	-31.0764761904494	5.0082082346235e-212	1.47828491339232e-209
gene_4555	onu_vs_self	8694.63141393915	-4.5087722853261	0.145299617206529	-31.0308614159481	2.06775833596741e-211	5.90000378529368e-209
gene_826	onu_vs_self	5025.47794956075	-5.05503964072489	0.162983717513915	-31.0156113618731	3.32032170075874e-211	9.16837218015963e-209
gene_5809	onu_vs_self	1205.24203718541	-2.50433109926183	0.0812668293881059	-30.816153627723	1.59226333884085e-208	4.25930443139927e-206
gene_7713	onu_vs_self	3199.41186682678	-1.99114944760291	0.0649609160672966	-30.6514989034356	2.5238920220164e-206	6.54682294195769e-204
