ID	Description	GeneRatio	BgRatio	RichFactor	FoldEnrichment	zScore	pvalue	p.adjust	qvalue	geneID	Count	contrast	gene_set	direction	ontology	significant_padj_0.05
GO:0006461	protein complex assembly	15/1015	20/3113	0.75	2.30024630541872	4.0569601294075	0.00012007122449888	0.00691191288253074	0.00588118903162703	gene_937/gene_1189/gene_1286/gene_1344/gene_1932/gene_2165/gene_2785/gene_4845/gene_5967/gene_6060/gene_6941/gene_7131/gene_7473/gene_8300/gene_8467	15	interaction_vs_self	significant	up	BP	TRUE
GO:0006886	intracellular protein transport	38/1015	70/3113	0.542857142857143	1.66494018296974	3.91318784401727	0.000124970646139893	0.00691191288253074	0.00588118903162703	gene_114/gene_194/gene_937/gene_1189/gene_1286/gene_1344/gene_1846/gene_1932/gene_2014/gene_2143/gene_2165/gene_2393/gene_2740/gene_2785/gene_3009/gene_3159/gene_3329/gene_4173/gene_4383/gene_4530/gene_4585/gene_4641/gene_4668/gene_4845/gene_5077/gene_5967/gene_6035/gene_6060/gene_6088/gene_6824/gene_6941/gene_7060/gene_7131/gene_7369/gene_7473/gene_8300/gene_8416/gene_8573	38	interaction_vs_self	significant	up	BP	TRUE
GO:0006096	glycolysis	13/1015	17/3113	0.764705882352941	2.34534917415242	3.86820137095312	0.000256420408905149	0.00691191288253074	0.00588118903162703	gene_7/gene_231/gene_466/gene_1596/gene_2905/gene_2953/gene_3385/gene_5119/gene_5570/gene_6431/gene_7157/gene_7307/gene_7678	13	interaction_vs_self	significant	up	BP	TRUE
GO:0015986	ATP synthesis coupled proton transport	13/1015	17/3113	0.764705882352941	2.34534917415242	3.86820137095312	0.000256420408905149	0.00691191288253074	0.00588118903162703	gene_850/gene_2188/gene_2368/gene_4239/gene_4496/gene_4850/gene_4942/gene_5058/gene_6915/gene_7647/gene_7687/gene_7895/gene_8335	13	interaction_vs_self	significant	up	BP	TRUE
GO:0044267	cellular protein metabolic process	9/1015	10/3113	0.9	2.76029556650246	3.87743727254766	0.000287996370105447	0.00691191288253074	0.00588118903162703	gene_606/gene_698/gene_3086/gene_5296/gene_5374/gene_6549/gene_7079/gene_7137/gene_8024	9	interaction_vs_self	significant	up	BP	TRUE
GO:0006270	DNA replication initiation	7/1015	7/3113	1	3.06699507389163	3.80748156517851	0.000386309649305168	0.00772619298610336	0.00657404140045637	gene_1037/gene_1171/gene_4164/gene_4996/gene_7771/gene_7905/gene_8153	7	interaction_vs_self	significant	up	BP	TRUE
GO:0006412	translation	68/1015	155/3113	0.438709677419355	1.34552041951375	3.06895525098262	0.00172745670684714	0.0296135435459509	0.0251974888066425	gene_463/gene_581/gene_621/gene_814/gene_868/gene_940/gene_1231/gene_1631/gene_1677/gene_1683/gene_1854/gene_1959/gene_2065/gene_2095/gene_2176/gene_2291/gene_2302/gene_2399/gene_2584/gene_2805/gene_2809/gene_2834/gene_2839/gene_3005/gene_3025/gene_3226/gene_3327/gene_3328/gene_3626/gene_3856/gene_4029/gene_4366/gene_4631/gene_4787/gene_4832/gene_4886/gene_4892/gene_5030/gene_5059/gene_5276/gene_5375/gene_5678/gene_5744/gene_5751/gene_5763/gene_5840/gene_5853/gene_6021/gene_6087/gene_6093/gene_6359/gene_6665/gene_6855/gene_6873/gene_6925/gene_7062/gene_7077/gene_7093/gene_7100/gene_7344/gene_7443/gene_7497/gene_7527/gene_7610/gene_7780/gene_7784/gene_7940/gene_8252	68	interaction_vs_self	significant	up	BP	TRUE
GO:0007018	microtubule-based movement	10/1015	14/3113	0.714285714285714	2.19071076706545	3.10534304850125	0.00329632769626176	0.0488072137803428	0.0415289450587128	gene_50/gene_1397/gene_1493/gene_1997/gene_2651/gene_4280/gene_5711/gene_5834/gene_8140/gene_8221	10	interaction_vs_self	significant	up	BP	TRUE
GO:0030036	actin cytoskeleton organization and biogenesis	5/1015	5/3113	1	3.06699507389163	3.21687371465834	0.00366054103352571	0.0488072137803428	0.0415289450587128	gene_300/gene_1238/gene_2732/gene_4790/gene_7034	5	interaction_vs_self	significant	up	BP	TRUE
GO:0004298	threonine endopeptidase activity	14/1390	14/4328	1	3.1136690647482	5.44798484315582	1.18796017498189e-07	2.6966695972089e-05	2.62601722890734e-05	gene_292/gene_569/gene_1227/gene_1935/gene_2134/gene_2882/gene_3478/gene_5127/gene_5360/gene_5807/gene_6019/gene_6274/gene_8006/gene_8617	14	interaction_vs_self	significant	up	MF	TRUE
GO:0004299	proteasome endopeptidase activity	14/1390	14/4328	1	3.1136690647482	5.44798484315582	1.18796017498189e-07	2.6966695972089e-05	2.62601722890734e-05	gene_292/gene_569/gene_1227/gene_1935/gene_2134/gene_2882/gene_3478/gene_5127/gene_5360/gene_5807/gene_6019/gene_6274/gene_8006/gene_8617	14	interaction_vs_self	significant	up	MF	TRUE
GO:0003779	actin binding	15/1390	16/4328	0.9375	2.91906474820144	5.28914161275892	4.25063202595237e-07	6.43262313260792e-05	6.26408930140349e-05	gene_300/gene_413/gene_1238/gene_1266/gene_2103/gene_2130/gene_2732/gene_2934/gene_3286/gene_4166/gene_4790/gene_6603/gene_7034/gene_7421/gene_7649	15	interaction_vs_self	significant	up	MF	TRUE
GO:0004175	endopeptidase activity	9/1390	9/4328	1	3.1136690647482	4.36557642894442	3.57183854376274e-05	0.00405403674717071	0.00394782154836935	gene_292/gene_1227/gene_2882/gene_3478/gene_5127/gene_5360/gene_5807/gene_8006/gene_8617	9	interaction_vs_self	significant	up	MF	TRUE
