contrast	gene_set	direction	ontology	selected_genes_total	selected_genes_GO_annotated	universe_genes_total	universe_genes_GO_annotated	tested_GO_terms	enriched_terms_padj_0.05	status
interaction_vs_self	significant	up	BP	2529	1015	8560	3113	466	9	completed
interaction_vs_self	significant	up	MF	2529	1390	8560	4328	1636	10	completed
interaction_vs_self	significant	up	CC	2529	535	8560	1791	162	11	completed
interaction_vs_self	significant	down	BP	2709	915	8560	3113	466	5	completed
interaction_vs_self	significant	down	MF	2709	1321	8560	4328	1636	8	completed
interaction_vs_self	significant	down	CC	2709	584	8560	1791	162	4	completed
interaction_vs_self	strong	up	BP	623	225	8560	3113	466	1	completed
interaction_vs_self	strong	up	MF	623	315	8560	4328	1636	2	completed
interaction_vs_self	strong	up	CC	623	83	8560	1791	162	0	completed
interaction_vs_self	strong	down	BP	744	273	8560	3113	466	6	completed
interaction_vs_self	strong	down	MF	744	350	8560	4328	1636	6	completed
interaction_vs_self	strong	down	CC	744	174	8560	1791	162	2	completed
onu_vs_self	significant	up	BP	2288	904	8560	3113	466	1	completed
onu_vs_self	significant	up	MF	2288	1217	8560	4328	1636	4	completed
onu_vs_self	significant	up	CC	2288	462	8560	1791	162	4	completed
onu_vs_self	significant	down	BP	2189	788	8560	3113	466	5	completed
onu_vs_self	significant	down	MF	2189	1111	8560	4328	1636	0	completed
onu_vs_self	significant	down	CC	2189	483	8560	1791	162	0	completed
onu_vs_self	strong	up	BP	365	143	8560	3113	466	7	completed
onu_vs_self	strong	up	MF	365	190	8560	4328	1636	3	completed
onu_vs_self	strong	up	CC	365	50	8560	1791	162	3	completed
onu_vs_self	strong	down	BP	456	153	8560	3113	466	0	completed
onu_vs_self	strong	down	MF	456	203	8560	4328	1636	0	completed
onu_vs_self	strong	down	CC	456	93	8560	1791	162	1	completed
interaction_vs_onu	significant	up	BP	2587	1063	8560	3113	466	6	completed
interaction_vs_onu	significant	up	MF	2587	1421	8560	4328	1636	4	completed
interaction_vs_onu	significant	up	CC	2587	578	8560	1791	162	3	completed
interaction_vs_onu	significant	down	BP	2351	825	8560	3113	466	7	completed
interaction_vs_onu	significant	down	MF	2351	1166	8560	4328	1636	8	completed
interaction_vs_onu	significant	down	CC	2351	483	8560	1791	162	4	completed
interaction_vs_onu	strong	up	BP	461	166	8560	3113	466	1	completed
interaction_vs_onu	strong	up	MF	461	226	8560	4328	1636	3	completed
interaction_vs_onu	strong	up	CC	461	64	8560	1791	162	0	completed
interaction_vs_onu	strong	down	BP	621	234	8560	3113	466	8	completed
interaction_vs_onu	strong	down	MF	621	310	8560	4328	1636	18	completed
interaction_vs_onu	strong	down	CC	621	121	8560	1791	162	3	completed
