ID	Description	GeneRatio	BgRatio	RichFactor	FoldEnrichment	zScore	pvalue	p.adjust	qvalue	geneID	Count	contrast	gene_set	direction	ontology	significant_padj_0.05
GO:0006350	transcription	86/825	164/3113	0.524390243902439	1.97869918699187	7.73129996459883	3.38796440478744e-13	3.48960333693107e-11	3.24531327195429e-11	gene_1/gene_3/gene_111/gene_273/gene_286/gene_438/gene_470/gene_499/gene_778/gene_811/gene_862/gene_866/gene_893/gene_901/gene_944/gene_992/gene_1084/gene_1140/gene_1326/gene_1358/gene_1451/gene_1947/gene_2036/gene_2091/gene_2140/gene_2271/gene_2305/gene_2323/gene_2326/gene_2487/gene_2523/gene_2590/gene_2752/gene_2939/gene_3098/gene_3224/gene_3305/gene_3414/gene_3444/gene_3464/gene_3879/gene_3897/gene_3923/gene_4073/gene_4158/gene_4300/gene_4519/gene_4574/gene_4628/gene_4743/gene_4748/gene_4756/gene_4762/gene_4966/gene_4993/gene_5079/gene_5171/gene_5517/gene_5666/gene_5686/gene_5713/gene_5856/gene_5887/gene_5890/gene_5896/gene_5953/gene_6045/gene_6286/gene_6316/gene_6528/gene_6648/gene_6686/gene_6716/gene_6761/gene_6765/gene_7241/gene_7388/gene_7969/gene_7981/gene_8208/gene_8474/gene_8588/gene_8600/gene_8604/gene_8623/gene_8633	86	interaction_vs_onu	significant	down	BP	TRUE
GO:0008643	carbohydrate transport	35/825	48/3113	0.729166666666667	2.75138888888889	7.3418706330117	1.75611591128261e-11	9.04399694310542e-10	8.41087094351143e-10	gene_13/gene_596/gene_1110/gene_1284/gene_1314/gene_1721/gene_1762/gene_1870/gene_1872/gene_1941/gene_1980/gene_3218/gene_3308/gene_4072/gene_4747/gene_4757/gene_4863/gene_4923/gene_4925/gene_5557/gene_6121/gene_6126/gene_6384/gene_6410/gene_6450/gene_6708/gene_7107/gene_7222/gene_7463/gene_7621/gene_7694/gene_7984/gene_8037/gene_8584/gene_8603	35	interaction_vs_onu	significant	down	BP	TRUE
GO:0006810	transport	93/825	204/3113	0.455882352941176	1.72019607843137	6.38870351082008	9.6561621233972e-10	3.31528232903304e-08	3.08319562536542e-08	gene_13/gene_102/gene_105/gene_128/gene_175/gene_283/gene_407/gene_431/gene_596/gene_1023/gene_1053/gene_1110/gene_1245/gene_1284/gene_1314/gene_1466/gene_1476/gene_1544/gene_1690/gene_1721/gene_1755/gene_1762/gene_1870/gene_1872/gene_1941/gene_1980/gene_2452/gene_2474/gene_2527/gene_2704/gene_2760/gene_2795/gene_2811/gene_2969/gene_3062/gene_3218/gene_3291/gene_3308/gene_3414/gene_3592/gene_3619/gene_3689/gene_3727/gene_4072/gene_4747/gene_4757/gene_4863/gene_4923/gene_4925/gene_5013/gene_5238/gene_5343/gene_5557/gene_5651/gene_5757/gene_5881/gene_6121/gene_6126/gene_6281/gene_6289/gene_6380/gene_6381/gene_6382/gene_6384/gene_6410/gene_6436/gene_6450/gene_6466/gene_6708/gene_6712/gene_6767/gene_6829/gene_6953/gene_7107/gene_7222/gene_7247/gene_7383/gene_7463/gene_7477/gene_7540/gene_7621/gene_7694/gene_7754/gene_7924/gene_7984/gene_8037/gene_8043/gene_8545/gene_8584/gene_8603/gene_8622/gene_8634/gene_8635	93	interaction_vs_onu	significant	down	BP	TRUE
GO:0006865	amino acid transport	27/825	44/3113	0.613636363636364	2.31545454545455	5.27621517130563	1.0304578470523e-06	2.65342895615967e-05	2.46767537057261e-05	gene_105/gene_1043/gene_1476/gene_1839/gene_1879/gene_2760/gene_3414/gene_3592/gene_4753/gene_5431/gene_5651/gene_5675/gene_5687/gene_6380/gene_6381/gene_6382/gene_6436/gene_6712/gene_7196/gene_7247/gene_7383/gene_7477/gene_8054/gene_8545/gene_8622/gene_8634/gene_8635	27	interaction_vs_onu	significant	down	BP	TRUE
GO:0006355	regulation of transcription, DNA-dependent	99/825	266/3113	0.37218045112782	1.40436090225564	4.14033040629875	3.91847522646188e-05	0.000807205896651147	0.000750697359174802	gene_1/gene_3/gene_286/gene_402/gene_428/gene_437/gene_438/gene_470/gene_508/gene_627/gene_664/gene_771/gene_778/gene_811/gene_846/gene_862/gene_893/gene_901/gene_944/gene_992/gene_1008/gene_1048/gene_1084/gene_1178/gene_1199/gene_1290/gene_1326/gene_1451/gene_1592/gene_1850/gene_1857/gene_1873/gene_1899/gene_1940/gene_1947/gene_1955/gene_2036/gene_2076/gene_2132/gene_2140/gene_2253/gene_2271/gene_2273/gene_2326/gene_2364/gene_2487/gene_2493/gene_2590/gene_2616/gene_2752/gene_2789/gene_2894/gene_2918/gene_2977/gene_3098/gene_3124/gene_3217/gene_3224/gene_3305/gene_3391/gene_3444/gene_4124/gene_4158/gene_4229/gene_4300/gene_4574/gene_4627/gene_4628/gene_4743/gene_4748/gene_4966/gene_4993/gene_5079/gene_5171/gene_5517/gene_5666/gene_5713/gene_5856/gene_5890/gene_5896/gene_5904/gene_5953/gene_6286/gene_6318/gene_6395/gene_6691/gene_6716/gene_6765/gene_6777/gene_7241/gene_7316/gene_7385/gene_7625/gene_7969/gene_8013/gene_8208/gene_8474/gene_8588/gene_8598	99	interaction_vs_onu	significant	down	BP	TRUE
GO:0015931	nucleobase, nucleoside, nucleotide and nucleic acid transport	11/825	14/3113	0.785714285714286	2.9647619047619	4.42366180334804	6.88723454477195e-05	0.00118230859685252	0.00109954095363903	gene_134/gene_1761/gene_2551/gene_3699/gene_3702/gene_5519/gene_5616/gene_5898/gene_5902/gene_6471/gene_7206	11	interaction_vs_onu	significant	down	BP	TRUE
GO:0006725	aromatic compound metabolic process	21/825	38/3113	0.552631578947368	2.08526315789474	4.0413182923449	0.000147544337774935	0.00217100954154548	0.00201902778007806	gene_90/gene_1068/gene_1069/gene_1318/gene_1491/gene_1576/gene_2379/gene_2554/gene_3042/gene_3440/gene_3894/gene_5891/gene_7194/gene_7331/gene_7374/gene_7971/gene_7994/gene_7997/gene_8211/gene_8471/gene_8587	21	interaction_vs_onu	significant	down	BP	TRUE
GO:0005975	carbohydrate metabolic process	48/825	132/3113	0.363636363636364	1.37212121212121	2.62306566602316	0.00696900317389935	0.0897259158639541	0.0834446432664264	gene_394/gene_445/gene_705/gene_738/gene_1109/gene_1439/gene_1927/gene_2125/gene_2401/gene_2690/gene_2751/gene_2946/gene_2947/gene_2967/gene_3307/gene_3338/gene_3724/gene_4183/gene_4195/gene_4325/gene_4330/gene_5037/gene_5121/gene_5363/gene_5443/gene_5516/gene_5659/gene_5694/gene_5837/gene_5900/gene_6122/gene_6137/gene_6171/gene_6330/gene_6541/gene_6766/gene_6769/gene_6789/gene_7114/gene_7141/gene_7154/gene_7248/gene_7274/gene_7976/gene_7979/gene_8386/gene_8404/gene_8548	48	interaction_vs_onu	significant	down	BP	FALSE
GO:0006118	electron transport	74/825	222/3113	0.333333333333333	1.25777777777778	2.3928566131285	0.0114770168017513	0.131348081175598	0.122153044322733	gene_90/gene_168/gene_822/gene_858/gene_902/gene_1068/gene_1069/gene_1157/gene_1218/gene_1318/gene_1474/gene_1491/gene_1510/gene_1576/gene_1759/gene_1827/gene_1969/gene_2276/gene_2554/gene_2629/gene_2933/gene_2984/gene_3042/gene_3152/gene_3440/gene_3558/gene_3646/gene_3703/gene_4147/gene_4321/gene_4466/gene_4473/gene_4763/gene_4766/gene_4806/gene_4969/gene_5040/gene_5064/gene_5090/gene_5481/gene_5506/gene_5573/gene_5650/gene_5665/gene_5766/gene_5771/gene_5848/gene_5891/gene_5910/gene_6248/gene_6763/gene_7103/gene_7189/gene_7203/gene_7215/gene_7219/gene_7242/gene_7331/gene_7374/gene_7433/gene_7492/gene_7826/gene_7942/gene_7971/gene_7983/gene_7987/gene_7994/gene_7997/gene_8055/gene_8242/gene_8499/gene_8585/gene_8587/gene_8628	74	interaction_vs_onu	significant	down	BP	FALSE
GO:0008152	metabolic process	143/825	473/3113	0.302325581395349	1.14077519379845	1.99605957483164	0.0271683357999575	0.279833858739562	0.260244058715382	gene_90/gene_220/gene_323/gene_329/gene_364/gene_430/gene_443/gene_460/gene_484/gene_524/gene_963/gene_1055/gene_1069/gene_1166/gene_1218/gene_1264/gene_1318/gene_1329/gene_1384/gene_1448/gene_1491/gene_1576/gene_1577/gene_1827/gene_1880/gene_2106/gene_2438/gene_2440/gene_2511/gene_2554/gene_2605/gene_2754/gene_2772/gene_2862/gene_2866/gene_2948/gene_3042/gene_3066/gene_3067/gene_3126/gene_3190/gene_3213/gene_3306/gene_3413/gene_3428/gene_3436/gene_3438/gene_3439/gene_3440/gene_3441/gene_3447/gene_3558/gene_3584/gene_3691/gene_3694/gene_3708/gene_3734/gene_3735/gene_3771/gene_3793/gene_3830/gene_3837/gene_3857/gene_3930/gene_3998/gene_4025/gene_4064/gene_4155/gene_4304/gene_4305/gene_4308/gene_4309/gene_4310/gene_4323/gene_4697/gene_4710/gene_4713/gene_4744/gene_4746/gene_4763/gene_4766/gene_4914/gene_4969/gene_4970/gene_4971/gene_5064/gene_5122/gene_5168/gene_5173/gene_5362/gene_5468/gene_5493/gene_5501/gene_5502/gene_5897/gene_5899/gene_5918/gene_5993/gene_6041/gene_6125/gene_6130/gene_6221/gene_6312/gene_6393/gene_6430/gene_6435/gene_6458/gene_6527/gene_6528/gene_6556/gene_6673/gene_6749/gene_6790/gene_6795/gene_7026/gene_7203/gene_7219/gene_7226/gene_7269/gene_7297/gene_7331/gene_7336/gene_7374/gene_7401/gene_7462/gene_7535/gene_7620/gene_7698/gene_7783/gene_7804/gene_7925/gene_7963/gene_7971/gene_7986/gene_7988/gene_7991/gene_7994/gene_7997/gene_8034/gene_8233/gene_8586/gene_8587/gene_8589	143	interaction_vs_onu	significant	down	BP	FALSE
