ID	Description	GeneRatio	BgRatio	RichFactor	FoldEnrichment	zScore	pvalue	p.adjust	qvalue	geneID	Count	contrast	gene_set	direction	ontology	significant_padj_0.05
GO:0005215	transporter activity	59/1166	93/4328	0.634408602150538	2.35482026595843	8.01970219343566	1.03046023502146e-13	4.74011708109873e-11	4.66418843220241e-11	gene_13/gene_596/gene_1053/gene_1110/gene_1245/gene_1284/gene_1314/gene_1466/gene_1544/gene_1721/gene_1762/gene_1870/gene_1872/gene_1941/gene_1980/gene_2452/gene_2704/gene_2795/gene_2811/gene_2969/gene_3218/gene_3291/gene_3308/gene_3619/gene_3689/gene_3727/gene_4072/gene_4329/gene_4747/gene_4757/gene_4863/gene_4923/gene_4925/gene_5013/gene_5343/gene_5557/gene_5757/gene_5881/gene_6121/gene_6126/gene_6289/gene_6384/gene_6410/gene_6450/gene_6466/gene_6708/gene_6767/gene_6829/gene_7107/gene_7222/gene_7463/gene_7621/gene_7694/gene_7924/gene_7984/gene_8037/gene_8043/gene_8584/gene_8603	59	interaction_vs_onu	significant	down	MF	TRUE
GO:0005351	sugar:hydrogen symporter activity	35/1166	48/4328	0.729166666666667	2.70654659805603	7.21902715719887	3.2806623776492e-11	7.54552346859316e-09	7.42465695994293e-09	gene_13/gene_596/gene_1110/gene_1284/gene_1314/gene_1721/gene_1762/gene_1870/gene_1872/gene_1941/gene_1980/gene_3218/gene_3308/gene_4072/gene_4747/gene_4757/gene_4863/gene_4923/gene_4925/gene_5557/gene_6121/gene_6126/gene_6384/gene_6410/gene_6450/gene_6708/gene_7107/gene_7222/gene_7463/gene_7621/gene_7694/gene_7984/gene_8037/gene_8584/gene_8603	35	interaction_vs_onu	significant	down	MF	TRUE
GO:0003677	DNA binding	118/1166	306/4328	0.38562091503268	1.43136133813159	4.75272501971981	2.83084935087003e-06	0.000434063567133404	0.000427110603815478	gene_1/gene_3/gene_20/gene_111/gene_167/gene_286/gene_438/gene_461/gene_470/gene_708/gene_736/gene_757/gene_778/gene_862/gene_893/gene_901/gene_944/gene_992/gene_1084/gene_1163/gene_1326/gene_1358/gene_1451/gene_1763/gene_1947/gene_2036/gene_2076/gene_2140/gene_2271/gene_2273/gene_2305/gene_2308/gene_2309/gene_2323/gene_2326/gene_2487/gene_2493/gene_2518/gene_2523/gene_2590/gene_2622/gene_2752/gene_2894/gene_2939/gene_2977/gene_3096/gene_3098/gene_3156/gene_3163/gene_3224/gene_3287/gene_3305/gene_3414/gene_3444/gene_3464/gene_3559/gene_3879/gene_3897/gene_4073/gene_4158/gene_4235/gene_4300/gene_4517/gene_4518/gene_4519/gene_4574/gene_4628/gene_4743/gene_4748/gene_4756/gene_4762/gene_4966/gene_4993/gene_5079/gene_5171/gene_5449/gene_5507/gene_5517/gene_5666/gene_5686/gene_5713/gene_5856/gene_5887/gene_5890/gene_5896/gene_5953/gene_5974/gene_6045/gene_6064/gene_6286/gene_6316/gene_6318/gene_6366/gene_6395/gene_6528/gene_6648/gene_6686/gene_6691/gene_6716/gene_6761/gene_6765/gene_6777/gene_6896/gene_7064/gene_7068/gene_7241/gene_7388/gene_7569/gene_7969/gene_7981/gene_8208/gene_8448/gene_8474/gene_8588/gene_8600/gene_8604/gene_8623/gene_8633	118	interaction_vs_onu	significant	down	MF	TRUE
GO:0015171	amino acid transmembrane transporter activity	25/1166	42/4328	0.595238095238095	2.20942579433145	4.78233041704122	8.28079921699846e-06	0.000952291909954823	0.000937037806134036	gene_105/gene_1043/gene_1476/gene_1839/gene_1879/gene_2760/gene_4753/gene_5431/gene_5651/gene_5675/gene_5687/gene_6380/gene_6381/gene_6382/gene_6436/gene_6712/gene_7196/gene_7247/gene_7383/gene_7477/gene_8054/gene_8545/gene_8622/gene_8634/gene_8635	25	interaction_vs_onu	significant	down	MF	TRUE
GO:0004497	monooxygenase activity	37/1166	75/4328	0.493333333333333	1.83117209834191	4.40895520374865	2.52826198493698e-05	0.00232600102614202	0.00228874242846927	gene_90/gene_168/gene_1069/gene_1318/gene_1474/gene_1491/gene_1510/gene_1576/gene_2554/gene_2629/gene_2984/gene_3042/gene_3440/gene_3703/gene_4147/gene_4321/gene_4473/gene_4806/gene_5481/gene_5573/gene_5766/gene_7103/gene_7203/gene_7215/gene_7242/gene_7331/gene_7374/gene_7433/gene_7492/gene_7971/gene_7983/gene_7987/gene_7994/gene_7997/gene_8499/gene_8585/gene_8587	37	interaction_vs_onu	significant	down	MF	TRUE
GO:0003700	transcription factor activity	92/1166	239/4328	0.384937238493724	1.42882364339694	4.14124483838149	4.08987708117456e-05	0.00313557242890049	0.00308534586825449	gene_1/gene_3/gene_286/gene_402/gene_428/gene_437/gene_438/gene_470/gene_627/gene_664/gene_771/gene_778/gene_846/gene_862/gene_893/gene_901/gene_944/gene_992/gene_1008/gene_1084/gene_1178/gene_1199/gene_1326/gene_1451/gene_1592/gene_1850/gene_1857/gene_1873/gene_1899/gene_1940/gene_1947/gene_1955/gene_2036/gene_2132/gene_2140/gene_2253/gene_2271/gene_2273/gene_2326/gene_2364/gene_2487/gene_2493/gene_2590/gene_2616/gene_2752/gene_2789/gene_2918/gene_3098/gene_3124/gene_3217/gene_3224/gene_3305/gene_3391/gene_3444/gene_4124/gene_4158/gene_4229/gene_4300/gene_4574/gene_4627/gene_4628/gene_4743/gene_4748/gene_4966/gene_4993/gene_5070/gene_5079/gene_5171/gene_5517/gene_5666/gene_5713/gene_5856/gene_5890/gene_5896/gene_5904/gene_5953/gene_6286/gene_6691/gene_6716/gene_6765/gene_6777/gene_7241/gene_7316/gene_7385/gene_7625/gene_7969/gene_8013/gene_8170/gene_8208/gene_8474/gene_8588/gene_8598	92	interaction_vs_onu	significant	down	MF	TRUE
GO:0015205	nucleobase transmembrane transporter activity	11/1166	14/4328	0.785714285714286	2.91644204851752	4.36095322569646	8.22045730580038e-05	0.00540201480095454	0.0053154836714198	gene_134/gene_1761/gene_2551/gene_3699/gene_3702/gene_5519/gene_5616/gene_5898/gene_5902/gene_6471/gene_7206	11	interaction_vs_onu	significant	down	MF	TRUE
GO:0004553	hydrolase activity, hydrolyzing O-glycosyl compounds	35/1166	78/4328	0.448717948717949	1.66556713726525	3.6016913813329	0.000447893141930019	0.0257538556609761	0.0253413225039353	gene_394/gene_738/gene_1109/gene_1439/gene_1927/gene_2125/gene_2690/gene_2751/gene_2967/gene_3307/gene_3338/gene_3724/gene_4183/gene_4195/gene_4325/gene_4330/gene_5037/gene_5363/gene_5443/gene_5659/gene_5900/gene_6122/gene_6137/gene_6171/gene_6330/gene_6541/gene_6769/gene_6789/gene_7114/gene_7154/gene_7976/gene_7979/gene_8386/gene_8404/gene_8548	35	interaction_vs_onu	significant	down	MF	TRUE
GO:0030246	carbohydrate binding	9/1166	13/4328	0.692307692307692	2.56973215463782	3.44166520100042	0.00174378735660961	0.0891269093378245	0.0876992471745184	gene_445/gene_1109/gene_2946/gene_2947/gene_5837/gene_6122/gene_7114/gene_7141/gene_7274	9	interaction_vs_onu	significant	down	MF	FALSE
GO:0004344	glucose dehydrogenase activity	6/1166	8/4328	0.75	2.78387650085763	3.06640627264809	0.00629854827846952	0.170431306358587	0.167701285432935	gene_484/gene_3441/gene_4064/gene_4970/gene_7462/gene_8586	6	interaction_vs_onu	significant	down	MF	FALSE
