ID	Description	GeneRatio	BgRatio	RichFactor	FoldEnrichment	zScore	pvalue	p.adjust	qvalue	geneID	Count	contrast	gene_set	direction	ontology	significant_padj_0.05
GO:0006461	protein complex assembly	17/1063	20/3113	0.85	2.48922859830668	4.81056294102447	3.86432446433554e-06	0.000486904882506277	0.000418974126133221	gene_937/gene_1189/gene_1286/gene_1344/gene_1932/gene_2165/gene_2785/gene_4845/gene_5940/gene_5967/gene_6060/gene_6568/gene_6941/gene_7131/gene_8300/gene_8467/gene_8511	17	interaction_vs_onu	significant	up	BP	TRUE
GO:0044267	cellular protein metabolic process	10/1063	10/3113	1	2.92850423330198	4.39783776818137	2.09597342165913e-05	0.000978391635697503	0.000841890881176632	gene_606/gene_698/gene_3086/gene_5296/gene_5374/gene_6549/gene_7079/gene_7137/gene_7648/gene_8024	10	interaction_vs_onu	significant	up	BP	TRUE
GO:0006418	tRNA aminoacylation for protein translation	23/1063	33/3113	0.696969696969697	2.04107870805895	4.32887127885614	3.01531430494735e-05	0.000978391635697503	0.000841890881176632	gene_121/gene_2095/gene_2176/gene_3005/gene_3494/gene_3626/gene_4029/gene_4040/gene_4150/gene_4299/gene_4832/gene_4892/gene_5085/gene_5375/gene_5744/gene_6093/gene_6206/gene_6665/gene_7062/gene_7443/gene_7590/gene_7604/gene_8466	23	interaction_vs_onu	significant	up	BP	TRUE
GO:0016192	vesicle-mediated transport	25/1063	37/3113	0.675675675675676	1.97871907655539	4.31196518567965	3.10600519269049e-05	0.000978391635697503	0.000841890881176632	gene_118/gene_937/gene_1189/gene_1286/gene_1344/gene_1932/gene_2165/gene_2726/gene_2785/gene_3009/gene_3654/gene_3928/gene_4006/gene_4096/gene_4417/gene_4528/gene_4845/gene_5940/gene_5967/gene_6060/gene_6941/gene_7131/gene_7582/gene_8300/gene_8511	25	interaction_vs_onu	significant	up	BP	TRUE
GO:0006886	intracellular protein transport	39/1063	70/3113	0.557142857142857	1.63159521569681	3.8481001936162	0.000148615891080774	0.00374512045523552	0.00322261826975153	gene_158/gene_194/gene_612/gene_615/gene_937/gene_1189/gene_1286/gene_1344/gene_1932/gene_2014/gene_2165/gene_2740/gene_2785/gene_3009/gene_3150/gene_3929/gene_4173/gene_4417/gene_4528/gene_4530/gene_4641/gene_4845/gene_5077/gene_5940/gene_5967/gene_6035/gene_6060/gene_6088/gene_6181/gene_6941/gene_7060/gene_7131/gene_8292/gene_8300/gene_8343/gene_8416/gene_8511/gene_8513/gene_8573	39	interaction_vs_onu	significant	up	BP	TRUE
GO:0006096	glycolysis	12/1063	17/3113	0.705882352941177	2.06717945880139	3.17666148766657	0.00231362599608894	0.0485861459178677	0.0418076276486246	gene_231/gene_466/gene_1596/gene_2905/gene_2953/gene_3385/gene_5570/gene_6431/gene_7157/gene_7307/gene_7678/gene_7768	12	interaction_vs_onu	significant	up	BP	TRUE
GO:0006414	translational elongation	5/1063	5/3113	1	2.92850423330198	3.10723850125173	0.00461397417471305	0.0726700932517305	0.0625314921046636	gene_620/gene_2409/gene_3387/gene_5203/gene_5724	5	interaction_vs_onu	significant	up	BP	FALSE
GO:0044262	cellular carbohydrate metabolic process	5/1063	5/3113	1	2.92850423330198	3.10723850125173	0.00461397417471305	0.0726700932517305	0.0625314921046636	gene_231/gene_1596/gene_2232/gene_3712/gene_6890	5	interaction_vs_onu	significant	up	BP	FALSE
GO:0006099	tricarboxylic acid cycle	7/1063	9/3113	0.777777777777778	2.27772551479043	2.76380540354198	0.00951935952424811	0.121318871883837	0.104393014235883	gene_1780/gene_2333/gene_2383/gene_3968/gene_4730/gene_8289/gene_8425	7	interaction_vs_onu	significant	up	BP	FALSE
GO:0015986	ATP synthesis coupled proton transport	11/1063	17/3113	0.647058823529412	1.89491450390128	2.66388227008264	0.0096284818955426	0.121318871883837	0.104393014235883	gene_850/gene_2188/gene_2368/gene_4496/gene_4850/gene_4942/gene_6915/gene_7647/gene_7687/gene_7895/gene_8335	11	interaction_vs_onu	significant	up	BP	FALSE
GO:0006629	lipid metabolic process	15/1063	26/3113	0.576923076923077	1.68952167305883	2.54200134855991	0.0114207305720345	0.130819277461486	0.112567966403785	gene_150/gene_199/gene_667/gene_737/gene_2128/gene_3343/gene_4109/gene_4429/gene_4452/gene_4784/gene_4801/gene_4999/gene_6725/gene_7576/gene_8445	15	interaction_vs_onu	significant	up	BP	FALSE
GO:0006508	proteolysis	56/1063	129/3113	0.434108527131783	1.27128865941791	2.26587830452889	0.0160384822397691	0.168404063517576	0.144909093920721	gene_345/gene_395/gene_488/gene_515/gene_1490/gene_1497/gene_1511/gene_1618/gene_1922/gene_1994/gene_2189/gene_2342/gene_2442/gene_2501/gene_2515/gene_2769/gene_3064/gene_3176/gene_3437/gene_3992/gene_4133/gene_4176/gene_4451/gene_4481/gene_4808/gene_5083/gene_5117/gene_5204/gene_5249/gene_5377/gene_5407/gene_5543/gene_5572/gene_5698/gene_5754/gene_5924/gene_6157/gene_6367/gene_6601/gene_6702/gene_6746/gene_6809/gene_7220/gene_7259/gene_7431/gene_7458/gene_7499/gene_7525/gene_7550/gene_8014/gene_8032/gene_8121/gene_8226/gene_8374/gene_8551/gene_8559	56	interaction_vs_onu	significant	up	BP	FALSE
GO:0006633	fatty acid biosynthetic process	5/1063	6/3113	0.833333333333333	2.44042019441831	2.54275019286578	0.0198305878461444	0.174393224045321	0.150062673990543	gene_2517/gene_7281/gene_8441/gene_8490/gene_8491	5	interaction_vs_onu	significant	up	BP	FALSE
GO:0008202	steroid metabolic process	5/1063	6/3113	0.833333333333333	2.44042019441831	2.54275019286578	0.0198305878461444	0.174393224045321	0.150062673990543	gene_1410/gene_3863/gene_5792/gene_5829/gene_6949	5	interaction_vs_onu	significant	up	BP	FALSE
