ID	Description	GeneRatio	BgRatio	RichFactor	FoldEnrichment	zScore	pvalue	p.adjust	qvalue	geneID	Count	contrast	gene_set	direction	ontology	significant_padj_0.05
GO:0005737	cytoplasm	77/578	129/1791	0.596899224806202	1.84956143880261	6.91248451538384	2.63304998408164e-11	1.00055899395102e-09	7.76056837413536e-10	gene_26/gene_121/gene_150/gene_239/gene_463/gene_814/gene_824/gene_855/gene_1304/gene_1369/gene_1503/gene_1716/gene_1717/gene_1772/gene_1810/gene_2014/gene_2041/gene_2095/gene_2176/gene_2627/gene_3005/gene_3052/gene_3087/gene_3097/gene_3111/gene_3150/gene_3385/gene_3387/gene_3494/gene_3505/gene_3564/gene_3626/gene_3997/gene_4007/gene_4029/gene_4040/gene_4112/gene_4150/gene_4299/gene_4376/gene_4429/gene_4441/gene_4452/gene_4641/gene_4751/gene_4832/gene_4883/gene_4892/gene_5085/gene_5342/gene_5375/gene_5548/gene_5744/gene_5826/gene_5863/gene_5948/gene_6093/gene_6129/gene_6206/gene_6421/gene_6665/gene_7062/gene_7359/gene_7443/gene_7590/gene_7604/gene_7733/gene_8045/gene_8184/gene_8292/gene_8348/gene_8357/gene_8436/gene_8466/gene_8513/gene_8553/gene_8573	77	interaction_vs_onu	significant	up	CC	TRUE
GO:0030117	membrane coat	11/578	11/1791	1	3.09861591695502	4.81813914641142	3.70629153005916e-06	7.0419539071124e-05	5.46190330745561e-05	gene_1189/gene_1344/gene_1932/gene_2165/gene_2785/gene_5940/gene_5967/gene_6941/gene_7131/gene_8300/gene_8511	11	interaction_vs_onu	significant	up	CC	TRUE
GO:0016459	myosin complex	5/578	5/1791	1	3.09861591695502	3.24292773939335	0.00345983069806821	0.0438245221755306	0.0339913191389157	gene_545/gene_546/gene_2020/gene_4213/gene_5739	5	interaction_vs_onu	significant	up	CC	TRUE
GO:0005739	mitochondrion	9/578	13/1791	0.692307692307692	2.14519563481501	2.85986489008584	0.00677232605340203	0.0526539398320585	0.0408396209223722	gene_718/gene_2188/gene_2333/gene_4007/gene_4730/gene_4897/gene_6475/gene_7050/gene_7057	9	interaction_vs_onu	significant	up	CC	FALSE
GO:0005783	endoplasmic reticulum	8/578	11/1791	0.727272727272727	2.25353884869456	2.87795615655393	0.00692814997790243	0.0526539398320585	0.0408396209223722	gene_2517/gene_2911/gene_4530/gene_5188/gene_5609/gene_6094/gene_7767/gene_8181	8	interaction_vs_onu	significant	up	CC	FALSE
GO:0005839	proteasome core complex	9/578	14/1791	0.642857142857143	1.99196737518537	2.57144788553957	0.0135996270471056	0.0861309712983356	0.0668051854945539	gene_292/gene_569/gene_1935/gene_2134/gene_5127/gene_5360/gene_6019/gene_6274/gene_8617	9	interaction_vs_onu	significant	up	CC	FALSE
GO:0016469	proton-transporting two-sector ATPase complex	12/578	22/1791	0.545454545454545	1.69015413652092	2.24777871051981	0.0246507064284269	0.13381812061146	0.103792448119692	gene_850/gene_2188/gene_2368/gene_2849/gene_4496/gene_4850/gene_4942/gene_6915/gene_7647/gene_7687/gene_7895/gene_8335	12	interaction_vs_onu	significant	up	CC	FALSE
GO:0005643	nuclear pore	10/578	18/1791	0.555555555555556	1.72145328719723	2.12300069124434	0.0341343835107261	0.15206498400175	0.117945139945956	gene_2014/gene_2237/gene_3150/gene_3653/gene_4641/gene_5390/gene_7920/gene_8292/gene_8513/gene_8573	10	interaction_vs_onu	significant	up	CC	FALSE
GO:0030131	clathrin adaptor complex	5/578	7/1791	0.714285714285714	2.2132970835393	2.21962078465367	0.0391415181862791	0.15206498400175	0.117945139945956	gene_937/gene_1286/gene_2165/gene_5967/gene_6941	5	interaction_vs_onu	significant	up	CC	FALSE
GO:0005856	cytoskeleton	4/578	5/1791	0.8	2.47889273356401	2.28528823712567	0.0400171010530921	0.15206498400175	0.117945139945956	gene_547/gene_2163/gene_3296/gene_4951	4	interaction_vs_onu	significant	up	CC	FALSE
