ID	Description	GeneRatio	BgRatio	RichFactor	FoldEnrichment	zScore	pvalue	p.adjust	qvalue	geneID	Count	contrast	gene_set	direction	ontology	significant_padj_0.05
GO:0005198	structural molecule activity	12/1421	12/4328	1	3.045742434905	4.96099545934466	1.5208438472319e-06	0.000708713232810064	0.000672373069302523	gene_1344/gene_1932/gene_2651/gene_2785/gene_4280/gene_4845/gene_5834/gene_5931/gene_6060/gene_6568/gene_7871/gene_8300	12	interaction_vs_onu	significant	up	MF	TRUE
GO:0003779	actin binding	13/1421	16/4328	0.8125	2.47466572836031	4.13125662387472	9.43999760184953e-05	0.0219951944123094	0.0208673631198779	gene_300/gene_413/gene_1238/gene_1266/gene_2130/gene_2934/gene_3286/gene_4166/gene_4316/gene_4790/gene_6603/gene_7034/gene_7421	13	interaction_vs_onu	significant	up	MF	TRUE
GO:0004812	aminoacyl-tRNA ligase activity	23/1421	37/4328	0.621621621621622	1.89329935142743	3.81493018101045	0.000225996706218716	0.0351048216993072	0.0333047777585476	gene_121/gene_2095/gene_2176/gene_3005/gene_3494/gene_3626/gene_4029/gene_4040/gene_4150/gene_4299/gene_4832/gene_4892/gene_5085/gene_5375/gene_5744/gene_6093/gene_6206/gene_6665/gene_7062/gene_7443/gene_7590/gene_7604/gene_8466	23	interaction_vs_onu	significant	up	MF	TRUE
GO:0016651	oxidoreductase activity, acting on NADH or NADPH	7/1421	7/4328	1	3.045742434905	3.78683002047745	0.00040721909510238	0.0474410245794273	0.0450084263007894	gene_1168/gene_2085/gene_2112/gene_7043/gene_7280/gene_7641/gene_7762	7	interaction_vs_onu	significant	up	MF	TRUE
GO:0000166	nucleotide binding	63/1421	138/4328	0.456521739130435	1.39044763332619	3.25884194185833	0.000972339879206443	0.0796224543573607	0.0755397127402112	gene_26/gene_78/gene_121/gene_345/gene_463/gene_668/gene_1030/gene_1291/gene_1498/gene_1519/gene_1716/gene_1964/gene_2095/gene_2176/gene_2501/gene_2515/gene_2541/gene_3005/gene_3087/gene_3494/gene_3526/gene_3626/gene_3705/gene_4029/gene_4040/gene_4150/gene_4164/gene_4212/gene_4299/gene_4351/gene_4451/gene_4502/gene_4832/gene_4892/gene_5055/gene_5085/gene_5206/gene_5375/gene_5744/gene_5801/gene_5863/gene_5935/gene_6062/gene_6093/gene_6206/gene_6665/gene_6877/gene_6998/gene_7062/gene_7097/gene_7443/gene_7590/gene_7604/gene_7685/gene_7687/gene_7791/gene_8137/gene_8153/gene_8221/gene_8348/gene_8422/gene_8466/gene_8495	63	interaction_vs_onu	significant	up	MF	FALSE
GO:0008565	protein transporter activity	19/1421	31/4328	0.612903225806452	1.86674536332887	3.38577167821812	0.00102518181576001	0.0796224543573607	0.0755397127402112	gene_937/gene_1286/gene_1344/gene_1932/gene_2014/gene_2165/gene_2785/gene_3150/gene_4641/gene_4845/gene_5967/gene_6060/gene_6568/gene_6640/gene_6941/gene_8292/gene_8300/gene_8513/gene_8573	19	interaction_vs_onu	significant	up	MF	FALSE
GO:0030170	pyridoxal phosphate binding	27/1421	51/4328	0.529411764705882	1.61245187730265	3.07578095712776	0.00224365407720734	0.135428150471473	0.128483901508965	gene_643/gene_714/gene_825/gene_875/gene_1004/gene_1176/gene_1194/gene_2227/gene_2351/gene_2600/gene_2662/gene_2762/gene_3505/gene_4290/gene_4303/gene_4421/gene_4492/gene_5063/gene_5130/gene_5159/gene_6148/gene_6497/gene_6501/gene_6968/gene_7534/gene_7570/gene_7778	27	interaction_vs_onu	significant	up	MF	FALSE
GO:0004129	cytochrome-c oxidase activity	7/1421	8/4328	0.875	2.66502463054187	3.29527567976315	0.00232494678920985	0.135428150471473	0.128483901508965	gene_564/gene_3279/gene_4278/gene_5164/gene_5397/gene_7057/gene_7684	7	interaction_vs_onu	significant	up	MF	FALSE
GO:0005515	protein binding	93/1421	225/4328	0.413333333333333	1.25890687309407	2.78838058959185	0.00372687339090284	0.176955618352232	0.167881996177858	gene_368/gene_487/gene_490/gene_606/gene_624/gene_694/gene_698/gene_699/gene_768/gene_777/gene_824/gene_937/gene_1189/gene_1280/gene_1286/gene_1304/gene_1344/gene_1369/gene_1552/gene_1678/gene_1717/gene_1844/gene_1932/gene_1944/gene_2165/gene_2221/gene_2225/gene_2245/gene_2327/gene_2476/gene_2540/gene_2740/gene_2785/gene_3009/gene_3040/gene_3086/gene_3097/gene_3112/gene_3278/gene_3320/gene_3489/gene_3654/gene_3928/gene_4100/gene_4115/gene_4257/gene_4282/gene_4374/gene_4417/gene_4528/gene_4568/gene_4829/gene_4845/gene_5077/gene_5212/gene_5296/gene_5374/gene_5413/gene_5739/gene_5789/gene_5940/gene_5967/gene_6035/gene_6060/gene_6088/gene_6181/gene_6230/gene_6338/gene_6549/gene_6568/gene_6623/gene_6834/gene_6879/gene_6903/gene_6941/gene_6996/gene_7060/gene_7071/gene_7079/gene_7131/gene_7137/gene_7558/gene_7607/gene_7633/gene_7648/gene_7788/gene_8024/gene_8078/gene_8118/gene_8199/gene_8300/gene_8416/gene_8511	93	interaction_vs_onu	significant	up	MF	FALSE
GO:0003774	motor activity	5/1421	5/4328	1	3.045742434905	3.19971508603133	0.00379733086592773	0.176955618352232	0.167881996177858	gene_545/gene_546/gene_2020/gene_4213/gene_5739	5	interaction_vs_onu	significant	up	MF	FALSE
GO:0008137	NADH dehydrogenase (ubiquinone) activity	6/1421	7/4328	0.857142857142857	2.61063637277571	2.98141450479479	0.00626340380622489	0.242730959196423	0.230284623588203	gene_449/gene_718/gene_2085/gene_4897/gene_7043/gene_7641	6	interaction_vs_onu	significant	up	MF	FALSE
GO:0046933	hydrogen ion transporting ATP synthase activity, rotational mechanism	11/1421	17/4328	0.647058823529412	1.97077451670323	2.80363702914811	0.00694728281670945	0.242730959196423	0.230284623588203	gene_850/gene_2188/gene_2368/gene_4496/gene_4850/gene_4942/gene_6915/gene_7647/gene_7687/gene_7895/gene_8335	11	interaction_vs_onu	significant	up	MF	FALSE
GO:0016769	transferase activity, transferring nitrogenous groups	10/1421	15/4328	0.666666666666667	2.03049495660333	2.79492231884024	0.00745398996470075	0.242730959196423	0.230284623588203	gene_643/gene_1176/gene_1194/gene_2600/gene_4421/gene_4492/gene_5063/gene_6501/gene_7534/gene_7570	10	interaction_vs_onu	significant	up	MF	FALSE
GO:0004601	peroxidase activity	7/1421	9/4328	0.777777777777778	2.36891078270389	2.87390738084179	0.00748505482539158	0.242730959196423	0.230284623588203	gene_1129/gene_1574/gene_3065/gene_5526/gene_6009/gene_7198/gene_7957	7	interaction_vs_onu	significant	up	MF	FALSE
GO:0004448	isocitrate dehydrogenase activity	9/1421	13/4328	0.692307692307692	2.10859091647269	2.7984694007581	0.00781322830031405	0.242730959196423	0.230284623588203	gene_184/gene_972/gene_2333/gene_3913/gene_4108/gene_4337/gene_4730/gene_6198/gene_8033	9	interaction_vs_onu	significant	up	MF	FALSE
GO:0005488	binding	69/1421	167/4328	0.413173652694611	1.25842052699668	2.38097237271863	0.0117437594882827	0.342036995096233	0.324498617439389	gene_108/gene_161/gene_300/gene_361/gene_547/gene_658/gene_768/gene_1030/gene_1083/gene_1149/gene_1189/gene_1238/gene_1344/gene_1412/gene_1440/gene_1519/gene_1553/gene_1760/gene_1892/gene_1990/gene_2014/gene_2145/gene_2165/gene_2417/gene_2540/gene_2558/gene_2785/gene_2913/gene_3150/gene_3323/gene_3597/gene_3705/gene_3905/gene_4166/gene_4292/gene_4351/gene_4368/gene_4417/gene_4641/gene_4651/gene_4734/gene_4845/gene_5149/gene_5234/gene_5334/gene_5718/gene_5940/gene_5967/gene_6233/gene_6275/gene_6744/gene_6999/gene_7131/gene_7249/gene_7263/gene_7552/gene_7721/gene_7844/gene_7908/gene_8069/gene_8077/gene_8118/gene_8292/gene_8359/gene_8403/gene_8419/gene_8511/gene_8513/gene_8573	69	interaction_vs_onu	significant	up	MF	FALSE
GO:0008236	serine-type peptidase activity	11/1421	18/4328	0.611111111111111	1.86128704355305	2.55984401522892	0.0126192983498332	0.345917237118956	0.32817989516594	gene_1490/gene_1497/gene_3437/gene_3992/gene_4133/gene_4481/gene_5572/gene_5698/gene_8014/gene_8226/gene_8551	11	interaction_vs_onu	significant	up	MF	FALSE
GO:0004298	threonine endopeptidase activity	9/1421	14/4328	0.642857142857143	1.95797727958178	2.50984630301538	0.015553399009816	0.36629169928208	0.347509631123726	gene_292/gene_569/gene_1935/gene_2134/gene_5127/gene_5360/gene_6019/gene_6274/gene_8617	9	interaction_vs_onu	significant	up	MF	FALSE
GO:0004299	proteasome endopeptidase activity	9/1421	14/4328	0.642857142857143	1.95797727958178	2.50984630301538	0.015553399009816	0.36629169928208	0.347509631123726	gene_292/gene_569/gene_1935/gene_2134/gene_5127/gene_5360/gene_6019/gene_6274/gene_8617	9	interaction_vs_onu	significant	up	MF	FALSE
GO:0003746	translation elongation factor activity	5/1421	6/4328	0.833333333333333	2.53811869575416	2.63567019593185	0.0165649006406813	0.36629169928208	0.347509631123726	gene_620/gene_2409/gene_3387/gene_5203/gene_5724	5	interaction_vs_onu	significant	up	MF	FALSE
GO:0004727	prenylated protein tyrosine phosphatase activity	6/1421	8/4328	0.75	2.28430682617875	2.54179125763641	0.01807877485727	0.36629169928208	0.347509631123726	gene_780/gene_3859/gene_4130/gene_4595/gene_4854/gene_5456	6	interaction_vs_onu	significant	up	MF	FALSE
GO:0019131	tripeptidyl-peptidase I activity	6/1421	8/4328	0.75	2.28430682617875	2.54179125763641	0.01807877485727	0.36629169928208	0.347509631123726	gene_1497/gene_3437/gene_3992/gene_4133/gene_5572/gene_8014	6	interaction_vs_onu	significant	up	MF	FALSE
