ID	Description	GeneRatio	BgRatio	RichFactor	FoldEnrichment	zScore	pvalue	p.adjust	qvalue	geneID	Count	contrast	gene_set	direction	ontology	significant_padj_0.05
GO:0006810	transport	59/234	204/3113	0.28921568627451	3.84755739902799	11.9928554885172	6.0995098996345e-22	2.37880886085745e-20	1.73354491884349e-20	gene_13/gene_102/gene_175/gene_283/gene_407/gene_596/gene_1053/gene_1110/gene_1284/gene_1314/gene_1466/gene_1476/gene_1721/gene_1762/gene_1870/gene_1872/gene_1941/gene_1980/gene_2452/gene_2704/gene_2795/gene_2811/gene_3291/gene_3308/gene_3414/gene_3689/gene_4072/gene_4747/gene_4757/gene_4925/gene_5013/gene_5343/gene_5651/gene_5757/gene_5881/gene_6121/gene_6380/gene_6410/gene_6450/gene_6708/gene_6712/gene_6767/gene_6829/gene_6953/gene_7107/gene_7222/gene_7247/gene_7383/gene_7463/gene_7477/gene_7694/gene_7754/gene_7924/gene_7984/gene_8037/gene_8545/gene_8584/gene_8603/gene_8635	59	interaction_vs_onu	strong	down	BP	TRUE
GO:0008643	carbohydrate transport	28/234	48/3113	0.583333333333333	7.76032763532764	13.4548857373511	3.12337232889322e-20	6.09057604134178e-19	4.43847646737457e-19	gene_13/gene_596/gene_1110/gene_1284/gene_1314/gene_1721/gene_1762/gene_1870/gene_1872/gene_1941/gene_1980/gene_3308/gene_4072/gene_4747/gene_4757/gene_4925/gene_6121/gene_6410/gene_6450/gene_6708/gene_7107/gene_7222/gene_7463/gene_7694/gene_7984/gene_8037/gene_8584/gene_8603	28	interaction_vs_onu	strong	down	BP	TRUE
GO:0015931	nucleobase, nucleoside, nucleotide and nucleic acid transport	9/234	14/3113	0.642857142857143	8.5521978021978	8.07297256033366	9.48015656722929e-08	1.23242035373981e-06	8.98120095842774e-07	gene_1761/gene_2551/gene_3699/gene_3702/gene_5616/gene_5898/gene_5902/gene_6471/gene_7206	9	interaction_vs_onu	strong	down	BP	TRUE
GO:0005975	carbohydrate metabolic process	28/234	132/3113	0.212121212121212	2.82193732193732	6.09742265931969	2.28004899054464e-07	2.22304776578102e-06	1.62003480907119e-06	gene_705/gene_1109/gene_1439/gene_1927/gene_2401/gene_2690/gene_2751/gene_2946/gene_2947/gene_3338/gene_4325/gene_5037/gene_5121/gene_5516/gene_5659/gene_5694/gene_5837/gene_5900/gene_6122/gene_6541/gene_6766/gene_6789/gene_7114/gene_7274/gene_7976/gene_7979/gene_8404/gene_8548	28	interaction_vs_onu	strong	down	BP	TRUE
GO:0006865	amino acid transport	12/234	44/3113	0.272727272727273	3.62820512820513	5.00488430752292	5.93806525027349e-05	0.000463169089521332	0.000337532130015546	gene_1476/gene_3414/gene_5431/gene_5651/gene_6380/gene_6712/gene_7196/gene_7247/gene_7383/gene_7477/gene_8545/gene_8635	12	interaction_vs_onu	strong	down	BP	TRUE
GO:0006725	aromatic compound metabolic process	9/234	38/3113	0.236842105263158	3.15080971659919	3.80257788825744	0.00155007816491371	0.0100755080719391	0.00734247551801233	gene_1491/gene_1576/gene_3440/gene_3894/gene_5891/gene_7194/gene_7374/gene_7971/gene_8587	9	interaction_vs_onu	strong	down	BP	TRUE
GO:0006118	electron transport	27/234	222/3113	0.121621621621622	1.61798336798337	2.72355480438008	0.00719683110443406	0.0400966304389898	0.0292202165142436	gene_822/gene_902/gene_1157/gene_1474/gene_1491/gene_1576/gene_2629/gene_3440/gene_3558/gene_3646/gene_3703/gene_4321/gene_4763/gene_4766/gene_5481/gene_5650/gene_5766/gene_5891/gene_6763/gene_7189/gene_7374/gene_7971/gene_7983/gene_7987/gene_8499/gene_8585/gene_8587	27	interaction_vs_onu	strong	down	BP	TRUE
GO:0006350	transcription	21/234	164/3113	0.128048780487805	1.70348655409631	2.63844004125146	0.00981669376960591	0.0478563821268288	0.0348750962867578	gene_1/gene_3/gene_893/gene_2271/gene_2326/gene_3414/gene_3444/gene_3879/gene_4743/gene_4748/gene_4756/gene_4966/gene_5666/gene_5887/gene_5896/gene_6686/gene_6716/gene_7241/gene_7981/gene_8208/gene_8588	21	interaction_vs_onu	strong	down	BP	TRUE
GO:0046677	response to antibiotic	5/234	20/3113	0.25	3.3258547008547	2.97450366627428	0.0139850489019437	0.0606018785750895	0.0441633123219275	gene_1192/gene_2336/gene_4904/gene_6953/gene_8001	5	interaction_vs_onu	strong	down	BP	FALSE
GO:0015904	tetracycline transport	4/234	14/3113	0.285714285714286	3.8009768009768	2.9941229624357	0.0170726588577133	0.0665833695450817	0.0485222935956061	gene_1192/gene_2336/gene_4904/gene_6953	4	interaction_vs_onu	strong	down	BP	FALSE
