ID	Description	GeneRatio	BgRatio	RichFactor	FoldEnrichment	zScore	pvalue	p.adjust	qvalue	geneID	Count	contrast	gene_set	direction	ontology	significant_padj_0.05
GO:0005215	transporter activity	44/310	93/4328	0.473118279569892	6.60534165799514	15.1770087391917	6.94563969968269e-27	1.52109509423051e-24	1.41106153898817e-24	gene_13/gene_596/gene_1053/gene_1110/gene_1284/gene_1314/gene_1466/gene_1721/gene_1762/gene_1870/gene_1872/gene_1941/gene_1980/gene_2452/gene_2704/gene_2795/gene_2811/gene_3291/gene_3308/gene_3689/gene_4072/gene_4329/gene_4747/gene_4757/gene_4925/gene_5013/gene_5343/gene_5757/gene_5881/gene_6121/gene_6410/gene_6450/gene_6708/gene_6767/gene_6829/gene_7107/gene_7222/gene_7463/gene_7694/gene_7924/gene_7984/gene_8037/gene_8584/gene_8603	44	interaction_vs_onu	strong	down	MF	TRUE
GO:0005351	sugar:hydrogen symporter activity	28/310	48/4328	0.583333333333333	8.14408602150538	13.8233956259246	1.22693636670437e-20	1.34349532154128e-18	1.24630904617865e-18	gene_13/gene_596/gene_1110/gene_1284/gene_1314/gene_1721/gene_1762/gene_1870/gene_1872/gene_1941/gene_1980/gene_3308/gene_4072/gene_4747/gene_4757/gene_4925/gene_6121/gene_6410/gene_6450/gene_6708/gene_7107/gene_7222/gene_7463/gene_7694/gene_7984/gene_8037/gene_8584/gene_8603	28	interaction_vs_onu	strong	down	MF	TRUE
GO:0015205	nucleobase transmembrane transporter activity	9/310	14/4328	0.642857142857143	8.97511520737327	8.30099670165606	6.44651949560816e-08	4.70595923179396e-06	4.36553776369254e-06	gene_1761/gene_2551/gene_3699/gene_3702/gene_5616/gene_5898/gene_5902/gene_6471/gene_7206	9	interaction_vs_onu	strong	down	MF	TRUE
GO:0004344	glucose dehydrogenase activity	6/310	8/4328	0.75	10.4709677419355	7.44675054391791	3.19146907887798e-06	6.35392480249343e-05	5.89429217438708e-05	gene_484/gene_3441/gene_4064/gene_4970/gene_7462/gene_8586	6	interaction_vs_onu	strong	down	MF	TRUE
GO:0018446	pinocarveol dehydrogenase activity	6/310	8/4328	0.75	10.4709677419355	7.44675054391791	3.19146907887798e-06	6.35392480249343e-05	5.89429217438708e-05	gene_484/gene_3441/gene_4064/gene_4970/gene_7462/gene_8586	6	interaction_vs_onu	strong	down	MF	TRUE
GO:0018447	chloral hydrate dehydrogenase activity	6/310	8/4328	0.75	10.4709677419355	7.44675054391791	3.19146907887798e-06	6.35392480249343e-05	5.89429217438708e-05	gene_484/gene_3441/gene_4064/gene_4970/gene_7462/gene_8586	6	interaction_vs_onu	strong	down	MF	TRUE
GO:0018448	hydroxymethylmethylsilanediol oxidase activity	6/310	8/4328	0.75	10.4709677419355	7.44675054391791	3.19146907887798e-06	6.35392480249343e-05	5.89429217438708e-05	gene_484/gene_3441/gene_4064/gene_4970/gene_7462/gene_8586	6	interaction_vs_onu	strong	down	MF	TRUE
GO:0018449	1-phenylethanol dehydrogenase activity	6/310	8/4328	0.75	10.4709677419355	7.44675054391791	3.19146907887798e-06	6.35392480249343e-05	5.89429217438708e-05	gene_484/gene_3441/gene_4064/gene_4970/gene_7462/gene_8586	6	interaction_vs_onu	strong	down	MF	TRUE
GO:0018450	myrtenol dehydrogenase activity	6/310	8/4328	0.75	10.4709677419355	7.44675054391791	3.19146907887798e-06	6.35392480249343e-05	5.89429217438708e-05	gene_484/gene_3441/gene_4064/gene_4970/gene_7462/gene_8586	6	interaction_vs_onu	strong	down	MF	TRUE
GO:0042469	versicolorin reductase activity	6/310	8/4328	0.75	10.4709677419355	7.44675054391791	3.19146907887798e-06	6.35392480249343e-05	5.89429217438708e-05	gene_484/gene_3441/gene_4064/gene_4970/gene_7462/gene_8586	6	interaction_vs_onu	strong	down	MF	TRUE
GO:0045703	ketoreductase activity	6/310	8/4328	0.75	10.4709677419355	7.44675054391791	3.19146907887798e-06	6.35392480249343e-05	5.89429217438708e-05	gene_484/gene_3441/gene_4064/gene_4970/gene_7462/gene_8586	6	interaction_vs_onu	strong	down	MF	TRUE
GO:0004553	hydrolase activity, hydrolyzing O-glycosyl compounds	18/310	78/4328	0.230769230769231	3.22183622828784	5.49963932277226	6.12596099329518e-06	0.000111798788127637	0.000103711444886489	gene_1109/gene_1439/gene_1927/gene_2690/gene_2751/gene_3338/gene_4325/gene_5037/gene_5659/gene_5900/gene_6122/gene_6541/gene_6789/gene_7114/gene_7976/gene_7979/gene_8404/gene_8548	18	interaction_vs_onu	strong	down	MF	TRUE
GO:0030246	carbohydrate binding	7/310	13/4328	0.538461538461538	7.51761786600496	6.53641319795589	1.06630866285724e-05	0.000179631997819797	0.00016663771006595	gene_1109/gene_2946/gene_2947/gene_5837/gene_6122/gene_7114/gene_7274	7	interaction_vs_onu	strong	down	MF	TRUE
GO:0004497	monooxygenase activity	16/310	75/4328	0.213333333333333	2.97840860215054	4.80029867797255	5.72634050973778e-05	0.000895763265451838	0.000830965201789016	gene_1474/gene_1491/gene_1576/gene_2629/gene_3440/gene_3703/gene_4321/gene_5481/gene_5766/gene_7374/gene_7971/gene_7983/gene_7987/gene_8499/gene_8585/gene_8587	16	interaction_vs_onu	strong	down	MF	TRUE
