ID	Description	GeneRatio	BgRatio	RichFactor	FoldEnrichment	zScore	pvalue	p.adjust	qvalue	geneID	Count	contrast	gene_set	direction	ontology	significant_padj_0.05
GO:0008152	metabolic process	44/166	473/3113	0.0930232558139535	1.74446623704119	4.17212569075889	7.45738290522641e-05	0.00350496996545641	0.00298295316209056	gene_94/gene_929/gene_1125/gene_1322/gene_1406/gene_1480/gene_1502/gene_1701/gene_1810/gene_1892/gene_2016/gene_2088/gene_2676/gene_2709/gene_3026/gene_3397/gene_3477/gene_3501/gene_3959/gene_4055/gene_4151/gene_4422/gene_4567/gene_4912/gene_5156/gene_5183/gene_5328/gene_5405/gene_5485/gene_5602/gene_5646/gene_6037/gene_6203/gene_6533/gene_6916/gene_6973/gene_6982/gene_7225/gene_7243/gene_7678/gene_7730/gene_7764/gene_8061/gene_8138	44	interaction_vs_onu	strong	up	BP	TRUE
GO:0019752	carboxylic acid metabolic process	3/166	10/3113	0.3	5.62590361445783	3.47687808003952	0.0135371019952644	0.256725648567251	0.218489913674256	gene_2762/gene_3565/gene_6968	3	interaction_vs_onu	strong	up	BP	FALSE
GO:0006508	proteolysis	13/166	129/3113	0.10077519379845	1.88983842346129	2.44957291160591	0.0183561005867053	0.256725648567251	0.218489913674256	gene_1490/gene_1497/gene_1994/gene_3437/gene_3992/gene_4133/gene_4176/gene_5407/gene_5572/gene_6157/gene_7220/gene_8014/gene_8559	13	interaction_vs_onu	strong	up	BP	FALSE
GO:0005975	carbohydrate metabolic process	13/166	132/3113	0.0984848484848485	1.8468875502008	2.35947563151618	0.0218489913674256	0.256725648567251	0.218489913674256	gene_928/gene_1125/gene_1735/gene_1826/gene_2960/gene_3594/gene_3977/gene_5156/gene_5612/gene_5809/gene_7032/gene_7160/gene_7161	13	interaction_vs_onu	strong	up	BP	FALSE
GO:0006801	superoxide metabolic process	2/166	6/3113	0.333333333333333	6.25100401606426	3.05514002066183	0.0367897050729109	0.259686059647543	0.221009412465994	gene_5928/gene_8008	2	interaction_vs_onu	strong	up	BP	FALSE
GO:0008202	steroid metabolic process	2/166	6/3113	0.333333333333333	6.25100401606426	3.05514002066183	0.0367897050729109	0.259686059647543	0.221009412465994	gene_3863/gene_5792	2	interaction_vs_onu	strong	up	BP	FALSE
GO:0006118	electron transport	18/166	222/3113	0.0810810810810811	1.52051449039401	1.90971709530296	0.0455509836144773	0.259686059647543	0.221009412465994	gene_929/gene_1574/gene_2041/gene_2632/gene_4491/gene_5989/gene_6123/gene_6533/gene_6697/gene_6729/gene_7009/gene_7198/gene_7225/gene_7730/gene_7764/gene_7852/gene_8266/gene_8546	18	interaction_vs_onu	strong	up	BP	FALSE
GO:0000105	histidine biosynthetic process	2/166	7/3113	0.285714285714286	5.35800344234079	2.73917408065841	0.0497271178048486	0.259686059647543	0.221009412465994	gene_1810/gene_2088	2	interaction_vs_onu	strong	up	BP	FALSE
GO:0006032	chitin catabolic process	2/166	7/3113	0.285714285714286	5.35800344234079	2.73917408065841	0.0497271178048486	0.259686059647543	0.221009412465994	gene_1826/gene_2960	2	interaction_vs_onu	strong	up	BP	FALSE
GO:0006096	glycolysis	3/166	17/3113	0.176470588235294	3.30935506732814	2.26567945492995	0.0583684627460339	0.274331774906359	0.233473850984136	gene_3385/gene_7307/gene_7678	3	interaction_vs_onu	strong	up	BP	FALSE
