ID	Description	GeneRatio	BgRatio	RichFactor	FoldEnrichment	zScore	pvalue	p.adjust	qvalue	geneID	Count	contrast	gene_set	direction	ontology	significant_padj_0.05
GO:0019131	tripeptidyl-peptidase I activity	6/226	8/4328	0.75	14.3628318584071	8.87874254558229	4.87299113597282e-07	0.000119875581944931	0.000101563394202381	gene_1497/gene_3437/gene_3992/gene_4133/gene_5572/gene_8014	6	interaction_vs_onu	strong	up	MF	TRUE
GO:0008236	serine-type peptidase activity	7/226	18/4328	0.388888888888889	7.44739429695182	6.43326864523056	1.87403116486602e-05	0.0023050583327852	0.0019529377402288	gene_1490/gene_1497/gene_3437/gene_3992/gene_4133/gene_5572/gene_8014	7	interaction_vs_onu	strong	up	MF	TRUE
GO:0004289	subtilase activity	7/226	25/4328	0.28	5.36212389380531	5.13371986762584	0.000206603184743495	0.0169414611489666	0.0143534844137586	gene_1497/gene_3437/gene_3992/gene_4133/gene_5407/gene_5572/gene_8014	7	interaction_vs_onu	strong	up	MF	TRUE
GO:0004806	triacylglycerol lipase activity	5/226	16/4328	0.3125	5.98451327433628	4.68806053926892	0.00100983219516466	0.0621046800026267	0.0526175722743692	gene_3343/gene_4151/gene_5328/gene_5386/gene_7438	5	interaction_vs_onu	strong	up	MF	FALSE
GO:0003951	NAD+ kinase activity	3/226	5/4328	0.6	11.4902654867257	5.5084410106656	0.00129947070378279	0.0639339586261132	0.0541674103892615	gene_1701/gene_6037/gene_8138	3	interaction_vs_onu	strong	up	MF	FALSE
GO:0016491	oxidoreductase activity	31/226	372/4328	0.0833333333333333	1.59587020648968	2.82127122171653	0.00540154726378753	0.189435390420367	0.160497249906857	gene_94/gene_972/gene_1177/gene_1322/gene_1406/gene_1893/gene_2041/gene_2088/gene_2676/gene_3415/gene_3651/gene_4055/gene_4108/gene_4254/gene_4422/gene_4567/gene_4912/gene_5485/gene_5958/gene_5989/gene_6123/gene_6443/gene_6697/gene_6729/gene_7009/gene_7243/gene_7730/gene_7764/gene_7995/gene_8546/gene_8638	31	interaction_vs_onu	strong	up	MF	FALSE
GO:0050660	FAD binding	10/226	78/4328	0.128205128205128	2.45518493306104	3.04383330637414	0.0068027103381828	0.189435390420367	0.160497249906857	gene_929/gene_1177/gene_2041/gene_4254/gene_4913/gene_5958/gene_6533/gene_6729/gene_7764/gene_8570	10	interaction_vs_onu	strong	up	MF	FALSE
GO:0016627	oxidoreductase activity, acting on the CH-CH group of donors	4/226	19/4328	0.210526315789474	4.0316721006055	3.10828347618949	0.0150913960271566	0.189435390420367	0.160497249906857	gene_150/gene_929/gene_6533/gene_7225	4	interaction_vs_onu	strong	up	MF	FALSE
GO:0018667	cyclohexanone monooxygenase activity	3/226	12/4328	0.25	4.78761061946903	3.08364993438456	0.0217701121155952	0.189435390420367	0.160497249906857	gene_3274/gene_4620/gene_5649	3	interaction_vs_onu	strong	up	MF	FALSE
GO:0008806	carboxymethylenebutenolidase activity	2/226	5/4328	0.4	7.66017699115044	3.49726059104684	0.0244482332362025	0.189435390420367	0.160497249906857	gene_1501/gene_6265	2	interaction_vs_onu	strong	up	MF	FALSE
