ID	Description	GeneRatio	BgRatio	RichFactor	FoldEnrichment	zScore	pvalue	p.adjust	qvalue	geneID	Count	contrast	gene_set	direction	ontology	significant_padj_0.05
GO:0006350	transcription	91/915	164/3113	0.554878048780488	1.88779821404771	7.53555600545442	6.77698248653466e-13	5.04468359952403e-11	4.74124398451507e-11	gene_1/gene_3/gene_111/gene_129/gene_416/gene_438/gene_470/gene_499/gene_678/gene_778/gene_811/gene_862/gene_866/gene_893/gene_901/gene_944/gene_992/gene_1016/gene_1084/gene_1140/gene_1160/gene_1326/gene_1358/gene_1651/gene_1947/gene_1965/gene_2036/gene_2040/gene_2190/gene_2271/gene_2305/gene_2310/gene_2337/gene_2487/gene_2523/gene_2752/gene_2869/gene_2939/gene_3098/gene_3224/gene_3360/gene_3414/gene_3444/gene_3464/gene_3879/gene_3923/gene_4073/gene_4519/gene_4574/gene_4743/gene_4748/gene_4756/gene_4762/gene_4966/gene_4993/gene_5079/gene_5137/gene_5171/gene_5517/gene_5559/gene_5666/gene_5681/gene_5686/gene_5713/gene_5856/gene_5887/gene_5953/gene_6128/gene_6162/gene_6286/gene_6488/gene_6528/gene_6648/gene_6716/gene_6761/gene_6900/gene_7182/gene_7241/gene_7287/gene_7388/gene_7761/gene_7818/gene_7969/gene_7981/gene_8174/gene_8208/gene_8474/gene_8588/gene_8600/gene_8604/gene_8616	91	interaction_vs_self	significant	down	BP	TRUE
GO:0008643	carbohydrate transport	38/915	48/3113	0.791666666666667	2.6933970856102	7.62747309527074	9.00836357057863e-13	5.04468359952403e-11	4.74124398451507e-11	gene_13/gene_596/gene_1110/gene_1284/gene_1314/gene_1721/gene_1762/gene_1842/gene_1870/gene_1872/gene_1941/gene_1980/gene_3308/gene_3427/gene_4072/gene_4747/gene_4757/gene_4759/gene_4863/gene_4925/gene_5133/gene_5557/gene_6121/gene_6126/gene_6384/gene_6410/gene_6450/gene_6708/gene_7107/gene_7222/gene_7463/gene_7621/gene_7694/gene_7984/gene_8037/gene_8564/gene_8584/gene_8603	38	interaction_vs_self	significant	down	BP	TRUE
GO:0006355	regulation of transcription, DNA-dependent	123/915	266/3113	0.462406015037594	1.57319117465796	6.30613228656429	8.86750205546278e-10	3.3105341007061e-08	3.11140422998694e-08	gene_1/gene_3/gene_87/gene_129/gene_136/gene_393/gene_402/gene_428/gene_437/gene_438/gene_470/gene_627/gene_659/gene_664/gene_678/gene_771/gene_778/gene_811/gene_846/gene_862/gene_863/gene_893/gene_901/gene_944/gene_992/gene_1008/gene_1013/gene_1048/gene_1084/gene_1096/gene_1160/gene_1178/gene_1196/gene_1199/gene_1226/gene_1309/gene_1326/gene_1419/gene_1473/gene_1651/gene_1850/gene_1857/gene_1873/gene_1940/gene_1947/gene_1955/gene_1965/gene_2036/gene_2040/gene_2132/gene_2200/gene_2253/gene_2271/gene_2273/gene_2364/gene_2487/gene_2493/gene_2601/gene_2616/gene_2658/gene_2734/gene_2752/gene_2932/gene_3001/gene_3098/gene_3107/gene_3200/gene_3217/gene_3224/gene_3302/gene_3360/gene_3391/gene_3396/gene_3444/gene_4124/gene_4574/gene_4597/gene_4627/gene_4743/gene_4748/gene_4966/gene_4993/gene_5079/gene_5171/gene_5273/gene_5283/gene_5517/gene_5559/gene_5666/gene_5681/gene_5713/gene_5856/gene_5904/gene_5953/gene_6128/gene_6149/gene_6204/gene_6255/gene_6286/gene_6318/gene_6395/gene_6488/gene_6688/gene_6691/gene_6716/gene_6719/gene_6846/gene_6900/gene_7111/gene_7241/gene_7385/gene_7625/gene_7818/gene_7875/gene_7969/gene_8013/gene_8174/gene_8208/gene_8296/gene_8474/gene_8576/gene_8588/gene_8598	123	interaction_vs_self	significant	down	BP	TRUE
GO:0006810	transport	96/915	204/3113	0.470588235294118	1.60102860816458	5.72868397079661	2.65390490069904e-08	7.43093372195732e-07	6.98396026499748e-07	gene_13/gene_105/gene_128/gene_175/gene_407/gene_439/gene_596/gene_711/gene_727/gene_847/gene_1053/gene_1110/gene_1245/gene_1284/gene_1314/gene_1466/gene_1476/gene_1498/gene_1544/gene_1721/gene_1755/gene_1762/gene_1842/gene_1870/gene_1872/gene_1941/gene_1980/gene_2411/gene_2452/gene_2474/gene_2558/gene_2704/gene_2726/gene_2760/gene_2795/gene_2811/gene_3291/gene_3308/gene_3323/gene_3414/gene_3427/gene_3526/gene_3689/gene_3727/gene_4072/gene_4747/gene_4757/gene_4759/gene_4863/gene_4925/gene_5013/gene_5107/gene_5133/gene_5343/gene_5509/gene_5557/gene_5651/gene_5736/gene_5757/gene_5881/gene_6121/gene_6126/gene_6289/gene_6380/gene_6381/gene_6382/gene_6384/gene_6410/gene_6436/gene_6450/gene_6459/gene_6708/gene_6712/gene_6767/gene_6877/gene_7001/gene_7107/gene_7222/gene_7247/gene_7383/gene_7420/gene_7463/gene_7477/gene_7540/gene_7605/gene_7621/gene_7694/gene_7723/gene_7754/gene_7924/gene_7984/gene_8037/gene_8437/gene_8545/gene_8584/gene_8603	96	interaction_vs_self	significant	down	BP	TRUE
GO:0006364	rRNA processing	16/915	18/3113	0.888888888888889	3.02416514875531	5.5560784103428	2.28580216979772e-07	5.1201968603469e-06	4.812215094311e-06	gene_367/gene_598/gene_1201/gene_1312/gene_1362/gene_2061/gene_2114/gene_3028/gene_4672/gene_4741/gene_4950/gene_5539/gene_5620/gene_5762/gene_7127/gene_8175	16	interaction_vs_self	significant	down	BP	TRUE
GO:0006396	RNA processing	15/915	29/3113	0.517241379310345	1.75975127190503	2.65173271853954	0.00924593658230915	0.172590816203104	0.162209413724722	gene_152/gene_744/gene_1130/gene_1144/gene_2972/gene_3234/gene_3319/gene_3630/gene_5167/gene_6293/gene_6918/gene_7171/gene_7638/gene_8340/gene_8393	15	interaction_vs_self	significant	down	BP	FALSE
GO:0006865	amino acid transport	20/915	44/3113	0.454545454545455	1.54644808743169	2.3550129599131	0.0167335472367379	0.267736755787806	0.251632289274254	gene_105/gene_1043/gene_1476/gene_1879/gene_2760/gene_3414/gene_5431/gene_5509/gene_5651/gene_5675/gene_6065/gene_6380/gene_6381/gene_6382/gene_6436/gene_6712/gene_7247/gene_7383/gene_7477/gene_8545	20	interaction_vs_self	significant	down	BP	FALSE
GO:0006468	protein amino acid phosphorylation	46/915	120/3113	0.383333333333333	1.30417122040073	2.19215814767368	0.0199965652882474	0.279951914035463	0.26311270116115	gene_229/gene_557/gene_834/gene_967/gene_1005/gene_1479/gene_1802/gene_2306/gene_2362/gene_2526/gene_2692/gene_2979/gene_3011/gene_3122/gene_3311/gene_3315/gene_3357/gene_3365/gene_3537/gene_3577/gene_3990/gene_4059/gene_4267/gene_4510/gene_4868/gene_4963/gene_5102/gene_5103/gene_5273/gene_5522/gene_5594/gene_5690/gene_5733/gene_5904/gene_6011/gene_6347/gene_6376/gene_6451/gene_6544/gene_6558/gene_6720/gene_6736/gene_7589/gene_7714/gene_7735/gene_8119	46	interaction_vs_self	significant	down	BP	FALSE
GO:0015904	tetracycline transport	8/915	14/3113	0.571428571428571	1.94410616705699	2.28397087431505	0.0275928862945204	0.318518419700637	0.299359417011877	gene_1192/gene_1296/gene_2336/gene_3530/gene_4904/gene_6164/gene_6485/gene_7749	8	interaction_vs_self	significant	down	BP	FALSE
GO:0006072	glycerol-3-phosphate metabolic process	4/915	5/3113	0.8	2.72174863387978	2.48559714448322	0.0284391446161283	0.318518419700637	0.299359417011877	gene_3019/gene_6766/gene_6768/gene_7379	4	interaction_vs_self	significant	down	BP	FALSE
