ID	Description	GeneRatio	BgRatio	RichFactor	FoldEnrichment	zScore	pvalue	p.adjust	qvalue	geneID	Count	contrast	gene_set	direction	ontology	significant_padj_0.05
GO:0005634	nucleus	206/584	473/1791	0.435517970401691	1.33563815922847	5.91729879796674	3.66074014298855e-09	1.02500724003679e-07	9.24818562439212e-08	gene_1/gene_3/gene_18/gene_87/gene_111/gene_129/gene_136/gene_140/gene_151/gene_220/gene_393/gene_402/gene_428/gene_437/gene_438/gene_470/gene_565/gene_627/gene_639/gene_659/gene_664/gene_678/gene_696/gene_707/gene_713/gene_715/gene_744/gene_750/gene_771/gene_778/gene_811/gene_846/gene_862/gene_863/gene_866/gene_893/gene_897/gene_901/gene_944/gene_957/gene_992/gene_1008/gene_1013/gene_1016/gene_1084/gene_1096/gene_1160/gene_1175/gene_1178/gene_1196/gene_1199/gene_1214/gene_1226/gene_1281/gene_1309/gene_1326/gene_1358/gene_1362/gene_1419/gene_1473/gene_1651/gene_1736/gene_1770/gene_1850/gene_1857/gene_1873/gene_1940/gene_1947/gene_1955/gene_1965/gene_2024/gene_2036/gene_2040/gene_2064/gene_2127/gene_2132/gene_2136/gene_2200/gene_2240/gene_2253/gene_2271/gene_2273/gene_2285/gene_2303/gene_2305/gene_2337/gene_2339/gene_2346/gene_2364/gene_2412/gene_2487/gene_2493/gene_2557/gene_2597/gene_2601/gene_2616/gene_2658/gene_2734/gene_2752/gene_2869/gene_2932/gene_2939/gene_3001/gene_3036/gene_3098/gene_3115/gene_3118/gene_3200/gene_3217/gene_3224/gene_3302/gene_3360/gene_3391/gene_3396/gene_3414/gene_3444/gene_3464/gene_3517/gene_3777/gene_3879/gene_4073/gene_4100/gene_4124/gene_4505/gene_4521/gene_4552/gene_4568/gene_4574/gene_4597/gene_4627/gene_4701/gene_4741/gene_4743/gene_4748/gene_4756/gene_4762/gene_4966/gene_4993/gene_5079/gene_5171/gene_5329/gene_5517/gene_5559/gene_5630/gene_5666/gene_5681/gene_5686/gene_5713/gene_5762/gene_5791/gene_5856/gene_5887/gene_5904/gene_5930/gene_5953/gene_6128/gene_6149/gene_6162/gene_6204/gene_6225/gene_6228/gene_6255/gene_6286/gene_6298/gene_6338/gene_6488/gene_6528/gene_6648/gene_6688/gene_6691/gene_6716/gene_6719/gene_6846/gene_6900/gene_7111/gene_7182/gene_7241/gene_7287/gene_7385/gene_7386/gene_7447/gene_7625/gene_7677/gene_7818/gene_7875/gene_7916/gene_7962/gene_7969/gene_7981/gene_8013/gene_8036/gene_8114/gene_8117/gene_8174/gene_8175/gene_8208/gene_8262/gene_8296/gene_8393/gene_8426/gene_8474/gene_8576/gene_8588/gene_8598/gene_8600/gene_8604	206	interaction_vs_self	significant	down	CC	TRUE
GO:0016021	integral to membrane	119/584	268/1791	0.444029850746269	1.36174223062768	4.46576598676956	7.99099806509537e-06	0.000111873972911335	0.00010093892292752	gene_13/gene_105/gene_110/gene_128/gene_150/gene_175/gene_345/gene_427/gene_534/gene_555/gene_596/gene_711/gene_727/gene_887/gene_956/gene_1043/gene_1053/gene_1110/gene_1192/gene_1284/gene_1296/gene_1314/gene_1330/gene_1464/gene_1466/gene_1498/gene_1544/gene_1721/gene_1755/gene_1762/gene_1842/gene_1870/gene_1872/gene_1941/gene_1980/gene_2336/gene_2411/gene_2428/gene_2630/gene_2704/gene_2726/gene_2760/gene_2795/gene_2811/gene_2818/gene_2926/gene_2995/gene_3029/gene_3072/gene_3109/gene_3308/gene_3392/gene_3414/gene_3427/gene_3526/gene_3530/gene_3646/gene_3683/gene_4072/gene_4452/gene_4526/gene_4723/gene_4729/gene_4747/gene_4757/gene_4759/gene_4863/gene_4904/gene_4925/gene_4982/gene_5013/gene_5133/gene_5282/gene_5343/gene_5351/gene_5455/gene_5557/gene_5623/gene_5736/gene_5881/gene_6065/gene_6121/gene_6126/gene_6164/gene_6199/gene_6224/gene_6289/gene_6382/gene_6384/gene_6410/gene_6420/gene_6450/gene_6459/gene_6485/gene_6708/gene_6877/gene_7001/gene_7018/gene_7107/gene_7222/gene_7412/gene_7463/gene_7477/gene_7540/gene_7621/gene_7694/gene_7723/gene_7749/gene_7815/gene_7924/gene_7984/gene_8037/gene_8178/gene_8295/gene_8545/gene_8556/gene_8564/gene_8584/gene_8603	119	interaction_vs_self	significant	down	CC	TRUE
GO:0032040	small subunit processome	8/584	10/1791	0.8	2.45342465753425	3.2050873349844	0.00283414719169098	0.0230576307309115	0.0208038773511984	gene_367/gene_598/gene_2061/gene_2114/gene_3028/gene_4672/gene_4950/gene_5620	8	interaction_vs_self	significant	down	CC	TRUE
GO:0016020	membrane	125/584	318/1791	0.393081761006289	1.20549560609977	2.80992048743109	0.00329394724727308	0.0230576307309115	0.0208038773511984	gene_13/gene_95/gene_105/gene_134/gene_345/gene_395/gene_596/gene_847/gene_1043/gene_1048/gene_1053/gene_1110/gene_1212/gene_1245/gene_1284/gene_1314/gene_1416/gene_1437/gene_1472/gene_1476/gene_1721/gene_1762/gene_1842/gene_1870/gene_1872/gene_1879/gene_1941/gene_1980/gene_1996/gene_2294/gene_2452/gene_2474/gene_2551/gene_2555/gene_2630/gene_2704/gene_2760/gene_2795/gene_2806/gene_2832/gene_2888/gene_3037/gene_3107/gene_3291/gene_3308/gene_3345/gene_3414/gene_3427/gene_3689/gene_3702/gene_3727/gene_3819/gene_4001/gene_4072/gene_4098/gene_4199/gene_4360/gene_4669/gene_4679/gene_4705/gene_4711/gene_4747/gene_4757/gene_4759/gene_4863/gene_4925/gene_5107/gene_5133/gene_5185/gene_5273/gene_5283/gene_5431/gene_5509/gene_5557/gene_5616/gene_5651/gene_5675/gene_5688/gene_5736/gene_5757/gene_5881/gene_5902/gene_5971/gene_5996/gene_6065/gene_6121/gene_6126/gene_6267/gene_6380/gene_6381/gene_6382/gene_6384/gene_6410/gene_6436/gene_6450/gene_6459/gene_6471/gene_6708/gene_6712/gene_6717/gene_6767/gene_6774/gene_7005/gene_7107/gene_7206/gene_7222/gene_7247/gene_7383/gene_7390/gene_7463/gene_7467/gene_7477/gene_7621/gene_7694/gene_7723/gene_7754/gene_7984/gene_8037/gene_8183/gene_8191/gene_8309/gene_8545/gene_8549/gene_8584/gene_8603	125	interaction_vs_self	significant	down	CC	TRUE
GO:0000151	ubiquitin ligase complex	3/584	5/1791	0.6	1.84006849315068	1.30809195791186	0.198959614296839	0.974174869823376	0.878954769765452	gene_650/gene_2683/gene_5462	3	interaction_vs_self	significant	down	CC	FALSE
GO:0005743	mitochondrial inner membrane	11/584	27/1791	0.407407407407407	1.24942922374429	0.908153436797995	0.238024554228938	0.974174869823376	0.878954769765452	gene_371/gene_407/gene_2443/gene_2558/gene_3323/gene_3899/gene_4985/gene_6640/gene_7420/gene_7605/gene_8437	11	interaction_vs_self	significant	down	CC	FALSE
GO:0000785	chromatin	4/584	8/1791	0.5	1.5333904109589	1.05146260031352	0.243543717455844	0.974174869823376	0.878954769765452	gene_565/gene_3118/gene_6719/gene_8036	4	interaction_vs_self	significant	down	CC	FALSE
GO:0005669	transcription factor TFIID complex	3/584	6/1791	0.5	1.5333904109589	0.910083043709912	0.3051569282837	0.999999999983046	0.902255639082448	gene_2180/gene_6688/gene_7875	3	interaction_vs_self	significant	down	CC	FALSE
GO:0005576	extracellular region	4/584	10/1791	0.4	1.22671232876712	0.499945291178057	0.420867445259331	0.999999999983046	0.902255639082448	gene_1079/gene_4315/gene_5439/gene_5702	4	interaction_vs_self	significant	down	CC	FALSE
GO:0000922	spindle pole	2/584	5/1791	0.4	1.22671232876712	0.353019517381838	0.524850340723871	0.999999999983046	0.902255639082448	gene_593/gene_8263	2	interaction_vs_self	significant	down	CC	FALSE
