ID	Description	GeneRatio	BgRatio	RichFactor	FoldEnrichment	zScore	pvalue	p.adjust	qvalue	geneID	Count	contrast	gene_set	direction	ontology	significant_padj_0.05
GO:0005351	sugar:hydrogen symporter activity	38/1321	48/4328	0.791666666666667	2.59374211455968	7.35859541540675	3.7405486826079e-12	1.67950635849095e-09	1.63402916134977e-09	gene_13/gene_596/gene_1110/gene_1284/gene_1314/gene_1721/gene_1762/gene_1842/gene_1870/gene_1872/gene_1941/gene_1980/gene_3308/gene_3427/gene_4072/gene_4747/gene_4757/gene_4759/gene_4863/gene_4925/gene_5133/gene_5557/gene_6121/gene_6126/gene_6384/gene_6410/gene_6450/gene_6708/gene_7107/gene_7222/gene_7463/gene_7621/gene_7694/gene_7984/gene_8037/gene_8564/gene_8584/gene_8603	38	interaction_vs_self	significant	down	MF	TRUE
GO:0005215	transporter activity	58/1321	93/4328	0.623655913978495	2.0432875062066	6.74057454305939	1.47476032843737e-10	3.3108369373419e-08	3.22118703316584e-08	gene_13/gene_596/gene_847/gene_1053/gene_1110/gene_1245/gene_1284/gene_1314/gene_1466/gene_1544/gene_1721/gene_1762/gene_1842/gene_1870/gene_1872/gene_1941/gene_1980/gene_2411/gene_2452/gene_2704/gene_2795/gene_2811/gene_3291/gene_3308/gene_3427/gene_3689/gene_3727/gene_4072/gene_4747/gene_4757/gene_4759/gene_4863/gene_4925/gene_5013/gene_5133/gene_5343/gene_5557/gene_5757/gene_5881/gene_6121/gene_6126/gene_6289/gene_6384/gene_6410/gene_6450/gene_6459/gene_6708/gene_6767/gene_7107/gene_7222/gene_7463/gene_7621/gene_7694/gene_7924/gene_7984/gene_8037/gene_8584/gene_8603	58	interaction_vs_self	significant	down	MF	TRUE
GO:0003676	nucleic acid binding	141/1321	311/4328	0.453376205787781	1.485399105715	5.88852323271864	8.00597707314479e-09	1.19822790194734e-06	1.16578262644038e-06	gene_22/gene_140/gene_151/gene_185/gene_243/gene_305/gene_318/gene_405/gene_408/gene_411/gene_447/gene_510/gene_570/gene_608/gene_680/gene_688/gene_696/gene_744/gene_751/gene_753/gene_758/gene_762/gene_791/gene_811/gene_897/gene_904/gene_911/gene_1089/gene_1116/gene_1148/gene_1174/gene_1208/gene_1244/gene_1293/gene_1488/gene_1633/gene_1635/gene_1778/gene_1858/gene_1897/gene_1972/gene_2136/gene_2233/gene_2397/gene_2406/gene_2408/gene_2462/gene_2493/gene_2518/gene_2543/gene_2547/gene_2557/gene_2569/gene_2597/gene_2621/gene_2664/gene_2729/gene_2756/gene_2836/gene_2972/gene_3073/gene_3089/gene_3118/gene_3135/gene_3158/gene_3219/gene_3287/gene_3325/gene_3444/gene_3464/gene_3559/gene_3673/gene_3748/gene_3798/gene_3813/gene_3854/gene_3921/gene_3922/gene_3996/gene_4041/gene_4087/gene_4100/gene_4121/gene_4246/gene_4272/gene_4279/gene_4296/gene_4357/gene_4377/gene_4390/gene_4423/gene_4520/gene_4521/gene_4700/gene_4930/gene_5031/gene_5091/gene_5150/gene_5167/gene_5216/gene_5313/gene_5348/gene_5592/gene_5600/gene_5629/gene_5781/gene_5791/gene_5833/gene_5906/gene_5966/gene_6063/gene_6128/gene_6201/gene_6291/gene_6302/gene_6598/gene_6645/gene_6648/gene_6801/gene_7044/gene_7081/gene_7360/gene_7370/gene_7388/gene_7519/gene_7520/gene_7681/gene_7756/gene_7849/gene_7878/gene_7914/gene_8071/gene_8115/gene_8231/gene_8290/gene_8340/gene_8380/gene_8392/gene_8408/gene_8447/gene_8530	141	interaction_vs_self	significant	down	MF	TRUE
GO:0003700	transcription factor activity	112/1321	239/4328	0.468619246861925	1.53533997003665	5.64284612755569	3.54497843661034e-08	3.97923829509511e-06	3.8714896084034e-06	gene_1/gene_3/gene_129/gene_136/gene_402/gene_428/gene_437/gene_438/gene_470/gene_627/gene_659/gene_664/gene_678/gene_771/gene_778/gene_846/gene_862/gene_863/gene_893/gene_901/gene_944/gene_992/gene_1008/gene_1013/gene_1084/gene_1096/gene_1160/gene_1178/gene_1196/gene_1199/gene_1226/gene_1309/gene_1326/gene_1419/gene_1473/gene_1651/gene_1850/gene_1857/gene_1873/gene_1940/gene_1947/gene_1955/gene_1965/gene_2036/gene_2040/gene_2127/gene_2132/gene_2200/gene_2253/gene_2271/gene_2273/gene_2364/gene_2487/gene_2493/gene_2601/gene_2616/gene_2658/gene_2734/gene_2752/gene_2932/gene_3001/gene_3098/gene_3200/gene_3217/gene_3224/gene_3302/gene_3360/gene_3391/gene_3396/gene_3444/gene_4124/gene_4574/gene_4597/gene_4627/gene_4743/gene_4748/gene_4966/gene_4993/gene_5079/gene_5171/gene_5517/gene_5559/gene_5666/gene_5681/gene_5713/gene_5856/gene_5904/gene_5953/gene_6128/gene_6149/gene_6204/gene_6255/gene_6286/gene_6488/gene_6691/gene_6716/gene_6846/gene_6900/gene_7111/gene_7241/gene_7385/gene_7625/gene_7818/gene_7969/gene_8013/gene_8174/gene_8208/gene_8296/gene_8474/gene_8576/gene_8588/gene_8598	112	interaction_vs_self	significant	down	MF	TRUE
GO:0003677	DNA binding	133/1321	306/4328	0.434640522875817	1.42401527858178	5.09916808930571	4.79475135143585e-07	4.30568671358939e-05	4.18909854914921e-05	gene_1/gene_3/gene_111/gene_129/gene_136/gene_151/gene_167/gene_416/gene_438/gene_470/gene_678/gene_680/gene_708/gene_753/gene_778/gene_862/gene_893/gene_901/gene_904/gene_944/gene_992/gene_1016/gene_1084/gene_1160/gene_1293/gene_1326/gene_1358/gene_1651/gene_1763/gene_1770/gene_1947/gene_1965/gene_2036/gene_2040/gene_2127/gene_2136/gene_2190/gene_2271/gene_2273/gene_2305/gene_2309/gene_2337/gene_2487/gene_2493/gene_2518/gene_2523/gene_2535/gene_2622/gene_2752/gene_2869/gene_2939/gene_2972/gene_3036/gene_3098/gene_3118/gene_3156/gene_3224/gene_3287/gene_3360/gene_3414/gene_3444/gene_3464/gene_3559/gene_3879/gene_4073/gene_4100/gene_4235/gene_4495/gene_4519/gene_4521/gene_4574/gene_4743/gene_4748/gene_4756/gene_4762/gene_4966/gene_4993/gene_5031/gene_5079/gene_5137/gene_5171/gene_5233/gene_5449/gene_5507/gene_5517/gene_5559/gene_5666/gene_5681/gene_5686/gene_5713/gene_5856/gene_5887/gene_5930/gene_5953/gene_5974/gene_6064/gene_6128/gene_6162/gene_6225/gene_6286/gene_6318/gene_6338/gene_6395/gene_6488/gene_6528/gene_6648/gene_6688/gene_6691/gene_6716/gene_6719/gene_6761/gene_6849/gene_6900/gene_7140/gene_7169/gene_7182/gene_7241/gene_7287/gene_7350/gene_7388/gene_7761/gene_7818/gene_7875/gene_7962/gene_7969/gene_7981/gene_8174/gene_8206/gene_8208/gene_8474/gene_8588/gene_8600/gene_8604	133	interaction_vs_self	significant	down	MF	TRUE
GO:0004386	helicase activity	37/1321	69/4328	0.536231884057971	1.75685964739054	4.20014437260573	4.75271056455528e-05	0.0035566117391422	0.00346030681454464	gene_151/gene_318/gene_570/gene_791/gene_897/gene_904/gene_911/gene_1089/gene_1293/gene_1488/gene_1635/gene_1778/gene_2136/gene_2408/gene_2518/gene_2621/gene_2664/gene_2756/gene_2972/gene_3118/gene_3219/gene_3559/gene_3673/gene_3798/gene_4121/gene_4279/gene_4357/gene_4377/gene_4930/gene_5031/gene_5348/gene_5592/gene_5629/gene_6201/gene_7081/gene_7519/gene_8115	37	interaction_vs_self	significant	down	MF	TRUE
GO:0008026	ATP-dependent helicase activity	31/1321	58/4328	0.53448275862069	1.75112897752486	3.81674124807856	0.000210234017710714	0.0134850105645872	0.0131198672706686	gene_318/gene_570/gene_727/gene_791/gene_897/gene_911/gene_1089/gene_1488/gene_1635/gene_1778/gene_2392/gene_2408/gene_2621/gene_2664/gene_3219/gene_3673/gene_3798/gene_4121/gene_4279/gene_4357/gene_4377/gene_4521/gene_4930/gene_5348/gene_5592/gene_5629/gene_6201/gene_7081/gene_7501/gene_7519/gene_8115	31	interaction_vs_self	significant	down	MF	TRUE
GO:0030246	carbohydrate binding	10/1321	13/4328	0.769230769230769	2.52023525301345	3.63806301928083	0.000746290264114979	0.0418855410734532	0.0407513762641732	gene_445/gene_1109/gene_2946/gene_2947/gene_5837/gene_6122/gene_7114/gene_7141/gene_7274/gene_8531	10	interaction_vs_self	significant	down	MF	TRUE
GO:0003723	RNA binding	35/1321	76/4328	0.460526315789474	1.50882505279095	2.96590200018404	0.00290786197001759	0.145070002726433	0.141141838310795	gene_152/gene_573/gene_629/gene_744/gene_866/gene_897/gene_908/gene_914/gene_1012/gene_1144/gene_1201/gene_1365/gene_2240/gene_2310/gene_2412/gene_2597/gene_2972/gene_3319/gene_3807/gene_4539/gene_4984/gene_5010/gene_5629/gene_5762/gene_5781/gene_5791/gene_6278/gene_6553/gene_6645/gene_6918/gene_6969/gene_7636/gene_7638/gene_8150/gene_8234	35	interaction_vs_self	significant	down	MF	FALSE
GO:0000810	diacylglycerol pyrophosphate phosphatase activity	5/1321	6/4328	0.833333333333333	2.73025485743124	2.81074510763009	0.0117995520426064	0.21248138071425	0.206727870112328	gene_1769/gene_3127/gene_4488/gene_5208/gene_8108	5	interaction_vs_self	significant	down	MF	FALSE
GO:0004787	thiamin-pyrophosphatase activity	5/1321	6/4328	0.833333333333333	2.73025485743124	2.81074510763009	0.0117995520426064	0.21248138071425	0.206727870112328	gene_1769/gene_3127/gene_4488/gene_5208/gene_8108	5	interaction_vs_self	significant	down	MF	FALSE
GO:0008413	8-oxo-7,8-dihydroguanine triphosphatase activity	5/1321	6/4328	0.833333333333333	2.73025485743124	2.81074510763009	0.0117995520426064	0.21248138071425	0.206727870112328	gene_1769/gene_3127/gene_4488/gene_5208/gene_8108	5	interaction_vs_self	significant	down	MF	FALSE
GO:0008758	UDP-2,3-diacylglucosamine hydrolase activity	5/1321	6/4328	0.833333333333333	2.73025485743124	2.81074510763009	0.0117995520426064	0.21248138071425	0.206727870112328	gene_1769/gene_3127/gene_4488/gene_5208/gene_8108	5	interaction_vs_self	significant	down	MF	FALSE
GO:0008796	bis(5'-nucleosyl)-tetraphosphatase activity	5/1321	6/4328	0.833333333333333	2.73025485743124	2.81074510763009	0.0117995520426064	0.21248138071425	0.206727870112328	gene_1769/gene_3127/gene_4488/gene_5208/gene_8108	5	interaction_vs_self	significant	down	MF	FALSE
GO:0008828	dATP pyrophosphohydrolase activity	5/1321	6/4328	0.833333333333333	2.73025485743124	2.81074510763009	0.0117995520426064	0.21248138071425	0.206727870112328	gene_1769/gene_3127/gene_4488/gene_5208/gene_8108	5	interaction_vs_self	significant	down	MF	FALSE
GO:0019176	dihydroneopterin monophosphate phosphatase activity	5/1321	6/4328	0.833333333333333	2.73025485743124	2.81074510763009	0.0117995520426064	0.21248138071425	0.206727870112328	gene_1769/gene_3127/gene_4488/gene_5208/gene_8108	5	interaction_vs_self	significant	down	MF	FALSE
GO:0019177	dihydroneopterin triphosphate pyrophosphohydrolase activity	5/1321	6/4328	0.833333333333333	2.73025485743124	2.81074510763009	0.0117995520426064	0.21248138071425	0.206727870112328	gene_1769/gene_3127/gene_4488/gene_5208/gene_8108	5	interaction_vs_self	significant	down	MF	FALSE
GO:0043141	ATP-dependent 5'-3' DNA helicase activity	5/1321	6/4328	0.833333333333333	2.73025485743124	2.81074510763009	0.0117995520426064	0.21248138071425	0.206727870112328	gene_1769/gene_3127/gene_4488/gene_5208/gene_8108	5	interaction_vs_self	significant	down	MF	FALSE
GO:0004344	glucose dehydrogenase activity	6/1321	8/4328	0.75	2.45722937168812	2.73406716152939	0.0123040443175289	0.21248138071425	0.206727870112328	gene_3441/gene_4064/gene_4970/gene_5036/gene_7462/gene_8586	6	interaction_vs_self	significant	down	MF	FALSE
GO:0018446	pinocarveol dehydrogenase activity	6/1321	8/4328	0.75	2.45722937168812	2.73406716152939	0.0123040443175289	0.21248138071425	0.206727870112328	gene_3441/gene_4064/gene_4970/gene_5036/gene_7462/gene_8586	6	interaction_vs_self	significant	down	MF	FALSE
GO:0018447	chloral hydrate dehydrogenase activity	6/1321	8/4328	0.75	2.45722937168812	2.73406716152939	0.0123040443175289	0.21248138071425	0.206727870112328	gene_3441/gene_4064/gene_4970/gene_5036/gene_7462/gene_8586	6	interaction_vs_self	significant	down	MF	FALSE
GO:0018448	hydroxymethylmethylsilanediol oxidase activity	6/1321	8/4328	0.75	2.45722937168812	2.73406716152939	0.0123040443175289	0.21248138071425	0.206727870112328	gene_3441/gene_4064/gene_4970/gene_5036/gene_7462/gene_8586	6	interaction_vs_self	significant	down	MF	FALSE
GO:0018449	1-phenylethanol dehydrogenase activity	6/1321	8/4328	0.75	2.45722937168812	2.73406716152939	0.0123040443175289	0.21248138071425	0.206727870112328	gene_3441/gene_4064/gene_4970/gene_5036/gene_7462/gene_8586	6	interaction_vs_self	significant	down	MF	FALSE
GO:0018450	myrtenol dehydrogenase activity	6/1321	8/4328	0.75	2.45722937168812	2.73406716152939	0.0123040443175289	0.21248138071425	0.206727870112328	gene_3441/gene_4064/gene_4970/gene_5036/gene_7462/gene_8586	6	interaction_vs_self	significant	down	MF	FALSE
GO:0042469	versicolorin reductase activity	6/1321	8/4328	0.75	2.45722937168812	2.73406716152939	0.0123040443175289	0.21248138071425	0.206727870112328	gene_3441/gene_4064/gene_4970/gene_5036/gene_7462/gene_8586	6	interaction_vs_self	significant	down	MF	FALSE
GO:0045703	ketoreductase activity	6/1321	8/4328	0.75	2.45722937168812	2.73406716152939	0.0123040443175289	0.21248138071425	0.206727870112328	gene_3441/gene_4064/gene_4970/gene_5036/gene_7462/gene_8586	6	interaction_vs_self	significant	down	MF	FALSE
GO:0004526	ribonuclease P activity	6/1321	9/4328	0.666666666666667	2.18420388594499	2.35686266565833	0.0274279185041667	0.456116126235958	0.443765543049871	gene_1201/gene_3234/gene_3716/gene_4082/gene_5056/gene_7510	6	interaction_vs_self	significant	down	MF	FALSE
