ID	Description	GeneRatio	BgRatio	RichFactor	FoldEnrichment	zScore	pvalue	p.adjust	qvalue	geneID	Count	contrast	gene_set	direction	ontology	significant_padj_0.05
GO:0004298	threonine endopeptidase activity	14/1390	14/4328	1	3.1136690647482	5.44798484315582	1.18796017498189e-07	2.6966695972089e-05	2.62601722890734e-05	gene_292/gene_569/gene_1227/gene_1935/gene_2134/gene_2882/gene_3478/gene_5127/gene_5360/gene_5807/gene_6019/gene_6274/gene_8006/gene_8617	14	interaction_vs_self	significant	up	MF	TRUE
GO:0004299	proteasome endopeptidase activity	14/1390	14/4328	1	3.1136690647482	5.44798484315582	1.18796017498189e-07	2.6966695972089e-05	2.62601722890734e-05	gene_292/gene_569/gene_1227/gene_1935/gene_2134/gene_2882/gene_3478/gene_5127/gene_5360/gene_5807/gene_6019/gene_6274/gene_8006/gene_8617	14	interaction_vs_self	significant	up	MF	TRUE
GO:0003779	actin binding	15/1390	16/4328	0.9375	2.91906474820144	5.28914161275892	4.25063202595237e-07	6.43262313260792e-05	6.26408930140349e-05	gene_300/gene_413/gene_1238/gene_1266/gene_2103/gene_2130/gene_2732/gene_2934/gene_3286/gene_4166/gene_4790/gene_6603/gene_7034/gene_7421/gene_7649	15	interaction_vs_self	significant	up	MF	TRUE
GO:0004175	endopeptidase activity	9/1390	9/4328	1	3.1136690647482	4.36557642894442	3.57183854376274e-05	0.00405403674717071	0.00394782154836935	gene_292/gene_1227/gene_2882/gene_3478/gene_5127/gene_5360/gene_5807/gene_8006/gene_8617	9	interaction_vs_self	significant	up	MF	TRUE
GO:0046933	hydrogen ion transporting ATP synthase activity, rotational mechanism	13/1390	17/4328	0.764705882352941	2.38104104951333	3.9238914881045	0.000218337804464721	0.0198250726453966	0.0193056585000385	gene_850/gene_2188/gene_2368/gene_4239/gene_4496/gene_4850/gene_4942/gene_5058/gene_6915/gene_7647/gene_7687/gene_7895/gene_8335	13	interaction_vs_self	significant	up	MF	TRUE
GO:0008137	NADH dehydrogenase (ubiquinone) activity	7/1390	7/4328	1	3.1136690647482	3.84918540185418	0.000348842676063523	0.0226249392761199	0.0220321690145383	gene_449/gene_718/gene_1832/gene_2085/gene_4897/gene_7043/gene_7641	7	interaction_vs_self	significant	up	MF	TRUE
GO:0016651	oxidoreductase activity, acting on NADH or NADPH	7/1390	7/4328	1	3.1136690647482	3.84918540185418	0.000348842676063523	0.0226249392761199	0.0220321690145383	gene_1168/gene_2085/gene_2112/gene_7043/gene_7280/gene_7641/gene_7762	7	interaction_vs_self	significant	up	MF	TRUE
GO:0046961	hydrogen ion transporting ATPase activity, rotational mechanism	15/1390	22/4328	0.681818181818182	2.12295618051014	3.63171775645868	0.000545885924370967	0.0301296526185405	0.0293402599114005	gene_850/gene_1147/gene_2188/gene_2368/gene_4239/gene_4496/gene_4850/gene_4942/gene_5058/gene_5149/gene_6915/gene_7647/gene_7687/gene_7895/gene_8335	15	interaction_vs_self	significant	up	MF	TRUE
GO:0030170	pyridoxal phosphate binding	28/1390	51/4328	0.549019607843137	1.70946536888137	3.50527113064694	0.000597283862482081	0.0301296526185405	0.0293402599114005	gene_31/gene_643/gene_714/gene_875/gene_976/gene_1004/gene_1074/gene_1194/gene_2227/gene_2600/gene_2662/gene_2762/gene_3505/gene_4290/gene_4303/gene_4421/gene_4492/gene_5063/gene_5130/gene_5159/gene_5889/gene_6497/gene_6501/gene_6968/gene_7346/gene_7534/gene_7570/gene_7778	28	interaction_vs_self	significant	up	MF	TRUE
GO:0008565	protein transporter activity	19/1390	31/4328	0.612903225806452	1.90837781387793	3.490917943945	0.000754944109796786	0.0342744625847741	0.0333764764331211	gene_937/gene_1286/gene_1344/gene_1932/gene_2014/gene_2165/gene_2701/gene_2785/gene_4641/gene_4668/gene_4845/gene_5967/gene_6060/gene_6941/gene_7369/gene_7473/gene_8300/gene_8316/gene_8573	19	interaction_vs_self	significant	up	MF	TRUE
