ID	Description	GeneRatio	BgRatio	RichFactor	FoldEnrichment	zScore	pvalue	p.adjust	qvalue	geneID	Count	contrast	gene_set	direction	ontology	significant_padj_0.05
GO:0008643	carbohydrate transport	29/273	48/3113	0.604166666666667	6.88927045177045	12.7470246520303	1.37449037555934e-19	7.28479899046451e-18	6.51074388422846e-18	gene_596/gene_1110/gene_1284/gene_1314/gene_1721/gene_1762/gene_1870/gene_1872/gene_1941/gene_1980/gene_3308/gene_4072/gene_4747/gene_4757/gene_4759/gene_4863/gene_4925/gene_6121/gene_6126/gene_6410/gene_6450/gene_6708/gene_7107/gene_7222/gene_7463/gene_7694/gene_8037/gene_8584/gene_8603	29	interaction_vs_self	strong	down	BP	TRUE
GO:0006810	transport	57/273	204/3113	0.279411764705882	3.18611290670114	10.012851127246	6.52890566251399e-17	1.73016000056621e-15	1.54631976217437e-15	gene_175/gene_407/gene_596/gene_711/gene_1053/gene_1110/gene_1284/gene_1314/gene_1466/gene_1721/gene_1755/gene_1762/gene_1870/gene_1872/gene_1941/gene_1980/gene_2474/gene_2704/gene_2795/gene_2811/gene_3291/gene_3308/gene_3689/gene_4072/gene_4747/gene_4757/gene_4759/gene_4863/gene_4925/gene_5013/gene_5107/gene_5343/gene_5651/gene_5757/gene_5881/gene_6121/gene_6126/gene_6289/gene_6380/gene_6381/gene_6410/gene_6450/gene_6708/gene_6712/gene_6767/gene_7107/gene_7222/gene_7247/gene_7420/gene_7463/gene_7477/gene_7694/gene_7924/gene_8037/gene_8545/gene_8584/gene_8603	57	interaction_vs_self	strong	down	BP	TRUE
GO:0005975	carbohydrate metabolic process	30/273	132/3113	0.227272727272727	2.59157509157509	5.79262026116111	5.25310296009574e-07	9.28048189616915e-06	8.29437309488802e-06	gene_394/gene_648/gene_705/gene_928/gene_1109/gene_1439/gene_2401/gene_2690/gene_2751/gene_2946/gene_2947/gene_3338/gene_4183/gene_4325/gene_4862/gene_5037/gene_5516/gene_5659/gene_5694/gene_5809/gene_5837/gene_6122/gene_6171/gene_6766/gene_6789/gene_7274/gene_7391/gene_7979/gene_8531/gene_8548	30	interaction_vs_self	strong	down	BP	TRUE
GO:0006350	transcription	34/273	164/3113	0.207317073170732	2.36402215670508	5.56349766756354	8.88537561993319e-07	1.17731226964115e-05	1.05221553393946e-05	gene_129/gene_893/gene_901/gene_1947/gene_2040/gene_2271/gene_2305/gene_3098/gene_3224/gene_3360/gene_3444/gene_3464/gene_3879/gene_4073/gene_4574/gene_4748/gene_4756/gene_4966/gene_4993/gene_5079/gene_5171/gene_5517/gene_5686/gene_5887/gene_6128/gene_6648/gene_6716/gene_7241/gene_7818/gene_7969/gene_7981/gene_8208/gene_8588/gene_8604	34	interaction_vs_self	strong	down	BP	TRUE
GO:0006355	regulation of transcription, DNA-dependent	38/273	266/3113	0.142857142857143	1.62899005756149	3.32531516562741	0.00125187703589267	0.0132698965804623	0.0118598877084569	gene_129/gene_136/gene_664/gene_846/gene_893/gene_901/gene_1008/gene_1199/gene_1850/gene_1857/gene_1947/gene_2040/gene_2132/gene_2253/gene_2271/gene_3098/gene_3224/gene_3360/gene_3444/gene_4574/gene_4627/gene_4748/gene_4966/gene_4993/gene_5079/gene_5171/gene_5283/gene_5517/gene_6128/gene_6716/gene_6719/gene_7241/gene_7625/gene_7818/gene_7969/gene_8013/gene_8208/gene_8588	38	interaction_vs_self	strong	down	BP	TRUE
GO:0006950	response to stress	4/273	9/3113	0.444444444444444	5.06796906796907	3.78861075729727	0.0051136075704173	0.0451702002053528	0.0403705860822419	gene_427/gene_4526/gene_8295/gene_8556	4	interaction_vs_self	strong	down	BP	TRUE
GO:0006865	amino acid transport	9/273	44/3113	0.204545454545455	2.33241758241758	2.75937164130131	0.0122712795263949	0.0929111164141326	0.0830387336372586	gene_5651/gene_5675/gene_6065/gene_6380/gene_6381/gene_6712/gene_7247/gene_7477/gene_8545	9	interaction_vs_self	strong	down	BP	FALSE
GO:0006808	regulation of nitrogen utilization	4/273	13/3113	0.307692307692308	3.50859397013243	2.80972069914998	0.0219058391304191	0.145126184239026	0.129705626430113	gene_2453/gene_4695/gene_6464/gene_6514	4	interaction_vs_self	strong	down	BP	FALSE
GO:0006072	glycerol-3-phosphate metabolic process	2/273	5/3113	0.4	4.56117216117216	2.47046903311892	0.0641455498222895	0.339971414058134	0.303847341263476	gene_6766/gene_7379	2	interaction_vs_self	strong	down	BP	FALSE
GO:0006885	regulation of pH	2/273	5/3113	0.4	4.56117216117216	2.47046903311892	0.0641455498222895	0.339971414058134	0.303847341263476	gene_2428/gene_2995	2	interaction_vs_self	strong	down	BP	FALSE
