ID	Description	GeneRatio	BgRatio	RichFactor	FoldEnrichment	zScore	pvalue	p.adjust	qvalue	geneID	Count	contrast	gene_set	direction	ontology	significant_padj_0.05
GO:0008152	metabolic process	61/225	473/3113	0.128964059196617	1.78428940568475	5.16912952055166	1.1714024996086e-06	8.43409799718194e-05	7.2750260502008e-05	gene_94/gene_131/gene_1198/gene_1322/gene_1329/gene_1406/gene_1440/gene_1480/gene_1552/gene_1699/gene_1810/gene_1835/gene_1892/gene_1950/gene_1968/gene_2016/gene_2043/gene_2296/gene_2676/gene_2709/gene_2768/gene_2815/gene_2889/gene_3211/gene_3397/gene_3407/gene_3477/gene_3730/gene_3846/gene_3959/gene_4055/gene_4309/gene_4310/gene_4422/gene_5183/gene_5328/gene_5389/gene_5405/gene_5467/gene_5646/gene_5907/gene_6037/gene_6303/gene_6304/gene_6533/gene_6806/gene_6972/gene_6973/gene_6982/gene_7225/gene_7226/gene_7243/gene_7423/gene_7563/gene_7600/gene_7730/gene_7778/gene_7887/gene_8490/gene_8491/gene_8612	61	interaction_vs_self	strong	up	BP	TRUE
GO:0006096	glycolysis	5/225	17/3113	0.294117647058824	4.06928104575163	3.54138465284431	0.005682689115772	0.0911130597421912	0.0785916743390245	gene_7/gene_1596/gene_2905/gene_3385/gene_5570	5	interaction_vs_self	strong	up	BP	FALSE
GO:0005975	carbohydrate metabolic process	18/225	132/3113	0.136363636363636	1.88666666666667	2.90521861534585	0.00583969434238533	0.0911130597421912	0.0785916743390245	gene_1575/gene_1596/gene_1735/gene_1826/gene_1950/gene_2533/gene_2960/gene_2975/gene_3262/gene_3594/gene_3724/gene_3977/gene_4140/gene_5612/gene_6314/gene_7032/gene_7160/gene_7161	18	interaction_vs_self	strong	up	BP	FALSE
GO:0006979	response to oxidative stress	4/225	11/3113	0.363636363636364	5.03111111111111	3.7377708569826	0.00584792361258599	0.0911130597421912	0.0785916743390245	gene_327/gene_1129/gene_5526/gene_7198	4	interaction_vs_self	strong	up	BP	FALSE
GO:0006633	fatty acid biosynthetic process	3/225	6/3113	0.5	6.91777777777778	4.04926416400849	0.00632729581542994	0.0911130597421912	0.0785916743390245	gene_2517/gene_8490/gene_8491	3	interaction_vs_self	strong	up	BP	FALSE
GO:0006508	proteolysis	17/225	129/3113	0.131782945736434	1.8232902670112	2.66539074689436	0.01026226998691	0.107859216098426	0.0930364583305141	gene_1490/gene_1497/gene_2189/gene_2342/gene_3064/gene_3437/gene_3992/gene_4176/gene_4808/gene_5407/gene_5872/gene_7220/gene_7259/gene_8014/gene_8032/gene_8226/gene_8559	17	interaction_vs_self	strong	up	BP	FALSE
GO:0006270	DNA replication initiation	3/225	7/3113	0.428571428571429	5.92952380952381	3.64389388844642	0.0104863126762359	0.107859216098426	0.0930364583305141	gene_1171/gene_4164/gene_7771	3	interaction_vs_self	strong	up	BP	FALSE
GO:0009308	amine metabolic process	3/225	8/3113	0.375	5.18833333333333	3.31030407168991	0.0158927667899481	0.143034901109533	0.123378057974597	gene_1966/gene_4123/gene_4987	3	interaction_vs_self	strong	up	BP	FALSE
GO:0019752	carboxylic acid metabolic process	3/225	10/3113	0.3	4.15066666666667	2.78499249525705	0.0305760525821773	0.244608420657419	0.210992643549528	gene_2762/gene_4303/gene_6968	3	interaction_vs_self	strong	up	BP	FALSE
GO:0006520	amino acid metabolic process	4/225	19/3113	0.210526315789474	2.9127485380117	2.33392546884088	0.0435302787506359	0.248999724099932	0.214780463770409	gene_2227/gene_3658/gene_6501/gene_7778	4	interaction_vs_self	strong	up	BP	FALSE
