ID	Description	GeneRatio	BgRatio	RichFactor	FoldEnrichment	zScore	pvalue	p.adjust	qvalue	geneID	Count	contrast	gene_set	direction	ontology	significant_padj_0.05
GO:0016491	oxidoreductase activity	53/315	372/4328	0.14247311827957	1.95753541559993	5.411433413874	6.95438183922566e-07	0.000155082715014732	0.000125910913299665	gene_94/gene_184/gene_256/gene_289/gene_1177/gene_1251/gene_1322/gene_1403/gene_1406/gene_1596/gene_1835/gene_1861/gene_1893/gene_1968/gene_2041/gene_2043/gene_2059/gene_2300/gene_2517/gene_2676/gene_2889/gene_3211/gene_3415/gene_3579/gene_3651/gene_3658/gene_3671/gene_3730/gene_4055/gene_4309/gene_4422/gene_4991/gene_5065/gene_5118/gene_5195/gene_5389/gene_5467/gene_5506/gene_5610/gene_5615/gene_5826/gene_5875/gene_5958/gene_6443/gene_6581/gene_7243/gene_7500/gene_7563/gene_7600/gene_7730/gene_7995/gene_8028/gene_8491	53	interaction_vs_self	strong	up	MF	TRUE
GO:0003824	catalytic activity	45/315	370/4328	0.121621621621622	1.67104247104247	3.78117797719202	0.000295485179751828	0.0329465975423289	0.0267491846933234	gene_131/gene_143/gene_278/gene_548/gene_1440/gene_1596/gene_1699/gene_1810/gene_1892/gene_1949/gene_2189/gene_2533/gene_2709/gene_2768/gene_2985/gene_3407/gene_3579/gene_3846/gene_3950/gene_3959/gene_4021/gene_4310/gene_4703/gene_4791/gene_4830/gene_5183/gene_5405/gene_5467/gene_5615/gene_5875/gene_5958/gene_6304/gene_6314/gene_6501/gene_6806/gene_7226/gene_7423/gene_7656/gene_7778/gene_7864/gene_7880/gene_7887/gene_8379/gene_8490/gene_8612	45	interaction_vs_self	strong	up	MF	TRUE
GO:0004312	fatty-acid synthase activity	4/315	7/4328	0.571428571428571	7.85124716553288	5.08207028311438	0.000808050091993576	0.0575174753488493	0.0466981626622709	gene_1440/gene_1892/gene_6806/gene_8491	4	interaction_vs_self	strong	up	MF	FALSE
GO:0008236	serine-type peptidase activity	6/315	18/4328	0.333333333333333	4.57989417989418	4.26365397429907	0.0012422929211123	0.0575174753488493	0.0466981626622709	gene_1490/gene_1497/gene_3437/gene_3992/gene_8014/gene_8226	6	interaction_vs_self	strong	up	MF	FALSE
GO:0019131	tripeptidyl-peptidase I activity	4/315	8/4328	0.5	6.86984126984127	4.65525657412261	0.00152377737510952	0.0575174753488493	0.0466981626622709	gene_1497/gene_3437/gene_3992/gene_8014	4	interaction_vs_self	strong	up	MF	FALSE
GO:0005507	copper ion binding	7/315	25/4328	0.28	3.84711111111111	3.99947413159962	0.001547555390552	0.0575174753488493	0.0466981626622709	gene_1403/gene_1966/gene_4123/gene_4987/gene_5065/gene_6443/gene_7500	7	interaction_vs_self	strong	up	MF	FALSE
GO:0004601	peroxidase activity	4/315	9/4328	0.444444444444444	6.10652557319224	4.29604981397765	0.00258649984844723	0.0720986832754665	0.0585365755174899	gene_1129/gene_1574/gene_5526/gene_7198	4	interaction_vs_self	strong	up	MF	FALSE
GO:0031177	phosphopantetheine binding	4/315	9/4328	0.444444444444444	6.10652557319224	4.29604981397765	0.00258649984844723	0.0720986832754665	0.0585365755174899	gene_1440/gene_1892/gene_5183/gene_5467	4	interaction_vs_self	strong	up	MF	FALSE
GO:0000252	C-3 sterol dehydrogenase (C-4 sterol decarboxylase) activity	4/315	12/4328	0.333333333333333	4.57989417989418	3.47883826927269	0.00852909545047051	0.157874545656926	0.12817758722205	gene_184/gene_2389/gene_6198/gene_8033	4	interaction_vs_self	strong	up	MF	FALSE
GO:0018667	cyclohexanone monooxygenase activity	4/315	12/4328	0.333333333333333	4.57989417989418	3.47883826927269	0.00852909545047051	0.157874545656926	0.12817758722205	gene_3274/gene_4620/gene_5649/gene_6158	4	interaction_vs_self	strong	up	MF	FALSE
GO:0020037	heme binding	13/315	86/4328	0.151162790697674	2.07692875599852	2.8259535021159	0.00857157451395346	0.157874545656926	0.12817758722205	gene_546/gene_965/gene_1129/gene_1531/gene_2517/gene_2632/gene_4319/gene_4491/gene_5526/gene_6581/gene_7198/gene_7339/gene_8266	13	interaction_vs_self	strong	up	MF	FALSE
GO:0016831	carboxy-lyase activity	3/315	8/4328	0.375	5.15238095238095	3.29317230878982	0.0162383962367085	0.157874545656926	0.12817758722205	gene_2762/gene_4303/gene_6968	3	interaction_vs_self	strong	up	MF	FALSE
GO:0048038	quinone binding	3/315	8/4328	0.375	5.15238095238095	3.29317230878982	0.0162383962367085	0.157874545656926	0.12817758722205	gene_1966/gene_4123/gene_4987	3	interaction_vs_self	strong	up	MF	FALSE
GO:0008131	amine oxidase activity	3/315	9/4328	0.333333333333333	4.57989417989418	3.01171579485109	0.0230643444308392	0.157874545656926	0.12817758722205	gene_1966/gene_4123/gene_4987	3	interaction_vs_self	strong	up	MF	FALSE
GO:0004553	hydrolase activity, hydrolyzing O-glycosyl compounds	11/315	78/4328	0.141025641025641	1.93764753764754	2.34102794758624	0.0243575387454783	0.157874545656926	0.12817758722205	gene_1826/gene_2960/gene_2975/gene_3262/gene_3594/gene_3724/gene_3977/gene_4140/gene_7032/gene_7160/gene_7161	11	interaction_vs_self	strong	up	MF	FALSE
GO:0050660	FAD binding	11/315	78/4328	0.141025641025641	1.93764753764754	2.34102794758624	0.0243575387454783	0.157874545656926	0.12817758722205	gene_579/gene_1177/gene_1572/gene_1949/gene_2041/gene_3579/gene_5615/gene_5875/gene_5958/gene_6533/gene_8570	11	interaction_vs_self	strong	up	MF	FALSE
GO:0030170	pyridoxal phosphate binding	8/315	51/4328	0.156862745098039	2.1552443199502	2.32489556713416	0.0292653144112365	0.157874545656926	0.12817758722205	gene_2227/gene_2762/gene_4290/gene_4303/gene_4492/gene_6501/gene_6968/gene_7778	8	interaction_vs_self	strong	up	MF	FALSE
GO:0004033	aldo-keto reductase activity	3/315	10/4328	0.3	4.12190476190476	2.76880567096411	0.0312065787352395	0.157874545656926	0.12817758722205	gene_184/gene_6198/gene_8033	3	interaction_vs_self	strong	up	MF	FALSE
GO:0004495	mevaldate reductase activity	3/315	10/4328	0.3	4.12190476190476	2.76880567096411	0.0312065787352395	0.157874545656926	0.12817758722205	gene_184/gene_6198/gene_8033	3	interaction_vs_self	strong	up	MF	FALSE
GO:0004499	flavin-containing monooxygenase activity	3/315	10/4328	0.3	4.12190476190476	2.76880567096411	0.0312065787352395	0.157874545656926	0.12817758722205	gene_579/gene_3469/gene_8570	3	interaction_vs_self	strong	up	MF	FALSE
GO:0004620	phospholipase activity	3/315	10/4328	0.3	4.12190476190476	2.76880567096411	0.0312065787352395	0.157874545656926	0.12817758722205	gene_2016/gene_5907/gene_6973	3	interaction_vs_self	strong	up	MF	FALSE
GO:0016229	steroid dehydrogenase activity	3/315	10/4328	0.3	4.12190476190476	2.76880567096411	0.0312065787352395	0.157874545656926	0.12817758722205	gene_184/gene_6198/gene_8033	3	interaction_vs_self	strong	up	MF	FALSE
GO:0018451	epoxide dehydrogenase activity	3/315	10/4328	0.3	4.12190476190476	2.76880567096411	0.0312065787352395	0.157874545656926	0.12817758722205	gene_184/gene_6198/gene_8033	3	interaction_vs_self	strong	up	MF	FALSE
GO:0018452	5-exo-hydroxycamphor dehydrogenase activity	3/315	10/4328	0.3	4.12190476190476	2.76880567096411	0.0312065787352395	0.157874545656926	0.12817758722205	gene_184/gene_6198/gene_8033	3	interaction_vs_self	strong	up	MF	FALSE
GO:0018453	2-hydroxytetrahydrofuran dehydrogenase activity	3/315	10/4328	0.3	4.12190476190476	2.76880567096411	0.0312065787352395	0.157874545656926	0.12817758722205	gene_184/gene_6198/gene_8033	3	interaction_vs_self	strong	up	MF	FALSE
GO:0032442	phenylcoumaran benzylic ether reductase activity	3/315	10/4328	0.3	4.12190476190476	2.76880567096411	0.0312065787352395	0.157874545656926	0.12817758722205	gene_184/gene_6198/gene_8033	3	interaction_vs_self	strong	up	MF	FALSE
GO:0033764	steroid dehydrogenase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor	3/315	10/4328	0.3	4.12190476190476	2.76880567096411	0.0312065787352395	0.157874545656926	0.12817758722205	gene_184/gene_6198/gene_8033	3	interaction_vs_self	strong	up	MF	FALSE
GO:0033765	steroid dehydrogenase activity, acting on the CH-CH group of donors	3/315	10/4328	0.3	4.12190476190476	2.76880567096411	0.0312065787352395	0.157874545656926	0.12817758722205	gene_184/gene_6198/gene_8033	3	interaction_vs_self	strong	up	MF	FALSE
GO:0043713	(R)-2-hydroxyisocaproate dehydrogenase activity	3/315	10/4328	0.3	4.12190476190476	2.76880567096411	0.0312065787352395	0.157874545656926	0.12817758722205	gene_184/gene_6198/gene_8033	3	interaction_vs_self	strong	up	MF	FALSE
GO:0048258	3-ketoglucose-reductase activity	3/315	10/4328	0.3	4.12190476190476	2.76880567096411	0.0312065787352395	0.157874545656926	0.12817758722205	gene_184/gene_6198/gene_8033	3	interaction_vs_self	strong	up	MF	FALSE
GO:0004289	subtilase activity	5/315	25/4328	0.2	2.74793650793651	2.45541061600592	0.0313832299297627	0.157874545656926	0.12817758722205	gene_1497/gene_3437/gene_3992/gene_5407/gene_8014	5	interaction_vs_self	strong	up	MF	FALSE
GO:0004194	pepsin A activity	4/315	18/4328	0.222222222222222	3.05326278659612	2.44543598230317	0.0373095301239313	0.157874545656926	0.12817758722205	gene_2342/gene_3064/gene_5872/gene_7220	4	interaction_vs_self	strong	up	MF	FALSE
GO:0000253	3-keto sterol reductase activity	3/315	11/4328	0.272727272727273	3.74718614718615	2.55568633446784	0.0406489683321095	0.157874545656926	0.12817758722205	gene_184/gene_6198/gene_8033	3	interaction_vs_self	strong	up	MF	FALSE
GO:0051990	(R)-2-hydroxyglutarate dehydrogenase activity	3/315	11/4328	0.272727272727273	3.74718614718615	2.55568633446784	0.0406489683321095	0.157874545656926	0.12817758722205	gene_184/gene_6198/gene_8033	3	interaction_vs_self	strong	up	MF	FALSE
GO:0001668	phosphatidylinositol-4,5-bisphosphate 5-phosphatase activity	2/315	5/4328	0.4	5.49587301587302	2.81786748156706	0.0455788190799923	0.157874545656926	0.12817758722205	gene_1198/gene_3313	2	interaction_vs_self	strong	up	MF	FALSE
GO:0004650	polygalacturonase activity	2/315	5/4328	0.4	5.49587301587302	2.81786748156706	0.0455788190799923	0.157874545656926	0.12817758722205	gene_1575/gene_5612	2	interaction_vs_self	strong	up	MF	FALSE
GO:0008330	protein tyrosine/threonine phosphatase activity	2/315	5/4328	0.4	5.49587301587302	2.81786748156706	0.0455788190799923	0.157874545656926	0.12817758722205	gene_1198/gene_3313	2	interaction_vs_self	strong	up	MF	FALSE
GO:0008579	JUN kinase phosphatase activity	2/315	5/4328	0.4	5.49587301587302	2.81786748156706	0.0455788190799923	0.157874545656926	0.12817758722205	gene_1198/gene_3313	2	interaction_vs_self	strong	up	MF	FALSE
GO:0008969	phosphohistidine phosphatase activity	2/315	5/4328	0.4	5.49587301587302	2.81786748156706	0.0455788190799923	0.157874545656926	0.12817758722205	gene_1198/gene_3313	2	interaction_vs_self	strong	up	MF	FALSE
GO:0015412	molybdate transmembrane-transporting ATPase activity	2/315	5/4328	0.4	5.49587301587302	2.81786748156706	0.0455788190799923	0.157874545656926	0.12817758722205	gene_1964/gene_6998	2	interaction_vs_self	strong	up	MF	FALSE
GO:0016312	inositol bisphosphate phosphatase activity	2/315	5/4328	0.4	5.49587301587302	2.81786748156706	0.0455788190799923	0.157874545656926	0.12817758722205	gene_1198/gene_3313	2	interaction_vs_self	strong	up	MF	FALSE
GO:0017017	MAP kinase tyrosine/serine/threonine phosphatase activity	2/315	5/4328	0.4	5.49587301587302	2.81786748156706	0.0455788190799923	0.157874545656926	0.12817758722205	gene_1198/gene_3313	2	interaction_vs_self	strong	up	MF	FALSE
GO:0017161	inositol-1,3,4-trisphosphate 4-phosphatase activity	2/315	5/4328	0.4	5.49587301587302	2.81786748156706	0.0455788190799923	0.157874545656926	0.12817758722205	gene_1198/gene_3313	2	interaction_vs_self	strong	up	MF	FALSE
GO:0019175	alpha-ribazole-5'-P phosphatase activity	2/315	5/4328	0.4	5.49587301587302	2.81786748156706	0.0455788190799923	0.157874545656926	0.12817758722205	gene_1198/gene_3313	2	interaction_vs_self	strong	up	MF	FALSE
GO:0019178	NADP phosphatase activity	2/315	5/4328	0.4	5.49587301587302	2.81786748156706	0.0455788190799923	0.157874545656926	0.12817758722205	gene_1198/gene_3313	2	interaction_vs_self	strong	up	MF	FALSE
GO:0019198	transmembrane receptor protein phosphatase activity	2/315	5/4328	0.4	5.49587301587302	2.81786748156706	0.0455788190799923	0.157874545656926	0.12817758722205	gene_1198/gene_3313	2	interaction_vs_self	strong	up	MF	FALSE
GO:0030351	inositol-1,3,4,5,6-pentakisphosphate 3-phosphatase activity	2/315	5/4328	0.4	5.49587301587302	2.81786748156706	0.0455788190799923	0.157874545656926	0.12817758722205	gene_1198/gene_3313	2	interaction_vs_self	strong	up	MF	FALSE
GO:0030352	inositol-1,4,5,6-tetrakisphosphate 6-phosphatase activity	2/315	5/4328	0.4	5.49587301587302	2.81786748156706	0.0455788190799923	0.157874545656926	0.12817758722205	gene_1198/gene_3313	2	interaction_vs_self	strong	up	MF	FALSE
