ID	Description	GeneRatio	BgRatio	RichFactor	FoldEnrichment	zScore	pvalue	p.adjust	qvalue	geneID	Count	contrast	gene_set	direction	ontology	significant_padj_0.05
GO:0005634	nucleus	150/483	473/1791	0.317124735729387	1.17592215671083	2.70950286591123	0.0043132203273686	0.0599823621913451	0.0535727636796703	gene_18/gene_87/gene_89/gene_92/gene_111/gene_129/gene_136/gene_328/gene_393/gene_565/gene_627/gene_639/gene_659/gene_664/gene_707/gene_750/gene_846/gene_863/gene_901/gene_957/gene_1013/gene_1016/gene_1096/gene_1113/gene_1175/gene_1178/gene_1199/gene_1226/gene_1281/gene_1309/gene_1362/gene_1419/gene_1543/gene_1651/gene_1736/gene_1770/gene_1873/gene_1947/gene_1965/gene_2014/gene_2031/gene_2036/gene_2040/gene_2064/gene_2087/gene_2124/gene_2127/gene_2132/gene_2136/gene_2200/gene_2253/gene_2305/gene_2339/gene_2412/gene_2432/gene_2550/gene_2557/gene_2582/gene_2597/gene_2601/gene_2658/gene_2734/gene_2869/gene_2932/gene_2939/gene_3001/gene_3036/gene_3118/gene_3150/gene_3200/gene_3224/gene_3302/gene_3360/gene_3396/gene_3452/gene_3464/gene_3500/gene_3517/gene_3732/gene_3781/gene_3901/gene_4100/gene_4396/gene_4521/gene_4552/gene_4568/gene_4574/gene_4584/gene_4597/gene_4602/gene_4741/gene_4756/gene_4993/gene_5079/gene_5171/gene_5408/gene_5511/gene_5559/gene_5630/gene_5681/gene_5686/gene_5691/gene_5762/gene_5904/gene_5930/gene_6128/gene_6149/gene_6162/gene_6204/gene_6225/gene_6228/gene_6255/gene_6298/gene_6338/gene_6441/gene_6488/gene_6548/gene_6648/gene_6719/gene_6846/gene_6900/gene_7090/gene_7111/gene_7287/gene_7320/gene_7321/gene_7440/gene_7447/gene_7625/gene_7677/gene_7818/gene_7875/gene_7916/gene_7962/gene_7965/gene_7969/gene_8000/gene_8013/gene_8036/gene_8114/gene_8117/gene_8174/gene_8175/gene_8292/gene_8293/gene_8296/gene_8393/gene_8426/gene_8576/gene_8615	150	onu_vs_self	significant	down	CC	FALSE
GO:0005743	mitochondrial inner membrane	14/483	27/1791	0.518518518518518	1.92270531400966	2.93488995850869	0.00489813420829948	0.0599823621913451	0.0535727636796703	gene_371/gene_2417/gene_2443/gene_2558/gene_3323/gene_3899/gene_4985/gene_5846/gene_6640/gene_7249/gene_7420/gene_7605/gene_8069/gene_8437	14	onu_vs_self	significant	down	CC	FALSE
GO:0032040	small subunit processome	7/483	10/1791	0.7	2.59565217391304	3.07399019119605	0.00545294201739501	0.0599823621913451	0.0535727636796703	gene_367/gene_598/gene_2114/gene_3028/gene_4672/gene_4950/gene_8210	7	onu_vs_self	significant	down	CC	FALSE
GO:0000785	chromatin	5/483	8/1791	0.625	2.31754658385093	2.26898440048731	0.0371546533577874	0.306525890201746	0.273771130004749	gene_565/gene_3118/gene_4584/gene_6719/gene_8036	5	onu_vs_self	significant	down	CC	FALSE
GO:0005777	peroxisome	4/483	6/1791	0.666666666666667	2.47204968944099	2.19419486226848	0.0486632995884377	0.321177777283689	0.28685734494237	gene_929/gene_6224/gene_7151/gene_8152	4	onu_vs_self	significant	down	CC	FALSE
GO:0000151	ubiquitin ligase complex	3/483	5/1791	0.6	2.22484472049689	1.66617847010144	0.125052730559616	0.589534301209618	0.526537812882593	gene_650/gene_2683/gene_5462	3	onu_vs_self	significant	down	CC	FALSE
GO:0005741	mitochondrial outer membrane	3/483	5/1791	0.6	2.22484472049689	1.66617847010144	0.125052730559616	0.589534301209618	0.526537812882593	gene_2996/gene_3929/gene_8070	3	onu_vs_self	significant	down	CC	FALSE
GO:0016021	integral to membrane	79/483	268/1791	0.294776119402985	1.09305182163716	1.00354888736989	0.176097446063353	0.72640196501133	0.648780064443931	gene_150/gene_322/gene_343/gene_345/gene_534/gene_555/gene_711/gene_727/gene_887/gene_1110/gene_1282/gene_1284/gene_1296/gene_1498/gene_1597/gene_1755/gene_1872/gene_2428/gene_2630/gene_2681/gene_2726/gene_2818/gene_2928/gene_2995/gene_3029/gene_3072/gene_3109/gene_3271/gene_3427/gene_3526/gene_3530/gene_4129/gene_4452/gene_4723/gene_4729/gene_4759/gene_4818/gene_4863/gene_4904/gene_4925/gene_5013/gene_5133/gene_5282/gene_5301/gene_5351/gene_5455/gene_5591/gene_5623/gene_5625/gene_5801/gene_6030/gene_6062/gene_6065/gene_6106/gene_6126/gene_6166/gene_6191/gene_6199/gene_6224/gene_6384/gene_6420/gene_6459/gene_6485/gene_6708/gene_6877/gene_6976/gene_7001/gene_7018/gene_7412/gene_7463/gene_7723/gene_7749/gene_7791/gene_7815/gene_7924/gene_8178/gene_8181/gene_8295/gene_8564	79	onu_vs_self	significant	down	CC	FALSE
GO:0005669	transcription factor TFIID complex	3/483	6/1791	0.5	1.85403726708075	1.27300334836251	0.201442161530794	0.738621258946245	0.659693628404939	gene_2180/gene_7875/gene_8331	3	onu_vs_self	significant	down	CC	FALSE
GO:0016020	membrane	86/483	318/1791	0.270440251572327	1.00281260986757	0.0335983454832687	0.511625265466887	0.999999981305129	0.893141929076351	gene_95/gene_123/gene_217/gene_322/gene_345/gene_395/gene_847/gene_1110/gene_1282/gene_1284/gene_1416/gene_1437/gene_1472/gene_1597/gene_1872/gene_1912/gene_1996/gene_2137/gene_2294/gene_2474/gene_2592/gene_2630/gene_2806/gene_2832/gene_2888/gene_3037/gene_3107/gene_3271/gene_3345/gene_3410/gene_3427/gene_3819/gene_3928/gene_4001/gene_4098/gene_4356/gene_4360/gene_4451/gene_4470/gene_4528/gene_4578/gene_4644/gene_4669/gene_4679/gene_4711/gene_4759/gene_4778/gene_4863/gene_4924/gene_4925/gene_5107/gene_5133/gene_5185/gene_5273/gene_5283/gene_5301/gene_5562/gene_5651/gene_5971/gene_5996/gene_6030/gene_6050/gene_6057/gene_6065/gene_6126/gene_6380/gene_6381/gene_6384/gene_6459/gene_6538/gene_6632/gene_6708/gene_6717/gene_6729/gene_6767/gene_6774/gene_7005/gene_7151/gene_7463/gene_7723/gene_7789/gene_8183/gene_8191/gene_8309/gene_8379/gene_8618	86	onu_vs_self	significant	down	CC	FALSE
GO:0005677	chromatin silencing complex	2/483	6/1791	0.333333333333333	1.2360248447205	0.351811834456549	0.512320147239903	0.999999981305129	0.893141929076351	gene_4034/gene_5230	2	onu_vs_self	significant	down	CC	FALSE
GO:0005963	magnesium-dependent protein serine/threonine phosphatase complex	4/483	16/1791	0.25	0.927018633540373	-0.178143102688615	0.663882737449959	0.999999981305129	0.893141929076351	gene_2999/gene_5669/gene_6167/gene_7872	4	onu_vs_self	significant	down	CC	FALSE
GO:0017023	myosin phosphatase complex	4/483	16/1791	0.25	0.927018633540373	-0.178143102688615	0.663882737449959	0.999999981305129	0.893141929076351	gene_2999/gene_5669/gene_6167/gene_7872	4	onu_vs_self	significant	down	CC	FALSE
GO:0005739	mitochondrion	3/483	13/1791	0.230769230769231	0.855709507883421	-0.317204778679141	0.724580748634361	0.999999981305129	0.893141929076351	gene_4007/gene_4730/gene_7050	3	onu_vs_self	significant	down	CC	FALSE
