ID	Description	GeneRatio	BgRatio	RichFactor	FoldEnrichment	zScore	pvalue	p.adjust	qvalue	geneID	Count	contrast	gene_set	direction	ontology	significant_padj_0.05
GO:0005488	binding	63/1111	167/4328	0.377245508982036	1.46959366595342	3.63669228023449	0.000310245648344472	0.0956415395993872	0.0956415395993872	gene_108/gene_525/gene_768/gene_775/gene_914/gene_967/gene_1030/gene_1149/gene_1412/gene_2014/gene_2092/gene_2293/gene_2417/gene_2485/gene_2540/gene_2558/gene_2613/gene_2893/gene_2913/gene_2979/gene_3139/gene_3150/gene_3323/gene_3481/gene_3905/gene_3940/gene_4028/gene_4371/gene_4417/gene_4529/gene_4845/gene_5718/gene_5830/gene_5846/gene_5940/gene_6041/gene_6233/gene_6278/gene_6639/gene_6643/gene_6744/gene_6969/gene_6994/gene_6999/gene_7139/gene_7249/gene_7420/gene_7512/gene_7531/gene_7605/gene_7636/gene_7908/gene_8069/gene_8077/gene_8152/gene_8246/gene_8292/gene_8403/gene_8419/gene_8435/gene_8437/gene_8440/gene_8511	63	onu_vs_self	significant	down	MF	FALSE
GO:0008026	ATP-dependent helicase activity	27/1111	58/4328	0.46551724137931	1.81346410503119	3.66491072433685	0.000437718716702001	0.0956415395993872	0.0956415395993872	gene_318/gene_570/gene_727/gene_791/gene_911/gene_1488/gene_2392/gene_2621/gene_2664/gene_3219/gene_4121/gene_4279/gene_4357/gene_4377/gene_4521/gene_4636/gene_4898/gene_4930/gene_5348/gene_5592/gene_5801/gene_7081/gene_7501/gene_7519/gene_7791/gene_8115/gene_8565	27	onu_vs_self	significant	down	MF	FALSE
GO:0004386	helicase activity	30/1111	69/4328	0.434782608695652	1.69373459085039	3.41341444244085	0.000898727903433778	0.120960883791369	0.120960883791369	gene_318/gene_570/gene_791/gene_904/gene_911/gene_1293/gene_1488/gene_2136/gene_2518/gene_2621/gene_2664/gene_2756/gene_2972/gene_3118/gene_3219/gene_4121/gene_4279/gene_4357/gene_4377/gene_4636/gene_4898/gene_4930/gene_5031/gene_5348/gene_5592/gene_7081/gene_7519/gene_7531/gene_8115/gene_8565	30	onu_vs_self	significant	down	MF	FALSE
GO:0016780	phosphotransferase activity, for other substituted phosphate groups	5/1111	5/4328	1	3.8955895589559	3.80674979465123	0.00110719344431459	0.120960883791369	0.120960883791369	gene_217/gene_2592/gene_2806/gene_7789/gene_8309	5	onu_vs_self	significant	down	MF	FALSE
GO:0003676	nucleic acid binding	103/1111	311/4328	0.331189710610932	1.29017917868957	3.12119190897209	0.00140808882525323	0.123066963327132	0.123066963327132	gene_22/gene_82/gene_243/gene_318/gene_405/gene_408/gene_411/gene_426/gene_454/gene_554/gene_570/gene_608/gene_680/gene_751/gene_753/gene_758/gene_762/gene_791/gene_904/gene_911/gene_1116/gene_1244/gene_1293/gene_1488/gene_1889/gene_1897/gene_1972/gene_2124/gene_2136/gene_2233/gene_2462/gene_2518/gene_2547/gene_2557/gene_2597/gene_2621/gene_2664/gene_2729/gene_2756/gene_2897/gene_2972/gene_3073/gene_3118/gene_3158/gene_3219/gene_3325/gene_3464/gene_3813/gene_3854/gene_3921/gene_3922/gene_4100/gene_4121/gene_4150/gene_4279/gene_4296/gene_4357/gene_4377/gene_4390/gene_4423/gene_4521/gene_4600/gene_4636/gene_4840/gene_4898/gene_4930/gene_5031/gene_5167/gene_5216/gene_5253/gene_5313/gene_5348/gene_5592/gene_5781/gene_5833/gene_5906/gene_6063/gene_6128/gene_6206/gene_6291/gene_6517/gene_6598/gene_6645/gene_6648/gene_6963/gene_7044/gene_7075/gene_7081/gene_7360/gene_7519/gene_7531/gene_7756/gene_8000/gene_8068/gene_8115/gene_8231/gene_8264/gene_8290/gene_8340/gene_8380/gene_8408/gene_8530/gene_8565	103	onu_vs_self	significant	down	MF	FALSE
GO:0003700	transcription factor activity	81/1111	239/4328	0.338912133891213	1.32026257019007	2.99310206432424	0.00220512163500853	0.160606359083121	0.160606359083121	gene_89/gene_92/gene_129/gene_136/gene_328/gene_627/gene_659/gene_664/gene_846/gene_863/gene_901/gene_1013/gene_1096/gene_1178/gene_1199/gene_1226/gene_1309/gene_1419/gene_1543/gene_1651/gene_1873/gene_1947/gene_1965/gene_2031/gene_2036/gene_2040/gene_2127/gene_2132/gene_2200/gene_2253/gene_2432/gene_2550/gene_2601/gene_2658/gene_2734/gene_2932/gene_3001/gene_3200/gene_3224/gene_3302/gene_3360/gene_3396/gene_3452/gene_3500/gene_3732/gene_3781/gene_4396/gene_4574/gene_4597/gene_4993/gene_5079/gene_5171/gene_5408/gene_5511/gene_5559/gene_5681/gene_5691/gene_5904/gene_6128/gene_6149/gene_6204/gene_6255/gene_6441/gene_6488/gene_6548/gene_6846/gene_6900/gene_7090/gene_7111/gene_7320/gene_7321/gene_7440/gene_7625/gene_7818/gene_7969/gene_8013/gene_8174/gene_8293/gene_8296/gene_8576/gene_8615	81	onu_vs_self	significant	down	MF	FALSE
GO:0004727	prenylated protein tyrosine phosphatase activity	6/1111	8/4328	0.75	2.92169216921692	3.19677365235337	0.00484374472486617	0.302388063538074	0.302388063538074	gene_780/gene_3859/gene_4130/gene_4322/gene_4854/gene_5456	6	onu_vs_self	significant	down	MF	FALSE
GO:0043565	sequence-specific DNA binding	22/1111	53/4328	0.415094339622642	1.61703717541565	2.65586595715175	0.00819035750674977	0.447398278806206	0.447398278806206	gene_136/gene_154/gene_659/gene_846/gene_863/gene_1013/gene_1096/gene_2200/gene_2432/gene_2601/gene_2658/gene_2734/gene_4396/gene_5233/gene_5904/gene_6204/gene_6441/gene_6548/gene_7090/gene_7440/gene_8293/gene_8296	22	onu_vs_self	significant	down	MF	FALSE
GO:0008559	xenobiotic-transporting ATPase activity	8/1111	14/4328	0.571428571428571	2.22605117654623	2.69996100951434	0.0120532648391874	0.580693285812403	0.580693285812403	gene_711/gene_1291/gene_1498/gene_1755/gene_3526/gene_6062/gene_6877/gene_7001	8	onu_vs_self	significant	down	MF	FALSE
GO:0008496	mannan endo-1,6-alpha-mannosidase activity	5/1111	7/4328	0.714285714285714	2.78256397068278	2.77349225696659	0.0144231073617394	0.580693285812403	0.580693285812403	gene_3380/gene_3958/gene_5066/gene_5697/gene_8220	5	onu_vs_self	significant	down	MF	FALSE
