ID	Description	GeneRatio	BgRatio	RichFactor	FoldEnrichment	zScore	pvalue	p.adjust	qvalue	geneID	Count	contrast	gene_set	direction	ontology	significant_padj_0.05
GO:0006270	DNA replication initiation	7/904	7/3113	1	3.44358407079646	4.1398226006577	0.000171294710588158	0.0184998287435211	0.0171294710588158	gene_1037/gene_1171/gene_4164/gene_4996/gene_7771/gene_7905/gene_8153	7	onu_vs_self	significant	up	BP	TRUE
GO:0007018	microtubule-based movement	10/904	14/3113	0.714285714285714	2.45970290771176	3.50125590521976	0.00122997631591262	0.0664187210592817	0.0614988157956312	gene_50/gene_1397/gene_1493/gene_1650/gene_1997/gene_2651/gene_4280/gene_5834/gene_8140/gene_8221	10	onu_vs_self	significant	up	BP	FALSE
GO:0007017	microtubule-based process	5/904	5/3113	1	3.44358407079646	3.49766276722075	0.00204894446600943	0.0737620007763393	0.0682981488669809	gene_2651/gene_3918/gene_4280/gene_5215/gene_5834	5	onu_vs_self	significant	up	BP	FALSE
GO:0008152	metabolic process	163/904	473/3113	0.3446088794926	1.18668964807574	2.82003822691949	0.00313057072149323	0.0845254094803173	0.0782642680373308	gene_31/gene_131/gene_320/gene_329/gene_364/gene_406/gene_484/gene_506/gene_524/gene_562/gene_681/gene_777/gene_976/gene_978/gene_1055/gene_1114/gene_1198/gene_1218/gene_1264/gene_1318/gene_1329/gene_1406/gene_1440/gene_1448/gene_1552/gene_1576/gene_1694/gene_1827/gene_1880/gene_1892/gene_1950/gene_1968/gene_2113/gene_2166/gene_2281/gene_2296/gene_2438/gene_2440/gene_2444/gene_2471/gene_2511/gene_2591/gene_2605/gene_2676/gene_2709/gene_2747/gene_2753/gene_2768/gene_2772/gene_2815/gene_2862/gene_2866/gene_2885/gene_2889/gene_2948/gene_3041/gene_3042/gene_3053/gene_3111/gene_3117/gene_3126/gene_3128/gene_3155/gene_3175/gene_3190/gene_3211/gene_3213/gene_3342/gene_3407/gene_3428/gene_3436/gene_3477/gene_3558/gene_3691/gene_3694/gene_3730/gene_3734/gene_3735/gene_3837/gene_3846/gene_3857/gene_3930/gene_4055/gene_4064/gene_4065/gene_4304/gene_4305/gene_4308/gene_4309/gene_4310/gene_4365/gene_4485/gene_4744/gene_4746/gene_4766/gene_4969/gene_4981/gene_5033/gene_5122/gene_5173/gene_5183/gene_5362/gene_5389/gene_5405/gene_5467/gene_5468/gene_5501/gene_5502/gene_5893/gene_5897/gene_5899/gene_5918/gene_5933/gene_6072/gene_6108/gene_6290/gene_6303/gene_6304/gene_6312/gene_6393/gene_6430/gene_6435/gene_6524/gene_6556/gene_6790/gene_6890/gene_6972/gene_6973/gene_6982/gene_6991/gene_7152/gene_7207/gene_7226/gene_7228/gene_7243/gene_7269/gene_7331/gene_7336/gene_7346/gene_7374/gene_7423/gene_7462/gene_7535/gene_7563/gene_7600/gene_7695/gene_7697/gene_7698/gene_7730/gene_7776/gene_7778/gene_7925/gene_7963/gene_7986/gene_7988/gene_7991/gene_7997/gene_8268/gene_8490/gene_8491/gene_8612/gene_8631/gene_8632	163	onu_vs_self	significant	up	BP	FALSE
GO:0006865	amino acid transport	21/904	44/3113	0.477272727272727	1.64352876106195	2.7498056943293	0.00635494315214892	0.137266772086417	0.127098863042978	gene_10/gene_105/gene_1043/gene_1476/gene_1536/gene_1839/gene_1967/gene_1979/gene_3546/gene_3592/gene_4753/gene_5687/gene_5925/gene_6727/gene_7196/gene_7383/gene_8054/gene_8545/gene_8622/gene_8634/gene_8635	21	onu_vs_self	significant	up	BP	FALSE
GO:0006334	nucleosome assembly	7/904	10/3113	0.7	2.41050884955752	2.85753184478179	0.00862386356277207	0.150615841163819	0.139459112188721	gene_20/gene_4517/gene_4518/gene_5239/gene_7064/gene_8448/gene_8449	7	onu_vs_self	significant	up	BP	FALSE
GO:0015986	ATP synthesis coupled proton transport	10/904	17/3113	0.588235294117647	2.0256376887038	2.71221496216912	0.0097621378532105	0.150615841163819	0.139459112188721	gene_2188/gene_2368/gene_3170/gene_3719/gene_4239/gene_4850/gene_4942/gene_5058/gene_7687/gene_8335	10	onu_vs_self	significant	up	BP	FALSE
GO:0006511	ubiquitin-dependent protein catabolic process	18/904	39/3113	0.461538461538462	1.58934649421375	2.36895727329729	0.0167940026480436	0.226719035748589	0.209925033100545	gene_292/gene_569/gene_1227/gene_2134/gene_2882/gene_3295/gene_3478/gene_4564/gene_5127/gene_5144/gene_5360/gene_5807/gene_6019/gene_6237/gene_8006/gene_8280/gene_8311/gene_8617	18	onu_vs_self	significant	up	BP	FALSE
GO:0006260	DNA replication	13/904	26/3113	0.5	1.72179203539823	2.36394079945724	0.0190461052281171	0.228553262737405	0.211623391423523	gene_736/gene_985/gene_1409/gene_1797/gene_2295/gene_2541/gene_3574/gene_3657/gene_4143/gene_5979/gene_6903/gene_7611/gene_7619	13	onu_vs_self	significant	up	BP	FALSE
GO:0015931	nucleobase, nucleoside, nucleotide and nucleic acid transport	8/904	14/3113	0.571428571428571	1.96776232616941	2.3212830100212	0.0256640533759258	0.266996090688901	0.247218602489723	gene_1761/gene_3699/gene_3702/gene_5519/gene_5898/gene_5902/gene_6223/gene_6471	8	onu_vs_self	significant	up	BP	FALSE
GO:0051258	protein polymerization	4/904	5/3113	0.8	2.75486725663717	2.51185704568538	0.0271940462738695	0.266996090688901	0.247218602489723	gene_2651/gene_3918/gene_4280/gene_5834	4	onu_vs_self	significant	up	BP	FALSE
GO:0006118	electron transport	77/904	222/3113	0.346846846846847	1.19439627680778	1.92241229621044	0.0338975570665613	0.305078013599052	0.282479642221344	gene_168/gene_564/gene_718/gene_822/gene_858/gene_965/gene_1068/gene_1129/gene_1157/gene_1168/gene_1218/gene_1220/gene_1318/gene_1531/gene_1574/gene_1576/gene_1827/gene_1933/gene_2021/gene_2112/gene_2276/gene_2471/gene_2629/gene_2833/gene_2930/gene_2984/gene_3042/gene_3059/gene_3147/gene_3152/gene_3175/gene_3446/gene_3558/gene_3579/gene_3827/gene_3974/gene_4473/gene_4491/gene_4508/gene_4525/gene_4545/gene_4766/gene_4806/gene_4969/gene_5090/gene_5164/gene_5369/gene_5506/gene_5526/gene_5573/gene_5665/gene_5771/gene_5891/gene_5910/gene_6248/gene_6540/gene_6581/gene_7215/gene_7242/gene_7280/gene_7331/gene_7339/gene_7374/gene_7492/gene_7730/gene_7762/gene_7826/gene_7866/gene_7876/gene_7983/gene_7987/gene_7997/gene_8055/gene_8266/gene_8274/gene_8436/gene_8630	77	onu_vs_self	significant	up	BP	FALSE
GO:0006457	protein folding	16/904	37/3113	0.432432432432432	1.48911743602009	1.91437490554464	0.0450554386223039	0.364261044569077	0.337278744971367	gene_542/gene_606/gene_698/gene_2643/gene_2822/gene_2854/gene_2863/gene_3672/gene_4236/gene_4238/gene_5219/gene_5296/gene_5374/gene_6897/gene_7098/gene_8353	16	onu_vs_self	significant	up	BP	FALSE
GO:0009308	amine metabolic process	5/904	8/3113	0.625	2.15224004424779	2.08719635212258	0.0505918117457051	0.364261044569077	0.337278744971367	gene_1056/gene_1966/gene_3421/gene_4123/gene_4987	5	onu_vs_self	significant	up	BP	FALSE
GO:0030163	protein catabolic process	5/904	8/3113	0.625	2.15224004424779	2.08719635212258	0.0505918117457051	0.364261044569077	0.337278744971367	gene_26/gene_1351/gene_1716/gene_1948/gene_3087	5	onu_vs_self	significant	up	BP	FALSE
GO:0006633	fatty acid biosynthetic process	4/904	6/3113	0.666666666666667	2.29572271386431	2.03199774656038	0.0629214496147674	0.399736268140875	0.370126174204514	gene_2517/gene_7281/gene_8490/gene_8491	4	onu_vs_self	significant	up	BP	FALSE
GO:0030655	beta-lactam antibiotic catabolic process	4/904	6/3113	0.666666666666667	2.29572271386431	2.03199774656038	0.0629214496147674	0.399736268140875	0.370126174204514	gene_2032/gene_3275/gene_8001/gene_8483	4	onu_vs_self	significant	up	BP	FALSE
GO:0043687	post-translational protein modification	9/904	20/3113	0.45	1.54961283185841	1.57720466510188	0.0947803603303121	0.538751521877563	0.498844001738485	gene_974/gene_1219/gene_1265/gene_1715/gene_2434/gene_2491/gene_3551/gene_3836/gene_6659	9	onu_vs_self	significant	up	BP	FALSE
GO:0051246	regulation of protein metabolic process	9/904	20/3113	0.45	1.54961283185841	1.57720466510188	0.0947803603303121	0.538751521877563	0.498844001738485	gene_974/gene_1219/gene_1265/gene_1715/gene_2434/gene_2491/gene_3551/gene_3836/gene_6659	9	onu_vs_self	significant	up	BP	FALSE
GO:0006259	DNA metabolic process	6/904	12/3113	0.5	1.72179203539823	1.60235218495984	0.102792630306683	0.555080203656091	0.513963151533418	gene_52/gene_4085/gene_5448/gene_6366/gene_7530/gene_8431	6	onu_vs_self	significant	up	BP	FALSE
GO:0006284	base-excision repair	4/904	7/3113	0.571428571428571	1.96776232616941	1.63954430617783	0.113678050305698	0.584629973000735	0.541324049074755	gene_647/gene_5984/gene_7864/gene_7880	4	onu_vs_self	significant	up	BP	FALSE
