ID	Description	GeneRatio	BgRatio	RichFactor	FoldEnrichment	zScore	pvalue	p.adjust	qvalue	geneID	Count	contrast	gene_set	direction	ontology	significant_padj_0.05
GO:0016491	oxidoreductase activity	146/1217	372/4328	0.39247311827957	1.39574663591946	4.99285888297616	8.08354013595756e-07	0.000326575021492685	0.000307174525166387	gene_5/gene_184/gene_289/gene_330/gene_364/gene_388/gene_406/gene_483/gene_484/gene_506/gene_822/gene_858/gene_900/gene_975/gene_978/gene_1061/gene_1068/gene_1220/gene_1251/gene_1318/gene_1403/gene_1406/gene_1436/gene_1576/gene_1623/gene_1827/gene_1828/gene_1861/gene_1880/gene_1893/gene_1933/gene_1968/gene_2021/gene_2059/gene_2080/gene_2113/gene_2276/gene_2281/gene_2300/gene_2471/gene_2517/gene_2605/gene_2633/gene_2673/gene_2676/gene_2713/gene_2747/gene_2753/gene_2772/gene_2833/gene_2862/gene_2866/gene_2889/gene_2937/gene_2948/gene_3042/gene_3053/gene_3128/gene_3147/gene_3152/gene_3154/gene_3155/gene_3175/gene_3211/gene_3213/gene_3428/gene_3446/gene_3579/gene_3658/gene_3671/gene_3692/gene_3701/gene_3730/gene_3734/gene_3827/gene_3898/gene_3974/gene_4055/gene_4064/gene_4305/gene_4309/gene_4311/gene_4508/gene_4525/gene_4744/gene_4745/gene_4746/gene_4751/gene_4766/gene_4948/gene_5065/gene_5090/gene_5118/gene_5125/gene_5173/gene_5184/gene_5195/gene_5389/gene_5432/gene_5467/gene_5502/gene_5506/gene_5610/gene_5615/gene_5665/gene_5771/gene_5826/gene_5891/gene_5899/gene_5910/gene_5918/gene_6248/gene_6315/gene_6467/gene_6524/gene_6581/gene_6689/gene_6796/gene_7208/gene_7243/gene_7331/gene_7357/gene_7374/gene_7462/gene_7483/gene_7500/gene_7563/gene_7600/gene_7622/gene_7695/gene_7697/gene_7730/gene_7776/gene_7826/gene_7952/gene_7986/gene_7988/gene_7997/gene_8028/gene_8055/gene_8165/gene_8197/gene_8436/gene_8491/gene_8630/gene_8631	146	onu_vs_self	significant	up	MF	TRUE
GO:0004175	endopeptidase activity	9/1217	9/4328	1	3.55628594905505	4.80095700582819	1.07589002785014e-05	0.00119075664391343	0.00112001862546313	gene_292/gene_1227/gene_2882/gene_3478/gene_5127/gene_5360/gene_5807/gene_8006/gene_8617	9	onu_vs_self	significant	up	MF	TRUE
GO:0004298	threonine endopeptidase activity	12/1217	14/4328	0.857142857142857	3.04824509919005	4.80058985511329	1.17896697417171e-05	0.00119075664391343	0.00112001862546313	gene_292/gene_569/gene_1227/gene_2134/gene_2882/gene_3478/gene_5127/gene_5360/gene_5807/gene_6019/gene_8006/gene_8617	12	onu_vs_self	significant	up	MF	TRUE
GO:0004299	proteasome endopeptidase activity	12/1217	14/4328	0.857142857142857	3.04824509919005	4.80058985511329	1.17896697417171e-05	0.00119075664391343	0.00112001862546313	gene_292/gene_569/gene_1227/gene_2134/gene_2882/gene_3478/gene_5127/gene_5360/gene_5807/gene_6019/gene_8006/gene_8617	12	onu_vs_self	significant	up	MF	TRUE
GO:0008483	transaminase activity	8/1217	10/4328	0.8	2.84502875924404	3.65300740223132	0.000977586409150196	0.0789889818593358	0.0742965670954149	gene_714/gene_1194/gene_2759/gene_4163/gene_4290/gene_5889/gene_6501/gene_8627	8	onu_vs_self	significant	up	MF	FALSE
GO:0015171	amino acid transmembrane transporter activity	20/1217	42/4328	0.476190476190476	1.69346949955003	2.82432491705364	0.00541930489881069	0.338912232617391	0.318778832659922	gene_10/gene_105/gene_1043/gene_1476/gene_1536/gene_1839/gene_1967/gene_1979/gene_3546/gene_4753/gene_5687/gene_5925/gene_6727/gene_7196/gene_7383/gene_8054/gene_8545/gene_8622/gene_8634/gene_8635	20	onu_vs_self	significant	up	MF	FALSE
GO:0003777	microtubule motor activity	8/1217	12/4328	0.666666666666667	2.37085729937004	2.97393097996533	0.00611012342560148	0.338912232617391	0.318778832659922	gene_50/gene_1397/gene_1493/gene_1650/gene_1997/gene_5215/gene_8140/gene_8221	8	onu_vs_self	significant	up	MF	FALSE
GO:0020037	heme binding	35/1217	86/4328	0.406976744186047	1.44732567694101	2.62045346967657	0.00755811003341476	0.338912232617391	0.318778832659922	gene_168/gene_400/gene_545/gene_546/gene_829/gene_965/gene_1129/gene_1531/gene_1933/gene_2517/gene_2629/gene_2930/gene_2984/gene_3059/gene_4193/gene_4319/gene_4473/gene_4491/gene_4806/gene_5469/gene_5526/gene_5573/gene_5910/gene_6248/gene_6540/gene_6581/gene_7035/gene_7215/gene_7242/gene_7339/gene_7492/gene_7983/gene_7987/gene_8266/gene_8274	35	onu_vs_self	significant	up	MF	FALSE
GO:0046933	hydrogen ion transporting ATP synthase activity, rotational mechanism	10/1217	17/4328	0.588235294117647	2.09193291120885	2.82111075352131	0.00767205169182368	0.338912232617391	0.318778832659922	gene_2188/gene_2368/gene_3170/gene_3719/gene_4239/gene_4850/gene_4942/gene_5058/gene_7687/gene_8335	10	onu_vs_self	significant	up	MF	FALSE
GO:0016787	hydrolase activity	49/1217	129/4328	0.37984496124031	1.35083729847828	2.52997603386618	0.00875891628908753	0.338912232617391	0.318778832659922	gene_26/gene_378/gene_538/gene_548/gene_1139/gene_1329/gene_1351/gene_1523/gene_1716/gene_1813/gene_1948/gene_1978/gene_2498/gene_2705/gene_2779/gene_2943/gene_3033/gene_3087/gene_3477/gene_3585/gene_3738/gene_3824/gene_3878/gene_3884/gene_4065/gene_4514/gene_4605/gene_4703/gene_4830/gene_5083/gene_5448/gene_5742/gene_5897/gene_5956/gene_5984/gene_6259/gene_6469/gene_6921/gene_6972/gene_6973/gene_7152/gene_7173/gene_7221/gene_7458/gene_7737/gene_8032/gene_8215/gene_8461/gene_8492	49	onu_vs_self	significant	up	MF	FALSE
