ID	Description	GeneRatio	BgRatio	RichFactor	FoldEnrichment	zScore	pvalue	p.adjust	qvalue	geneID	Count	contrast	gene_set	direction	ontology	significant_padj_0.05
GO:0006629	lipid metabolic process	6/153	26/3113	0.230769230769231	4.69532428355958	4.30120923152339	0.00129692919015933	0.0661433886981257	0.0600682993336951	gene_150/gene_2448/gene_3343/gene_4109/gene_4452/gene_7026	6	onu_vs_self	strong	down	BP	FALSE
GO:0016311	dephosphorylation	3/153	12/3113	0.25	5.08660130718954	3.22419769771443	0.0184567921886996	0.268553089236942	0.243887222423642	gene_1646/gene_4130/gene_5456	3	onu_vs_self	strong	down	BP	FALSE
GO:0006281	DNA repair	6/153	44/3113	0.136363636363636	2.77450980392157	2.6947963545114	0.0191732389800061	0.268553089236942	0.243887222423642	gene_3456/gene_4100/gene_6225/gene_7140/gene_7350/gene_7448	6	onu_vs_self	strong	down	BP	FALSE
GO:0008654	phospholipid biosynthetic process	3/153	13/3113	0.230769230769231	4.69532428355958	3.03503035628829	0.0231441843474368	0.268553089236942	0.243887222423642	gene_2806/gene_6840/gene_8309	3	onu_vs_self	strong	down	BP	FALSE
GO:0006470	protein amino acid dephosphorylation	3/153	14/3113	0.214285714285714	4.35994397759104	2.86421041722234	0.0284157822737583	0.268553089236942	0.243887222423642	gene_1646/gene_4130/gene_5456	3	onu_vs_self	strong	down	BP	FALSE
GO:0008202	steroid metabolic process	2/153	6/3113	0.333333333333333	6.78213507625272	3.2226481050054	0.0315944810866991	0.268553089236942	0.243887222423642	gene_5792/gene_5829	2	onu_vs_self	strong	down	BP	FALSE
GO:0006310	DNA recombination	2/153	7/3113	0.285714285714286	5.81325863678805	2.89805849516837	0.0428238351316234	0.312002227387542	0.283345676058862	gene_7140/gene_7350	2	onu_vs_self	strong	down	BP	FALSE
GO:0006289	nucleotide-excision repair	2/153	8/3113	0.25	5.08660130718954	2.63085016789456	0.0552878396615256	0.324096367639848	0.294329002603783	gene_18/gene_6225	2	onu_vs_self	strong	down	BP	FALSE
GO:0005975	carbohydrate metabolic process	11/153	132/3113	0.0833333333333333	1.69553376906318	1.85628156658612	0.0571934766423261	0.324096367639848	0.294329002603783	gene_648/gene_928/gene_1063/gene_3336/gene_3529/gene_4862/gene_5659/gene_5809/gene_7391/gene_8531/gene_8563	11	onu_vs_self	strong	down	BP	FALSE
GO:0046677	response to antibiotic	3/153	20/3113	0.15	3.05196078431373	2.09273264223932	0.0718655109226815	0.326964328340778	0.29693354895757	gene_1296/gene_3680/gene_4904	3	onu_vs_self	strong	down	BP	FALSE
GO:0006810	transport	15/153	204/3113	0.0735294117647059	1.49605920799692	1.66608207783889	0.0726441793705611	0.326964328340778	0.29693354895757	gene_711/gene_1498/gene_1755/gene_2417/gene_3323/gene_3427/gene_4759/gene_4863/gene_5107/gene_5651/gene_6381/gene_6538/gene_6877/gene_7420/gene_7924	15	onu_vs_self	strong	down	BP	FALSE
GO:0008152	metabolic process	30/153	473/3113	0.0634249471458774	1.29046967624259	1.55936959374766	0.077532059900612	0.326964328340778	0.29693354895757	gene_929/gene_1225/gene_1288/gene_1502/gene_1701/gene_2088/gene_2099/gene_2248/gene_3026/gene_3501/gene_3529/gene_3682/gene_4151/gene_4567/gene_4697/gene_4912/gene_4914/gene_5168/gene_5485/gene_5595/gene_5738/gene_6148/gene_6988/gene_7026/gene_7067/gene_7146/gene_7449/gene_8061/gene_8138/gene_8544	30	onu_vs_self	strong	down	BP	FALSE
GO:0019752	carboxylic acid metabolic process	2/153	10/3113	0.2	4.06928104575163	2.20986337219106	0.0833438484005905	0.326964328340778	0.29693354895757	gene_3565/gene_3728	2	onu_vs_self	strong	down	BP	FALSE
GO:0030001	metal ion transport	3/153	22/3113	0.136363636363636	2.77450980392157	1.89871549689897	0.0904746299761604	0.329586152056013	0.299314565334666	gene_4098/gene_5185/gene_6538	3	onu_vs_self	strong	down	BP	FALSE
GO:0006259	DNA metabolic process	2/153	12/3113	0.166666666666667	3.39106753812636	1.88647579541068	0.114719064269784	0.390044818517265	0.354220268622491	gene_4100/gene_6338	2	onu_vs_self	strong	down	BP	FALSE
GO:0015904	tetracycline transport	2/153	14/3113	0.142857142857143	2.90662931839402	1.62532101485842	0.148527919131438	0.4518110438325	0.410313435059443	gene_1296/gene_4904	2	onu_vs_self	strong	down	BP	FALSE
GO:0007165	signal transduction	5/153	60/3113	0.0833333333333333	1.69553376906318	1.23665938436718	0.169976970410256	0.4518110438325	0.410313435059443	gene_649/gene_1450/gene_5257/gene_5283/gene_6204	5	onu_vs_self	strong	down	BP	FALSE
