ID	Description	GeneRatio	BgRatio	RichFactor	FoldEnrichment	zScore	pvalue	p.adjust	qvalue	geneID	Count	contrast	gene_set	direction	ontology	significant_padj_0.05
GO:0016021	integral to membrane	27/93	268/1791	0.100746268656716	1.94017814155031	3.90505128739185	0.000264853826413709	0.00370795356979193	0.00334552201785738	gene_150/gene_534/gene_711/gene_1296/gene_1498/gene_1755/gene_2818/gene_2928/gene_2995/gene_3072/gene_3427/gene_4452/gene_4729/gene_4759/gene_4863/gene_4904/gene_5282/gene_5351/gene_6065/gene_6199/gene_6420/gene_6877/gene_7412/gene_7815/gene_7924/gene_8295/gene_8564	27	onu_vs_self	strong	down	CC	TRUE
GO:0005743	mitochondrial inner membrane	4/93	27/1791	0.148148148148148	2.85304659498208	2.26995934119314	0.0477722433318668	0.334405703323068	0.301719431569685	gene_2417/gene_3323/gene_4985/gene_7420	4	onu_vs_self	strong	down	CC	FALSE
GO:0016020	membrane	21/93	318/1791	0.0660377358490566	1.27175897748022	1.25024530741993	0.134200942814138	0.626271066465976	0.565056601322685	gene_95/gene_1416/gene_2806/gene_3037/gene_3427/gene_4098/gene_4711/gene_4759/gene_4863/gene_5107/gene_5185/gene_5283/gene_5651/gene_6065/gene_6381/gene_6538/gene_6717/gene_6729/gene_7005/gene_8191/gene_8309	21	onu_vs_self	strong	down	CC	FALSE
GO:0000151	ubiquitin ligase complex	1/93	5/1791	0.2	3.85161290322581	1.49394288025047	0.23426682988508	0.639659611976126	0.577136492008534	gene_650	1	onu_vs_self	strong	down	CC	FALSE
GO:0000139	Golgi membrane	1/93	6/1791	0.166666666666667	3.20967741935484	1.26848267341219	0.274139833704054	0.639659611976126	0.577136492008534	gene_8564	1	onu_vs_self	strong	down	CC	FALSE
GO:0005777	peroxisome	1/93	6/1791	0.166666666666667	3.20967741935484	1.26848267341219	0.274139833704054	0.639659611976126	0.577136492008534	gene_929	1	onu_vs_self	strong	down	CC	FALSE
GO:0000785	chromatin	1/93	8/1791	0.125	2.40725806451613	0.933345020598225	0.347825431246528	0.644160438954037	0.581197388529958	gene_6719	1	onu_vs_self	strong	down	CC	FALSE
GO:0005576	extracellular region	1/93	10/1791	0.1	1.9258064516129	0.686890310281419	0.414103139327595	0.644160438954037	0.581197388529958	gene_5702	1	onu_vs_self	strong	down	CC	FALSE
GO:0005694	chromosome	1/93	10/1791	0.1	1.9258064516129	0.686890310281419	0.414103139327595	0.644160438954037	0.581197388529958	gene_753	1	onu_vs_self	strong	down	CC	FALSE
GO:0005963	magnesium-dependent protein serine/threonine phosphatase complex	1/93	16/1791	0.0625	1.20362903225806	0.191425441201212	0.57550717030594	0.73246367129847	0.660869477863281	gene_6167	1	onu_vs_self	strong	down	CC	FALSE
GO:0017023	myosin phosphatase complex	1/93	16/1791	0.0625	1.20362903225806	0.191425441201212	0.57550717030594	0.73246367129847	0.660869477863281	gene_6167	1	onu_vs_self	strong	down	CC	FALSE
GO:0005737	cytoplasm	6/93	129/1791	0.0465116279069767	0.895723930982746	-0.28764918182571	0.674179773902492	0.786543069552908	0.70966291989736	gene_150/gene_824/gene_2009/gene_4150/gene_4452/gene_6129	6	onu_vs_self	strong	down	CC	FALSE
GO:0005634	nucleus	21/93	473/1791	0.0443974630021142	0.855009206847166	-0.86002769668795	0.836631088776586	0.900987326374785	0.81292089597725	gene_18/gene_129/gene_136/gene_393/gene_1226/gene_2040/gene_2132/gene_2412/gene_2432/gene_3224/gene_3360/gene_4100/gene_6128/gene_6204/gene_6225/gene_6338/gene_6719/gene_7090/gene_7447/gene_7818/gene_8174	21	onu_vs_self	strong	down	CC	FALSE
GO:0005622	intracellular	11/93	359/1791	0.0306406685236769	0.590079971246293	-2.03223534604392	0.988721074747682	0.988721074747682	0.892079165185878	gene_608/gene_612/gene_751/gene_1450/gene_5167/gene_6128/gene_6334/gene_7350/gene_7360/gene_8068/gene_8231	11	onu_vs_self	strong	down	CC	FALSE
