ID	Description	GeneRatio	BgRatio	RichFactor	FoldEnrichment	zScore	pvalue	p.adjust	qvalue	geneID	Count	contrast	gene_set	direction	ontology	significant_padj_0.05
GO:0016627	oxidoreductase activity, acting on the CH-CH group of donors	5/203	19/4328	0.263157894736842	5.61057816956184	4.46759126529274	0.00146528477596678	0.34580720712816	0.342413916068027	gene_150/gene_929/gene_4452/gene_5595/gene_7067	5	onu_vs_self	strong	down	MF	FALSE
GO:0008559	xenobiotic-transporting ATPase activity	4/203	14/4328	0.285714285714286	6.09148486980999	4.23250904708573	0.00324430273009558	0.382827722151278	0.379071161095378	gene_711/gene_1498/gene_1755/gene_6877	4	onu_vs_self	strong	down	MF	FALSE
GO:0004806	triacylglycerol lipase activity	4/203	16/4328	0.25	5.33004926108374	3.84895596544485	0.00547883749532441	0.427689248676668	0.423492476388137	gene_3343/gene_4151/gene_4697/gene_7438	4	onu_vs_self	strong	down	MF	FALSE
GO:0004519	endonuclease activity	3/203	10/4328	0.3	6.39605911330049	3.78935130387145	0.00955196814687025	0.427689248676668	0.423492476388137	gene_4100/gene_6225/gene_6963	3	onu_vs_self	strong	down	MF	FALSE
GO:0004871	signal transducer activity	4/203	19/4328	0.210526315789474	4.48846253564947	3.38027557074249	0.0104493839228247	0.427689248676668	0.423492476388137	gene_649/gene_5257/gene_5283/gene_6204	4	onu_vs_self	strong	down	MF	FALSE
GO:0003995	acyl-CoA dehydrogenase activity	3/203	11/4328	0.272727272727273	5.81459919390954	3.54645903055602	0.012685698053969	0.427689248676668	0.423492476388137	gene_929/gene_5595/gene_7067	3	onu_vs_self	strong	down	MF	FALSE
GO:0016758	transferase activity, transferring hexosyl groups	3/203	11/4328	0.272727272727273	5.81459919390954	3.54645903055602	0.012685698053969	0.427689248676668	0.423492476388137	gene_3529/gene_7449/gene_7824	3	onu_vs_self	strong	down	MF	FALSE
GO:0003910	DNA ligase (ATP) activity	2/203	5/4328	0.4	8.52807881773399	3.73599281170853	0.0199313727434553	0.470380396745545	0.465764710426008	gene_7140/gene_7350	2	onu_vs_self	strong	down	MF	FALSE
GO:0003951	NAD+ kinase activity	2/203	5/4328	0.4	8.52807881773399	3.73599281170853	0.0199313727434553	0.470380396745545	0.465764710426008	gene_1701/gene_8138	2	onu_vs_self	strong	down	MF	FALSE
GO:0016780	phosphotransferase activity, for other substituted phosphate groups	2/203	5/4328	0.4	8.52807881773399	3.73599281170853	0.0199313727434553	0.470380396745545	0.465764710426008	gene_2806/gene_8309	2	onu_vs_self	strong	down	MF	FALSE
GO:0004725	protein tyrosine phosphatase activity	3/203	16/4328	0.1875	3.99753694581281	2.6644934072505	0.0362385492522872	0.521283609173494	0.516168426567866	gene_1646/gene_4130/gene_5456	3	onu_vs_self	strong	down	MF	FALSE
GO:0008496	mannan endo-1,6-alpha-mannosidase activity	2/203	7/4328	0.285714285714286	6.09148486980999	2.99041067592635	0.0393369882272058	0.521283609173494	0.516168426567866	gene_3958/gene_5066	2	onu_vs_self	strong	down	MF	FALSE
GO:0016791	phosphoric monoester hydrolase activity	3/203	17/4328	0.176470588235294	3.76238771370617	2.53133470318387	0.0425241940348523	0.521283609173494	0.516168426567866	gene_1646/gene_4130/gene_5456	3	onu_vs_self	strong	down	MF	FALSE
GO:0042626	ATPase activity, coupled to transmembrane movement of substances	4/203	30/4328	0.133333333333333	2.84269293924466	2.24651790143618	0.0495422252750228	0.521283609173494	0.516168426567866	gene_711/gene_1498/gene_1755/gene_6877	4	onu_vs_self	strong	down	MF	FALSE
GO:0004727	prenylated protein tyrosine phosphatase activity	2/203	8/4328	0.25	5.33004926108374	2.71910167472644	0.0508561926593129	0.521283609173494	0.516168426567866	gene_4130/gene_5456	2	onu_vs_self	strong	down	MF	FALSE
GO:0004518	nuclease activity	3/203	20/4328	0.15	3.19802955665025	2.18544644612214	0.0643722835395824	0.521283609173494	0.516168426567866	gene_4100/gene_6225/gene_6338	3	onu_vs_self	strong	down	MF	FALSE
GO:0050660	FAD binding	7/203	78/4328	0.0897435897435897	1.91335101679929	1.80559375104018	0.0715550606833609	0.521283609173494	0.516168426567866	gene_929/gene_3223/gene_4729/gene_4913/gene_5595/gene_6729/gene_7067	7	onu_vs_self	strong	down	MF	FALSE
GO:0008138	protein tyrosine/serine/threonine phosphatase activity	2/203	12/4328	0.166666666666667	3.55336617405583	1.96468303871475	0.106095944154631	0.521283609173494	0.516168426567866	gene_1646/gene_5456	2	onu_vs_self	strong	down	MF	FALSE
GO:0016887	ATPase activity	4/203	40/4328	0.1	2.1320197044335	1.59546060051911	0.115705815951189	0.521283609173494	0.516168426567866	gene_711/gene_1498/gene_1755/gene_6877	4	onu_vs_self	strong	down	MF	FALSE
GO:0043765	T/G mismatch-specific endonuclease activity	2/203	13/4328	0.153846153846154	3.28003031451307	1.82621282131651	0.121655486725428	0.521283609173494	0.516168426567866	gene_4100/gene_6225	2	onu_vs_self	strong	down	MF	FALSE
GO:0015520	tetracycline:hydrogen antiporter activity	2/203	14/4328	0.142857142857143	3.045742434905	1.70060868001081	0.137726468876286	0.521283609173494	0.516168426567866	gene_1296/gene_4904	2	onu_vs_self	strong	down	MF	FALSE
GO:0051287	NAD binding	3/203	29/4328	0.103448275862069	2.20553762527603	1.44485922762609	0.152665570358177	0.521283609173494	0.516168426567866	gene_2088/gene_5701/gene_5738	3	onu_vs_self	strong	down	MF	FALSE
GO:0003993	acid phosphatase activity	2/203	15/4328	0.133333333333333	2.84269293924466	1.58576329902939	0.154227294349891	0.521283609173494	0.516168426567866	gene_4725/gene_5385	2	onu_vs_self	strong	down	MF	FALSE
GO:0042578	phosphoric ester hydrolase activity	2/203	15/4328	0.133333333333333	2.84269293924466	1.58576329902939	0.154227294349891	0.521283609173494	0.516168426567866	gene_4100/gene_6225	2	onu_vs_self	strong	down	MF	FALSE
GO:0046873	metal ion transmembrane transporter activity	2/203	15/4328	0.133333333333333	2.84269293924466	1.58576329902939	0.154227294349891	0.521283609173494	0.516168426567866	gene_4098/gene_5185	2	onu_vs_self	strong	down	MF	FALSE
GO:0004553	hydrolase activity, hydrolyzing O-glycosyl compounds	6/203	78/4328	0.0769230769230769	1.64001515725654	1.26523904529395	0.157629007514717	0.521283609173494	0.516168426567866	gene_648/gene_1063/gene_4862/gene_5659/gene_7391/gene_8563	6	onu_vs_self	strong	down	MF	FALSE
GO:0005506	iron ion binding	7/203	96/4328	0.0729166666666667	1.55459770114943	1.2189063573901	0.162384860246072	0.521283609173494	0.516168426567866	gene_2437/gene_3489/gene_4729/gene_5292/gene_5766/gene_6240/gene_7852	7	onu_vs_self	strong	down	MF	FALSE
GO:0005351	sugar:hydrogen symporter activity	4/203	48/4328	0.0833333333333333	1.77668308702791	1.20025098872806	0.18625480355919	0.521283609173494	0.516168426567866	gene_3427/gene_4759/gene_4863/gene_8564	4	onu_vs_self	strong	down	MF	FALSE
GO:0015662	ATPase activity, coupled to transmembrane movement of ions, phosphorylative mechanism	2/203	18/4328	0.111111111111111	2.36891078270389	1.29092868749532	0.205587299094152	0.521283609173494	0.516168426567866	gene_5107/gene_6538	2	onu_vs_self	strong	down	MF	FALSE
GO:0051536	iron-sulfur cluster binding	2/203	18/4328	0.111111111111111	2.36891078270389	1.29092868749532	0.205587299094152	0.521283609173494	0.516168426567866	gene_3489/gene_5292	2	onu_vs_self	strong	down	MF	FALSE
GO:0003906	DNA-(apurinic or apyrimidinic site) lyase activity	1/203	5/4328	0.2	4.26403940886699	1.61985920497191	0.213617053558368	0.521283609173494	0.516168426567866	gene_7448	1	onu_vs_self	strong	down	MF	FALSE
GO:0004525	ribonuclease III activity	1/203	5/4328	0.2	4.26403940886699	1.61985920497191	0.213617053558368	0.521283609173494	0.516168426567866	gene_2972	1	onu_vs_self	strong	down	MF	FALSE
GO:0004617	phosphoglycerate dehydrogenase activity	1/203	5/4328	0.2	4.26403940886699	1.61985920497191	0.213617053558368	0.521283609173494	0.516168426567866	gene_5738	1	onu_vs_self	strong	down	MF	FALSE
GO:0004815	aspartate-tRNA ligase activity	1/203	5/4328	0.2	4.26403940886699	1.61985920497191	0.213617053558368	0.521283609173494	0.516168426567866	gene_4150	1	onu_vs_self	strong	down	MF	FALSE
GO:0008806	carboxymethylenebutenolidase activity	1/203	5/4328	0.2	4.26403940886699	1.61985920497191	0.213617053558368	0.521283609173494	0.516168426567866	gene_1501	1	onu_vs_self	strong	down	MF	FALSE
GO:0015299	solute:hydrogen antiporter activity	1/203	5/4328	0.2	4.26403940886699	1.61985920497191	0.213617053558368	0.521283609173494	0.516168426567866	gene_2995	1	onu_vs_self	strong	down	MF	FALSE
GO:0016158	3-phytase activity	1/203	5/4328	0.2	4.26403940886699	1.61985920497191	0.213617053558368	0.521283609173494	0.516168426567866	gene_4725	1	onu_vs_self	strong	down	MF	FALSE
GO:0018071	NAD(P)-cysteine ADP-ribosyltransferase activity	1/203	5/4328	0.2	4.26403940886699	1.61985920497191	0.213617053558368	0.521283609173494	0.516168426567866	gene_626	1	onu_vs_self	strong	down	MF	FALSE
GO:0018121	NAD(P)-asparagine ADP-ribosyltransferase activity	1/203	5/4328	0.2	4.26403940886699	1.61985920497191	0.213617053558368	0.521283609173494	0.516168426567866	gene_626	1	onu_vs_self	strong	down	MF	FALSE
