ID	Description	GeneRatio	BgRatio	RichFactor	FoldEnrichment	zScore	pvalue	p.adjust	qvalue	geneID	Count	contrast	gene_set	direction	ontology	significant_padj_0.05
GO:0008152	metabolic process	44/143	473/3113	0.0930232558139535	2.02504472271914	5.31105757248618	1.07181685781316e-06	3.85854068812738e-05	3.15903915987037e-05	gene_329/gene_364/gene_484/gene_562/gene_1198/gene_1329/gene_1406/gene_1448/gene_1576/gene_1892/gene_2676/gene_2815/gene_2889/gene_3126/gene_3211/gene_3213/gene_3428/gene_3477/gene_3691/gene_3730/gene_3734/gene_3735/gene_4304/gene_4305/gene_4309/gene_4310/gene_4746/gene_5122/gene_5183/gene_5405/gene_5893/gene_5897/gene_5918/gene_6973/gene_7207/gene_7226/gene_7243/gene_7336/gene_7778/gene_7991/gene_8490/gene_8491/gene_8612/gene_8632	44	onu_vs_self	strong	up	BP	TRUE
GO:0006633	fatty acid biosynthetic process	3/143	6/3113	0.5	10.8846153846154	5.31709429331039	0.00171435914929444	0.0205042404053175	0.0167870974078623	gene_2517/gene_8490/gene_8491	3	onu_vs_self	strong	up	BP	TRUE
GO:0006808	regulation of nitrogen utilization	4/143	13/3113	0.307692307692308	6.69822485207101	4.51689505133259	0.00220697470535954	0.0205042404053175	0.0167870974078623	gene_1295/gene_2453/gene_5892/gene_6590	4	onu_vs_self	strong	up	BP	TRUE
GO:0005975	carbohydrate metabolic process	14/143	132/3113	0.106060606060606	2.30885780885781	3.37138254705341	0.00248334209681546	0.0205042404053175	0.0167870974078623	gene_1575/gene_1735/gene_2125/gene_2751/gene_3262/gene_3724/gene_5121/gene_5443/gene_5612/gene_5694/gene_6137/gene_6314/gene_6541/gene_7976	14	onu_vs_self	strong	up	BP	TRUE
GO:0015931	nucleobase, nucleoside, nucleotide and nucleic acid transport	4/143	14/3113	0.285714285714286	6.21978021978022	4.29452401099508	0.00298058264392322	0.0205042404053175	0.0167870974078623	gene_1761/gene_5898/gene_6223/gene_6471	4	onu_vs_self	strong	up	BP	TRUE
GO:0006865	amino acid transport	7/143	44/3113	0.159090909090909	3.46328671328671	3.61037610832281	0.00341737340088625	0.0205042404053175	0.0167870974078623	gene_1476/gene_5687/gene_6727/gene_7196/gene_7383/gene_8054/gene_8634	7	onu_vs_self	strong	up	BP	TRUE
GO:0006118	electron transport	19/143	222/3113	0.0855855855855856	1.86313236313236	2.92778667848725	0.00536756554096323	0.0276046227820966	0.0226002759619504	gene_822/gene_1574/gene_1576/gene_3152/gene_3446/gene_3579/gene_5506/gene_5526/gene_5665/gene_5771/gene_5891/gene_5910/gene_6248/gene_7242/gene_7339/gene_7983/gene_7987/gene_8055/gene_8274	19	onu_vs_self	strong	up	BP	TRUE
GO:0009308	amine metabolic process	2/143	8/3113	0.25	5.44230769230769	2.76014829256859	0.0489063317599174	0.220078492919628	0.18018122227338	gene_1966/gene_4123	2	onu_vs_self	strong	up	BP	FALSE
GO:0006810	transport	14/143	204/3113	0.0686274509803922	1.49396681749623	1.60121845603136	0.0819336486074017	0.327734594429607	0.268320720585643	gene_13/gene_102/gene_283/gene_1476/gene_1964/gene_2366/gene_4228/gene_4666/gene_6121/gene_6829/gene_6953/gene_7383/gene_7984/gene_8634	14	onu_vs_self	strong	up	BP	FALSE
GO:0008643	carbohydrate transport	4/143	48/3113	0.0833333333333333	1.81410256410256	1.24707935619377	0.176547122826304	0.478770343662182	0.391975719957342	gene_13/gene_4228/gene_6121/gene_7984	4	onu_vs_self	strong	up	BP	FALSE
GO:0006096	glycolysis	2/143	17/3113	0.117647058823529	2.56108597285068	1.41599067821396	0.182151328858516	0.478770343662182	0.391975719957342	gene_7/gene_6707	2	onu_vs_self	strong	up	BP	FALSE
GO:0006573	valine metabolic process	1/143	5/3113	0.2	4.35384615384615	1.64663454498521	0.209650095137864	0.478770343662182	0.391975719957342	gene_5118	1	onu_vs_self	strong	up	BP	FALSE
GO:0007186	G-protein coupled receptor protein signaling pathway	1/143	5/3113	0.2	4.35384615384615	1.64663454498521	0.209650095137864	0.478770343662182	0.391975719957342	gene_7566	1	onu_vs_self	strong	up	BP	FALSE
GO:0009168	purine ribonucleoside monophosphate biosynthetic process	1/143	5/3113	0.2	4.35384615384615	1.64663454498521	0.209650095137864	0.478770343662182	0.391975719957342	gene_1862	1	onu_vs_self	strong	up	BP	FALSE
GO:0006520	amino acid metabolic process	2/143	19/3113	0.105263157894737	2.2914979757085	1.2388535333435	0.216198601026214	0.478770343662182	0.391975719957342	gene_3658/gene_7778	2	onu_vs_self	strong	up	BP	FALSE
GO:0006508	proteolysis	8/143	129/3113	0.062015503875969	1.35002981514609	0.890861257971335	0.239052251395412	0.478770343662182	0.391975719957342	gene_1462/gene_1497/gene_3064/gene_4978/gene_5897/gene_7212/gene_8014/gene_8226	8	onu_vs_self	strong	up	BP	FALSE
GO:0006098	pentose-phosphate shunt	1/143	6/3113	0.166666666666667	3.62820512820513	1.41375399497877	0.24601432821228	0.478770343662182	0.391975719957342	gene_5118	1	onu_vs_self	strong	up	BP	FALSE
GO:0006812	cation transport	2/143	21/3113	0.0952380952380952	2.07326007326007	1.08269084947637	0.250760279562958	0.478770343662182	0.391975719957342	gene_102/gene_4666	2	onu_vs_self	strong	up	BP	FALSE
GO:0006725	aromatic compound metabolic process	3/143	38/3113	0.0789473684210526	1.71862348178138	0.97786799148546	0.25268434804393	0.478770343662182	0.391975719957342	gene_1576/gene_3446/gene_5891	3	onu_vs_self	strong	up	BP	FALSE
GO:0006032	chitin catabolic process	1/143	7/3113	0.142857142857143	3.10989010989011	1.2260769247807	0.280716597625104	0.481228453071607	0.393988207193129	gene_6137	1	onu_vs_self	strong	up	BP	FALSE
GO:0006270	DNA replication initiation	1/143	7/3113	0.142857142857143	3.10989010989011	1.2260769247807	0.280716597625104	0.481228453071607	0.393988207193129	gene_7905	1	onu_vs_self	strong	up	BP	FALSE
GO:0006950	response to stress	1/143	9/3113	0.111111111111111	2.41880341880342	0.935173545698744	0.345433629751626	0.565255030502661	0.462781896317968	gene_4526	1	onu_vs_self	strong	up	BP	FALSE
GO:0019752	carboxylic acid metabolic process	1/143	10/3113	0.1	2.17692307692308	0.817837045659574	0.375589232504692	0.587878798702996	0.48130427963988	gene_4303	1	onu_vs_self	strong	up	BP	FALSE
GO:0006979	response to oxidative stress	1/143	11/3113	0.0909090909090909	1.97902097902098	0.71363646337784	0.404364849569413	0.606547274354119	0.496588411751911	gene_5526	1	onu_vs_self	strong	up	BP	FALSE
GO:0006913	nucleocytoplasmic transport	1/143	13/3113	0.0769230769230769	1.67455621301775	0.534710317603235	0.45802420122093	0.659554849758139	0.53998642670257	gene_3159	1	onu_vs_self	strong	up	BP	FALSE
