ID	Description	GeneRatio	BgRatio	RichFactor	FoldEnrichment	zScore	pvalue	p.adjust	qvalue	geneID	Count	contrast	gene_set	direction	ontology	significant_padj_0.05
GO:0016020	membrane	23/50	318/1791	0.0723270440251572	2.59075471698113	5.29941021294021	2.68024819507066e-06	2.68024819507066e-05	1.12852555581922e-05	gene_13/gene_102/gene_283/gene_1476/gene_1761/gene_2366/gene_2517/gene_2968/gene_4228/gene_4329/gene_4666/gene_5687/gene_5898/gene_6121/gene_6223/gene_6471/gene_6727/gene_6829/gene_7196/gene_7383/gene_7984/gene_8054/gene_8634	23	onu_vs_self	strong	up	CC	TRUE
GO:0000139	Golgi membrane	2/50	6/1791	0.333333333333333	11.94	4.54763886157069	0.0106670201580602	0.0392354397851365	0.0165201851726891	gene_2644/gene_4675	2	onu_vs_self	strong	up	CC	TRUE
GO:0016021	integral to membrane	14/50	268/1791	0.0522388059701493	1.87119402985075	2.62026048838864	0.011770631935541	0.0392354397851365	0.0165201851726891	gene_13/gene_1964/gene_2644/gene_3152/gene_4228/gene_4526/gene_4675/gene_5687/gene_6121/gene_6638/gene_6953/gene_7566/gene_7984/gene_8244	14	onu_vs_self	strong	up	CC	TRUE
GO:0005789	endoplasmic reticulum membrane	2/50	9/1791	0.222222222222222	7.96	3.54640864187001	0.0242640010727178	0.0595893864760151	0.0250902679899011	gene_2644/gene_4675	2	onu_vs_self	strong	up	CC	FALSE
GO:0005576	extracellular region	2/50	10/1791	0.2	7.164	3.31163758116049	0.0297946932380076	0.0595893864760151	0.0250902679899011	gene_2451/gene_6541	2	onu_vs_self	strong	up	CC	FALSE
GO:0005783	endoplasmic reticulum	2/50	11/1791	0.181818181818182	6.51272727272727	3.10716975598101	0.0357742861773345	0.0596238102955575	0.0251047622297084	gene_2517/gene_6094	2	onu_vs_self	strong	up	CC	FALSE
GO:0005778	peroxisomal membrane	1/50	5/1791	0.2	7.164	2.33840126364639	0.132147002948082	0.188781432782974	0.0794869190665156	gene_2086	1	onu_vs_self	strong	up	CC	FALSE
GO:0005737	cytoplasm	2/50	129/1791	0.0155038759689922	0.555348837209302	-0.888200288464621	0.887247296675345	0.998878901048416	0.420580589915123	gene_4311/gene_8553	2	onu_vs_self	strong	up	CC	FALSE
GO:0005634	nucleus	6/50	473/1791	0.0126849894291755	0.454376321353065	-2.34357149299465	0.99652456215776	0.998878901048416	0.420580589915123	gene_671/gene_1592/gene_5896/gene_6686/gene_7905/gene_8170	6	onu_vs_self	strong	up	CC	FALSE
GO:0005622	intracellular	3/50	359/1791	0.00835654596100279	0.29933147632312	-2.51536176679171	0.998878901048416	0.998878901048416	0.420580589915123	gene_1462/gene_3159/gene_3883	3	onu_vs_self	strong	up	CC	FALSE
