pathway	pathway_class	pathway_type
1,2-Dichloroethane degradation	Biodegradation of Xenobiotics	METABOLIC
1,4-Dichlorobenzene degradation	Biodegradation of Xenobiotics	METABOLIC
2,4-Dichlorobenzoate degradation	Biodegradation of Xenobiotics	METABOLIC
3-Chloroacrylic acid degradation	Biodegradation of Xenobiotics	METABOLIC
ATP synthesis	Energy Metabolism	METABOLIC
Alanine and aspartate metabolism	Amino Acid Metabolism	METABOLIC
Alkaloid biosynthesis I	Biosynthesis of Secondary Metabolites	METABOLIC
Alkaloid biosynthesis II	Biosynthesis of Secondary Metabolites	METABOLIC
Aminoacyl-tRNA biosynthesis	TRANSLATION	REGULATORY
Aminophosphonate metabolism	Metabolism of Other Amino Acids	METABOLIC
Aminosugars metabolism	Metabolism of Complex Carbohydrates	METABOLIC
Androgen and estrogen metabolism	Lipid Metabolism	METABOLIC
Arginine and proline metabolism	Amino Acid Metabolism	METABOLIC
Ascorbate and aldarate metabolism	Carbohydrate Metabolism	METABOLIC
Atrazine degradation	Biodegradation of Xenobiotics	METABOLIC
Benzoate degradation via CoA ligation	Biodegradation of Xenobiotics	METABOLIC
Benzoate degradation via hydroxylation	Biodegradation of Xenobiotics	METABOLIC
Bile acid biosynthesis	Lipid Metabolism	METABOLIC
Biotin metabolism	Metabolism of Cofactors and Vitamins	METABOLIC
Blood group glycolipid biosynthesis - lact series	Metabolism of Complex Lipids	METABOLIC
Blood group glycolipid biosynthesis - neolact series	Metabolism of Complex Lipids	METABOLIC
Butanoate metabolism	Carbohydrate Metabolism	METABOLIC
Caprolactam degradation	Biodegradation of Xenobiotics	METABOLIC
Carbazole degradation	Biodegradation of Xenobiotics	METABOLIC
Carbon fixation	Energy Metabolism	METABOLIC
Chondroitin / heparan sulfate biosynthesis	Metabolism of Complex Carbohydrates	METABOLIC
Citrate cycle (TCA cycle)	Carbohydrate Metabolism	METABOLIC
Cyanoamino acid metabolism	Metabolism of Other Amino Acids	METABOLIC
Cysteine metabolism	Amino Acid Metabolism	METABOLIC
D-Arginine and D-ornithine metabolism	Metabolism of Other Amino Acids	METABOLIC
DNA polymerase	REPLICATION AND REPAIR	REGULATORY
