ID	Description	GeneRatio	BgRatio	RichFactor	FoldEnrichment	zScore	pvalue	p.adjust	qvalue	geneID	Count	contrast	gene_set	direction	significant_padj_0.05	pathway_class	pathway_type
Carbon fixation	Carbon fixation	18/430	23/1145	0.782608695652174	2.08392315470172	4.07061662909163	7.09637999406387e-05	0.00674156099436068	0.0064240913630473	gene_231/gene_466/gene_643/gene_681/gene_1181/gene_1194/gene_1596/gene_2953/gene_4448/gene_5119/gene_5121/gene_5122/gene_5156/gene_6431/gene_6501/gene_7307/gene_7887/gene_8166	18	interaction_vs_self	significant	up	TRUE	Energy Metabolism	METABOLIC
Glutamate metabolism	Glutamate metabolism	17/430	26/1145	0.653846153846154	1.74105545617174	2.96289703274382	0.00336372642024525	0.116194178062651	0.110722430065241	gene_643/gene_1194/gene_1950/gene_3342/gene_3607/gene_3627/gene_3658/gene_4303/gene_4892/gene_5549/gene_5918/gene_6501/gene_6547/gene_6735/gene_6968/gene_7434/gene_7443	17	interaction_vs_self	significant	up	FALSE	Amino Acid Metabolism	METABOLIC
Glycolysis / Gluconeogenesis	Glycolysis / Gluconeogenesis	31/430	57/1145	0.543859649122807	1.44818441452468	2.69075371945397	0.00596634897265927	0.116194178062651	0.110722430065241	gene_7/gene_466/gene_681/gene_777/gene_1207/gene_1436/gene_1552/gene_1968/gene_2001/gene_2043/gene_2296/gene_2889/gene_2905/gene_2953/gene_3385/gene_3428/gene_4055/gene_4258/gene_4567/gene_4591/gene_5119/gene_5122/gene_5570/gene_6002/gene_6304/gene_6431/gene_7157/gene_7307/gene_7563/gene_8411/gene_8436	31	interaction_vs_self	significant	up	FALSE	Carbohydrate Metabolism	METABOLIC
Fructose and mannose metabolism	Fructose and mannose metabolism	35/430	66/1145	0.53030303030303	1.41208597603946	2.67327292321819	0.00606882859132641	0.116194178062651	0.110722430065241	gene_7/gene_131/gene_184/gene_364/gene_466/gene_681/gene_851/gene_1150/gene_3020/gene_3111/gene_3385/gene_3431/gene_3677/gene_3900/gene_4108/gene_4337/gene_5119/gene_5122/gene_5129/gene_5359/gene_5364/gene_5494/gene_5597/gene_5895/gene_6198/gene_7157/gene_7307/gene_7622/gene_7634/gene_7836/gene_8033/gene_8197/gene_8301/gene_8537/gene_8594	35	interaction_vs_self	significant	up	FALSE	Carbohydrate Metabolism	METABOLIC
Alanine and aspartate metabolism	Alanine and aspartate metabolism	15/430	23/1145	0.652173913043478	1.7366026289181	2.76627258796013	0.006115483055929	0.116194178062651	0.110722430065241	gene_643/gene_814/gene_1194/gene_1831/gene_2291/gene_3607/gene_3837/gene_4029/gene_4141/gene_4167/gene_4303/gene_6501/gene_6968/gene_7046/gene_7062	15	interaction_vs_self	significant	up	FALSE	Amino Acid Metabolism	METABOLIC
Pentose phosphate pathway	Pentose phosphate pathway	16/430	28/1145	0.571428571428571	1.52159468438538	2.16610649734434	0.0260655324026961	0.394279083205685	0.375711924162758	gene_466/gene_934/gene_1181/gene_1514/gene_1735/gene_3385/gene_4112/gene_4786/gene_5119/gene_5121/gene_5156/gene_5570/gene_6002/gene_7307/gene_7580/gene_7887	16	interaction_vs_self	significant	up	FALSE	Carbohydrate Metabolism	METABOLIC
Glycine, serine and threonine metabolism	Glycine, serine and threonine metabolism	27/430	53/1145	0.509433962264151	1.3565160157964	2.06015491730367	0.0290521429730505	0.394279083205685	0.375711924162758	gene_184/gene_1572/gene_1714/gene_2059/gene_2065/gene_2095/gene_2176/gene_2603/gene_3005/gene_3505/gene_3757/gene_3997/gene_4108/gene_4255/gene_4337/gene_5342/gene_5610/gene_5744/gene_6198/gene_6359/gene_6435/gene_7461/gene_7570/gene_7698/gene_8033/gene_8349/gene_8436	27	interaction_vs_self	significant	up	FALSE	Amino Acid Metabolism	METABOLIC
Oxidative phosphorylation	Oxidative phosphorylation	6/430	8/1145	0.75	1.99709302325581	2.19378800593316	0.0357811535772866	0.400892241931773	0.382013659901745	gene_161/gene_1259/gene_2234/gene_2383/gene_3052/gene_5369	6	interaction_vs_self	significant	up	FALSE	Energy Metabolism	METABOLIC
Citrate cycle (TCA cycle)	Citrate cycle (TCA cycle)	9/430	14/1145	0.642857142857143	1.71179401993356	2.07721413634385	0.0379792650251153	0.400892241931773	0.382013659901745	gene_231/gene_1596/gene_2333/gene_2383/gene_4089/gene_4730/gene_7678/gene_8425/gene_8436	9	interaction_vs_self	significant	up	FALSE	Carbohydrate Metabolism	METABOLIC
beta-Alanine metabolism	beta-Alanine metabolism	12/430	21/1145	0.571428571428571	1.52159468438538	1.87005279521078	0.0521547637773044	0.495470255884392	0.472137861562966	gene_334/gene_873/gene_1203/gene_1207/gene_2043/gene_4055/gene_4303/gene_4308/gene_4567/gene_6203/gene_6968/gene_7226	12	interaction_vs_self	significant	up	FALSE	Metabolism of Other Amino Acids	METABOLIC
Phenylalanine metabolism	Phenylalanine metabolism	17/430	33/1145	0.515151515151515	1.37174066243834	1.67972762195971	0.068703683991326	0.593349998106907	0.565408308445362	gene_1194/gene_1531/gene_1968/gene_2029/gene_2632/gene_2762/gene_2889/gene_2941/gene_3769/gene_5063/gene_5279/gene_5827/gene_6196/gene_6501/gene_7563/gene_7764/gene_8370	17	interaction_vs_self	significant	up	FALSE	Amino Acid Metabolism	METABOLIC
Sterol biosynthesis	Sterol biosynthesis	12/430	22/1145	0.545454545454545	1.45243128964059	1.66099495750294	0.0768061243208325	0.60804848420659	0.579414622069438	gene_1205/gene_1531/gene_1746/gene_2498/gene_2632/gene_3946/gene_4257/gene_6362/gene_6477/gene_6533/gene_7231/gene_7764	12	interaction_vs_self	significant	up	FALSE	Lipid Metabolism	METABOLIC
Methionine metabolism	Methionine metabolism	10/430	18/1145	0.555555555555556	1.47932816537468	1.58891791812695	0.0910943541008419	0.628209968743534	0.598626673816553	gene_885/gene_1256/gene_1833/gene_1963/gene_3505/gene_5159/gene_6120/gene_6884/gene_7780/gene_8184	10	interaction_vs_self	significant	up	FALSE	Amino Acid Metabolism	METABOLIC
Aminoacyl-tRNA biosynthesis	Aminoacyl-tRNA biosynthesis	19/430	39/1145	0.487179487179487	1.29725700655933	1.46413478648013	0.0985382374224452	0.628209968743534	0.598626673816553	gene_463/gene_814/gene_2065/gene_2095/gene_2176/gene_2291/gene_3005/gene_3626/gene_4029/gene_4832/gene_4892/gene_5375/gene_5744/gene_6093/gene_6359/gene_6665/gene_7062/gene_7443/gene_7780	19	interaction_vs_self	significant	up	FALSE	TRANSLATION	REGULATORY
Nitrogen metabolism	Nitrogen metabolism	9/430	16/1145	0.5625	1.49781976744186	1.55445937719268	0.0991910476963475	0.628209968743534	0.598626673816553	gene_2459/gene_3658/gene_3837/gene_4141/gene_5159/gene_5342/gene_5344/gene_6735/gene_7930	9	interaction_vs_self	significant	up	FALSE	Energy Metabolism	METABOLIC
Ascorbate and aldarate metabolism	Ascorbate and aldarate metabolism	18/430	37/1145	0.486486486486487	1.29541169076053	1.4159661760296	0.10775073821307	0.639770008140103	0.60964233462658	gene_184/gene_900/gene_1207/gene_1403/gene_1514/gene_2043/gene_3671/gene_4055/gene_4108/gene_4337/gene_4567/gene_5065/gene_6198/gene_6483/gene_7242/gene_7580/gene_7957/gene_8033	18	interaction_vs_self	significant	up	FALSE	Carbohydrate Metabolism	METABOLIC
Alkaloid biosynthesis I	Alkaloid biosynthesis I	7/430	12/1145	0.583333333333333	1.55329457364341	1.49357246381975	0.117354775668752	0.655806099325377	0.624923263623074	gene_1194/gene_1531/gene_2632/gene_2753/gene_2762/gene_6501/gene_7764	7	interaction_vs_self	significant	up	FALSE	Biosynthesis of Secondary Metabolites	METABOLIC
Butanoate metabolism	Butanoate metabolism	25/430	56/1145	0.446428571428571	1.18874584717608	1.12266891463447	0.163004163859954	0.710026866049659	0.676590697842334	gene_184/gene_873/gene_1114/gene_1207/gene_2043/gene_2154/gene_2296/gene_3710/gene_4055/gene_4065/gene_4108/gene_4303/gene_4308/gene_4337/gene_4567/gene_5907/gene_5918/gene_6198/gene_6203/gene_6304/gene_6968/gene_6973/gene_7226/gene_7836/gene_8033	25	interaction_vs_self	significant	up	FALSE	Carbohydrate Metabolism	METABOLIC
Pyruvate metabolism	Pyruvate metabolism	22/430	49/1145	0.448979591836735	1.19553868058851	1.08447529377564	0.174732460061018	0.710026866049659	0.676590697842334	gene_231/gene_777/gene_1114/gene_1207/gene_1552/gene_1596/gene_1933/gene_2043/gene_2296/gene_2953/gene_4055/gene_4567/gene_5184/gene_5494/gene_6248/gene_6270/gene_6290/gene_6304/gene_7634/gene_8166/gene_8436/gene_8537	22	interaction_vs_self	significant	up	FALSE	Carbohydrate Metabolism	METABOLIC
O-Glycans biosynthesis	O-Glycans biosynthesis	10/430	20/1145	0.5	1.33139534883721	1.1589891345278	0.176428150453845	0.710026866049659	0.676590697842334	gene_1150/gene_3431/gene_3677/gene_3900/gene_5129/gene_5359/gene_5364/gene_5597/gene_8285/gene_8301	10	interaction_vs_self	significant	up	FALSE	Metabolism of Complex Carbohydrates	METABOLIC
