ID	Description	GeneRatio	BgRatio	RichFactor	FoldEnrichment	zScore	pvalue	p.adjust	qvalue	geneID	Count	contrast	gene_set	direction	significant_padj_0.05	pathway_class	pathway_type
Carbon fixation	Carbon fixation	18/430	23/1145	0.782608695652174	2.08392315470172	4.07061662909163	7.09637999406387e-05	0.00674156099436068	0.0064240913630473	gene_231/gene_466/gene_643/gene_681/gene_1181/gene_1194/gene_1596/gene_2953/gene_4448/gene_5119/gene_5121/gene_5122/gene_5156/gene_6431/gene_6501/gene_7307/gene_7887/gene_8166	18	interaction_vs_self	significant	up	TRUE	Energy Metabolism	METABOLIC
N-Glycan degradation	N-Glycan degradation	5/105	9/1145	0.555555555555556	6.05820105820106	4.83859385165631	0.000552804780178498	0.0403547489530304	0.0384053847281904	gene_705/gene_928/gene_2690/gene_6122/gene_6171	5	interaction_vs_self	strong	down	TRUE	Metabolism of Complex Carbohydrates	METABOLIC
Glycerolipid metabolism	Glycerolipid metabolism	49/267	124/1145	0.395161290322581	1.69460553340582	4.5149983421813	1.37078165764997e-05	0.00130224257476747	0.00130224257476747	gene_83/gene_217/gene_375/gene_662/gene_737/gene_972/gene_1107/gene_1202/gene_1225/gene_1373/gene_1502/gene_1752/gene_1864/gene_2056/gene_2100/gene_2128/gene_2592/gene_2690/gene_2694/gene_2806/gene_3019/gene_3344/gene_3431/gene_3682/gene_3919/gene_4069/gene_4108/gene_4151/gene_4242/gene_4258/gene_4567/gene_4697/gene_4760/gene_5386/gene_5622/gene_5795/gene_6336/gene_6632/gene_6766/gene_6816/gene_6840/gene_6880/gene_7217/gene_7248/gene_7438/gene_7634/gene_7789/gene_8045/gene_8309	49	onu_vs_self	significant	down	TRUE	Metabolism of Complex Lipids	METABOLIC
Glycerolipid metabolism	Glycerolipid metabolism	19/67	124/1145	0.153225806451613	2.61856042368801	4.75628556666217	3.26831398714939e-05	0.00222245351126159	0.00222245351126159	gene_375/gene_972/gene_1225/gene_1502/gene_1864/gene_2100/gene_2806/gene_3431/gene_3682/gene_4069/gene_4151/gene_4567/gene_4697/gene_5622/gene_6336/gene_6816/gene_6840/gene_7438/gene_8309	19	onu_vs_self	strong	down	TRUE	Metabolism of Complex Lipids	METABOLIC
Citrate cycle (TCA cycle)	Citrate cycle (TCA cycle)	13/446	14/1145	0.928571428571429	2.38388853299167	4.15983093082488	3.85003491241913e-05	0.00369603351592237	0.00344476807953291	gene_231/gene_1596/gene_2333/gene_2383/gene_3913/gene_3968/gene_4089/gene_4730/gene_4883/gene_7678/gene_8289/gene_8425/gene_8436	13	interaction_vs_onu	significant	up	TRUE	Carbohydrate Metabolism	METABOLIC
Glycine, serine and threonine metabolism	Glycine, serine and threonine metabolism	33/446	53/1145	0.622641509433962	1.59848548946611	3.56223112967046	0.000375196051877708	0.01800941049013	0.0167850865313712	gene_184/gene_379/gene_972/gene_1572/gene_1714/gene_2059/gene_2095/gene_2100/gene_2176/gene_2603/gene_2816/gene_2872/gene_3005/gene_3505/gene_3757/gene_3858/gene_3997/gene_4108/gene_4255/gene_4337/gene_4912/gene_4913/gene_5342/gene_5610/gene_5738/gene_5744/gene_6174/gene_6198/gene_6840/gene_7570/gene_8033/gene_8309/gene_8436	33	interaction_vs_onu	significant	up	TRUE	Amino Acid Metabolism	METABOLIC
Aminoacyl-tRNA biosynthesis	Aminoacyl-tRNA biosynthesis	25/446	39/1145	0.641025641025641	1.64568241922502	3.27578624702109	0.00108483173907163	0.0347146156502923	0.0323546308144172	gene_121/gene_463/gene_814/gene_2095/gene_2176/gene_3005/gene_3494/gene_3626/gene_4029/gene_4040/gene_4150/gene_4299/gene_4832/gene_4892/gene_5085/gene_5375/gene_5744/gene_6093/gene_6206/gene_6665/gene_7062/gene_7443/gene_7590/gene_7604/gene_8466	25	interaction_vs_onu	significant	up	TRUE	TRANSLATION	REGULATORY
Benzoate degradation via CoA ligation	Benzoate degradation via CoA ligation	30/302	64/1145	0.46875	1.77721440397351	3.82842970347794	0.000226416608184771	0.0212831611693685	0.0202583281007427	gene_2/gene_330/gene_430/gene_484/gene_949/gene_1743/gene_2418/gene_2629/gene_2964/gene_3441/gene_3703/gene_3769/gene_4064/gene_4308/gene_4970/gene_5009/gene_5173/gene_5481/gene_5515/gene_5573/gene_6920/gene_7103/gene_7226/gene_7462/gene_7983/gene_7989/gene_7998/gene_8385/gene_8499/gene_8586	30	interaction_vs_onu	significant	down	TRUE	Biodegradation of Xenobiotics	METABOLIC
Ethylbenzene degradation	Ethylbenzene degradation	11/302	17/1145	0.647058823529412	2.45325282430853	3.61171757843574	0.000935109210175256	0.043950132878237	0.0418338330867878	gene_430/gene_484/gene_3441/gene_4025/gene_4064/gene_4304/gene_4970/gene_6527/gene_6920/gene_7462/gene_8586	11	interaction_vs_onu	significant	down	TRUE	Biodegradation of Xenobiotics	METABOLIC
Ethylbenzene degradation	Ethylbenzene degradation	8/98	17/1145	0.470588235294118	5.49819927971189	5.71427729964743	2.77638338896793e-05	0.00133935901380464	0.00116105425345293	gene_484/gene_3441/gene_4064/gene_4304/gene_4970/gene_6527/gene_7462/gene_8586	8	interaction_vs_onu	strong	down	TRUE	Biodegradation of Xenobiotics	METABOLIC
