ID	Description	GeneRatio	BgRatio	RichFactor	FoldEnrichment	zScore	pvalue	p.adjust	qvalue	geneID	Count	contrast	gene_set	direction	significant_padj_0.05	pathway_class	pathway_type
Benzoate degradation via CoA ligation	Benzoate degradation via CoA ligation	30/302	64/1145	0.46875	1.77721440397351	3.82842970347794	0.000226416608184771	0.0212831611693685	0.0202583281007427	gene_2/gene_330/gene_430/gene_484/gene_949/gene_1743/gene_2418/gene_2629/gene_2964/gene_3441/gene_3703/gene_3769/gene_4064/gene_4308/gene_4970/gene_5009/gene_5173/gene_5481/gene_5515/gene_5573/gene_6920/gene_7103/gene_7226/gene_7462/gene_7983/gene_7989/gene_7998/gene_8385/gene_8499/gene_8586	30	interaction_vs_onu	significant	down	TRUE	Biodegradation of Xenobiotics	METABOLIC
Ethylbenzene degradation	Ethylbenzene degradation	11/302	17/1145	0.647058823529412	2.45325282430853	3.61171757843574	0.000935109210175256	0.043950132878237	0.0418338330867878	gene_430/gene_484/gene_3441/gene_4025/gene_4064/gene_4304/gene_4970/gene_6527/gene_6920/gene_7462/gene_8586	11	interaction_vs_onu	significant	down	TRUE	Biodegradation of Xenobiotics	METABOLIC
Nitorobenzene degradation	Nitorobenzene degradation	14/302	26/1145	0.538461538461538	2.04151808456444	3.21396499562979	0.00237771250206484	0.0595845833986309	0.0567154489236688	gene_1069/gene_1318/gene_1491/gene_1576/gene_2554/gene_3042/gene_3440/gene_5899/gene_7331/gene_7374/gene_7971/gene_7994/gene_7997/gene_8587	14	interaction_vs_onu	significant	down	FALSE	Biodegradation of Xenobiotics	METABOLIC
Fluorene degradation	Fluorene degradation	12/302	21/1145	0.571428571428571	2.16650898770104	3.22787923044078	0.00253551418717578	0.0595845833986309	0.0567154489236688	gene_168/gene_460/gene_1069/gene_1491/gene_2554/gene_3440/gene_5899/gene_7242/gene_7331/gene_7971/gene_7994/gene_8587	12	interaction_vs_onu	significant	down	FALSE	Biodegradation of Xenobiotics	METABOLIC
Glycosaminoglycan degradation	Glycosaminoglycan degradation	5/302	6/1145	0.833333333333333	3.15949227373068	3.17298569473069	0.00585069258801963	0.109993020654769	0.104696604206667	gene_705/gene_2690/gene_6122/gene_7154/gene_7248	5	interaction_vs_onu	significant	down	FALSE	Metabolism of Complex Carbohydrates	METABOLIC
N-Glycan degradation	N-Glycan degradation	6/302	9/1145	0.666666666666667	2.52759381898455	2.75259728939302	0.0128574965427046	0.201434112502373	0.191734597566648	gene_705/gene_2690/gene_6122/gene_6171/gene_7154/gene_7248	6	interaction_vs_onu	significant	down	FALSE	Metabolism of Complex Carbohydrates	METABOLIC
Flavonoids, stilbene and lignin biosynthesis	Flavonoids, stilbene and lignin biosynthesis	15/302	36/1145	0.416666666666667	1.57974613686534	2.11458933308599	0.0310122101132005	0.366751604448021	0.349091672766873	gene_168/gene_738/gene_1439/gene_3307/gene_3830/gene_4310/gene_4971/gene_5659/gene_5766/gene_5900/gene_7242/gene_7925/gene_7979/gene_7987/gene_8386	15	interaction_vs_onu	significant	down	FALSE	Biosynthesis of Secondary Metabolites	METABOLIC
Phenylalanine metabolism	Phenylalanine metabolism	14/302	33/1145	0.424242424242424	1.60846879389926	2.12200099155443	0.0312129025062145	0.366751604448021	0.349091672766873	gene_2/gene_430/gene_1876/gene_2418/gene_2964/gene_2965/gene_3769/gene_5515/gene_5665/gene_5766/gene_6920/gene_7987/gene_7989/gene_7998	14	interaction_vs_onu	significant	down	FALSE	Amino Acid Metabolism	METABOLIC
Styrene degradation	Styrene degradation	11/302	25/1145	0.44	1.6682119205298	2.02105395751786	0.0411439860495189	0.429726076517198	0.409033779439662	gene_2/gene_2418/gene_2440/gene_2964/gene_3769/gene_5515/gene_5766/gene_6529/gene_7987/gene_7989/gene_7998	11	interaction_vs_onu	significant	down	FALSE	Biodegradation of Xenobiotics	METABOLIC
Fatty acid metabolism	Fatty acid metabolism	17/302	45/1145	0.377777777777778	1.43230316409124	1.77011313569622	0.0584847302687698	0.512392426987032	0.487719555362796	gene_1474/gene_1566/gene_2106/gene_2633/gene_3213/gene_3428/gene_3447/gene_4308/gene_4321/gene_4473/gene_6790/gene_7217/gene_7226/gene_7401/gene_7492/gene_8585/gene_8589	17	interaction_vs_onu	significant	down	FALSE	Lipid Metabolism	METABOLIC
Tryptophan metabolism	Tryptophan metabolism	27/302	78/1145	0.346153846153846	1.31240448293428	1.70995643265837	0.0599608159240144	0.512392426987032	0.487719555362796	gene_2/gene_152/gene_1157/gene_1474/gene_2418/gene_2914/gene_2964/gene_3213/gene_3447/gene_3769/gene_4308/gene_4321/gene_4473/gene_5084/gene_5468/gene_5515/gene_5665/gene_5762/gene_5766/gene_7226/gene_7492/gene_7982/gene_7987/gene_7989/gene_7998/gene_8585/gene_8589	27	interaction_vs_onu	significant	down	FALSE	Amino Acid Metabolism	METABOLIC
Cyanoamino acid metabolism	Cyanoamino acid metabolism	14/302	36/1145	0.388888888888889	1.47442972774099	1.73045403459584	0.0656254991039473	0.514066409647587	0.489312931915396	gene_2/gene_738/gene_1439/gene_2418/gene_2964/gene_3307/gene_3769/gene_5515/gene_5659/gene_5900/gene_7979/gene_7989/gene_7998/gene_8386	14	interaction_vs_onu	significant	down	FALSE	Metabolism of Other Amino Acids	METABOLIC
Starch and sucrose metabolism	Starch and sucrose metabolism	25/302	73/1145	0.342465753424658	1.29842148235508	1.57651031661028	0.0773555748941017	0.559340310772735	0.532406790769121	gene_559/gene_738/gene_1109/gene_1388/gene_1439/gene_2886/gene_2946/gene_2947/gene_2958/gene_3307/gene_3418/gene_4052/gene_4330/gene_4488/gene_5037/gene_5208/gene_5443/gene_5659/gene_5694/gene_5900/gene_7275/gene_7979/gene_8213/gene_8385/gene_8386	25	interaction_vs_onu	significant	down	FALSE	Metabolism of Complex Carbohydrates	METABOLIC
