ID	Description	GeneRatio	BgRatio	RichFactor	FoldEnrichment	zScore	pvalue	p.adjust	qvalue	geneID	Count	contrast	gene_set	direction	significant_padj_0.05	pathway_class	pathway_type
Citrate cycle (TCA cycle)	Citrate cycle (TCA cycle)	13/446	14/1145	0.928571428571429	2.38388853299167	4.15983093082488	3.85003491241913e-05	0.00369603351592237	0.00344476807953291	gene_231/gene_1596/gene_2333/gene_2383/gene_3913/gene_3968/gene_4089/gene_4730/gene_4883/gene_7678/gene_8289/gene_8425/gene_8436	13	interaction_vs_onu	significant	up	TRUE	Carbohydrate Metabolism	METABOLIC
Glycine, serine and threonine metabolism	Glycine, serine and threonine metabolism	33/446	53/1145	0.622641509433962	1.59848548946611	3.56223112967046	0.000375196051877708	0.01800941049013	0.0167850865313712	gene_184/gene_379/gene_972/gene_1572/gene_1714/gene_2059/gene_2095/gene_2100/gene_2176/gene_2603/gene_2816/gene_2872/gene_3005/gene_3505/gene_3757/gene_3858/gene_3997/gene_4108/gene_4255/gene_4337/gene_4912/gene_4913/gene_5342/gene_5610/gene_5738/gene_5744/gene_6174/gene_6198/gene_6840/gene_7570/gene_8033/gene_8309/gene_8436	33	interaction_vs_onu	significant	up	TRUE	Amino Acid Metabolism	METABOLIC
Aminoacyl-tRNA biosynthesis	Aminoacyl-tRNA biosynthesis	25/446	39/1145	0.641025641025641	1.64568241922502	3.27578624702109	0.00108483173907163	0.0347146156502923	0.0323546308144172	gene_121/gene_463/gene_814/gene_2095/gene_2176/gene_3005/gene_3494/gene_3626/gene_4029/gene_4040/gene_4150/gene_4299/gene_4832/gene_4892/gene_5085/gene_5375/gene_5744/gene_6093/gene_6206/gene_6665/gene_7062/gene_7443/gene_7590/gene_7604/gene_8466	25	interaction_vs_onu	significant	up	TRUE	TRANSLATION	REGULATORY
Alanine and aspartate metabolism	Alanine and aspartate metabolism	15/446	23/1145	0.652173913043478	1.67430298303763	2.60834133748469	0.00909692250961471	0.218326140230753	0.203483792978224	gene_643/gene_814/gene_1194/gene_1731/gene_1831/gene_2207/gene_4029/gene_4150/gene_4167/gene_4303/gene_4883/gene_6501/gene_6968/gene_7046/gene_7062	15	interaction_vs_onu	significant	up	FALSE	Amino Acid Metabolism	METABOLIC
Valine, leucine and isoleucine biosynthesis	Valine, leucine and isoleucine biosynthesis	13/446	20/1145	0.65	1.66872197309417	2.40894111427083	0.0157480516164197	0.302362591035258	0.281807239451721	gene_121/gene_975/gene_2296/gene_2768/gene_3846/gene_4040/gene_4720/gene_4832/gene_5405/gene_6093/gene_6129/gene_6304/gene_7733	13	interaction_vs_onu	significant	up	FALSE	Amino Acid Metabolism	METABOLIC
Carbon fixation	Carbon fixation	14/446	23/1145	0.608695652173913	1.56268278416845	2.17657166401064	0.0262917763874584	0.371191332469136	0.345956833989874	gene_231/gene_466/gene_643/gene_681/gene_1181/gene_1194/gene_1596/gene_2953/gene_4036/gene_5156/gene_6431/gene_6501/gene_7307/gene_7887	14	interaction_vs_onu	significant	up	FALSE	Energy Metabolism	METABOLIC
Lysine biosynthesis	Lysine biosynthesis	10/446	15/1145	0.666666666666667	1.71150971599402	2.21477236765744	0.0270660346592078	0.371191332469136	0.345956833989874	gene_1595/gene_2872/gene_3236/gene_3501/gene_3997/gene_5467/gene_6206/gene_6613/gene_6747/gene_8466	10	interaction_vs_onu	significant	up	FALSE	Amino Acid Metabolism	METABOLIC
Reductive carboxylate cycle (CO2 fixation)	Reductive carboxylate cycle (CO2 fixation)	5/446	6/1145	0.833333333333333	2.13938714499253	2.23422512894602	0.0359599627070026	0.376045690729939	0.350481181053123	gene_231/gene_1596/gene_3913/gene_4089/gene_8289	5	interaction_vs_onu	significant	up	FALSE	Energy Metabolism	METABOLIC
Pentose phosphate pathway	Pentose phosphate pathway	16/446	28/1145	0.571428571428571	1.46700832799487	1.99764773906701	0.0372390753628628	0.376045690729939	0.350481181053123	gene_466/gene_748/gene_934/gene_1181/gene_1514/gene_1735/gene_3336/gene_3385/gene_4036/gene_4112/gene_4786/gene_5156/gene_5570/gene_6002/gene_7307/gene_7887	16	interaction_vs_onu	significant	up	FALSE	Carbohydrate Metabolism	METABOLIC
Glutamate metabolism	Glutamate metabolism	15/446	26/1145	0.576923076923077	1.48111417730252	1.98135200704103	0.039171426117702	0.376045690729939	0.350481181053123	gene_643/gene_1194/gene_1950/gene_3342/gene_3627/gene_3709/gene_4303/gene_4892/gene_5044/gene_5549/gene_6501/gene_6547/gene_6968/gene_7434/gene_7443	15	interaction_vs_onu	significant	up	FALSE	Amino Acid Metabolism	METABOLIC
