ID	Description	GeneRatio	BgRatio	RichFactor	FoldEnrichment	zScore	pvalue	p.adjust	qvalue	geneID	Count	contrast	gene_set	direction	significant_padj_0.05	pathway_class	pathway_type
Ethylbenzene degradation	Ethylbenzene degradation	8/98	17/1145	0.470588235294118	5.49819927971189	5.71427729964743	2.77638338896793e-05	0.00133935901380464	0.00116105425345293	gene_484/gene_3441/gene_4064/gene_4304/gene_4970/gene_6527/gene_7462/gene_8586	8	interaction_vs_onu	strong	down	TRUE	Biodegradation of Xenobiotics	METABOLIC
Benzoate degradation via CoA ligation	Benzoate degradation via CoA ligation	16/98	64/1145	0.25	2.92091836734694	4.83658426271625	3.93929121707246e-05	0.00133935901380464	0.00116105425345293	gene_2/gene_330/gene_484/gene_949/gene_2629/gene_3441/gene_3703/gene_4064/gene_4970/gene_5009/gene_5481/gene_7462/gene_7983/gene_7989/gene_8499/gene_8586	16	interaction_vs_onu	strong	down	TRUE	Biodegradation of Xenobiotics	METABOLIC
Flavonoids, stilbene and lignin biosynthesis	Flavonoids, stilbene and lignin biosynthesis	9/98	36/1145	0.25	2.92091836734694	3.5813527187111	0.00228213524426657	0.0517283988700422	0.0448419556768167	gene_1439/gene_3830/gene_4971/gene_5659/gene_5766/gene_5900/gene_7925/gene_7979/gene_7987	9	interaction_vs_onu	strong	down	FALSE	Biosynthesis of Secondary Metabolites	METABOLIC
Nitorobenzene degradation	Nitorobenzene degradation	7/98	26/1145	0.269230769230769	3.1456043956044	3.38434002510318	0.00459494569968872	0.0781140768947082	0.0677149892585706	gene_1491/gene_1576/gene_3440/gene_5899/gene_7374/gene_7971/gene_8587	7	interaction_vs_onu	strong	down	FALSE	Biodegradation of Xenobiotics	METABOLIC
Starch and sucrose metabolism	Starch and sucrose metabolism	13/98	73/1145	0.178082191780822	2.08065417948001	2.91812226392981	0.00665030961948916	0.0904442108250526	0.0784036502508196	gene_1109/gene_1439/gene_2886/gene_2946/gene_2947/gene_2958/gene_3418/gene_5037/gene_5659/gene_5694/gene_5900/gene_7275/gene_7979	13	interaction_vs_onu	strong	down	FALSE	Metabolism of Complex Carbohydrates	METABOLIC
Glycosaminoglycan degradation	Glycosaminoglycan degradation	3/98	6/1145	0.5	5.84183673469388	3.63644156746841	0.010055752630023	0.113965196473594	0.0987933591721559	gene_705/gene_2690/gene_6122	3	interaction_vs_onu	strong	down	FALSE	Metabolism of Complex Carbohydrates	METABOLIC
gamma-Hexachlorocyclohexane degradation	gamma-Hexachlorocyclohexane degradation	8/98	41/1145	0.195121951219512	2.27974116475859	2.55200923001867	0.0191853275292719	0.186371753141499	0.161560652878079	gene_33/gene_1474/gene_1576/gene_4321/gene_5766/gene_7374/gene_7987/gene_8585	8	interaction_vs_onu	strong	down	FALSE	Biodegradation of Xenobiotics	METABOLIC
Methane metabolism	Methane metabolism	4/98	14/1145	0.285714285714286	3.33819241982507	2.69194184141533	0.0258610898827515	0.191404947593165	0.165923793579214	gene_1157/gene_5766/gene_5980/gene_7987	4	interaction_vs_onu	strong	down	FALSE	Energy Metabolism	METABOLIC
Fluorene degradation	Fluorene degradation	5/98	21/1145	0.238095238095238	2.78182701652089	2.5202564826715	0.0279262589025326	0.191404947593165	0.165923793579214	gene_1491/gene_3440/gene_5899/gene_7971/gene_8587	5	interaction_vs_onu	strong	down	FALSE	Biodegradation of Xenobiotics	METABOLIC
Tryptophan metabolism	Tryptophan metabolism	12/98	78/1145	0.153846153846154	1.79748822605965	2.23121839015941	0.0281477864107595	0.191404947593165	0.165923793579214	gene_2/gene_1157/gene_1474/gene_3213/gene_3447/gene_4321/gene_5766/gene_7982/gene_7987/gene_7989/gene_8585/gene_8589	12	interaction_vs_onu	strong	down	FALSE	Amino Acid Metabolism	METABOLIC
1,2-Dichloroethane degradation	1,2-Dichloroethane degradation	3/98	9/1145	0.333333333333333	3.89455782312925	2.66604225210423	0.0349198770595672	0.197879303337547	0.171536238187348	gene_3213/gene_3447/gene_8589	3	interaction_vs_onu	strong	down	FALSE	Biodegradation of Xenobiotics	METABOLIC
N-Glycan degradation	N-Glycan degradation	3/98	9/1145	0.333333333333333	3.89455782312925	2.66604225210423	0.0349198770595672	0.197879303337547	0.171536238187348	gene_705/gene_2690/gene_6122	3	interaction_vs_onu	strong	down	FALSE	Metabolism of Complex Carbohydrates	METABOLIC
Propanoate metabolism	Propanoate metabolism	5/98	25/1145	0.2	2.33673469387755	2.06661188276072	0.0554903362791014	0.271414569353575	0.23528197962539	gene_3213/gene_3447/gene_4304/gene_6527/gene_8589	5	interaction_vs_onu	strong	down	FALSE	Carbohydrate Metabolism	METABOLIC
Phenylalanine metabolism	Phenylalanine metabolism	6/98	33/1145	0.181818181818182	2.12430426716141	2.00420040027103	0.0558794701610302	0.271414569353575	0.23528197962539	gene_2/gene_1876/gene_2965/gene_5766/gene_7987/gene_7989	6	interaction_vs_onu	strong	down	FALSE	Amino Acid Metabolism	METABOLIC
Cyanoamino acid metabolism	Cyanoamino acid metabolism	6/98	36/1145	0.166666666666667	1.94727891156463	1.76610311139626	0.0798371348053027	0.358169386197148	0.310487393607434	gene_2/gene_1439/gene_5659/gene_5900/gene_7979/gene_7989	6	interaction_vs_onu	strong	down	FALSE	Metabolism of Other Amino Acids	METABOLIC
Caprolactam degradation	Caprolactam degradation	4/98	20/1145	0.2	2.33673469387755	1.84432165617731	0.0842751496934465	0.358169386197148	0.310487393607434	gene_4941/gene_4967/gene_7693/gene_8625	4	interaction_vs_onu	strong	down	FALSE	Biodegradation of Xenobiotics	METABOLIC
beta-Alanine metabolism	beta-Alanine metabolism	4/98	21/1145	0.19047619047619	2.22546161321671	1.73332065702141	0.0975337122324851	0.39013484892994	0.338197392261249	gene_1977/gene_3213/gene_3447/gene_8589	4	interaction_vs_onu	strong	down	FALSE	Metabolism of Other Amino Acids	METABOLIC
Histidine metabolism	Histidine metabolism	6/98	40/1145	0.15	1.75255102040816	1.48162233023678	0.11948448990685	0.45138585075921	0.391294235952257	gene_3213/gene_3438/gene_3447/gene_5766/gene_7987/gene_8589	6	interaction_vs_onu	strong	down	FALSE	Amino Acid Metabolism	METABOLIC
Styrene degradation	Styrene degradation	4/98	25/1145	0.16	1.86938775510204	1.34408650695583	0.159184362217814	0.552220206998582	0.478704823404344	gene_2/gene_5766/gene_7987/gene_7989	4	interaction_vs_onu	strong	down	FALSE	Biodegradation of Xenobiotics	METABOLIC
Glycerolipid metabolism	Glycerolipid metabolism	14/98	124/1145	0.112903225806452	1.31912442396313	1.15082880767158	0.162417707940759	0.552220206998582	0.478704823404344	gene_330/gene_705/gene_1066/gene_1588/gene_2690/gene_3213/gene_3447/gene_4697/gene_4760/gene_5120/gene_6122/gene_6470/gene_6766/gene_8589	14	interaction_vs_onu	strong	down	FALSE	Metabolism of Complex Lipids	METABOLIC
