ID	Description	GeneRatio	BgRatio	RichFactor	FoldEnrichment	zScore	pvalue	p.adjust	qvalue	geneID	Count	contrast	gene_set	direction	significant_padj_0.05	pathway_class	pathway_type
Bile acid biosynthesis	Bile acid biosynthesis	8/82	45/1145	0.177777777777778	2.48238482384824	2.81659355146532	0.0119012449494327	0.453935950301094	0.444644863599025	gene_412/gene_972/gene_2632/gene_4055/gene_4108/gene_4567/gene_6533/gene_7764	8	interaction_vs_onu	strong	up	FALSE	Lipid Metabolism	METABOLIC
1,4-Dichlorobenzene degradation	1,4-Dichlorobenzene degradation	4/82	14/1145	0.285714285714286	3.98954703832753	3.12457830258193	0.0140695203018055	0.453935950301094	0.444644863599025	gene_1501/gene_2632/gene_6265/gene_7764	4	interaction_vs_onu	strong	up	FALSE	Biodegradation of Xenobiotics	METABOLIC
Tryptophan metabolism	Tryptophan metabolism	11/82	78/1145	0.141025641025641	1.9691994996873	2.46167989707197	0.0189139979292122	0.453935950301094	0.444644863599025	gene_2632/gene_2762/gene_4055/gene_4491/gene_4567/gene_5827/gene_6203/gene_7678/gene_7764/gene_7852/gene_8370	11	interaction_vs_onu	strong	up	FALSE	Amino Acid Metabolism	METABOLIC
Fatty acid metabolism	Fatty acid metabolism	7/82	45/1145	0.155555555555556	2.17208672086721	2.22701409690814	0.0365108712736931	0.546137967632399	0.534959705136999	gene_929/gene_4055/gene_4491/gene_4567/gene_5183/gene_6203/gene_7852	7	interaction_vs_onu	strong	up	FALSE	Lipid Metabolism	METABOLIC
Alkaloid biosynthesis I	Alkaloid biosynthesis I	3/82	12/1145	0.25	3.49085365853659	2.40811480134394	0.0486333430988892	0.546137967632399	0.534959705136999	gene_2632/gene_2762/gene_7764	3	interaction_vs_onu	strong	up	FALSE	Biosynthesis of Secondary Metabolites	METABOLIC
beta-Alanine metabolism	beta-Alanine metabolism	4/82	21/1145	0.19047619047619	2.65969802555168	2.13112476187833	0.0573248183181359	0.546137967632399	0.534959705136999	gene_4055/gene_4567/gene_6203/gene_6968	4	interaction_vs_onu	strong	up	FALSE	Metabolism of Other Amino Acids	METABOLIC
Galactose metabolism	Galactose metabolism	6/82	41/1145	0.146341463414634	2.04342653182629	1.88895918173667	0.066608552486959	0.546137967632399	0.534959705136999	gene_972/gene_3385/gene_4108/gene_6679/gene_7634/gene_7824	6	interaction_vs_onu	strong	up	FALSE	Carbohydrate Metabolism	METABOLIC
gamma-Hexachlorocyclohexane degradation	gamma-Hexachlorocyclohexane degradation	6/82	41/1145	0.146341463414634	2.04342653182629	1.88895918173667	0.066608552486959	0.546137967632399	0.534959705136999	gene_2632/gene_4142/gene_4491/gene_7730/gene_7764/gene_7852	6	interaction_vs_onu	strong	up	FALSE	Biodegradation of Xenobiotics	METABOLIC
Phospholipid degradation	Phospholipid degradation	3/82	14/1145	0.214285714285714	2.99216027874564	2.08214177680795	0.0725736968716712	0.546137967632399	0.534959705136999	gene_1502/gene_2016/gene_2709	3	interaction_vs_onu	strong	up	FALSE	Metabolism of Complex Lipids	METABOLIC
Phenylalanine metabolism	Phenylalanine metabolism	5/82	33/1145	0.151515151515152	2.11566888396157	1.80548216716408	0.080824542794317	0.546137967632399	0.534959705136999	gene_2632/gene_2762/gene_5827/gene_7764/gene_8370	5	interaction_vs_onu	strong	up	FALSE	Amino Acid Metabolism	METABOLIC
