ID	Description	GeneRatio	BgRatio	RichFactor	FoldEnrichment	zScore	pvalue	p.adjust	qvalue	geneID	Count	contrast	gene_set	direction	significant_padj_0.05	pathway_class	pathway_type
N-Glycan degradation	N-Glycan degradation	5/105	9/1145	0.555555555555556	6.05820105820106	4.83859385165631	0.000552804780178498	0.0403547489530304	0.0384053847281904	gene_705/gene_928/gene_2690/gene_6122/gene_6171	5	interaction_vs_self	strong	down	TRUE	Metabolism of Complex Carbohydrates	METABOLIC
Starch and sucrose metabolism	Starch and sucrose metabolism	13/105	73/1145	0.178082191780822	1.94194390084801	2.64167914652509	0.0119655452512753	0.272091864241358	0.258948277432295	gene_648/gene_1109/gene_1439/gene_2886/gene_2946/gene_2947/gene_2958/gene_3418/gene_4862/gene_5037/gene_5659/gene_5694/gene_7979	13	interaction_vs_self	strong	down	FALSE	Metabolism of Complex Carbohydrates	METABOLIC
Glycosaminoglycan degradation	Glycosaminoglycan degradation	3/105	6/1145	0.5	5.45238095238095	3.47293832937742	0.0122140751367223	0.272091864241358	0.258948277432295	gene_705/gene_2690/gene_6122	3	interaction_vs_self	strong	down	FALSE	Metabolism of Complex Carbohydrates	METABOLIC
Ethylbenzene degradation	Ethylbenzene degradation	5/105	17/1145	0.294117647058824	3.20728291316527	2.91218462293616	0.0149091432461018	0.272091864241358	0.258948277432295	gene_3441/gene_4025/gene_4970/gene_6527/gene_8586	5	interaction_vs_self	strong	down	FALSE	Biodegradation of Xenobiotics	METABOLIC
Galactose metabolism	Galactose metabolism	8/105	41/1145	0.195121951219512	2.12775842044135	2.33568602488737	0.0281385844624282	0.339083015239776	0.322703374272894	gene_129/gene_705/gene_972/gene_1109/gene_2690/gene_4862/gene_6122/gene_7824	8	interaction_vs_self	strong	down	FALSE	Carbohydrate Metabolism	METABOLIC
gamma-Hexachlorocyclohexane degradation	gamma-Hexachlorocyclohexane degradation	8/105	41/1145	0.195121951219512	2.12775842044135	2.33568602488737	0.0281385844624282	0.339083015239776	0.322703374272894	gene_33/gene_1474/gene_3682/gene_4321/gene_5385/gene_5766/gene_7374/gene_8585	8	interaction_vs_self	strong	down	FALSE	Biodegradation of Xenobiotics	METABOLIC
Methane metabolism	Methane metabolism	4/105	14/1145	0.285714285714286	3.1156462585034	2.52968684179329	0.0325148096805265	0.339083015239776	0.322703374272894	gene_5766/gene_5980/gene_6240/gene_6609	4	interaction_vs_self	strong	down	FALSE	Energy Metabolism	METABOLIC
Glycerolipid metabolism	Glycerolipid metabolism	17/105	124/1145	0.137096774193548	1.49500768049155	1.85396231072888	0.0507109782974367	0.46273767696411	0.440384811530371	gene_705/gene_972/gene_1066/gene_1225/gene_1588/gene_1864/gene_2100/gene_2690/gene_2806/gene_3682/gene_4069/gene_4697/gene_4760/gene_5622/gene_6122/gene_6766/gene_8589	17	interaction_vs_self	strong	down	FALSE	Metabolism of Complex Lipids	METABOLIC
Caprolactam degradation	Caprolactam degradation	4/105	20/1145	0.2	2.18095238095238	1.69224061731135	0.102939838275828	0.816001281090652	0.776583771477765	gene_1864/gene_4967/gene_5622/gene_7693	4	interaction_vs_self	strong	down	FALSE	Biodegradation of Xenobiotics	METABOLIC
Fatty acid biosynthesis (path 1)	Fatty acid biosynthesis (path 1)	4/105	21/1145	0.19047619047619	2.07709750566893	1.58224052635448	0.118580432766166	0.816001281090652	0.776583771477765	gene_3066/gene_3439/gene_4914/gene_6041	4	interaction_vs_self	strong	down	FALSE	Lipid Metabolism	METABOLIC
