ID	Description	GeneRatio	BgRatio	RichFactor	FoldEnrichment	zScore	pvalue	p.adjust	qvalue	geneID	Count	contrast	gene_set	direction	significant_padj_0.05	pathway_class	pathway_type
Phenylalanine metabolism	Phenylalanine metabolism	10/130	33/1145	0.303030303030303	2.66899766899767	3.48026227324084	0.00236508312642385	0.18447648386106	0.17924840537107	gene_1531/gene_1968/gene_2632/gene_2762/gene_2889/gene_5827/gene_6196/gene_6501/gene_7563/gene_8370	10	interaction_vs_self	strong	up	FALSE	Amino Acid Metabolism	METABOLIC
Fatty acid biosynthesis (path 1)	Fatty acid biosynthesis (path 1)	7/130	21/1145	0.333333333333333	2.93589743589744	3.20302629223105	0.00614217161701681	0.239544693063656	0.2327559770659	gene_1406/gene_1440/gene_1892/gene_3211/gene_6806/gene_8490/gene_8491	7	interaction_vs_self	strong	up	FALSE	Lipid Metabolism	METABOLIC
Ascorbate and aldarate metabolism	Ascorbate and aldarate metabolism	9/130	37/1145	0.243243243243243	2.14241164241164	2.52700016036361	0.0183970499816721	0.336410370160019	0.326876473029978	gene_184/gene_1403/gene_1514/gene_2043/gene_3671/gene_4055/gene_5065/gene_6198/gene_8033	9	interaction_vs_self	strong	up	FALSE	Carbohydrate Metabolism	METABOLIC
Butanoate metabolism	Butanoate metabolism	12/130	56/1145	0.214285714285714	1.88736263736264	2.43575094415392	0.0188255412681003	0.336410370160019	0.326876473029978	gene_184/gene_2043/gene_2296/gene_4055/gene_4303/gene_5907/gene_6198/gene_6304/gene_6968/gene_6973/gene_7226/gene_8033	12	interaction_vs_self	strong	up	FALSE	Carbohydrate Metabolism	METABOLIC
Glycolysis / Gluconeogenesis	Glycolysis / Gluconeogenesis	12/130	57/1145	0.210526315789474	1.85425101214575	2.36679230956153	0.0215647673179499	0.336410370160019	0.326876473029978	gene_7/gene_1552/gene_1968/gene_2043/gene_2296/gene_2889/gene_2905/gene_3385/gene_4055/gene_5570/gene_6304/gene_7563	12	interaction_vs_self	strong	up	FALSE	Carbohydrate Metabolism	METABOLIC
Alkaloid biosynthesis I	Alkaloid biosynthesis I	4/130	12/1145	0.333333333333333	2.93589743589744	2.41162445937173	0.0380189998368374	0.450414157055007	0.437649383373286	gene_1531/gene_2632/gene_2762/gene_6501	4	interaction_vs_self	strong	up	FALSE	Biosynthesis of Secondary Metabolites	METABOLIC
Styrene degradation	Styrene degradation	6/130	25/1145	0.24	2.11384615384615	2.01436362215265	0.0547575972785018	0.450414157055007	0.437649383373286	gene_1531/gene_2632/gene_5827/gene_6196/gene_7205/gene_8370	6	interaction_vs_self	strong	up	FALSE	Biodegradation of Xenobiotics	METABOLIC
Bile acid biosynthesis	Bile acid biosynthesis	9/130	45/1145	0.2	1.76153846153846	1.8644615171058	0.0595767364349008	0.450414157055007	0.437649383373286	gene_184/gene_412/gene_1531/gene_2043/gene_2632/gene_4055/gene_6198/gene_6533/gene_8033	9	interaction_vs_self	strong	up	FALSE	Lipid Metabolism	METABOLIC
Glutamate metabolism	Glutamate metabolism	6/130	26/1145	0.230769230769231	2.03254437869822	1.90516250048766	0.064778802114892	0.450414157055007	0.437649383373286	gene_1950/gene_3658/gene_4303/gene_5549/gene_6501/gene_6968	6	interaction_vs_self	strong	up	FALSE	Amino Acid Metabolism	METABOLIC
Caprolactam degradation	Caprolactam degradation	5/130	20/1145	0.25	2.20192307692308	1.93984521358139	0.0665417291187088	0.450414157055007	0.437649383373286	gene_1514/gene_3274/gene_4620/gene_5649/gene_6158	5	interaction_vs_self	strong	up	FALSE	Biodegradation of Xenobiotics	METABOLIC
Valine, leucine and isoleucine biosynthesis	Valine, leucine and isoleucine biosynthesis	5/130	20/1145	0.25	2.20192307692308	1.93984521358139	0.0665417291187088	0.450414157055007	0.437649383373286	gene_2296/gene_2768/gene_3846/gene_5405/gene_6304	5	interaction_vs_self	strong	up	FALSE	Amino Acid Metabolism	METABOLIC
Histidine metabolism	Histidine metabolism	8/130	40/1145	0.2	1.76153846153846	1.75384967332943	0.0738790576087574	0.450414157055007	0.437649383373286	gene_1531/gene_1968/gene_2043/gene_2632/gene_2762/gene_2889/gene_4055/gene_7563	8	interaction_vs_self	strong	up	FALSE	Amino Acid Metabolism	METABOLIC
beta-Alanine metabolism	beta-Alanine metabolism	5/130	21/1145	0.238095238095238	2.0970695970696	1.81514924223879	0.0796720677060332	0.450414157055007	0.437649383373286	gene_2043/gene_4055/gene_4303/gene_6968/gene_7226	5	interaction_vs_self	strong	up	FALSE	Metabolism of Other Amino Acids	METABOLIC
Arginine and proline metabolism	Arginine and proline metabolism	12/130	69/1145	0.173913043478261	1.53177257525084	1.63003155940114	0.0808435666508987	0.450414157055007	0.437649383373286	gene_2043/gene_2059/gene_2272/gene_2300/gene_2656/gene_4055/gene_4675/gene_5610/gene_5827/gene_6196/gene_6501/gene_8370	12	interaction_vs_self	strong	up	FALSE	Amino Acid Metabolism	METABOLIC
Sterol biosynthesis	Sterol biosynthesis	5/130	22/1145	0.227272727272727	2.00174825174825	1.69719491818104	0.0940880910064037	0.489258073233299	0.475392459821829	gene_1531/gene_2632/gene_3946/gene_6477/gene_6533	5	interaction_vs_self	strong	up	FALSE	Lipid Metabolism	METABOLIC
Vitamin B6 metabolism	Vitamin B6 metabolism	5/130	23/1145	0.217391304347826	1.91471571906355	1.58527751265882	0.109746456870801	0.519737518326597	0.505008114973211	gene_184/gene_1198/gene_3313/gene_6198/gene_8033	5	interaction_vs_self	strong	up	FALSE	Metabolism of Cofactors and Vitamins	METABOLIC
Starch and sucrose metabolism	Starch and sucrose metabolism	12/130	73/1145	0.164383561643836	1.44783983140148	1.41461553227059	0.11327612578913	0.519737518326597	0.505008114973211	gene_7/gene_1575/gene_2318/gene_2533/gene_3262/gene_3594/gene_3977/gene_4140/gene_5570/gene_7022/gene_7032/gene_7160	12	interaction_vs_self	strong	up	FALSE	Metabolism of Complex Carbohydrates	METABOLIC
Lysine degradation	Lysine degradation	10/130	60/1145	0.166666666666667	1.46794871794872	1.33201981413241	0.132130483554883	0.530304609555137	0.5152757339807	gene_184/gene_1027/gene_1490/gene_2043/gene_4055/gene_5467/gene_6198/gene_7226/gene_8033/gene_8226	10	interaction_vs_self	strong	up	FALSE	Amino Acid Metabolism	METABOLIC
Glutathione metabolism	Glutathione metabolism	4/130	18/1145	0.222222222222222	1.95726495726496	1.46439461339215	0.138097138202113	0.530304609555137	0.5152757339807	gene_327/gene_1726/gene_4703/gene_6089	4	interaction_vs_self	strong	up	FALSE	Metabolism of Other Amino Acids	METABOLIC
D-Arginine and D-ornithine metabolism	D-Arginine and D-ornithine metabolism	2/130	6/1145	0.333333333333333	2.93589743589744	1.70077856983381	0.141453542703759	0.530304609555137	0.5152757339807	gene_2059/gene_5610	2	interaction_vs_self	strong	up	FALSE	Metabolism of Other Amino Acids	METABOLIC
Tetrachloroethene degradation	Tetrachloroethene degradation	3/130	12/1145	0.25	2.20192307692308	1.49728339778874	0.146752990386562	0.530304609555137	0.5152757339807	gene_184/gene_6198/gene_8033	3	interaction_vs_self	strong	up	FALSE	Biodegradation of Xenobiotics	METABOLIC
Galactose metabolism	Galactose metabolism	7/130	41/1145	0.170731707317073	1.50375234521576	1.17510355446979	0.174306782198506	0.530304609555137	0.5152757339807	gene_7/gene_184/gene_2533/gene_3385/gene_6198/gene_6679/gene_8033	7	interaction_vs_self	strong	up	FALSE	Carbohydrate Metabolism	METABOLIC
Valine, leucine and isoleucine degradation	Valine, leucine and isoleucine degradation	6/130	34/1145	0.176470588235294	1.55429864253394	1.17375623248195	0.179701318381385	0.530304609555137	0.5152757339807	gene_2043/gene_2768/gene_3846/gene_4055/gene_5118/gene_7226	6	interaction_vs_self	strong	up	FALSE	Amino Acid Metabolism	METABOLIC
Nucleotide sugars metabolism	Nucleotide sugars metabolism	4/130	20/1145	0.2	1.76153846153846	1.22908592732517	0.183776895076962	0.530304609555137	0.5152757339807	gene_184/gene_3640/gene_6198/gene_8033	4	interaction_vs_self	strong	up	FALSE	Nucleotide Metabolism	METABOLIC
Thiamine metabolism	Thiamine metabolism	2/130	7/1145	0.285714285714286	2.51648351648352	1.43968423930801	0.183824800708746	0.530304609555137	0.5152757339807	gene_1198/gene_3313	2	interaction_vs_self	strong	up	FALSE	Metabolism of Cofactors and Vitamins	METABOLIC
Pentose phosphate pathway	Pentose phosphate pathway	5/130	28/1145	0.178571428571429	1.5728021978022	1.09776346305887	0.204267600901953	0.530304609555137	0.5152757339807	gene_1514/gene_1735/gene_3385/gene_5570/gene_7887	5	interaction_vs_self	strong	up	FALSE	Carbohydrate Metabolism	METABOLIC
