ID	Description	GeneRatio	BgRatio	RichFactor	FoldEnrichment	zScore	pvalue	p.adjust	qvalue	geneID	Count	contrast	gene_set	direction	significant_padj_0.05	pathway_class	pathway_type
Glycerolipid metabolism	Glycerolipid metabolism	49/267	124/1145	0.395161290322581	1.69460553340582	4.5149983421813	1.37078165764997e-05	0.00130224257476747	0.00130224257476747	gene_83/gene_217/gene_375/gene_662/gene_737/gene_972/gene_1107/gene_1202/gene_1225/gene_1373/gene_1502/gene_1752/gene_1864/gene_2056/gene_2100/gene_2128/gene_2592/gene_2690/gene_2694/gene_2806/gene_3019/gene_3344/gene_3431/gene_3682/gene_3919/gene_4069/gene_4108/gene_4151/gene_4242/gene_4258/gene_4567/gene_4697/gene_4760/gene_5386/gene_5622/gene_5795/gene_6336/gene_6632/gene_6766/gene_6816/gene_6840/gene_6880/gene_7217/gene_7248/gene_7438/gene_7634/gene_7789/gene_8045/gene_8309	49	onu_vs_self	significant	down	TRUE	Metabolism of Complex Lipids	METABOLIC
Citrate cycle (TCA cycle)	Citrate cycle (TCA cycle)	7/267	14/1145	0.5	2.14419475655431	2.37440092915629	0.0258827401915088	0.830338477064312	0.830338477064312	gene_246/gene_3913/gene_3968/gene_4730/gene_4883/gene_7678/gene_8289	7	onu_vs_self	significant	down	FALSE	Carbohydrate Metabolism	METABOLIC
Folate biosynthesis	Folate biosynthesis	8/267	17/1145	0.470588235294118	2.01806565322758	2.33113315684413	0.0262212150651888	0.830338477064312	0.830338477064312	gene_375/gene_1769/gene_3127/gene_3682/gene_3720/gene_4336/gene_5208/gene_7000	8	onu_vs_self	significant	down	FALSE	Metabolism of Cofactors and Vitamins	METABOLIC
RNA polymerase	RNA polymerase	5/267	10/1145	0.5	2.14419475655431	2.00319582970145	0.0591926329058738	0.999080029200713	0.999080029200713	gene_416/gene_2869/gene_4519/gene_5137/gene_5578	5	onu_vs_self	significant	down	FALSE	TRANSCRIPTION	REGULATORY
Purine metabolism	Purine metabolism	29/267	96/1145	0.302083333333333	1.29545099875156	1.66707339189947	0.0642638495206674	0.999080029200713	0.999080029200713	gene_416/gene_680/gene_727/gene_827/gene_1137/gene_1428/gene_2046/gene_2392/gene_2519/gene_2659/gene_2869/gene_2951/gene_4519/gene_5137/gene_5280/gene_5281/gene_5326/gene_5527/gene_5548/gene_5578/gene_5801/gene_5841/gene_6064/gene_6780/gene_6808/gene_6838/gene_7459/gene_7501/gene_7791	29	onu_vs_self	significant	down	FALSE	Nucleotide Metabolism	METABOLIC
Aminophosphonate metabolism	Aminophosphonate metabolism	7/267	17/1145	0.411764705882353	1.76580744657414	1.75352063475226	0.0768924441932921	0.999080029200713	0.999080029200713	gene_217/gene_2164/gene_2806/gene_4242/gene_5762/gene_7789/gene_8175	7	onu_vs_self	significant	down	FALSE	Metabolism of Other Amino Acids	METABOLIC
Methane metabolism	Methane metabolism	6/267	14/1145	0.428571428571429	1.83788121990369	1.73874765258768	0.0830960772421432	0.999080029200713	0.999080029200713	gene_3858/gene_4253/gene_5766/gene_6240/gene_6609/gene_7620	6	onu_vs_self	significant	down	FALSE	Energy Metabolism	METABOLIC
N-Glycan degradation	N-Glycan degradation	4/267	9/1145	0.444444444444444	1.90595089471494	1.5040356562777	0.134911841359547	0.999080029200713	0.999080029200713	gene_928/gene_2690/gene_6171/gene_7248	4	onu_vs_self	significant	down	FALSE	Metabolism of Complex Carbohydrates	METABOLIC
Bile acid biosynthesis	Bile acid biosynthesis	14/267	45/1145	0.311111111111111	1.33416562630046	1.26064577820638	0.14043044629238	0.999080029200713	0.999080029200713	gene_412/gene_662/gene_972/gene_1225/gene_3938/gene_4108/gene_4109/gene_4253/gene_4258/gene_4516/gene_4567/gene_5766/gene_7217/gene_7933	14	onu_vs_self	significant	down	FALSE	Lipid Metabolism	METABOLIC
Reductive carboxylate cycle (CO2 fixation)	Reductive carboxylate cycle (CO2 fixation)	3/267	6/1145	0.5	2.14419475655431	1.54894180519347	0.143218604213909	0.999080029200713	0.999080029200713	gene_3913/gene_7612/gene_8289	3	onu_vs_self	significant	down	FALSE	Energy Metabolism	METABOLIC
