ID	Description	GeneRatio	BgRatio	RichFactor	FoldEnrichment	zScore	pvalue	p.adjust	qvalue	geneID	Count	contrast	gene_set	direction	significant_padj_0.05	pathway_class	pathway_type
Arginine and proline metabolism	Arginine and proline metabolism	33/350	69/1145	0.478260869565217	1.56459627329193	3.20863182653825	0.00143167585336357	0.134577530216176	0.131111367623822	gene_2/gene_883/gene_1194/gene_1561/gene_2029/gene_2059/gene_2076/gene_2272/gene_2300/gene_2418/gene_2612/gene_2644/gene_2656/gene_3213/gene_3585/gene_3769/gene_4055/gene_4675/gene_4843/gene_4978/gene_5610/gene_5665/gene_6196/gene_6365/gene_6438/gene_6501/gene_7072/gene_7357/gene_7384/gene_7989/gene_7998/gene_8368/gene_8370	33	onu_vs_self	significant	up	FALSE	Amino Acid Metabolism	METABOLIC
Phenylalanine metabolism	Phenylalanine metabolism	17/350	33/1145	0.515151515151515	1.68528138528139	2.64933563707836	0.00868026585131276	0.4079724950117	0.397464804770637	gene_2/gene_1194/gene_1531/gene_1968/gene_2029/gene_2418/gene_2889/gene_3769/gene_5279/gene_5665/gene_6196/gene_6501/gene_7563/gene_7987/gene_7989/gene_7998/gene_8370	17	onu_vs_self	significant	up	FALSE	Amino Acid Metabolism	METABOLIC
Biotin metabolism	Biotin metabolism	9/350	15/1145	0.6	1.96285714285714	2.48961237695098	0.0166975925457273	0.445236673045294	0.433769211141552	gene_223/gene_1279/gene_1490/gene_3925/gene_4163/gene_6104/gene_6377/gene_7343/gene_8226	9	onu_vs_self	significant	up	FALSE	Metabolism of Cofactors and Vitamins	METABOLIC
Glycolysis / Gluconeogenesis	Glycolysis / Gluconeogenesis	25/350	57/1145	0.43859649122807	1.43483709273183	2.23363925587591	0.0205460373702166	0.445236673045294	0.433769211141552	gene_7/gene_466/gene_681/gene_777/gene_1436/gene_1552/gene_1968/gene_2296/gene_2633/gene_2889/gene_2905/gene_2953/gene_3213/gene_3428/gene_4055/gene_4591/gene_5119/gene_5122/gene_6213/gene_6304/gene_6431/gene_6707/gene_7141/gene_7563/gene_8436	25	onu_vs_self	significant	up	FALSE	Carbohydrate Metabolism	METABOLIC
Carbon fixation	Carbon fixation	12/350	23/1145	0.521739130434783	1.70683229813665	2.27115798622936	0.0236828017577284	0.445236673045294	0.433769211141552	gene_466/gene_681/gene_1194/gene_2953/gene_4448/gene_5119/gene_5121/gene_5122/gene_6431/gene_6501/gene_6707/gene_8166	12	onu_vs_self	significant	up	FALSE	Energy Metabolism	METABOLIC
Ascorbate and aldarate metabolism	Ascorbate and aldarate metabolism	17/350	37/1145	0.459459459459459	1.5030888030888	2.06318942695071	0.0327996984305292	0.513861942078291	0.500626976044919	gene_168/gene_184/gene_330/gene_900/gene_1403/gene_1514/gene_1743/gene_2937/gene_3213/gene_3671/gene_4055/gene_4337/gene_5065/gene_5173/gene_6198/gene_7242/gene_7693	17	onu_vs_self	significant	up	FALSE	Carbohydrate Metabolism	METABOLIC
Styrene degradation	Styrene degradation	12/350	25/1145	0.48	1.57028571428571	1.91212797623746	0.0487442711726101	0.614112312405878	0.598295309958695	gene_2/gene_1531/gene_2029/gene_2418/gene_2440/gene_3769/gene_6196/gene_6529/gene_7987/gene_7989/gene_7998/gene_8370	12	onu_vs_self	significant	up	FALSE	Biodegradation of Xenobiotics	METABOLIC
Cyanoamino acid metabolism	Cyanoamino acid metabolism	16/350	36/1145	0.444444444444444	1.45396825396825	1.83558470829142	0.0522648776515641	0.614112312405878	0.598295309958695	gene_2/gene_738/gene_1687/gene_2029/gene_2418/gene_3307/gene_3512/gene_3769/gene_4141/gene_6196/gene_7738/gene_7989/gene_7998/gene_8349/gene_8370/gene_8386	16	onu_vs_self	significant	up	FALSE	Metabolism of Other Amino Acids	METABOLIC
Vitamin B6 metabolism	Vitamin B6 metabolism	11/350	23/1145	0.478260869565217	1.56459627329193	1.81413234576668	0.059911900098783	0.625746512142844	0.609629860654283	gene_184/gene_330/gene_1198/gene_1383/gene_1743/gene_2511/gene_3313/gene_4337/gene_5124/gene_5173/gene_6198	11	onu_vs_self	significant	up	FALSE	Metabolism of Cofactors and Vitamins	METABOLIC
Benzoate degradation via CoA ligation	Benzoate degradation via CoA ligation	25/350	64/1145	0.390625	1.27790178571429	1.51751134833678	0.0858700554743524	0.693675607824053	0.675809382762515	gene_2/gene_184/gene_330/gene_484/gene_965/gene_1114/gene_1743/gene_2029/gene_2418/gene_2629/gene_3769/gene_4064/gene_4308/gene_4337/gene_5173/gene_5573/gene_6196/gene_6198/gene_7226/gene_7462/gene_7983/gene_7989/gene_7998/gene_8274/gene_8370	25	onu_vs_self	significant	up	FALSE	Biodegradation of Xenobiotics	METABOLIC
