ID	Description	GeneRatio	BgRatio	RichFactor	FoldEnrichment	zScore	pvalue	p.adjust	qvalue	geneID	Count	contrast	gene_set	direction	significant_padj_0.05	pathway_class	pathway_type
Glycerolipid metabolism	Glycerolipid metabolism	19/67	124/1145	0.153225806451613	2.61856042368801	4.75628556666217	3.26831398714939e-05	0.00222245351126159	0.00222245351126159	gene_375/gene_972/gene_1225/gene_1502/gene_1864/gene_2100/gene_2806/gene_3431/gene_3682/gene_4069/gene_4151/gene_4567/gene_4697/gene_5622/gene_6336/gene_6816/gene_6840/gene_7438/gene_8309	19	onu_vs_self	strong	down	TRUE	Metabolism of Complex Lipids	METABOLIC
Glycine, serine and threonine metabolism	Glycine, serine and threonine metabolism	7/67	53/1145	0.132075471698113	2.25711067304985	2.33529184315495	0.0305769465251495	0.925499593021499	0.925499593021499	gene_972/gene_2100/gene_4912/gene_4913/gene_5738/gene_6840/gene_8309	7	onu_vs_self	strong	down	FALSE	Amino Acid Metabolism	METABOLIC
Methane metabolism	Methane metabolism	3/67	14/1145	0.214285714285714	3.66204690831556	2.49740773509685	0.0438205543942412	0.925499593021499	0.925499593021499	gene_5766/gene_6240/gene_6609	3	onu_vs_self	strong	down	FALSE	Energy Metabolism	METABOLIC
Galactose metabolism	Galactose metabolism	5/67	41/1145	0.121951219512195	2.08409173643975	1.76162903145464	0.0859184718742581	0.925499593021499	0.925499593021499	gene_129/gene_972/gene_4862/gene_7824/gene_8563	5	onu_vs_self	strong	down	FALSE	Carbohydrate Metabolism	METABOLIC
gamma-Hexachlorocyclohexane degradation	gamma-Hexachlorocyclohexane degradation	5/67	41/1145	0.121951219512195	2.08409173643975	1.76162903145464	0.0859184718742581	0.925499593021499	0.925499593021499	gene_375/gene_3682/gene_5385/gene_5766/gene_7852	5	onu_vs_self	strong	down	FALSE	Biodegradation of Xenobiotics	METABOLIC
Caprolactam degradation	Caprolactam degradation	3/67	20/1145	0.15	2.5634328358209	1.75775765801097	0.107005365025751	0.925499593021499	0.925499593021499	gene_1864/gene_5622/gene_5800	3	onu_vs_self	strong	down	FALSE	Biodegradation of Xenobiotics	METABOLIC
Bile acid biosynthesis	Bile acid biosynthesis	5/67	45/1145	0.111111111111111	1.89883913764511	1.53296740914294	0.117159505784705	0.925499593021499	0.925499593021499	gene_972/gene_1225/gene_4109/gene_4567/gene_5766	5	onu_vs_self	strong	down	FALSE	Lipid Metabolism	METABOLIC
1,4-Dichlorobenzene degradation	1,4-Dichlorobenzene degradation	2/67	14/1145	0.142857142857143	2.44136460554371	1.35222076806205	0.195447493734818	0.925499593021499	0.925499593021499	gene_1501/gene_5766	2	onu_vs_self	strong	down	FALSE	Biodegradation of Xenobiotics	METABOLIC
Glyoxylate and dicarboxylate metabolism	Glyoxylate and dicarboxylate metabolism	2/67	14/1145	0.142857142857143	2.44136460554371	1.35222076806205	0.195447493734818	0.925499593021499	0.925499593021499	gene_2100/gene_3565	2	onu_vs_self	strong	down	FALSE	Carbohydrate Metabolism	METABOLIC
Folate biosynthesis	Folate biosynthesis	2/67	17/1145	0.117647058823529	2.01053555750658	1.04607432675844	0.261954740253269	0.925499593021499	0.925499593021499	gene_375/gene_3682	2	onu_vs_self	strong	down	FALSE	Metabolism of Cofactors and Vitamins	METABOLIC
Fatty acid metabolism	Fatty acid metabolism	4/67	45/1145	0.0888888888888889	1.51907131011609	0.885274537014279	0.266748798909541	0.925499593021499	0.925499593021499	gene_929/gene_1225/gene_4567/gene_7852	4	onu_vs_self	strong	down	FALSE	Lipid Metabolism	METABOLIC
Blood group glycolipid biosynthesis - lact series	Blood group glycolipid biosynthesis - lact series	2/67	19/1145	0.105263157894737	1.79890023566379	0.875066760916706	0.306598819934651	0.925499593021499	0.925499593021499	gene_3431/gene_4069	2	onu_vs_self	strong	down	FALSE	Metabolism of Complex Lipids	METABOLIC
Blood group glycolipid biosynthesis - neolact series	Blood group glycolipid biosynthesis - neolact series	2/67	19/1145	0.105263157894737	1.79890023566379	0.875066760916706	0.306598819934651	0.925499593021499	0.925499593021499	gene_3431/gene_4069	2	onu_vs_self	strong	down	FALSE	Metabolism of Complex Lipids	METABOLIC
Chondroitin / heparan sulfate biosynthesis	Chondroitin / heparan sulfate biosynthesis	2/67	19/1145	0.105263157894737	1.79890023566379	0.875066760916706	0.306598819934651	0.925499593021499	0.925499593021499	gene_3431/gene_4069	2	onu_vs_self	strong	down	FALSE	Metabolism of Complex Carbohydrates	METABOLIC
Keratan sulfate biosynthesis	Keratan sulfate biosynthesis	2/67	19/1145	0.105263157894737	1.79890023566379	0.875066760916706	0.306598819934651	0.925499593021499	0.925499593021499	gene_3431/gene_4069	2	onu_vs_self	strong	down	FALSE	Metabolism of Complex Carbohydrates	METABOLIC
Valine, leucine and isoleucine degradation	Valine, leucine and isoleucine degradation	3/67	34/1145	0.0882352941176471	1.50790166812994	0.749209199496692	0.320006780397712	0.925499593021499	0.925499593021499	gene_4567/gene_5595/gene_7146	3	onu_vs_self	strong	down	FALSE	Amino Acid Metabolism	METABOLIC
O-Glycans biosynthesis	O-Glycans biosynthesis	2/67	20/1145	0.1	1.7089552238806	0.79707387833433	0.328775870480085	0.925499593021499	0.925499593021499	gene_3431/gene_4069	2	onu_vs_self	strong	down	FALSE	Metabolism of Complex Carbohydrates	METABOLIC
N-Glycans biosynthesis	N-Glycans biosynthesis	3/67	35/1145	0.0857142857142857	1.46481876332623	0.695980732559694	0.336575427284491	0.925499593021499	0.925499593021499	gene_3037/gene_3431/gene_4069	3	onu_vs_self	strong	down	FALSE	Metabolism of Complex Carbohydrates	METABOLIC
Peptidoglycan biosynthesis	Peptidoglycan biosynthesis	2/67	21/1145	0.0952380952380952	1.62757640369581	0.723326091480007	0.350771354529825	0.925499593021499	0.925499593021499	gene_3431/gene_4069	2	onu_vs_self	strong	down	FALSE	Metabolism of Complex Carbohydrates	METABOLIC
Ascorbate and aldarate metabolism	Ascorbate and aldarate metabolism	3/67	37/1145	0.0810810810810811	1.385639370714	0.594228367529153	0.369656858872811	0.925499593021499	0.925499593021499	gene_972/gene_3223/gene_4567	3	onu_vs_self	strong	down	FALSE	Carbohydrate Metabolism	METABOLIC
Globoside metabolism	Globoside metabolism	2/67	22/1145	0.0909090909090909	1.55359565807327	0.653363953746671	0.372531032900917	0.925499593021499	0.925499593021499	gene_3431/gene_4069	2	onu_vs_self	strong	down	FALSE	Metabolism of Complex Lipids	METABOLIC
Sphingophospholipid biosynthesis	Sphingophospholipid biosynthesis	1/67	8/1145	0.125	2.13619402985075	0.803633990247293	0.383627673334773	0.925499593021499	0.925499593021499	gene_2806	1	onu_vs_self	strong	down	FALSE	Metabolism of Complex Lipids	METABOLIC
Alanine and aspartate metabolism	Alanine and aspartate metabolism	2/67	23/1145	0.0869565217391304	1.48604802076574	0.586796752519625	0.394007447002836	0.925499593021499	0.925499593021499	gene_2207/gene_4150	2	onu_vs_self	strong	down	FALSE	Amino Acid Metabolism	METABOLIC
1,2-Dichloroethane degradation	1,2-Dichloroethane degradation	1/67	9/1145	0.111111111111111	1.89883913764511	0.674613606836422	0.419948645970279	0.925499593021499	0.925499593021499	gene_4567	1	onu_vs_self	strong	down	FALSE	Biodegradation of Xenobiotics	METABOLIC
N-Glycan degradation	N-Glycan degradation	1/67	9/1145	0.111111111111111	1.89883913764511	0.674613606836422	0.419948645970279	0.925499593021499	0.925499593021499	gene_928	1	onu_vs_self	strong	down	FALSE	Metabolism of Complex Carbohydrates	METABOLIC
Starch and sucrose metabolism	Starch and sucrose metabolism	5/67	73/1145	0.0684931506849315	1.17051727663055	0.375209182516721	0.426989943945534	0.925499593021499	0.925499593021499	gene_648/gene_2958/gene_4862/gene_5659/gene_8563	5	onu_vs_self	strong	down	FALSE	Metabolism of Complex Carbohydrates	METABOLIC
Glycolysis / Gluconeogenesis	Glycolysis / Gluconeogenesis	4/67	57/1145	0.0701754385964912	1.19926682377586	0.384590906857334	0.431247585243893	0.925499593021499	0.925499593021499	gene_1225/gene_1864/gene_4567/gene_5622	4	onu_vs_self	strong	down	FALSE	Carbohydrate Metabolism	METABOLIC
Styrene degradation	Styrene degradation	2/67	25/1145	0.08	1.36716417910448	0.462553882444786	0.435951067617893	0.925499593021499	0.925499593021499	gene_5515/gene_5766	2	onu_vs_self	strong	down	FALSE	Biodegradation of Xenobiotics	METABOLIC
Sphingoglycolipid metabolism	Sphingoglycolipid metabolism	3/67	42/1145	0.0714285714285714	1.22068230277185	0.363116036399393	0.450814679497543	0.925499593021499	0.925499593021499	gene_3431/gene_4069/gene_6567	3	onu_vs_self	strong	down	FALSE	Metabolism of Complex Lipids	METABOLIC
Lysine degradation	Lysine degradation	4/67	60/1145	0.0666666666666667	1.13930348258706	0.276225496695447	0.471729282836205	0.925499593021499	0.925499593021499	gene_972/gene_1855/gene_4567/gene_7447	4	onu_vs_self	strong	down	FALSE	Amino Acid Metabolism	METABOLIC
Tryptophan metabolism	Tryptophan metabolism	5/67	78/1145	0.0641025641025641	1.09548411787218	0.217689391310235	0.486694851012128	0.925499593021499	0.925499593021499	gene_4567/gene_5515/gene_5766/gene_6240/gene_7852	5	onu_vs_self	strong	down	FALSE	Amino Acid Metabolism	METABOLIC
Alkaloid biosynthesis I	Alkaloid biosynthesis I	1/67	12/1145	0.0833333333333333	1.42412935323383	0.368056957275471	0.5167269526173	0.925499593021499	0.925499593021499	gene_5766	1	onu_vs_self	strong	down	FALSE	Biosynthesis of Secondary Metabolites	METABOLIC
Tetrachloroethene degradation	Tetrachloroethene degradation	1/67	12/1145	0.0833333333333333	1.42412935323383	0.368056957275471	0.5167269526173	0.925499593021499	0.925499593021499	gene_972	1	onu_vs_self	strong	down	FALSE	Biodegradation of Xenobiotics	METABOLIC
Sulfur metabolism	Sulfur metabolism	1/67	13/1145	0.0769230769230769	1.31458094144661	0.284264026709834	0.545305323468704	0.925499593021499	0.925499593021499	gene_2070	1	onu_vs_self	strong	down	FALSE	Energy Metabolism	METABOLIC
Fructose and mannose metabolism	Fructose and mannose metabolism	4/67	66/1145	0.0606060606060606	1.03573043871551	0.0745144718027406	0.549353084879354	0.925499593021499	0.925499593021499	gene_972/gene_3431/gene_4069/gene_5485	4	onu_vs_self	strong	down	FALSE	Carbohydrate Metabolism	METABOLIC
Pentose and glucuronate interconversions	Pentose and glucuronate interconversions	2/67	31/1145	0.0645161290322581	1.10255175734232	0.144252182137764	0.551736533923383	0.925499593021499	0.925499593021499	gene_1864/gene_5622	2	onu_vs_self	strong	down	FALSE	Carbohydrate Metabolism	METABOLIC
Phospholipid degradation	Phospholipid degradation	1/67	14/1145	0.0714285714285714	1.22068230277185	0.207033801027252	0.572217464217465	0.925499593021499	0.925499593021499	gene_1502	1	onu_vs_self	strong	down	FALSE	Metabolism of Complex Lipids	METABOLIC
Phenylalanine metabolism	Phenylalanine metabolism	2/67	33/1145	0.0606060606060606	1.03573043871551	0.0519019838468408	0.586544578641498	0.925499593021499	0.925499593021499	gene_5515/gene_5766	2	onu_vs_self	strong	down	FALSE	Amino Acid Metabolism	METABOLIC
Lysine biosynthesis	Lysine biosynthesis	1/67	15/1145	0.0666666666666667	1.13930348258706	0.135334777996423	0.597559135214308	0.925499593021499	0.925499593021499	gene_3501	1	onu_vs_self	strong	down	FALSE	Amino Acid Metabolism	METABOLIC
Cyanoamino acid metabolism	Cyanoamino acid metabolism	2/67	36/1145	0.0555555555555556	0.949419568822554	-0.0768438362137876	0.635022886014755	0.925499593021499	0.925499593021499	gene_5515/gene_5659	2	onu_vs_self	strong	down	FALSE	Metabolism of Other Amino Acids	METABOLIC
Flavonoids, stilbene and lignin biosynthesis	Flavonoids, stilbene and lignin biosynthesis	2/67	36/1145	0.0555555555555556	0.949419568822554	-0.0768438362137876	0.635022886014755	0.925499593021499	0.925499593021499	gene_5659/gene_5766	2	onu_vs_self	strong	down	FALSE	Biosynthesis of Secondary Metabolites	METABOLIC
Aminophosphonate metabolism	Aminophosphonate metabolism	1/67	17/1145	0.0588235294117647	1.00526777875329	0.00545303732454441	0.643887294024976	0.925499593021499	0.925499593021499	gene_2806	1	onu_vs_self	strong	down	FALSE	Metabolism of Other Amino Acids	METABOLIC
Glutathione metabolism	Glutathione metabolism	1/67	18/1145	0.0555555555555556	0.949419568822554	-0.0539011281286964	0.665039378511081	0.925499593021499	0.925499593021499	gene_936	1	onu_vs_self	strong	down	FALSE	Metabolism of Other Amino Acids	METABOLIC
Phenylalanine, tyrosine and tryptophan biosynthesis	Phenylalanine, tyrosine and tryptophan biosynthesis	1/67	18/1145	0.0555555555555556	0.949419568822554	-0.0539011281286964	0.665039378511081	0.925499593021499	0.925499593021499	gene_2009	1	onu_vs_self	strong	down	FALSE	Amino Acid Metabolism	METABOLIC
Aminoacyl-tRNA biosynthesis	Aminoacyl-tRNA biosynthesis	2/67	39/1145	0.0512820512820513	0.876387294297742	-0.195730671379384	0.679039873352641	0.925499593021499	0.925499593021499	gene_2009/gene_4150	2	onu_vs_self	strong	down	FALSE	TRANSLATION	REGULATORY
Histidine metabolism	Histidine metabolism	2/67	40/1145	0.05	0.854477611940298	-0.233463882095817	0.692740159208838	0.925499593021499	0.925499593021499	gene_4567/gene_5766	2	onu_vs_self	strong	down	FALSE	Amino Acid Metabolism	METABOLIC
Androgen and estrogen metabolism	Androgen and estrogen metabolism	1/67	20/1145	0.05	0.854477611940298	-0.16360990134231	0.703698894055194	0.925499593021499	0.925499593021499	gene_5766	1	onu_vs_self	strong	down	FALSE	Lipid Metabolism	METABOLIC
Nucleotide sugars metabolism	Nucleotide sugars metabolism	1/67	20/1145	0.05	0.854477611940298	-0.16360990134231	0.703698894055194	0.925499593021499	0.925499593021499	gene_972	1	onu_vs_self	strong	down	FALSE	Nucleotide Metabolism	METABOLIC
Valine, leucine and isoleucine biosynthesis	Valine, leucine and isoleucine biosynthesis	1/67	20/1145	0.05	0.854477611940298	-0.16360990134231	0.703698894055194	0.925499593021499	0.925499593021499	gene_6129	1	onu_vs_self	strong	down	FALSE	Amino Acid Metabolism	METABOLIC
beta-Alanine metabolism	beta-Alanine metabolism	1/67	21/1145	0.0476190476190476	0.813788201847903	-0.214622237789085	0.721345271031462	0.925499593021499	0.925499593021499	gene_4567	1	onu_vs_self	strong	down	FALSE	Metabolism of Other Amino Acids	METABOLIC
Fatty acid biosynthesis (path 1)	Fatty acid biosynthesis (path 1)	1/67	21/1145	0.0476190476190476	0.813788201847903	-0.214622237789085	0.721345271031462	0.925499593021499	0.925499593021499	gene_4914	1	onu_vs_self	strong	down	FALSE	Lipid Metabolism	METABOLIC
Inositol phosphate metabolism	Inositol phosphate metabolism	1/67	21/1145	0.0476190476190476	0.813788201847903	-0.214622237789085	0.721345271031462	0.925499593021499	0.925499593021499	gene_4725	1	onu_vs_self	strong	down	FALSE	Metabolism of Complex Lipids	METABOLIC
Riboflavin metabolism	Riboflavin metabolism	1/67	21/1145	0.0476190476190476	0.813788201847903	-0.214622237789085	0.721345271031462	0.925499593021499	0.925499593021499	gene_5385	1	onu_vs_self	strong	down	FALSE	Metabolism of Cofactors and Vitamins	METABOLIC
Sterol biosynthesis	Sterol biosynthesis	1/67	22/1145	0.0454545454545455	0.776797829036635	-0.263427378410116	0.737955472847203	0.929277262103885	0.929277262103885	gene_5766	1	onu_vs_self	strong	down	FALSE	Lipid Metabolism	METABOLIC
Vitamin B6 metabolism	Vitamin B6 metabolism	1/67	23/1145	0.0434782608695652	0.743024010382868	-0.310242341786077	0.753589474021946	0.931710622427134	0.931710622427134	gene_972	1	onu_vs_self	strong	down	FALSE	Metabolism of Cofactors and Vitamins	METABOLIC
Propanoate metabolism	Propanoate metabolism	1/67	25/1145	0.04	0.683582089552239	-0.398623671049978	0.782151859754217	0.943916737627436	0.943916737627436	gene_4567	1	onu_vs_self	strong	down	FALSE	Carbohydrate Metabolism	METABOLIC
Pyruvate metabolism	Pyruvate metabolism	2/67	49/1145	0.0408163265306122	0.69753274444106	-0.539277327449674	0.795715722067216	0.943916737627436	0.943916737627436	gene_4567/gene_5701	2	onu_vs_self	strong	down	FALSE	Carbohydrate Metabolism	METABOLIC
Ubiquinone biosynthesis	Ubiquinone biosynthesis	1/67	27/1145	0.037037037037037	0.632946379215036	-0.480984992569017	0.807447191013894	0.943916737627436	0.943916737627436	gene_5766	1	onu_vs_self	strong	down	FALSE	Metabolism of Cofactors and Vitamins	METABOLIC
Pentose phosphate pathway	Pentose phosphate pathway	1/67	28/1145	0.0357142857142857	0.610341151385927	-0.520209172057427	0.818986581176746	0.943916737627436	0.943916737627436	gene_3336	1	onu_vs_self	strong	down	FALSE	Carbohydrate Metabolism	METABOLIC
Butanoate metabolism	Butanoate metabolism	2/67	56/1145	0.0357142857142857	0.610341151385927	-0.745084707305823	0.853755292566452	0.951238451567899	0.951238451567899	gene_972/gene_4567	2	onu_vs_self	strong	down	FALSE	Carbohydrate Metabolism	METABOLIC
Nicotinate and nicotinamide metabolism	Nicotinate and nicotinamide metabolism	1/67	33/1145	0.0303030303030303	0.517865219357757	-0.700348288363699	0.867216957095182	0.951238451567899	0.951238451567899	gene_8138	1	onu_vs_self	strong	down	FALSE	Metabolism of Cofactors and Vitamins	METABOLIC
Tyrosine metabolism	Tyrosine metabolism	2/67	59/1145	0.0338983050847458	0.579306855552745	-0.826832542419827	0.87376168364145	0.951238451567899	0.951238451567899	gene_1225/gene_5766	2	onu_vs_self	strong	down	FALSE	Amino Acid Metabolism	METABOLIC
Pantothenate and CoA biosynthesis	Pantothenate and CoA biosynthesis	1/67	37/1145	0.027027027027027	0.461879790237999	-0.829184772263483	0.896476710784452	0.951238451567899	0.951238451567899	gene_6650	1	onu_vs_self	strong	down	FALSE	Metabolism of Cofactors and Vitamins	METABOLIC
Benzoate degradation via CoA ligation	Benzoate degradation via CoA ligation	2/67	64/1145	0.03125	0.534048507462687	-0.956002175074279	0.901669874557217	0.951238451567899	0.951238451567899	gene_972/gene_5515	2	onu_vs_self	strong	down	FALSE	Biodegradation of Xenobiotics	METABOLIC
Porphyrin and chlorophyll metabolism	Porphyrin and chlorophyll metabolism	1/67	40/1145	0.025	0.427238805970149	-0.918889894915587	0.914158920521103	0.951238451567899	0.951238451567899	gene_3100	1	onu_vs_self	strong	down	FALSE	Metabolism of Cofactors and Vitamins	METABOLIC
