ID	Description	GeneRatio	BgRatio	RichFactor	FoldEnrichment	zScore	pvalue	p.adjust	qvalue	geneID	Count	contrast	gene_set	direction	significant_padj_0.05	pathway_class	pathway_type
Fatty acid biosynthesis (path 1)	Fatty acid biosynthesis (path 1)	6/79	21/1145	0.285714285714286	4.14104882459313	3.95320316522675	0.00209899899561677	0.138533933710707	0.138533933710707	gene_1406/gene_1892/gene_3211/gene_7336/gene_8490/gene_8491	6	onu_vs_self	strong	up	FALSE	Lipid Metabolism	METABOLIC
Ascorbate and aldarate metabolism	Ascorbate and aldarate metabolism	6/79	37/1145	0.162162162162162	2.35032500855286	2.27204667236159	0.0369198249899169	0.848613887585984	0.848613887585984	gene_1403/gene_1514/gene_3213/gene_3671/gene_5065/gene_7242	6	onu_vs_self	strong	up	FALSE	Carbohydrate Metabolism	METABOLIC
beta-Alanine metabolism	beta-Alanine metabolism	4/79	21/1145	0.19047619047619	2.76069921639542	2.21594827204516	0.0510662004727667	0.848613887585984	0.848613887585984	gene_1977/gene_3213/gene_4303/gene_7226	4	onu_vs_self	strong	up	FALSE	Metabolism of Other Amino Acids	METABOLIC
Arginine and proline metabolism	Arginine and proline metabolism	8/79	69/1145	0.115942028985507	1.68042560997982	1.58652535273029	0.0953631391457166	0.848613887585984	0.848613887585984	gene_2300/gene_2644/gene_2656/gene_3213/gene_3769/gene_4675/gene_4978/gene_5665	8	onu_vs_self	strong	up	FALSE	Amino Acid Metabolism	METABOLIC
Pentose phosphate pathway	Pentose phosphate pathway	4/79	28/1145	0.142857142857143	2.07052441229656	1.56061925176561	0.121516351143947	0.848613887585984	0.848613887585984	gene_1514/gene_1735/gene_5121/gene_6707	4	onu_vs_self	strong	up	FALSE	Carbohydrate Metabolism	METABOLIC
Methionine metabolism	Methionine metabolism	3/79	18/1145	0.166666666666667	2.41561181434599	1.64727621822427	0.121997506025285	0.848613887585984	0.848613887585984	gene_1833/gene_6120/gene_7990	3	onu_vs_self	strong	up	FALSE	Amino Acid Metabolism	METABOLIC
Pentose and glucuronate interconversions	Pentose and glucuronate interconversions	4/79	31/1145	0.129032258064516	1.87015108207432	1.33653664785242	0.160155989274759	0.848613887585984	0.848613887585984	gene_1575/gene_4745/gene_6973/gene_8537	4	onu_vs_self	strong	up	FALSE	Carbohydrate Metabolism	METABOLIC
Butanoate metabolism	Butanoate metabolism	6/79	56/1145	0.107142857142857	1.55289330922242	1.15443467674473	0.182990004309837	0.848613887585984	0.848613887585984	gene_3213/gene_4303/gene_4305/gene_5918/gene_6973/gene_7226	6	onu_vs_self	strong	up	FALSE	Carbohydrate Metabolism	METABOLIC
Phenylalanine metabolism	Phenylalanine metabolism	4/79	33/1145	0.121212121212121	1.75680859225163	1.20043482491762	0.188147286733891	0.848613887585984	0.848613887585984	gene_2889/gene_3769/gene_5665/gene_7987	4	onu_vs_self	strong	up	FALSE	Amino Acid Metabolism	METABOLIC
Glycolysis / Gluconeogenesis	Glycolysis / Gluconeogenesis	6/79	57/1145	0.105263157894737	1.52564956695536	1.10781501372227	0.193824003340133	0.848613887585984	0.848613887585984	gene_7/gene_2889/gene_3213/gene_3428/gene_5122/gene_6707	6	onu_vs_self	strong	up	FALSE	Carbohydrate Metabolism	METABOLIC
