section	result_id	organism_or_group	contrast_or_context	metric	value	unit	canonical_source	source_sha256	reporting_note
Figure3	F3_PCA_FUS_PC1	Fusarium	confrontation vs control	PC1 variance	87.4	percent	results/publication/figure3/pca/fusarium_pca_variance.tsv	913a5aa7c9b2dd7f64a633549fabaf04978205c470c92516bb1440190b01e636	Report in Results
Figure3	F3_PCA_FUS_PC2	Fusarium	confrontation vs control	PC2 variance	6.4	percent	results/publication/figure3/pca/fusarium_pca_variance.tsv	913a5aa7c9b2dd7f64a633549fabaf04978205c470c92516bb1440190b01e636	Usually caption/supporting text
Figure3	F3_PCA_OPH_PC1	Ophiostoma	three-condition design	PC1 variance	61.8	percent	results/publication/figure3/pca/ophiostoma_pca_variance.tsv	fa1bc5f4f4172902e1807badde7f1454a962b40d4cdfafbada7e5bb16033b1aa	Report in Results
Figure3	F3_PCA_OPH_PC2	Ophiostoma	three-condition design	PC2 variance	36.6	percent	results/publication/figure3/pca/ophiostoma_pca_variance.tsv	fa1bc5f4f4172902e1807badde7f1454a962b40d4cdfafbada7e5bb16033b1aa	Report in Results
Figure3	F3_DE_FUS_TOTAL	Fusarium	confrontation vs control	significant DE genes	2973	genes	results/publication/figure3/extent_direction/figure_3c_extent_direction_differential_expression_data.tsv	16934b373b17b8cd35421b04cf79e2c18404e2b023844f776317849f7a919efa	Primary cross-species comparison
Figure3	F3_DE_FUS_PERCENT	Fusarium	confrontation vs control	significant DE fraction	33.0	percent	results/publication/figure3/extent_direction/figure_3c_extent_direction_differential_expression_data.tsv	16934b373b17b8cd35421b04cf79e2c18404e2b023844f776317849f7a919efa	Primary cross-species comparison
Figure3	F3_DE_FUS_UP	Fusarium	confrontation vs control	induced genes	1550	genes	results/publication/figure3/extent_direction/figure_3c_extent_direction_differential_expression_data.tsv	16934b373b17b8cd35421b04cf79e2c18404e2b023844f776317849f7a919efa	Primary
Figure3	F3_DE_FUS_DOWN	Fusarium	confrontation vs control	repressed genes	1423	genes	results/publication/figure3/extent_direction/figure_3c_extent_direction_differential_expression_data.tsv	16934b373b17b8cd35421b04cf79e2c18404e2b023844f776317849f7a919efa	Primary
Figure3	F3_DE_OPH_CONTROL_TOTAL	Ophiostoma	reaction zone vs control	significant DE genes	4938	genes	results/publication/figure3/extent_direction/figure_3c_extent_direction_differential_expression_data.tsv	16934b373b17b8cd35421b04cf79e2c18404e2b023844f776317849f7a919efa	Primary cross-species comparison
Figure3	F3_DE_OPH_CONTROL_PERCENT	Ophiostoma	reaction zone vs control	significant DE fraction	57.7	percent	results/publication/figure3/extent_direction/figure_3c_extent_direction_differential_expression_data.tsv	16934b373b17b8cd35421b04cf79e2c18404e2b023844f776317849f7a919efa	Primary cross-species comparison
Figure3	F3_DE_OPH_CONTROL_UP	Ophiostoma	reaction zone vs control	induced genes	2587	genes	results/publication/figure3/extent_direction/figure_3c_extent_direction_differential_expression_data.tsv	16934b373b17b8cd35421b04cf79e2c18404e2b023844f776317849f7a919efa	Primary
Figure3	F3_DE_OPH_CONTROL_DOWN	Ophiostoma	reaction zone vs control	repressed genes	2351	genes	results/publication/figure3/extent_direction/figure_3c_extent_direction_differential_expression_data.tsv	16934b373b17b8cd35421b04cf79e2c18404e2b023844f776317849f7a919efa	Primary
Figure3	F3_DE_OPH_NONCONTACT_TOTAL	Ophiostoma	reaction zone vs non-contact region	significant DE genes	5238	genes	results/publication/figure3/extent_direction/figure_3c_extent_direction_differential_expression_data.tsv	16934b373b17b8cd35421b04cf79e2c18404e2b023844f776317849f7a919efa	Spatial-design result; do not use as cross-species control comparison
