substrate	species	significant_genes	up	down	secreted	secreted_up	secreted_down
-;alpha-rhamnoside;rhamnose	Ophiostoma	2	0	2	0	0	0
-;beta-galactan;rhamnose	Ophiostoma	1	0	1	1	0	1
-;host glycan	Ophiostoma	1	1	0	1	1	0
Unassigned	Fusarium	142	80	62	72	40	32
Unassigned	Ophiostoma	87	52	35	21	10	11
alpha-glucan	Ophiostoma	7	4	3	4	1	3
alpha-glucan;sucrose	Ophiostoma	1	1	0	0	0	0
alpha-mannan	Ophiostoma	5	2	3	4	2	2
arabinan	Ophiostoma	1	0	1	1	0	1
arabinan;xylan	Ophiostoma	1	0	1	0	0	0
arabinogalactan	Ophiostoma	3	1	2	1	1	0
arabinogalactan;xylan	Ophiostoma	1	0	1	1	0	1
beta-galactan	Ophiostoma	2	0	2	1	0	1
beta-glucan	Ophiostoma	24	14	10	12	7	5
beta-glucan;xylan	Ophiostoma	3	2	1	2	1	1
beta-glucan;xyloglucan	Ophiostoma	3	0	3	2	0	2
beta-mannan	Ophiostoma	2	0	2	1	0	1
cellulose	Ophiostoma	8	3	5	6	2	4
chitin	Ophiostoma	8	4	4	4	2	2
fructan	Ophiostoma	1	1	0	0	0	0
glycolipid;polyphenol	Ophiostoma	1	1	0	0	0	0
host glycan	Ophiostoma	10	7	3	5	4	1
lignin	Ophiostoma	17	11	6	8	6	2
pectin	Ophiostoma	3	1	2	3	1	2
peptidoglycan	Ophiostoma	1	0	1	0	0	0
rhamnose	Ophiostoma	2	0	2	1	0	1
trehalose	Ophiostoma	2	1	1	1	0	1
xylan	Ophiostoma	8	4	4	4	3	1
xyloglucan	Ophiostoma	1	0	1	1	0	1
