class	species	significant_genes	up	down	secreted	secreted_up	secreted_down	mean_shrunk_lfc	median_shrunk_lfc	max_abs_shrunk_lfc
AA	Fusarium	18	8	10	11	3	8	0.005836098229572079	-0.170807749832353	1.11583991016828
AA	Ophiostoma	32	20	12	19	13	6	0.2486350413034836	0.4048897769174239	4.232763967177696
CBM	Fusarium	6	2	4	2	0	2	-0.18152441630738433	-0.3301348422458495	0.400046946094932
CBM	Ophiostoma	15	5	10	8	2	6	-0.7244513063205508	-0.6272120455681354	3.159018810999134
CE	Fusarium	7	4	3	7	4	3	0.16814315690511314	0.194254971120216	0.715267807904972
CE	Ophiostoma	8	4	4	4	2	2	-0.5123142649449743	-0.4027893215396933	2.647618671513135
GH	Fusarium	83	51	32	49	30	19	0.14473884838061746	0.165572964582315	1.72884630879576
GH	Ophiostoma	109	46	63	59	24	35	-0.4373437652996663	-0.3514169401422038	4.708929417372554
GT	Fusarium	32	16	16	3	3	0	0.1110326417742814	-0.009016801968706453	3.41628085244577
GT	Ophiostoma	53	36	17	2	1	1	0.16641955280060677	0.3845875927292821	2.5714387206126452
PL	Fusarium	2	1	1	2	1	1	-0.11825751382064752	-0.11825751382064752	0.368904922963576
