family	class	substrates	fusarium_significant_genes	fusarium_up	fusarium_down	fusarium_secreted	fusarium_secreted_up	fusarium_secreted_down	fusarium_mean_shrunk_lfc	fusarium_median_shrunk_lfc	fusarium_max_abs_shrunk_lfc	ophiostoma_significant_genes	ophiostoma_up	ophiostoma_down	ophiostoma_secreted	ophiostoma_secreted_up	ophiostoma_secreted_down	ophiostoma_mean_shrunk_lfc	ophiostoma_median_shrunk_lfc	ophiostoma_max_abs_shrunk_lfc	total_significant	total_secreted	total_secreted_up	total_secreted_down
GH18	GH	Chitin | Host glycan | Peptidoglycan | Unassigned	6	3	3	4	3	1	0.007604973620301332	-0.0216159758902495	0.320230801170239	9	4	5	5	2	3	0.23245162320004958	-0.20582697280654788	1.9398752019885048	15	9	5	4
GH76	GH	Mannan | Unassigned	3	1	2	3	1	2	-0.18565762694000465	-0.289500532042707	0.428623521845452	7	3	4	5	3	2	0.1424928971769323	-0.353510018025619	1.0970915721817347	10	8	4	4
GH3	GH	Beta-glucan | Xylan | Xyloglucan | Unassigned	4	4	0	2	2	0	0.6235140516929986	0.564436751090008	1.23829952629287	13	5	8	5	1	4	-0.42210123369545705	-0.403032610494632	2.4454952284473612	17	7	3	4
AA7	AA	Xylan | Unassigned	5	3	2	3	1	2	0.09521304903458422	0.264155634707167	0.827715220264799	4	4	0	3	3	0	1.1462145537262398	0.5727088141328385	3.2157897704041463	9	6	4	2
AA9	AA	Cellulose | Unassigned	2	1	1	2	1	1	-0.053731792015355904	-0.053731792015355904	0.203240215259496	4	1	3	4	1	3	-0.9370660379607575	-1.2184159805497388	2.2583542388014926	6	6	2	4
GH16_3	GH	Beta-glucan | Unassigned	2	1	1	2	1	1	-0.05689223701224999	-0.05689223701224999	0.492896121247134	3	0	3	3	0	3	-1.9140149260223047	-2.0634738452965737	3.030013968698883	5	5	1	4
GH31_1	GH	Alpha-glucan | Unassigned	3	1	2	3	1	2	-0.10114572392566734	-0.443024485319477	0.688347287032041	2	1	1	2	1	1	-1.0137134916454957	-1.0137134916454957	2.4398062573281485	5	5	2	3
GH128	GH	Beta-glucan | Unassigned	3	2	1	3	2	1	0.47802148673888434	0.177339125194543	1.60011818533337	2	1	1	1	1	0	-0.47940484695733676	-0.47940484695733676	1.4501301235395998	5	4	3	1
GH17	GH	Unassigned	1	1	0	1	1	0	0.743268420050361	0.743268420050361	0.743268420050361	3	3	0	3	3	0	0.8224733081603839	0.8352113396175074	1.4621896518548547	4	4	4	0
GH28	GH	Pectin | Unassigned	2	2	0	2	2	0	0.449879109127282	0.449879109127282	0.710441329335781	2	1	1	2	1	1	-1.7858117369437223	-1.7858117369437223	4.708929417372554	4	4	3	1
AA11	AA	Chitin | Unassigned	2	0	2	2	0	2	-0.4086187327277745	-0.4086187327277745	0.583992590216174	2	1	1	1	1	0	-0.8714502359758167	-0.8714502359758167	2.114673017370571	4	3	1	2
CE4	CE	Chitin | Unassigned	3	1	2	3	1	2	0.066232452793173	-0.12156814701901	0.715267807904972	1	0	1	0	0	0	-1.2419106894455127	-1.2419106894455127	1.2419106894455127	4	3	1	2
GH72	GH	Beta-glucan	0	0	0	0	0	0				4	3	1	3	3	0	0.4409308219315887	0.4835693740485998	1.1070846012939528	4	3	3	0
AA8	AA	Other | Unassigned	1	0	1	1	0	1	-0.342806781087684	-0.342806781087684	0.342806781087684	2	1	1	2	1	1	1.4629059442356112	1.4629059442356112	4.232763967177696	3	3	1	2
CBM20	CBM	Alpha-glucan | Unassigned	1	0	1	1	0	1	-0.276141242296582	-0.276141242296582	0.276141242296582	2	0	2	2	0	2	-2.2349855977880635	-2.2349855977880635	3.159018810999134	3	3	0	3
CE5	CE	Unassigned	2	1	1	2	1	1	-0.014995057856729	-0.014995057856729	0.224245086833674	1	1	0	1	1	0	0.9094067095797363	0.9094067095797363	0.9094067095797363	3	3	2	1
GH5_5	GH	Beta-glucan | Unassigned	1	0	1	1	0	1	-0.248167527211689	-0.248167527211689	0.248167527211689	2	1	1	2	1	1	0.09395920397807267	0.09395920397807267	0.788064440777723	3	3	1	2
GH16_18	GH	Unassigned	2	1	1	2	1	1	0.046111897564705004	0.046111897564705004	0.326486435587642	1	1	0	1	1	0	0.3599361669302427	0.3599361669302427	0.3599361669302427	3	3	2	1
GH20	GH	Host glycan | Unassigned	2	2	0	2	2	0	0.130201703034662	0.130201703034662	0.146804304942329	1	1	0	1	1	0	0.7601377341168872	0.7601377341168872	0.7601377341168872	3	3	3	0
GH132	GH	Beta-glucan | Unassigned	1	0	1	1	0	1	-0.200017900963305	-0.200017900963305	0.200017900963305	2	2	0	2	2	0	0.6083387422250162	0.6083387422250162	0.6683114369679084	3	3	2	1
CBM67	CBM	Other	0	0	0	0	0	0				5	0	5	2	0	2	-1.1657152445302312	-1.2787646334289196	1.9957259092384843	5	2	0	2
GH47	GH	Host glycan | Unassigned	3	1	2	1	0	1	-0.11233379964634767	-0.155798234273399	0.33738886383997	2	2	0	1	1	0	0.395121317007628	0.395121317007628	0.458090933080999	5	2	1	1
AA3_2	AA	Unassigned	2	0	2	1	0	1	-0.4234617352790125	-0.4234617352790125	0.495526701016758	2	2	0	1	1	0	1.0477337220296732	1.0477337220296732	1.3934402679169222	4	2	1	1
AA1_3	AA	Other | Unassigned	1	1	0	0	0	0	0.811624223945572	0.811624223945572	0.811624223945572	2	2	0	2	2	0	1.8914200869887483	1.8914200869887483	2.9012049536909137	3	2	2	0
