substrate	species	significant_genes	up	down	secreted	secreted_up	secreted_down	mean_shrunk_lfc	median_shrunk_lfc	max_abs_shrunk_lfc
Chitin	Ophiostoma	8	4	4	4	2	2	-0.21584999879826103	0.010177802638366817	2.114673017370571
Beta-glucan	Ophiostoma	30	16	14	16	8	8	-0.18446612090363215	0.2241073304881221	3.030013968698883
Alpha-glucan	Ophiostoma	8	5	3	4	1	3	-0.46356971926457613	0.4805614247981839	3.159018810999134
Cellulose	Ophiostoma	8	3	5	6	2	4	-0.5631912385407397	-0.876937807616041	2.2583542388014926
Xylan	Ophiostoma	13	6	7	7	4	3	-0.5292538434544347	-1.0522324398561578	2.4454952284473612
Xyloglucan	Ophiostoma	4	0	4	3	0	3	-1.6673936763864745	-1.7809797491779378	2.3072804306268972
Mannan	Ophiostoma	7	2	5	5	2	3	-0.316172999867392	-0.36688258253123934	2.0577477603216536
Pectin	Ophiostoma	3	1	2	3	1	2	-1.7339371677097668	-1.6301880292418556	4.708929417372554
Arabinan	Ophiostoma	2	0	2	1	0	1	-3.0638382679904343	-3.0638382679904343	4.516816432739538
Arabinogalactan	Ophiostoma	4	1	3	2	1	1	-0.5288796698079632	-0.8577440385703221	2.2150343181482466
Fructan	Ophiostoma	1	1	0	0	0	0	0.563681615797577	0.563681615797577	0.563681615797577
Trehalose	Ophiostoma	2	1	1	1	0	1	-0.1782323517627824	-0.1782323517627824	1.0222266770904793
Host glycan	Ophiostoma	11	8	3	6	5	1	-0.0023168629915311	0.33215170093425694	3.7670397538388998
Peptidoglycan	Ophiostoma	1	0	1	0	0	0	-0.46907066457115953	-0.46907066457115953	0.46907066457115953
Other	Ophiostoma	26	13	13	11	6	5	-0.0555619865945799	-0.05983511096871377	4.232763967177696
Unassigned	Fusarium	142	80	62	72	40	32	0.11235497096091693	0.129978324798565	3.41628085244577
Unassigned	Ophiostoma	87	52	35	21	10	11	0.06899844983479897	0.3320428865877881	3.2157897704041463
