substrate	fusarium_significant_genes	fusarium_up	fusarium_down	fusarium_secreted	fusarium_secreted_up	fusarium_secreted_down	fusarium_mean_shrunk_lfc	fusarium_median_shrunk_lfc	fusarium_max_abs_shrunk_lfc	ophiostoma_significant_genes	ophiostoma_up	ophiostoma_down	ophiostoma_secreted	ophiostoma_secreted_up	ophiostoma_secreted_down	ophiostoma_mean_shrunk_lfc	ophiostoma_median_shrunk_lfc	ophiostoma_max_abs_shrunk_lfc	total_significant	total_secreted
Unassigned	142	80	62	72	40	32	0.11235497096091693	0.129978324798565	3.41628085244577	87	52	35	21	10	11	0.06899844983479897	0.3320428865877881	3.2157897704041463	229	93
Beta-glucan	0	0	0	0	0	0				30	16	14	16	8	8	-0.18446612090363215	0.2241073304881221	3.030013968698883	30	16
Other	0	0	0	0	0	0				26	13	13	11	6	5	-0.0555619865945799	-0.05983511096871377	4.232763967177696	26	11
Xylan	0	0	0	0	0	0				13	6	7	7	4	3	-0.5292538434544347	-1.0522324398561578	2.4454952284473612	13	7
Host glycan	0	0	0	0	0	0				11	8	3	6	5	1	-0.0023168629915311	0.33215170093425694	3.7670397538388998	11	6
Cellulose	0	0	0	0	0	0				8	3	5	6	2	4	-0.5631912385407397	-0.876937807616041	2.2583542388014926	8	6
Mannan	0	0	0	0	0	0				7	2	5	5	2	3	-0.316172999867392	-0.36688258253123934	2.0577477603216536	7	5
Chitin	0	0	0	0	0	0				8	4	4	4	2	2	-0.21584999879826103	0.010177802638366817	2.114673017370571	8	4
Alpha-glucan	0	0	0	0	0	0				8	5	3	4	1	3	-0.46356971926457613	0.4805614247981839	3.159018810999134	8	4
Xyloglucan	0	0	0	0	0	0				4	0	4	3	0	3	-1.6673936763864745	-1.7809797491779378	2.3072804306268972	4	3
Pectin	0	0	0	0	0	0				3	1	2	3	1	2	-1.7339371677097668	-1.6301880292418556	4.708929417372554	3	3
Arabinogalactan	0	0	0	0	0	0				4	1	3	2	1	1	-0.5288796698079632	-0.8577440385703221	2.2150343181482466	4	2
Arabinan	0	0	0	0	0	0				2	0	2	1	0	1	-3.0638382679904343	-3.0638382679904343	4.516816432739538	2	1
Trehalose	0	0	0	0	0	0				2	1	1	1	0	1	-0.1782323517627824	-0.1782323517627824	1.0222266770904793	2	1
Fructan	0	0	0	0	0	0				1	1	0	0	0	0	0.563681615797577	0.563681615797577	0.563681615797577	1	0
Peptidoglycan	0	0	0	0	0	0				1	0	1	0	0	0	-0.46907066457115953	-0.46907066457115953	0.46907066457115953	1	0
